,NetIncome,TotalAssets,TotalLiabilities,AverageBasicSharesOutstanding,CashFromOperations,NetCapitalExpenditures
1990-03-24,181.9,15445.5996,11471.3999,1597.7999,140.5,#N/A N/A
1990-06-16,292.5,16075.7002,11783.6,1600.602,429.9,#N/A N/A
1990-09-08,336.6,16482.6992,11853.3,1599.2,759.8,#N/A N/A
1990-12-30,265.9,17143.4004,12239.2001,1574.9,779.8,#N/A N/A
1991-03-23,205.4,17467.8008,12428.4001,1603.8,-44.1,#N/A N/A
1991-06-15,318.3,17826,12864.1997,1612.4,591.7,#N/A N/A
1991-09-07,285.4,18444.1992,13241.0001,1604.4,783.9,#N/A N/A
1991-12-28,271.1,18775.0996,13229.7003,1578.5,1098.8,#N/A N/A
1992-03-21,-692.4,19164.5,13672.2999,1605.2,29.2,#N/A N/A
1992-06-13,378.8,19962.1992,13980.9,1608.6,700.1,#N/A N/A
1992-09-05,422.3,20720.1992,14215.5999,1614.4,986,#N/A N/A
1992-12-26,265.6,20951.1992,15595.4998,1622.6,996.3,#N/A N/A
1993-03-31,260.4,21507.5,15963.5999,1629.6,276.7,#N/A N/A
1993-06-30,426.8,21716.5996,16218.0999,1618,634.2,#N/A N/A
1993-09-04,458.2,22370.5996,16467.5002,1610.2,1046.9,#N/A N/A
1993-12-25,442.5,23705.8008,17367.1001,1622,1176.6,#N/A N/A
1994-03-19,250.8,23919.8008,17716.6001,1620,179.1,#N/A N/A
1994-06-11,446.5,24715.1992,18330.5999,1606,806.2,#N/A N/A
1994-09-03,541.4,24717.5996,17847.6997,1599.8,1156.9,#N/A N/A
1994-12-31,513.3,24792,17935.8999,1602.6,1573.8,#N/A N/A
1995-03-25,321.1,24735.6992,17960.4001,1599,213.6,-399
1995-06-30,487.2,25708.5996,18475.0005,1607,661.4,-469
1995-09-30,616.8,25662.5996,18169.7004,1607.2,1367.3,-434
1995-12-30,180.9,25432,18119,1614,1499.7,-2104
1996-03-23,394,25413,18050,1574,468,-370
1996-06-15,583,26134,18681,1570,605,-590
1996-09-07,144,25986,18780,1563,601,-131
1996-12-28,28,22160,15537,1552,2123,-539
1997-03-22,427,24160,17668,1544,255,-276
1997-06-14,656,24904,18284,1534,1204,-326
1997-09-06,658,23041,16696,1524,2742,-161
1997-12-27,401,20101,20101,1514,5812,-525
1998-03-21,377,19185,12666,1496,274,-215
1998-06-13,494,18893,12818,1485,413,-288
1998-09-05,761,22375,16160,1473,1237,-271
1998-12-26,361,22660,16259,1469,1287,-497
1999-03-20,333,27105,20553,1474,301,-210
1999-06-12,743,19488,12550,1474,691,-259
1999-09-04,484,16721,9839,1463,850,-194
