,Open,High,Low,Close,Volume
1985-03-29,2.7656,2.7816,2.7496,2.7816,290250.0
1985-06-28,3.0214,3.1253,3.0214,3.0773,693900.0
1985-09-30,2.4299,2.4778,2.334,2.4299,1260900.0
1985-12-31,2.8455,2.8615,2.7496,2.8135,1756350.0
1986-03-31,4.2843,4.3162,4.2363,4.2523,253800.0
1986-06-30,4.7319,4.7958,4.6839,4.7638,491400.0
1986-09-30,3.4210000000000003,3.485,3.4210000000000003,3.4530000000000003,421200.0
1986-12-31,3.3091,3.3571,3.2931,3.3251,752625.0
1987-03-31,3.8207,3.8367,3.7727,3.7887,554850.0
1987-06-30,3.5809,3.6288,3.5809,3.6288,945675.0
1987-09-30,3.8526,3.9166,3.8367,3.9166,345600.0
1987-12-31,3.1652,3.1972,3.1333,3.1333,456975.0
1988-03-31,3.7407,3.7407,3.7248,3.7248,120150.0
1988-06-30,4.1884,4.2203,4.1884,4.2043,278775.0
1988-09-30,4.0764,4.0764,4.0445,4.0445,319950.0
1988-12-30,3.9326,3.9486,3.9006,3.9006,143775.0
1989-03-31,4.1244,4.2203,4.1244,4.2203,787050.0
1989-06-30,4.9877,4.9877,4.8598,4.9877,520425.0
1989-09-29,5.8029,6.0427,5.8029,5.9788,826875.0
1989-12-29,6.9539,7.1298,6.9539,7.1298,66150.0
1990-03-30,5.787000000000001,5.8189,5.6591,5.787000000000001,1237275.0
1990-06-29,6.0747,6.1387,6.0747,6.1067,518400.0
1990-09-28,5.1475,5.2594,5.1155,5.2434,456975.0
1990-12-31,6.2026,6.2506,6.2026,6.2506,139725.0
1991-03-28,7.1777,7.2417,7.1777,7.2417,399600.0
1991-06-28,6.1706,6.1866,6.1227,6.1706,1032075.0
1991-09-30,6.3465,6.4104,6.3465,6.3784,195750.0
1991-12-31,7.5774,7.5774,7.3216,7.4016,531225.0
1992-03-31,7.2577,7.3216,7.2257,7.2896,218700.0
1992-06-30,8.5845,8.6804,8.5685,8.6804,766800.0
1992-09-30,9.8794,9.8794,9.5437,9.6156,313200.0
1992-12-31,11.0064,11.1982,10.9585,10.9585,324000.0
1993-03-31,11.6299,11.6299,11.4141,11.485999999999999,199800.0
1993-06-30,10.2151,10.2151,10.1671,10.1911,148950.0
1993-09-30,10.9105,10.9824,10.8386,10.8386,267300.0
1993-12-31,8.5366,8.7524,8.5366,8.6325,252000.0
1994-03-31,7.8172,7.8172,7.5774,7.7213,815400.0
1994-06-30,7.5294,7.5294,7.4575,7.4815,389250.0
1994-09-30,8.4167,8.4167,8.3927,8.4167,423000.0
1994-12-30,6.6662,6.7142,6.6182,6.6902,517950.0
1995-03-31,8.033,8.033,7.8891,7.9611,641250.0
1995-06-30,7.1698,7.2657,7.1698,7.2417,432450.0
1995-09-29,8.057,8.1049,8.033,8.081,759600.0
1995-12-29,8.6085,8.6804,8.5366,8.6804,486000.0
1996-03-29,8.6085,8.6325,8.5366,8.6325,942300.0
1996-06-28,8.2488,8.3927,8.2488,8.3927,697950.0
1996-09-30,8.8003,8.8693,8.7764,8.8003,318600.0
1996-12-31,9.8075,9.8314,9.6876,9.6876,327600.0
1997-03-31,10.7666,10.8386,10.5988,10.6227,679050.0
1997-06-30,13.8359,13.9079,13.5722,13.6681,378900.0
1997-09-30,15.5864,15.5864,15.0589,15.0589,385875.0
1997-12-31,16.2818,16.3058,15.9221,16.1859,247500.0
1998-03-31,17.6246,18.0323,17.3849,17.5767,604800.0
1998-06-30,17.3369,17.7445,17.0971,17.5527,888750.0
1998-09-30,13.812000000000001,13.8359,13.5722,13.788,889650.0
1998-12-31,15.4722,16.0556,15.4722,15.6944,809550.0
1999-03-31,13.9722,14.1667,13.7778,14.0556,936000.0
1999-06-30,15.0556,15.3333,15.0278,15.1667,930825.0
1999-09-30,11.7778,11.8056,11.4444,11.5,1250550.0
