,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,428.90M,428.90M,350.90M,,350.90M,131.20M,38.20M,120.20M,289.60M,1.90M,,49.70M,1.121B,,,,,,,,293.70M,790.10M,494.30M,1.284B,,328.60M,1.907B,3.028B,,191.10M,,191.10M,297.80M,488.90M,0.20M,0.20M,,,,489.10M,1.429B,1.429B,,,,2.80M,282.60M,1.712B,2.201B,,0.90M,1.023B,6.80M,-206.80M,824.30M,,AOR,
2020-06,302.40M,302.40M,329.20M,,329.20M,133.60M,40.60M,119.40M,293.60M,1.90M,,50.00M,977.10M,,,,,,,,292.50M,777.70M,488.90M,1.267B,,297.70M,1.857B,2.834B,,195.50M,,195.50M,267.40M,462.90M,0.80M,0.80M,,,,463.70M,1.428B,1.428B,,,,2.50M,261.70M,1.690B,2.154B,,0.90M,906.00M,1.60M,-231.00M,677.50M,,AOR,
2020-03,245.30M,245.30M,343.10M,,343.10M,121.20M,38.40M,115.90M,275.50M,3.40M,,54.70M,922.00M,,,,,,,,289.20M,773.00M,485.30M,1.258B,,288.20M,1.836B,2.758B,,198.70M,,198.70M,254.60M,453.30M,3.40M,3.40M,,,,456.70M,1.428B,1.428B,,,,2.50M,259.20M,1.687B,2.144B,,0.90M,861.80M,0.00,-251.40M,611.30M,,AOR,
2019-12,355.30M,355.30M,329.80M,,344.00M,116.80M,33.10M,120.00M,269.90M,3.40M,,29.20M,1.002B,0.00,16.60M,154.80M,572.10M,42.50M,786.00M,-494.60M,291.40M,873.30M,510.90M,1.384B,112.50M,177.30M,1.965B,2.967B,,221.00M,12.80M,233.80M,174.70M,408.50M,0.10M,0.10M,,,,507.00M,1.428B,1.428B,107.80M,107.80M,87.70M,3.00M,76.70M,1.700B,2.207B,,0.90M,975.10M,0.00,-218.60M,757.40M,,AOR,
2019-09,232.90M,232.90M,367.50M,,367.50M,127.00M,34.60M,132.30M,293.90M,3.40M,,32.50M,933.10M,,,,,,,,281.90M,860.40M,511.70M,1.372B,,278.30M,1.932B,2.865B,,208.80M,,208.80M,282.30M,491.10M,0.10M,0.10M,,,,491.20M,1.427B,1.427B,,,,2.20M,260.00M,1.687B,2.178B,,0.90M,957.10M,0.00,-273.00M,685.00M,,AOR,Restated
2019-06,157.80M,157.80M,380.00M,,380.00M,125.20M,38.10M,141.40M,304.70M,3.40M,,37.30M,883.20M,,,,,,,,281.70M,878.10M,533.60M,1.412B,,272.70M,1.966B,2.849B,,206.50M,,206.50M,275.50M,482.00M,35.10M,35.10M,,,,517.10M,1.393B,1.393B,,,,3.10M,275.50M,1.669B,2.186B,,0.90M,892.70M,0.00,-233.10M,660.50M,,AOR,Restated
2019-03,153.80M,153.80M,359.60M,,359.60M,124.70M,36.80M,135.30M,296.80M,6.80M,,33.20M,850.20M,,,,,,,,275.10M,878.70M,536.30M,1.415B,,260.50M,1.951B,2.801B,,198.30M,,198.30M,252.00M,450.30M,35.10M,35.10M,,,,485.40M,1.401B,1.401B,,,,3.70M,276.70M,1.678B,2.163B,,0.90M,871.60M,0.00,-238.80M,633.70M,,AOR,Restated
2018-12,283.80M,283.80M,324.90M,,340.30M,117.20M,34.40M,128.70M,280.30M,6.80M,,19.60M,931.60M,0.00,15.60M,148.40M,553.70M,31.10M,748.80M,-472.10M,276.70M,883.00M,547.10M,1.430B,84.60M,87.20M,1.879B,2.810B,,235.00M,20.20M,255.20M,135.00M,390.20M,35.30M,35.30M,,,,520.80M,1.410B,1.410B,115.90M,115.90M,81.20M,3.00M,28.80M,1.635B,2.156B,,0.90M,873.60M,0.00,-223.50M,651.00M,,AOR,Restated
2018-09,189.70M,189.70M,361.40M,,361.40M,60.50M,25.70M,192.10M,278.30M,6.80M,,37.10M,873.30M,,,,,,,,273.30M,878.00M,558.40M,1.436B,,147.10M,1.857B,2.730B,,208.00M,,208.00M,243.90M,451.90M,35.00M,35.00M,,,,486.90M,1.418B,1.418B,,,,2.10M,226.50M,1.644B,2.131B,,1.00M,771.90M,12.20M,-188.20M,596.90M,,AOR,Restated
2018-06,189.60M,189.60M,366.00M,,366.00M,84.70M,31.40M,149.30M,265.40M,,,31.50M,852.50M,,,,,,,,272.50M,857.00M,516.40M,1.373B,,133.30M,1.779B,2.632B,,210.20M,,210.20M,227.70M,437.90M,35.20M,35.20M,,,,473.10M,1.426B,1.426B,,,,2.70M,224.00M,1.650B,2.123B,,0.90M,675.80M,5.20M,-175.90M,506.00M,,AOR,Restated
2018-03,151.80M,151.80M,336.40M,,336.40M,84.80M,33.70M,153.00M,271.50M,,,42.90M,802.60M,,,,,,,,277.40M,878.00M,545.80M,1.424B,,124.30M,1.826B,2.628B,,197.50M,,197.50M,219.30M,416.80M,35.30M,35.30M,,,,452.10M,1.474B,1.474B,,,,5.10M,240.80M,1.715B,2.167B,,0.90M,581.90M,0.00,-126.80M,456.00M,,AOR,Restated
2017-12,466.20M,466.20M,296.60M,,308.80M,66.60M,29.80M,143.40M,239.80M,0.00,,17.00M,1.033B,0.00,16.00M,142.20M,525.30M,24.40M,707.90M,-455.70M,252.20M,761.20M,394.30M,1.156B,35.40M,66.20M,1.509B,2.542B,,188.30M,18.20M,206.50M,134.60M,341.10M,35.00M,35.00M,,,,460.80M,1.442B,1.442B,123.60M,123.60M,85.90M,3.90M,23.90M,1.676B,2.136B,,1.00M,544.40M,9.10M,-152.90M,401.60M,,AOR,Restated
2017-09,334.90M,334.90M,302.80M,,302.80M,71.30M,30.50M,155.30M,257.10M,,,29.80M,924.60M,,,,,,,,246.10M,755.90M,393.20M,1.149B,,127.50M,1.523B,2.447B,,177.70M,,177.70M,219.50M,397.20M,35.00M,35.00M,,,,432.20M,1.412B,1.412B,,,,4.90M,231.00M,1.643B,2.075B,,1.00M,543.50M,5.20M,-182.50M,367.20M,,AOR,Restated
2017-06,245.50M,245.50M,310.90M,,310.90M,70.30M,28.40M,149.10M,247.80M,,,35.00M,839.20M,,,,,,,,241.30M,745.70M,386.80M,1.132B,,121.60M,1.495B,2.335B,,194.60M,,194.60M,195.30M,389.90M,46.90M,46.90M,,,,436.80M,1.394B,1.394B,,,,4.10M,234.30M,1.628B,2.065B,,0.90M,468.90M,,-204.50M,265.30M,,AOR,Restated
2017-03,189.60M,189.60M,268.90M,,268.90M,63.60M,26.20M,148.20M,238.00M,,,45.70M,742.20M,,,,,,,,232.10M,724.60M,368.20M,1.093B,,118.30M,1.443B,2.185B,,173.10M,,173.10M,178.30M,351.40M,47.10M,47.10M,,,,398.50M,1.405B,1.405B,,,,3.60M,227.10M,1.632B,2.030B,,1.00M,401.80M,,-251.40M,151.40M,,AOR,Restated
2016-12,312.40M,312.40M,260.00M,,271.90M,56.70M,23.60M,140.30M,220.60M,,,22.20M,829.30M,0.00,14.50M,127.60M,480.10M,18.20M,640.40M,-413.80M,226.60M,716.80M,357.40M,1.074B,72.30M,45.00M,1.418B,2.247B,,179.90M,2.70M,182.60M,117.80M,300.40M,48.20M,48.20M,,,,429.60M,1.416B,1.416B,118.70M,118.70M,134.50M,3.10M,32.60M,1.701B,2.131B,,1.00M,376.60M,0.00,-264.30M,113.30M,,AOR,Restated
2016-09,214.50M,214.50M,277.10M,,277.10M,59.40M,25.80M,143.10M,228.30M,,,82.40M,802.30M,,,,,,,,226.40M,736.10M,390.00M,1.126B,,151.80M,1.504B,2.307B,,165.10M,,165.10M,220.00M,385.10M,47.20M,47.20M,,,,432.30M,1.426B,1.426B,,,,3.70M,292.40M,1.719B,2.151B,,1.00M,350.70M,16.90M,-216.80M,151.80M,,AOR,Restated
2016-06,169.10M,169.10M,348.30M,,348.30M,58.20M,26.60M,140.50M,225.30M,,,85.20M,827.90M,,,,,,,,227.10M,728.80M,389.90M,1.119B,,171.80M,1.518B,2.346B,,175.70M,,175.70M,245.40M,421.10M,48.60M,48.60M,,,,469.70M,1.437B,1.437B,,,,3.60M,295.90M,1.733B,2.203B,,1.00M,360.60M,8.80M,-231.20M,139.20M,,AOR,Restated
2016-03,125.50M,125.50M,325.80M,,325.80M,57.10M,27.40M,132.00M,216.50M,,,42.60M,710.40M,,,,,,,,226.10M,727.20M,384.50M,1.112B,,221.80M,1.560B,2.27B,,162.30M,,162.30M,194.70M,357.00M,49.10M,49.10M,,,,406.10M,1.447B,1.447B,,,,4.00M,339.30M,1.786B,2.192B,,1.00M,277.30M,1.10M,-205.70M,73.70M,,AOR,Restated
2015-12,199.70M,199.70M,303.40M,,313.90M,58.90M,30.00M,115.20M,204.10M,,,17.40M,735.10M,0.00,14.50M,125.90M,442.00M,34.10M,616.50M,-391.70M,224.80M,714.10M,372.40M,1.086B,91.90M,124.70M,1.528B,2.263B,,175.10M,9.10M,184.20M,124.90M,309.10M,65.60M,65.60M,,,,447.10M,1.458B,1.458B,120.00M,120.00M,145.40M,4.10M,63.30M,1.786B,2.233B,,1.00M,232.40M,24.40M,-232.20M,25.60M,,AOR,Restated
2015-09,175.20M,175.20M,273.10M,,273.10M,63.00M,34.30M,119.00M,216.30M,,,56.80M,875.70M,,,,,,,,227.90M,823.40M,260.30M,1.084B,,221.70M,1.533B,2.409B,,180.20M,,180.20M,196.30M,376.50M,59.00M,59.00M,,,81.70M,517.20M,1.576B,1.576B,,,,13.50M,287.90M,1.864B,2.381B,,1.00M,170.20M,17.90M,-174.60M,14.50M,,AOR,Restated
2015-06,201.00M,201.00M,274.70M,186.40M,461.10M,65.00M,45.40M,95.50M,205.90M,,,55.20M,923.20M,,,,,,,,207.80M,527.50M,122.50M,650.00M,,208.60M,1.066B,1.990B,,233.80M,,233.80M,183.40M,417.20M,61.80M,61.80M,,,,479.00M,1.190B,1.190B,,,,25.40M,247.40M,1.438B,1.917B,,1.00M,207.10M,12.30M,-173.10M,47.30M,,AOR,Restated
2015-03,229.60M,229.60M,255.80M,177.10M,432.90M,59.70M,34.70M,90.50M,184.90M,,,56.30M,903.70M,,,,,,,,206.30M,498.60M,111.70M,610.30M,,207.10M,1.024B,1.927B,,231.50M,,231.50M,201.20M,432.70M,49.40M,49.40M,,,,482.10M,1.203B,1.203B,,,,21.30M,241.10M,1.444B,1.926B,,1.00M,152.80M,5.10M,-178.70M,-19.80M,,AOR,Restated
2014-12,290.50M,290.50M,230.40M,,230.40M,52.70M,26.00M,90.60M,169.30M,,32.70M,22.90M,1.002B,0.00,13.70M,117.40M,427.70M,21.00M,579.80M,-372.60M,207.20M,484.40M,125.40M,609.80M,72.20M,125.00M,1.014B,2.016B,,175.60M,,175.60M,98.80M,274.40M,49.60M,49.60M,33.50M,33.50M,103.50M,532.50M,1.215B,1.215B,57.00M,57.00M,122.00M,23.30M,70.90M,1.465B,1.997B,,1.00M,142.40M,,-148.20M,-4.80M,,AOR,Restated
2014-09,251.40M,251.40M,287.30M,153.60M,440.90M,62.80M,46.90M,105.40M,180.70M,0.00,,61.00M,934.00M,,,,,,,,212.50M,509.90M,133.10M,643.00M,,202.70M,1.058B,1.992B,,222.90M,,222.90M,211.00M,433.90M,30.30M,30.30M,,,,464.20M,1.249B,1.249B,,,,36.70M,272.80M,1.522B,1.986B,,1.00M,95.40M,2.60M,-129.70M,-30.70M,,AOR,Restated
2014-06,193.20M,193.20M,295.60M,148.20M,443.80M,61.20M,44.40M,102.40M,174.10M,0.00,,72.60M,887.60M,,,,,,,,210.30M,517.80M,144.90M,662.70M,,207.50M,1.080B,1.968B,,219.80M,,219.80M,186.90M,406.70M,30.70M,30.70M,,,,437.40M,1.257B,1.257B,,,,31.00M,285.00M,1.542B,1.979B,,1.00M,55.50M,5.60M,-104.30M,-42.20M,,AOR,Restated
2014-03,205.40M,205.40M,284.10M,143.80M,427.90M,62.10M,40.30M,99.00M,167.20M,40.10M,,73.30M,913.90M,,,,,,,,208.90M,507.10M,143.50M,650.60M,,204.50M,1.064B,1.978B,,213.60M,,213.60M,177.40M,391.00M,70.50M,70.50M,,,,461.50M,1.264B,1.264B,,,,32.10M,280.30M,1.545B,2.006B,,1.00M,28.00M,20.40M,-109.80M,-60.40M,,AOR,Restated
2013-12,227.40M,227.40M,260.00M,158.80M,418.80M,68.40M,34.50M,84.60M,187.50M,40.20M,38.10M,34.80M,946.80M,0.00,16.50M,126.30M,423.60M,,566.40M,-366.20M,200.20M,504.90M,146.10M,651.00M,78.50M,124.10M,1.054B,2.001B,,211.30M,,211.30M,111.50M,322.80M,71.90M,71.90M,23.90M,23.90M,0.10M,490.50M,1.272B,1.272B,86.70M,86.70M,110.60M,31.10M,75.80M,1.545B,2.036B,,1.00M,1.10M,28.50M,-96.70M,-66.10M,,AOR,Restated
2013-09,368.50M,368.50M,306.40M,118.70M,425.10M,76.40M,32.50M,87.10M,163.20M,,,46.30M,1.003B,,,,,,,,206.60M,505.40M,145.40M,650.80M,,64.60M,922.00M,1.925B,,209.60M,,209.60M,98.40M,308.00M,2.10M,2.10M,,,,371.60M,2.70M,2.70M,95.00M,95.00M,139.90M,32.60M,14.90M,252.50M,624.10M,,1.325B,,,-56.40M,1.268B,,,Restated
2012-12,317.50M,317.50M,288.20M,93.70M,381.90M,80.40M,22.20M,95.50M,166.40M,0.00,37.20M,6.90M,909.90M,0.00,16.50M,132.70M,437.60M,,586.80M,-354.80M,232.00M,637.90M,150.50M,788.40M,,53.50M,1.074B,1.984B,,227.20M,,227.20M,92.70M,319.90M,2.20M,2.20M,0.10M,0.10M,,382.70M,2.80M,2.80M,92.00M,92.00M,121.50M,23.00M,18.60M,234.90M,617.60M,,0.00,0.00,0.00,-7.70M,1.343B,,AOR,
