,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2020-12,3.244B,3.244B,1.793B,1.451B,308.00M,573.00M,,,9.00M,,-1.00M,,881.00M,570.00M,,9.00M,-1.00M,-23.00M,-1.00M,546.00M,-1.232B,1.781B,,,,1.781B,1.781B,656.00M,101.00M,555.00M,,1.48,,,1.48,1.48,,1.45,,,1.45,1.45,,1.208B,1.208B,,AOR,
2020-09,2.801B,2.801B,1.571B,1.23B,273.00M,508.00M,,,11.00M,,-11.00M,,781.00M,449.00M,,11.00M,-11.00M,-37.00M,-11.00M,401.00M,12.00M,390.00M,,,,390.00M,390.00M,505.00M,93.00M,412.00M,,0.33,,,0.33,0.33,,0.32,,,0.32,0.32,,1.184B,1.215B,,AOR,
2020-06,1.932B,1.932B,1.084B,848.00M,215.00M,460.00M,,,14.00M,,-14.00M,,675.00M,173.00M,,14.00M,-14.00M,1.00M,-14.00M,160.00M,4.00M,157.00M,,,,157.00M,157.00M,256.00M,82.00M,174.00M,,0.13,,,0.13,0.13,,0.13,,,0.13,0.13,,1.174B,1.227B,,AOR,
2020-03,1.786B,1.786B,968.00M,818.00M,199.00M,442.00M,,,13.00M,,-13.00M,,641.00M,177.00M,,13.00M,-13.00M,4.00M,-13.00M,168.00M,6.00M,162.00M,,,,162.00M,162.00M,259.00M,78.00M,181.00M,,0.14,,,0.14,0.14,,0.14,,,0.14,0.14,,1.17B,1.224B,,AOR,
2019-12,2.127B,2.127B,1.178B,949.00M,206.00M,395.00M,,,18.00M,,-3.00M,0.00,601.00M,348.00M,,18.00M,-3.00M,-140.00M,-3.00M,205.00M,35.00M,170.00M,,,,170.00M,170.00M,296.00M,73.00M,223.00M,,0.15,,,0.15,0.15,,0.15,,,0.15,0.15,,1.139B,1.159B,,AOR,Restated
2019-09,1.801B,1.801B,1.024B,777.00M,185.00M,406.00M,,,24.00M,,-24.00M,,591.00M,186.00M,,24.00M,-24.00M,-36.00M,-24.00M,126.00M,7.00M,120.00M,,,,120.00M,120.00M,219.00M,69.00M,150.00M,,0.11,,,0.11,0.11,,0.11,,,0.11,0.11,,1.097B,1.117B,,AOR,Restated
2019-06,1.531B,1.531B,910.00M,621.00M,189.00M,373.00M,,,25.00M,,-25.00M,,562.00M,59.00M,,25.00M,-25.00M,3.00M,-25.00M,37.00M,2.00M,35.00M,,,,35.00M,35.00M,123.00M,61.00M,62.00M,,0.03,,,0.03,0.03,,0.03,,,0.03,0.03,,1.084B,1.109B,,AOR,Restated
2019-03,1.272B,1.272B,751.00M,521.00M,170.00M,373.00M,,,27.00M,,-27.00M,-60.00M,483.00M,38.00M,,27.00M,-27.00M,-7.00M,-27.00M,4.00M,-13.00M,16.00M,,,,16.00M,16.00M,86.00M,55.00M,31.00M,,0.01,,,0.01,0.01,,0.01,,,0.01,0.01,,1.044B,1.094B,,AOR,Restated
2018-12,1.419B,1.419B,882.00M,537.00M,138.00M,371.00M,,,29.00M,,-11.00M,,509.00M,28.00M,,29.00M,-11.00M,-14.00M,-11.00M,3.00M,-35.00M,38.00M,,,,38.00M,38.00M,75.00M,43.00M,32.00M,,0.04,,,0.04,0.04,,0.04,,,0.04,0.04,,1.00B,1.082B,,AOR,Restated
2018-09,1.653B,1.653B,992.00M,661.00M,148.00M,363.00M,,,30.00M,,-30.00M,,511.00M,150.00M,,30.00M,-30.00M,-6.00M,-30.00M,114.00M,12.00M,102.00M,,,,102.00M,102.00M,185.00M,41.00M,144.00M,,0.10,,,0.10,0.10,,0.09,,,0.09,0.09,,987.00M,1.076B,,AOR,Restated
2018-06,1.756B,1.756B,1.104B,652.00M,142.00M,357.00M,,,31.00M,,-31.00M,,499.00M,153.00M,,31.00M,-31.00M,1.00M,-31.00M,123.00M,6.00M,116.00M,,,,116.00M,116.00M,196.00M,42.00M,154.00M,,0.12,,,0.12,0.12,,0.11,,,0.11,0.11,,972.00M,1.147B,,AOR,Restated
2018-03,1.647B,1.647B,1.05B,597.00M,134.00M,343.00M,,,31.00M,,-31.00M,,477.00M,120.00M,,31.00M,-31.00M,1.00M,-31.00M,90.00M,8.00M,81.00M,,,,81.00M,81.00M,165.00M,44.00M,121.00M,,0.08,,,0.08,0.08,,0.08,,,0.08,0.08,,968.00M,1.039B,,AOR,Restated
2017-12,1.34B,1.34B,888.00M,452.00M,134.00M,320.00M,,,31.00M,,-25.00M,0.00,454.00M,-2.00M,,31.00M,-25.00M,-4.00M,-25.00M,-31.00M,-12.00M,-19.00M,,,,-19.00M,-19.00M,39.00M,39.00M,0.00,,0.06,,,0.06,0.06,,0.06,,,0.06,0.06,,967.00M,967.00M,,AOR,Restated
2017-09,1.584B,1.584B,1.013B,571.00M,132.00M,320.00M,,,31.00M,,-31.00M,,452.00M,119.00M,,31.00M,-31.00M,-3.00M,-31.00M,85.00M,22.00M,61.00M,,,,61.00M,61.00M,152.00M,36.00M,116.00M,,0.06,,,0.06,0.06,,0.06,,,0.06,0.06,,957.00M,1.042B,,AOR,Restated
2017-06,1.151B,1.151B,765.00M,386.00M,127.00M,285.00M,,,32.00M,,-32.00M,-25.00M,387.00M,-1.00M,,32.00M,-32.00M,-3.00M,-32.00M,-36.00M,3.00M,-42.00M,,,,-42.00M,-42.00M,31.00M,35.00M,-4.00M,,-0.04,,,-0.04,-0.04,,-0.04,,,-0.04,-0.04,,945.00M,945.00M,,AOR,Restated
2017-03,1.178B,1.178B,800.00M,378.00M,123.00M,271.00M,,,32.00M,,-32.00M,-27.00M,367.00M,11.00M,,32.00M,-32.00M,-5.00M,-32.00M,-26.00M,5.00M,-33.00M,,,,-33.00M,-33.00M,40.00M,34.00M,6.00M,,-0.04,,,-0.04,-0.04,,-0.04,,,-0.04,-0.04,,939.00M,939.00M,,AOR,Restated
2016-12,1.153B,1.153B,797.00M,356.00M,127.00M,264.00M,,78.00M,34.00M,,-32.00M,-31.00M,360.00M,-4.00M,,34.00M,-32.00M,-9.00M,-32.00M,-45.00M,5.00M,-52.00M,,,,-52.00M,-98.80M,23.00M,34.00M,-11.00M,,-0.06,,,-0.1099,-0.06,,-0.06,,,-0.1099,-0.06,,937.00M,937.00M,,AOR,Restated
2016-09,1.307B,1.307B,1.248B,59.00M,117.00M,259.00M,,0.00,41.00M,,-41.00M,-24.00M,352.00M,-293.00M,,41.00M,-41.00M,-63.00M,-41.00M,-397.00M,4.00M,-406.00M,,,,-406.00M,-406.00M,-323.00M,33.00M,-356.00M,,-0.50,,,-0.50,-0.50,,-0.50,,,-0.50,-0.50,,815.00M,815.00M,,AOR,Restated
2016-06,1.027B,1.027B,708.00M,319.00M,117.00M,243.00M,,7.00M,41.00M,,-41.00M,-26.00M,334.00M,-15.00M,,41.00M,-41.00M,157.00M,-41.00M,101.00M,29.00M,69.00M,,,,69.00M,64.01M,175.00M,33.00M,142.00M,,0.09,,,0.0837,0.09,,0.08,,,0.0739,0.08,,794.00M,821.00M,,AOR,Restated
2016-03,832.00M,832.00M,563.00M,269.00M,105.00M,242.00M,,3.00M,40.00M,,-40.00M,-7.00M,340.00M,-71.00M,,40.00M,-40.00M,3.00M,-40.00M,-108.00M,1.00M,-109.00M,,,,-109.00M,-110.80M,-35.00M,33.00M,-68.00M,,-0.14,,,-0.1423,-0.14,,-0.14,,,-0.1423,-0.14,,793.00M,793.00M,,AOR,Restated
2015-12,958.00M,958.00M,675.00M,283.00M,109.00M,229.00M,0.00,6.00M,41.00M,,-41.00M,,338.00M,-55.00M,,41.00M,-41.00M,4.00M,-41.00M,-92.00M,10.00M,-102.00M,,,,-102.00M,-105.60M,-17.00M,34.00M,-51.00M,,-0.13,,,-0.1345,-0.13,,-0.13,,,-0.1345,-0.13,,792.00M,792.00M,,AOR,Restated
2015-09,1.061B,1.061B,822.00M,239.00M,108.00M,241.00M,0.00,-48.00M,39.00M,,-39.00M,,349.00M,-110.00M,,39.00M,-39.00M,-48.00M,-39.00M,-197.00M,0.00,-197.00M,,,,-197.00M,-149.00M,-116.00M,42.00M,-158.00M,,-0.25,,,-0.1889,-0.25,,-0.25,,,-0.1889,-0.25,,785.00M,785.00M,,AOR,Restated
2015-06,942.00M,942.00M,710.00M,232.00M,134.00M,235.00M,0.00,0.00,40.00M,,-40.00M,,369.00M,-137.00M,,40.00M,-40.00M,-3.00M,-40.00M,-180.00M,1.00M,-181.00M,,,,-181.00M,-181.00M,-95.00M,45.00M,-140.00M,,-0.23,,,-0.23,-0.23,,-0.23,,,-0.23,-0.23,,778.00M,778.00M,,AOR,Restated
2015-03,1.03B,1.03B,704.00M,326.00M,131.00M,242.00M,3.00M,-87.00M,40.00M,,-40.00M,,376.00M,-50.00M,,40.00M,-40.00M,-87.00M,-40.00M,-177.00M,3.00M,-180.00M,,,,-180.00M,-127.80M,-91.00M,46.00M,-137.00M,,-0.23,,,-0.1628,-0.23,,-0.23,,,-0.1628,-0.23,,777.00M,777.00M,,AOR,Restated
2014-12,1.239B,1.239B,879.00M,360.00M,144.00M,238.00M,4.00M,-365.00M,41.00M,,-41.00M,,386.00M,-26.00M,,41.00M,-41.00M,-300.00M,-41.00M,-367.00M,-3.00M,-364.00M,,,,-364.00M,-1.984M,-278.00M,48.00M,-326.00M,,-0.47,,,-0.0041,-0.47,,-0.47,,,-0.0041,-0.47,,777.00M,777.00M,,AOR,Restated
2014-09,1.429B,1.429B,935.00M,494.00M,150.00M,278.00M,3.00M,0.00,43.00M,,-43.00M,,431.00M,63.00M,,43.00M,-43.00M,-1.00M,-43.00M,19.00M,2.00M,17.00M,,,,17.00M,17.00M,111.00M,49.00M,62.00M,,0.02,,,0.02,0.02,,0.02,,,0.02,0.02,,770.00M,785.00M,,AOR,Restated
2014-06,1.441B,1.441B,943.00M,498.00M,154.00M,277.00M,4.00M,0.00,46.00M,,-46.00M,,435.00M,63.00M,,46.00M,-46.00M,-49.00M,-46.00M,-32.00M,4.00M,-36.00M,,,,-36.00M,-36.00M,67.00M,53.00M,14.00M,,-0.05,,,-0.05,-0.05,,-0.05,,,-0.05,-0.05,,764.00M,764.00M,,AOR,Restated
2014-03,1.397B,1.397B,910.00M,487.00M,156.00M,279.00M,3.00M,0.00,47.00M,1.00M,-46.00M,,438.00M,49.00M,1.00M,47.00M,-46.00M,-21.00M,-46.00M,-18.00M,2.00M,-20.00M,,,,-20.00M,-20.00M,82.00M,53.00M,29.00M,,-0.03,,,-0.03,-0.03,,-0.03,,,-0.03,-0.03,,761.00M,761.00M,,AOR,Restated
2013-12,1.587B,1.589B,1.036B,553.00M,169.00M,293.00M,4.00M,47.00M,44.00M,,-48.00M,,466.00M,87.00M,,44.00M,-48.00M,51.00M,-48.00M,90.00M,1.00M,89.00M,,,,89.00M,42.52M,188.00M,54.00M,134.00M,,0.12,,,0.0586,0.12,,0.12,,,0.0586,0.12,,757.00M,757.00M,,AOR,Restated
2013-09,1.461B,1.461B,940.00M,521.00M,155.00M,288.00M,5.00M,22.00M,47.00M,1.00M,-46.00M,,448.00M,73.00M,1.00M,47.00M,-46.00M,24.00M,-46.00M,51.00M,3.00M,48.00M,,,,48.00M,27.29M,155.00M,57.00M,98.00M,,0.06,,,0.0326,0.06,,0.06,,,0.0329,0.06,,757.00M,764.00M,,AOR,Restated
2013-06,1.161B,1.161B,702.00M,459.00M,171.00M,308.00M,4.00M,-5.00M,42.00M,2.00M,-40.00M,,483.00M,-24.00M,2.00M,42.00M,-40.00M,-7.00M,-40.00M,-71.00M,3.00M,-74.00M,,,,-74.00M,-70.75M,30.00M,59.00M,-29.00M,,-0.10,,,-0.0957,-0.10,,-0.10,,,-0.0957,-0.10,,752.00M,752.00M,,AOR,Restated
2013-03,1.088B,1.088B,643.00M,445.00M,179.00M,312.00M,5.00M,-47.00M,44.00M,1.00M,-43.00M,,496.00M,-51.00M,1.00M,44.00M,-43.00M,-50.00M,-43.00M,-144.00M,2.00M,-146.00M,,,,-146.00M,-115.45M,-34.00M,66.00M,-100.00M,,-0.19,,,-0.1492,-0.19,,-0.19,,,-0.1492,-0.19,,749.00M,749.00M,,AOR,Restated
2012-12,1.155B,1.155B,977.00M,178.00M,193.00M,313.00M,5.00M,-93.00M,45.00M,2.00M,-43.00M,,511.00M,-333.00M,2.00M,45.00M,-43.00M,-93.00M,-43.00M,-469.00M,4.00M,-473.00M,,,,-473.00M,-412.55M,-358.00M,66.00M,-424.00M,,-0.63,0.00,,-0.5491,-0.63,,-0.63,0.00,,-0.5491,-0.63,,747.00M,747.00M,,AOR,Restated
