,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,204.58M,0.00,-2.931M,,-2.931M,62.99M,62.99M,-1.556M,10.82M,4.547M,,,,31.27M,,309.73M,,-10.15M,4.045M,-6.102M,0.00,,0.00,-6.102M,,-602.95M,484.77M,-118.18M,,-0.073M,-0.073M,-41.29M,-41.29M,19.20M,-0.775M,-141.11M,,1.131B,162.51M,11.35M,1.305B,,,-500.00M,-102.95M,-0.073M,,AOR,
2020-06,166.22M,0.00,0.00,,0.00,61.34M,61.34M,1.066M,11.20M,0.517M,,,,74.27M,,314.62M,,-10.09M,0.00,-10.09M,0.096M,,-0.776M,-10.77M,,0.00,-397.02M,-397.02M,,-4.395M,-4.395M,-41.23M,-41.23M,13.70M,-1.301M,-430.25M,,1.253B,-126.40M,3.996M,1.131B,,,0.00,,-4.395M,,AOR,
2020-03,280.62M,-141.02M,-4.592M,,-145.61M,66.07M,66.07M,-4.042M,7.848M,-5.324M,,,,71.20M,,270.75M,,-16.93M,5.463M,-11.47M,128.71M,,-1.681M,115.56M,,500.00M,22.25M,522.25M,,-0.101M,-0.101M,-41.16M,-41.16M,6.977M,-1.313M,486.65M,,393.03M,872.96M,-12.61M,1.253B,,,500.00M,,-0.101M,,AOR,
2019-12,220.78M,,-0.803M,,-0.803M,64.11M,64.11M,5.983M,11.39M,3.119M,,,,37.64M,,342.21M,,-40.82M,3.043M,-37.78M,-939.80M,,0.001M,-977.57M,,-100.00M,388.92M,288.92M,,-5.311M,-5.311M,-32.00M,-32.00M,30.74M,-1.511M,280.84M,,735.38M,-354.53M,12.18M,393.03M,,,0.00,-100.00M,-5.311M,,AOR,
2019-09,220.75M,0.00,-3.794M,,-3.794M,55.26M,55.26M,6.05M,13.56M,9.725M,,,,28.09M,,329.64M,,-18.25M,7.498M,-10.75M,-122.15M,,-0.843M,-133.74M,,0.00,2.591M,2.591M,,-0.291M,-0.291M,-31.88M,-31.88M,13.82M,-0.636M,-16.40M,,567.91M,179.49M,-12.03M,735.38M,,,0.00,0.00,-0.291M,,AOR,Restated
2019-06,215.50M,0.00,0.00,,0.00,57.17M,57.17M,-5.392M,8.325M,-2.765M,,,,-26.52M,,246.32M,,-21.86M,0.00,-21.86M,0.00,,0.00,-21.86M,,0.00,-4.516M,-4.516M,,-6.185M,-6.185M,-31.85M,-31.85M,20.90M,-4.008M,-25.66M,,368.06M,198.80M,1.044M,567.91M,,,0.00,,-6.185M,,AOR,Restated
2019-03,204.27M,0.00,-0.735M,,-0.735M,57.50M,57.50M,12.74M,7.121M,-0.469M,,,,-84.17M,,196.26M,,-21.42M,0.765M,-20.65M,0.00,,2.902M,-17.75M,,100.00M,-256.29M,-156.29M,,-0.137M,-0.137M,-31.77M,-31.77M,24.93M,-2.605M,-165.86M,,353.98M,12.64M,1.448M,368.06M,,,100.00M,,-0.137M,,AOR,Restated
2018-12,211.52M,,0.127M,,0.127M,53.58M,53.58M,-68.11M,7.215M,-4.557M,,,,96.38M,,296.16M,,-34.59M,1.853M,-32.74M,-753.06M,,0.001M,-785.79M,,495.05M,257.43M,752.48M,,-363.64M,-363.64M,-31.88M,-31.88M,1.36M,-28.04M,330.27M,,518.72M,-159.36M,-5.386M,353.98M,,,560.05M,-65.00M,-363.64M,,AOR,Restated
2018-09,191.21M,,0.00,,0.00,48.13M,48.13M,0.16M,7.145M,-7.484M,,,,9.649M,,248.81M,,-18.92M,0.717M,-18.21M,-1.604M,,-2.715M,-22.52M,,-240.00M,0.965M,-239.04M,,-0.027M,-0.027M,-32.37M,-32.37M,10.40M,-0.641M,-261.68M,,557.69M,-35.39M,-3.58M,518.72M,,,0.00,-240.00M,-0.027M,,AOR,Restated
2018-06,193.86M,,0.00,,0.00,48.94M,48.94M,-12.50M,7.384M,2.785M,,,,-37.34M,,203.14M,,-16.30M,,-16.30M,-132.56M,,0.704M,-148.15M,,0.00,-0.044M,-0.044M,,-3.889M,-3.889M,-32.35M,-32.35M,8.67M,-0.879M,-28.49M,,556.78M,26.49M,-25.58M,557.69M,,,0.00,,-3.889M,,AOR,Restated
