,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,-140.00M,-7.00M,-1.00M,-8.00M,,,54.00M,54.00M,-323.00M,,,,35.00M,-1.00M,-85.00M,111.00M,,532.00M,186.00M,1.319B,936.00M,,-45.00M,,,,-1.541B,22.00M,-1.525B,,358.00M,,358.00M,,-320.00M,-320.00M,-125.00M,-125.00M,0.00,763.00M,676.00M,,10.12B,87.00M,13.00M,10.22B,,,380.00M,-22.00M,-320.00M,65.00M,48.00M,,AOR,
2020-06,-539.00M,-29.00M,27.00M,-2.00M,,,49.00M,49.00M,-752.00M,,,,36.00M,-16.00M,-118.00M,227.00M,,414.00M,870.00M,998.00M,-190.00M,,-33.00M,,,,-827.00M,36.00M,-856.00M,,485.00M,,485.00M,,-236.00M,-236.00M,-128.00M,-128.00M,1.00M,-633.00M,-511.00M,,11.68B,-1.557B,-1.00M,10.12B,,,496.00M,-11.00M,-236.00M,17.00M,61.00M,,AOR,
2020-03,2.036B,13.00M,25.00M,38.00M,,,47.00M,47.00M,1.273B,,,,36.00M,36.00M,-13.00M,-432.00M,,-681.00M,-875.00M,1.463B,4.893B,,-29.00M,,,,-39.00M,36.00M,-40.00M,,-782.00M,,-782.00M,,-480.00M,-480.00M,-122.00M,-122.00M,1.00M,2.011B,628.00M,,6.213B,5.481B,-17.00M,11.68B,,,0.00,-782.00M,-480.00M,34.00M,72.00M,,AOR,
2019-12,463.00M,19.00M,42.00M,-252.00M,,,51.00M,51.00M,-69.00M,,,,35.00M,115.00M,119.00M,89.00M,,344.00M,-184.00M,-441.00M,-233.00M,,-43.00M,,,,-2.327B,11.00M,-1.498B,,-30.00M,,-30.00M,,-551.00M,-551.00M,-124.00M,-124.00M,1.00M,854.00M,150.00M,,7.566B,-1.581B,24.00M,6.213B,,,0.00,-30.00M,-551.00M,264.00M,83.00M,,AOR,
2019-09,543.00M,-7.00M,28.00M,21.00M,,,41.00M,41.00M,-175.00M,,,,36.00M,15.00M,85.00M,48.00M,,-209.00M,140.00M,941.00M,1.422B,,-33.00M,,,,3.00M,-64.00M,-107.00M,,-27.00M,,-27.00M,,-565.00M,-565.00M,-127.00M,-127.00M,1.00M,286.00M,-432.00M,,6.738B,883.00M,-17.00M,7.566B,,,0.00,-27.00M,-565.00M,143.00M,89.00M,,AOR,Restated
2019-06,492.00M,-7.00M,18.00M,11.00M,,,45.00M,45.00M,-62.00M,,,,34.00M,-25.00M,-5.00M,86.00M,,-36.00M,82.00M,455.00M,980.00M,,-36.00M,,,,-1.126B,31.00M,-1.148B,,-325.00M,,-325.00M,,-442.00M,-442.00M,-129.00M,-129.00M,0.00,2.101B,1.205B,,5.761B,1.037B,-5.00M,6.738B,,,0.00,-325.00M,-442.00M,184.00M,102.00M,,AOR,Restated
2019-03,395.00M,-9.00M,16.00M,7.00M,,,46.00M,46.00M,-2.00M,,,,30.00M,30.00M,125.00M,-177.00M,,316.00M,-23.00M,-304.00M,172.00M,,-31.00M,,,,-127.00M,-344.00M,-481.00M,,482.00M,,482.00M,,-385.00M,-385.00M,-124.00M,-124.00M,1.00M,317.00M,291.00M,,5.883B,-18.00M,7.00M,5.761B,,,497.00M,-15.00M,-385.00M,18.00M,82.00M,,AOR,Restated
2018-12,539.00M,4.00M,1.00M,5.00M,,,46.00M,46.00M,17.00M,,,,39.00M,39.00M,-134.00M,-2.00M,,-497.00M,-24.00M,842.00M,1.488B,,-45.00M,,,,-185.00M,4.00M,-238.00M,,-30.00M,,-30.00M,,-438.00M,-438.00M,-126.00M,-126.00M,0.00,535.00M,-59.00M,,4.697B,1.191B,-5.00M,5.883B,,,370.00M,-400.00M,-438.00M,243.00M,97.00M,,AOR,Restated
2018-09,503.00M,-7.00M,17.00M,10.00M,,,45.00M,45.00M,-45.00M,,,,36.00M,36.00M,-143.00M,122.00M,,148.00M,72.00M,62.00M,611.00M,,-48.00M,,,,-581.00M,-4.00M,-628.00M,,-51.00M,,-51.00M,,-363.00M,-363.00M,-127.00M,-127.00M,0.00,484.00M,-57.00M,,4.774B,-74.00M,-3.00M,4.697B,,,566.00M,-617.00M,-363.00M,106.00M,74.00M,,AOR,Restated
2018-06,462.00M,-9.00M,-15.00M,-24.00M,,,51.00M,51.00M,-51.00M,,,,37.00M,37.00M,-43.00M,153.00M,,176.00M,67.00M,211.00M,686.00M,,-36.00M,,,,275.00M,-59.00M,212.00M,,-469.00M,,-469.00M,,-404.00M,-404.00M,-131.00M,-131.00M,0.00,421.00M,-583.00M,,4.471B,315.00M,-12.00M,4.774B,,,0.00,-469.00M,-404.00M,71.00M,105.00M,,AOR,Restated
