,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.702B,36.10M,1.738B,1.952B,1.952B,587.40M,410.70M,464.10M,1.462B,338.90M,,5.491B,0.00,33.50M,394.30M,2.365B,2.793B,-1.739B,1.055B,5.032B,397.50M,5.430B,,352.30M,6.836B,12.33B,,1.121B,86.80M,112.60M,1.320B,753.90M,2.074B,230.30M,230.30M,,2.304B,3.636B,3.636B,299.10M,299.10M,,228.60M,67.00M,407.20M,4.571B,6.875B,,0.30M,3.705B,2.068B,111.10M,,,-278.10M,5.385B,,AOR,
2020-09,1.420B,35.70M,1.456B,1.880B,1.880B,550.50M,413.20M,427.30M,1.391B,309.50M,,5.037B,,,,,2.705B,-1.668B,1.037B,4.956B,408.20M,5.364B,,316.30M,6.717B,11.75B,,1.076B,74.70M,117.40M,1.268B,717.80M,1.986B,229.20M,229.20M,,2.215B,3.586B,3.586B,253.50M,253.50M,,189.40M,65.00M,404.80M,4.434B,6.649B,,0.30M,3.587B,1.938B,96.90M,,,-388.40M,5.040B,,AOR,
2020-06,1.288B,25.70M,1.314B,1.658B,1.658B,547.70M,416.70M,397.50M,1.362B,283.80M,,4.618B,,,,,2.580B,-1.579B,1.002B,4.867B,416.20M,5.283B,,301.00M,6.586B,11.20B,,928.00M,74.60M,119.10M,1.122B,661.20M,1.783B,2.30M,2.30M,,1.785B,3.764B,3.764B,270.70M,270.70M,,187.30M,61.70M,396.60M,4.618B,6.404B,,0.30M,3.419B,1.834B,21.00M,,,-494.60M,4.739B,,AOR,
2020-03,2.372B,11.30M,2.384B,1.540B,1.540B,546.50M,410.90M,367.60M,1.325B,268.40M,,5.518B,,,,,2.500B,-1.518B,982.40M,4.846B,428.20M,5.274B,,303.40M,6.560B,12.08B,,817.20M,74.00M,119.40M,1.011B,658.70M,1.669B,500.90M,500.90M,,2.170B,4.592B,4.592B,271.40M,271.40M,,187.90M,59.90M,411.00M,5.462B,7.632B,,0.30M,3.248B,1.721B,58.50M,,,-525.10M,4.386B,,AOR,
2019-12,891.20M,17.40M,908.60M,1.736B,1.736B,509.60M,395.20M,405.30M,1.310B,256.10M,,4.211B,0.00,34.80M,347.40M,2.104B,2.486B,-1.487B,999.00M,4.867B,442.00M,5.309B,,296.20M,6.604B,10.82B,,866.80M,74.40M,127.90M,1.069B,660.30M,1.729B,403.30M,403.30M,,2.133B,3.203B,3.203B,260.40M,260.40M,,198.80M,65.90M,424.00M,4.087B,6.219B,,0.30M,3.348B,1.683B,70.80M,,,-430.90M,4.530B,,AOR,Restated
2019-09,969.30M,17.40M,986.70M,1.689B,1.689B,508.60M,388.70M,376.20M,1.274B,,282.90M,4.232B,,,,,2.393B,-1.428B,965.20M,4.75B,451.40M,5.201B,,284.80M,6.451B,10.68B,,830.70M,74.00M,168.80M,1.074B,645.40M,1.719B,403.70M,403.70M,,2.123B,3.545B,3.545B,231.20M,231.20M,,176.00M,55.80M,397.30M,4.350B,6.472B,,0.30M,3.159B,1.586B,95.60M,,,-493.70M,4.155B,,AOR,Restated
2019-06,982.30M,15.00M,997.30M,1.685B,1.685B,506.00M,397.20M,372.10M,1.275B,,264.50M,4.222B,,,,,2.384B,-1.414B,970.00M,4.706B,273.40M,4.980B,,462.40M,6.412B,10.63B,,814.60M,68.30M,155.20M,1.038B,611.70M,1.650B,403.10M,403.10M,,2.053B,3.569B,3.569B,237.50M,237.50M,,184.80M,54.90M,386.20M,4.378B,6.431B,,0.30M,3.105B,1.542B,101.50M,,,-396.90M,4.148B,,AOR,Restated
2019-03,969.70M,17.90M,987.60M,1.662B,1.662B,475.80M,388.90M,359.70M,1.224B,,253.60M,4.128B,,,,,2.301B,-1.369B,932.00M,4.440B,247.50M,4.687B,,461.20M,6.081B,10.21B,,797.10M,68.50M,177.70M,1.043B,599.90M,1.643B,6.00M,6.00M,,1.649B,3.555B,3.555B,255.80M,255.80M,,186.10M,47.30M,391.80M,4.388B,6.038B,,0.30M,3.142B,1.485B,119.70M,,,-384.80M,4.123B,,AOR,Restated
2018-12,1.279B,12.40M,1.292B,1.792B,1.792B,463.60M,371.10M,399.10M,1.234B,254.30M,,4.572B,0.00,29.30M,325.70M,1.836B,2.191B,-1.315B,875.80M,4.103B,397.90M,4.501B,,96.40M,5.473B,10.04B,,890.50M,68.70M,203.50M,1.163B,524.30M,1.687B,764.30M,764.30M,,2.451B,2.806B,2.806B,255.60M,255.60M,,190.20M,47.20M,277.20M,3.529B,5.981B,,0.30M,3.029B,1.433B,55.00M,,,-390.20M,4.017B,,AOR,Restated
2018-09,998.30M,21.50M,1.020B,1.738B,1.738B,437.20M,377.70M,430.60M,1.246B,,278.60M,4.282B,,,,,2.172B,-1.286B,886.40M,4.114B,409.80M,4.524B,,51.20M,5.461B,9.743B,,1.014B,69.30M,184.80M,1.268B,484.90M,1.753B,790.20M,790.20M,,2.543B,2.468B,2.468B,203.10M,203.10M,,171.00M,44.40M,303.70M,3.146B,5.689B,,0.30M,2.936B,1.410B,,,,-337.30M,4.009B,,AOR,Restated
