,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.426B,2.426B,1.660B,765.60M,265.80M,,,-11.50M,28.30M,-28.30M,,265.80M,499.80M,28.30M,-28.30M,-11.30M,-28.30M,460.20M,100.00M,360.20M,-3.20M,357.00M,366.00M,578.60M,90.10M,488.50M,,1.19,,,1.220,1.19,,1.15,,,1.179,1.15,,299.20M,311.40M,0.29,,AOR,
2020-09,2.323B,2.323B,1.588B,734.90M,259.10M,,,0.00,28.00M,-28.00M,,259.10M,475.80M,28.00M,-28.00M,1.00M,-28.00M,448.80M,99.30M,349.50M,-2.90M,346.60M,346.60M,551.20M,74.40M,476.80M,,1.16,,,1.16,1.16,,1.12,,,1.12,1.12,,298.80M,308.20M,0.25,,AOR,
2020-06,1.988B,1.988B,1.384B,603.80M,246.40M,,,0.00,30.20M,-30.20M,,246.40M,357.40M,30.20M,-30.20M,1.30M,-30.20M,328.50M,68.00M,260.50M,-2.80M,257.70M,257.70M,430.20M,71.50M,358.70M,,0.87,,,0.87,0.87,,0.85,,,0.85,0.85,,296.60M,304.00M,0.25,,AOR,
2020-03,1.862B,1.862B,1.302B,559.80M,242.90M,,,0.00,28.80M,-28.80M,,242.90M,316.90M,28.80M,-28.80M,1.10M,-28.80M,289.20M,46.00M,243.20M,-1.10M,242.10M,242.10M,390.10M,72.10M,318.00M,,0.81,,,0.81,0.81,,0.79,,,0.79,0.79,,297.40M,306.50M,0.25,,AOR,
2019-12,2.151B,2.151B,1.472B,678.70M,248.90M,,,0.00,28.10M,-28.10M,,248.90M,429.80M,28.10M,-28.10M,1.00M,-28.10M,402.70M,81.90M,320.80M,-2.10M,318.70M,318.70M,507.50M,76.70M,430.80M,,1.07,,,1.07,1.07,,1.03,,,1.03,1.03,,297.20M,308.20M,0.25,,AOR,Restated
2019-09,2.101B,2.101B,1.439B,661.90M,248.30M,,,-14.30M,29.70M,-29.70M,,248.30M,413.60M,29.70M,-29.70M,-9.80M,-29.70M,374.10M,91.80M,282.30M,-2.00M,280.30M,291.10M,475.80M,72.00M,403.80M,,0.95,,,0.9864,0.95,,0.92,,,0.9553,0.92,,296.60M,306.20M,0.25,,AOR,Restated
2019-06,2.015B,2.015B,1.368B,647.60M,239.20M,,,-8.90M,30.00M,-30.00M,,239.20M,408.40M,30.00M,-30.00M,-8.80M,-30.00M,369.60M,78.70M,290.90M,-2.50M,288.40M,295.40M,477.40M,77.80M,399.60M,,0.97,,,0.9935,0.97,,0.93,,,0.9527,0.93,,298.00M,308.70M,0.23,,AOR,Restated
2019-03,1.958B,1.958B,1.331B,627.80M,235.10M,,,-16.50M,29.70M,-29.70M,,235.10M,392.70M,29.70M,-29.70M,-13.50M,-29.70M,349.50M,79.60M,269.90M,-2.40M,267.50M,280.24M,464.80M,85.60M,379.20M,,0.90,,,0.9427,0.90,,0.87,,,0.9113,0.87,,298.10M,308.60M,0.23,,AOR,Restated
2018-12,2.225B,2.225B,1.510B,715.00M,248.90M,,,-8.50M,26.40M,-26.40M,,248.90M,466.10M,26.40M,-26.40M,-7.80M,-26.40M,431.90M,90.70M,341.20M,-3.10M,338.10M,344.81M,563.50M,105.20M,458.30M,,1.13,,,1.152,1.13,,1.09,,,1.112,1.09,,299.70M,309.60M,0.23,,AOR,Restated
2018-09,2.129B,2.129B,1.441B,688.20M,244.00M,,,0.00,24.80M,-24.80M,,244.00M,444.20M,24.80M,-24.80M,0.20M,-24.80M,419.60M,100.00M,319.60M,-3.00M,316.60M,316.60M,516.70M,72.30M,444.40M,,1.05,,,1.05,1.05,,1.01,,,1.01,1.01,,300.50M,312.40M,0.23,,AOR,Restated
