,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,147.72M,,,-35.25M,1.499M,-33.86M,175.35M,,175.35M,175.35M,,,5.883M,2.385M,,-22.74M,58.42M,,,,35.68M,333.16M,,-35.26M,,,-8.793M,,8.582M,-136.20M,,-68.58M,,-68.58M,-0.014M,-137.46M,-137.47M,,,,-223.67M,-223.67M,-0.534M,-430.26M,,415.69M,-233.29M,182.40M,,-0.014M,0.00,-68.58M,-137.46M,30.58M,,AOR,
2020-06,170.87M,,,-35.69M,1.834M,-33.59M,176.25M,,176.25M,176.25M,,,6.532M,2.367M,,-12.36M,-22.86M,,,,-35.21M,287.21M,,-22.73M,,,-4.452M,,-10.76M,-49.06M,,-458.06M,,-458.06M,1.488M,,1.488M,,,,-223.66M,-223.66M,-10.65M,-690.88M,,868.42M,-452.73M,415.69M,,1.488M,-152.67M,-305.39M,,66.43M,,AOR,
2020-03,168.01M,,,-27.43M,1.871M,-16.39M,177.91M,,177.91M,177.91M,,,5.338M,4.281M,,-1.239M,3.799M,,,,2.56M,341.70M,,-43.58M,,,-9.799M,,1.243M,-136.07M,,790.11M,,790.11M,0.125M,,0.125M,,,,-213.67M,-213.67M,-41.40M,535.17M,,127.61M,740.81M,868.42M,,0.125M,1.500B,-710.14M,,36.90M,,AOR,
2019-12,167.67M,,,-4.363M,1.491M,-2.872M,171.36M,,171.36M,171.36M,,,4.811M,4.156M,,10.69M,-48.94M,,,,-38.25M,306.88M,,-43.84M,,,-8.93M,,0.216M,-436.66M,,-66.86M,,-66.86M,201.94M,,201.94M,,,,-212.18M,-212.18M,-0.253M,-77.36M,,334.75M,-207.14M,127.61M,,201.94M,0.00,-66.86M,,73.17M,,AOR,
2019-09,279.71M,,,-128.81M,0.656M,-128.06M,165.46M,,165.46M,165.46M,,,7.091M,2.085M,,-5.563M,56.47M,,,,50.90M,377.19M,,-44.82M,,,-0.035M,,-11.01M,-167.18M,,7.195M,,7.195M,1.596M,0.00,1.596M,,,,-212.17M,-212.17M,-1.919M,-205.30M,,330.04M,4.71M,334.75M,,1.596M,30.25M,-23.06M,0.00,25.45M,,AOR,Restated
2019-06,168.30M,,,-18.95M,4.614M,-14.11M,162.69M,,162.69M,162.69M,,,8.098M,3.345M,,-21.15M,-31.23M,,,,-52.38M,275.95M,,-31.67M,,,-0.494M,,1.77M,-276.84M,,313.82M,,313.82M,50.63M,,50.63M,,,,-211.80M,-211.80M,-16.92M,135.73M,,195.21M,134.84M,330.04M,,50.63M,449.80M,-135.98M,,63.44M,,AOR,Restated
2019-03,170.42M,,,-13.63M,5.517M,-7.837M,162.06M,,162.06M,162.06M,,,5.621M,2.294M,,-3.087M,32.32M,,,,29.23M,361.79M,,-20.56M,,,-0.724M,,6.263M,-313.19M,,-1.668M,,-1.668M,155.56M,,155.56M,,,,-203.50M,-203.50M,-21.65M,-71.26M,,217.86M,-22.66M,195.21M,,155.56M,0.00,-1.668M,,25.51M,,AOR,Restated
2018-12,385.64M,,,-243.10M,2.069M,-226.25M,158.91M,,158.91M,158.91M,,0.884M,4.663M,2.091M,,17.09M,-22.47M,,,,-5.38M,320.55M,,-24.84M,,,-3.038M,,5.99M,-101.20M,,-118.00M,,-118.00M,51.04M,,51.04M,,,,-203.09M,-203.09M,-13.04M,-283.09M,,281.59M,-63.73M,217.86M,,51.04M,239.94M,-357.94M,,71.30M,,AOR,Restated
2018-09,192.41M,,,-34.42M,1.371M,-31.38M,156.54M,,156.54M,156.54M,,0.00,5.49M,2.434M,,-0.634M,30.40M,,,,29.77M,355.26M,,-23.12M,,,-0.877M,,22.35M,-178.78M,,-41.32M,,-41.32M,0.391M,,0.391M,,,,-203.08M,-203.08M,-0.785M,-244.79M,,349.90M,-68.31M,281.59M,,0.391M,56.00M,-97.32M,,35.16M,,AOR,Restated
2018-06,254.54M,,,-104.11M,1.657M,-101.82M,156.68M,,156.68M,156.68M,,0.00,6.098M,3.078M,,2.733M,-11.94M,,,,-9.204M,309.38M,,-22.00M,,,-2.734M,,31.95M,2.599M,,-31.00M,,-31.00M,0.833M,,0.833M,,,,-203.07M,-203.07M,-0.257M,-233.49M,,271.41M,78.49M,349.90M,,0.833M,0.00,-31.00M,,61.27M,,AOR,Restated
2018-03,141.59M,,,1.803M,1.486M,3.686M,159.06M,,159.06M,159.06M,,-0.058M,4.029M,2.538M,,-6.608M,11.68M,,,,5.069M,315.91M,,-16.98M,,,-4.368M,,0.746M,-319.28M,,270.59M,,270.59M,0.00,,0.00,,,,-196.00M,-196.00M,-1.724M,72.87M,,201.91M,69.50M,271.41M,,0.00,299.44M,-28.85M,,33.94M,,AOR,Restated
2017-12,237.49M,,,-79.87M,1.829M,-76.73M,157.10M,,157.10M,157.10M,,0.00,3.941M,2.267M,,36.77M,-38.35M,,,,-1.588M,322.48M,,-26.87M,,,-346.48M,,0.658M,-340.63M,,203.85M,,203.85M,0.976M,,0.976M,,,,-195.97M,-195.97M,-5.91M,2.945M,,217.11M,-15.20M,201.91M,,0.976M,527.91M,-324.06M,,332.43M,,AOR,Restated
2017-09,238.20M,,,-57.26M,-17.15M,-74.42M,144.99M,,144.99M,144.99M,,-3.12M,4.321M,2.056M,,-14.21M,60.30M,,,,46.09M,358.12M,,-18.37M,,,332.08M,,-6.296M,-371.03M,,134.55M,,134.55M,0.084M,,0.084M,,,,-195.96M,-195.96M,-1.811M,-63.14M,,293.15M,-76.04M,217.11M,,0.084M,137.00M,-2.447M,,-227.21M,,AOR,Restated
2017-06,165.19M,,,-42.28M,1.295M,-16.83M,141.44M,,141.44M,141.44M,,0.00,5.339M,0.337M,,-2.544M,-17.18M,,,,-19.72M,275.76M,,-18.30M,,,-4.326M,,-6.314M,-144.84M,,-44.85M,,-44.85M,53.22M,,53.22M,,,,-195.53M,-195.53M,-19.32M,-206.48M,,368.72M,-75.57M,293.15M,,53.22M,1.239B,-1.284B,,68.12M,,AOR,Restated
2017-03,235.78M,,,-95.26M,-5.768M,-101.03M,140.62M,,140.62M,140.62M,,11.69M,4.319M,-2.53M,,-10.63M,21.67M,,,,11.04M,299.90M,,-10.44M,,,-5.774M,,-5.026M,-108.88M,,-21.90M,,-21.90M,56.82M,,56.82M,,,,-185.19M,-185.19M,-1.992M,-152.27M,,329.98M,38.74M,368.72M,,56.82M,0.00,-21.90M,,34.50M,,AOR,Restated
2016-12,242.18M,,,-92.49M,-2.886M,-90.76M,140.02M,,140.02M,140.02M,,0.00,2.979M,-2.578M,,10.72M,-7.584M,,,4.563M,7.703M,299.54M,,-24.32M,,,-412.03M,,52.11M,-165.76M,,216.27M,,216.27M,1.379M,,1.379M,,,,-185.26M,-185.26M,-6.908M,25.47M,,65.90M,159.26M,329.98M,,1.379M,477.65M,-261.38M,,56.34M,,AOR,Restated
2016-09,356.33M,,,-211.19M,4.501M,-206.69M,131.73M,,131.73M,131.73M,,0.00,3.621M,-1.275M,,-6.191M,32.37M,,,-2.342M,23.84M,307.55M,,-19.92M,,,406.99M,,-71.10M,-154.10M,,-83.54M,,-83.54M,1.343M,,1.343M,,,,-185.25M,-185.25M,-2.406M,-269.86M,,182.31M,-116.41M,65.90M,,1.343M,170.00M,-253.54M,,47.36M,,AOR,Restated
2016-06,197.32M,,,-53.12M,0.817M,-49.84M,132.47M,,132.47M,132.47M,,-1.733M,4.647M,-2.766M,,-1.377M,1.907M,,,-5.23M,-4.70M,275.40M,,-13.73M,,,-72.50M,,78.95M,-327.76M,,336.97M,,336.97M,11.70M,,11.70M,,,,-185.08M,-185.08M,-26.45M,137.13M,,97.54M,84.76M,182.31M,,11.70M,474.84M,-137.87M,,44.34M,,AOR,Restated
2016-03,237.88M,,,-79.68M,6.438M,-73.24M,127.22M,,127.22M,127.22M,,-2.202M,3.835M,-2.843M,,-8.559M,-7.308M,,,3.009M,-12.86M,277.78M,,-14.88M,,,67.80M,,-59.68M,-384.73M,,-19.68M,,-19.68M,1.102M,,1.102M,,,,-171.15M,-171.15M,-6.29M,-196.02M,,400.51M,-302.97M,97.54M,,1.102M,,-19.68M,,46.01M,,AOR,Restated
2015-12,155.35M,,,-10.67M,-1.277M,-11.94M,122.26M,,122.26M,122.26M,,0.00,3.341M,-2.936M,,9.797M,-3.883M,,,8.409M,14.32M,280.40M,,-10.62M,,,44.05M,,-4.24M,-213.00M,,189.07M,,189.07M,15.55M,,15.55M,,,,-171.00M,-171.00M,-9.874M,23.75M,,318.56M,91.15M,505.33M,,15.55M,299.02M,-109.95M,,39.68M,,AOR,Restated
2015-09,206.08M,,,-53.95M,5.07M,-67.86M,120.18M,,120.18M,120.18M,,0.00,3.725M,-3.018M,,6.425M,35.90M,,,0.948M,43.27M,302.37M,,6.771M,,,96.50M,,-6.116M,-292.17M,,-155.43M,,-155.43M,577.30M,,577.30M,,,,-166.01M,-166.01M,-12.64M,243.23M,,65.13M,253.43M,318.56M,,577.30M,0.00,-155.43M,,57.52M,,AOR,Restated
2015-06,172.25M,,,-11.00M,4.627M,-14.12M,118.63M,,118.63M,118.63M,,-22.30M,4.217M,-4.44M,,-1.088M,3.911M,,,-1.542M,1.281M,255.52M,,-43.34M,,,22.53M,,59.15M,-252.15M,,-59.95M,,-59.95M,95.35M,,95.35M,,,,-165.14M,-165.14M,-4.615M,-134.36M,,194.93M,-130.99M,65.13M,,95.35M,524.07M,-584.02M,,31.95M,,AOR,Restated
2015-03,208.05M,,,-77.47M,3.805M,-73.66M,116.85M,,116.85M,116.85M,,4.995M,4.038M,-6.996M,,-2.351M,-6.734M,,,-7.815M,-16.90M,236.38M,,-8.679M,,,112.50M,,-7.885M,-442.20M,,45.79M,,45.79M,1.973M,,1.973M,,,,-153.10M,-153.10M,-2.198M,-107.53M,,508.28M,-313.35M,194.93M,,1.973M,50.00M,-4.209M,,59.62M,,AOR,Restated
2014-12,142.53M,,,-24.42M,1.995M,-22.42M,114.08M,,114.08M,114.08M,,0.00,3.573M,-7.07M,,9.367M,5.873M,,,-0.716M,14.52M,245.21M,,-13.72M,,,110.41M,,3.937M,-320.26M,,295.86M,,295.86M,6.043M,,6.043M,,,,-153.01M,-153.01M,-4.406M,144.48M,,440.03M,69.43M,509.46M,,6.043M,300.00M,-4.141M,,37.31M,,AOR,Restated
2014-09,241.00M,,,-128.84M,4.274M,-124.57M,111.84M,,111.84M,111.84M,,0.00,4.164M,-7.118M,,-4.714M,13.83M,,,-2.718M,6.397M,231.72M,,-13.30M,,,-2.458M,,2.074M,-184.98M,,-3.95M,,-3.95M,125.12M,,125.12M,,,,-152.02M,-152.02M,-1.601M,-32.45M,,425.74M,14.29M,440.03M,,125.12M,0.00,-3.95M,,60.31M,,AOR,Restated
2014-06,172.20M,,,-59.51M,-0.816M,-59.91M,110.40M,,110.40M,110.40M,,0.00,2.575M,-5.679M,,-21.75M,-5.092M,,,-3.342M,-30.18M,189.39M,,-2.795M,,,133.14M,,23.48M,-87.15M,,-117.94M,,-117.94M,207.74M,,207.74M,,,,-150.22M,-150.22M,-2.088M,-62.50M,,386.19M,39.74M,425.74M,,207.74M,53.00M,-170.94M,,39.20M,,AOR,Restated
2014-03,141.60M,,,-36.30M,-0.547M,-36.84M,106.37M,,106.37M,106.37M,,0.00,3.615M,-7.256M,,13.66M,-7.651M,,,6.831M,12.84M,220.32M,,-23.01M,,,50.72M,,-0.339M,-224.36M,,246.17M,,246.17M,7.234M,,7.234M,,,,-138.39M,-138.39M,-6.313M,108.70M,,281.54M,104.65M,386.19M,,7.234M,250.00M,-3.832M,,55.14M,,AOR,Restated
2013-12,252.44M,12.67M,,-158.60M,-12.09M,-143.10M,104.80M,,104.80M,104.80M,,,6.44M,-7.116M,,61.34M,-4.336M,,,-16.08M,40.92M,254.39M,,-8.802M,,,443.72M,,3.655M,13.84M,,42.77M,,42.77M,1.829M,,1.829M,,,,-138.39M,-138.39M,-5.991M,-99.78M,,112.91M,168.44M,281.36M,,1.829M,363.72M,-320.95M,,42.24M,,AOR,Restated
2013-09,-8.354M,-12.67M,,54.95M,22.90M,65.19M,159.87M,,159.87M,159.87M,,,5.139M,-7.441M,,-20.24M,13.14M,,,-4.592M,-11.69M,202.71M,,-13.11M,,,18.95M,,-0.183M,-310.66M,,254.73M,,254.73M,0.269M,,0.269M,,,,-138.39M,-138.39M,-6.897M,109.71M,,111.15M,1.763M,112.91M,,0.269M,258.00M,-3.269M,,61.43M,,AOR,Restated
2013-06,42.45M,,,-32.35M,5.576M,-26.77M,189.98M,,189.98M,189.98M,,,1.482M,-6.786M,,-23.16M,10.17M,,,-1.533M,-14.53M,185.82M,,-1.091M,,,105.28M,,31.67M,-234.77M,,-65.68M,,-65.68M,2.352M,,2.352M,,,,-138.38M,-138.38M,-85.66M,-287.36M,,447.46M,-336.31M,111.15M,,2.352M,213.21M,-278.89M,,29.88M,,AOR,Restated
2013-03,79.74M,,,-83.10M,16.73M,-66.37M,105.56M,,105.56M,105.56M,,,2.099M,-1.604M,,-23.30M,-7.982M,,,-6.758M,-38.04M,81.39M,,-3.616M,,,324.94M,,-0.36M,-649.58M,,-1.607B,,-1.607B,0.253M,,0.253M,,,,-110.89M,-110.89M,-0.088M,-1.718B,,2.734B,-2.286B,447.46M,,0.253M,0.00,-1.607B,,45.76M,,AOR,Restated
2012-12,128.16M,,,-49.37M,-4.619M,-53.99M,59.99M,,59.99M,59.99M,,,0.159M,2.305M,,16.06M,11.62M,,,-0.101M,27.58M,165.65M,,-11.98M,,,79.68M,,2.293M,-140.65M,,44.64M,,44.64M,2.104B,,2.104B,,,,-94.71M,-94.71M,-8.979M,2.044B,,664.13M,2.069B,2.734B,,2.104B,250.00M,-205.36M,,18.15M,,AOR,Restated
2012-09,93.20M,0.00,,0.00,-4.302M,-4.302M,59.55M,,59.55M,59.55M,,,4.28M,-13.11M,,12.66M,-8.202M,,,8.632M,13.09M,152.70M,,-7.349M,,,-10.19M,,23.08M,-289.98M,,447.37M,,447.37M,150.97M,,150.97M,,,,-93.54M,-93.54M,-61.65M,443.15M,,358.26M,305.87M,664.13M,,150.97M,450.00M,-2.634M,,39.11M,,AOR,Restated
2012-06,159.27M,0.00,,-95.33M,-1.836M,-96.56M,62.57M,,62.57M,62.57M,,,2.284M,1.565M,,-12.56M,1.33M,,,-0.763M,-12.00M,117.13M,,-4.301M,,,190.07M,,-0.466M,-26.41M,,-51.58M,,-51.58M,166.73M,,166.73M,,,,-92.40M,-92.40M,-3.443M,19.30M,,248.24M,110.02M,358.26M,,166.73M,0.00,-51.58M,,19.33M,,AOR,Restated
2012-03,59.35M,,,,-1.346M,-0.167M,61.57M,,61.57M,61.57M,,,1.984M,1.475M,,-8.167M,-9.481M,,,-1.225M,-18.87M,105.34M,,-2.893M,,,-5.659M,,8.745M,-166.34M,,-231.44M,,-231.44M,8.956M,,8.956M,,,,-84.93M,-84.93M,-0.203M,-307.61M,,616.85M,-368.61M,248.24M,,8.956M,,-231.44M,,42.68M,,AOR,Restated
2011-12,346.51M,,21.39M,,3.423M,-264.17M,39.77M,,39.77M,39.77M,-10.28M,0.00,,4.824M,,13.66M,1.929M,,,-5.149M,10.44M,134.34M,,475.86M,-55.48M,447.76M,-30.93M,14.16M,-0.441M,26.34M,,-157.52M,,-157.52M,12.20M,,18.78M,,,,,-84.59M,-9.309M,-232.64M,,690.05M,-71.96M,616.85M,,12.20M,0.00,-157.52M,,27.89M,,AOR,Restated
2011-09,44.68M,-0.958M,-13.72M,,-1.598M,-16.27M,62.74M,,62.74M,62.74M,3.531M,14.05M,,-5.737M,,-7.74M,-11.45M,,,-1.409M,-20.60M,89.13M,,-197.83M,33.11M,-157.48M,,-27.54M,15.80M,-176.45M,,-200.58M,,-200.58M,773.50M,,773.50M,,,,,-79.12M,-5.744M,488.05M,,290.10M,400.73M,690.05M,,773.50M,0.00,-200.58M,,52.69M,,AOR,Restated
2011-06,43.19M,0.958M,-7.675M,,0.649M,-6.068M,62.92M,,62.92M,62.92M,3.196M,,,3.196M,,-9.943M,26.89M,13.62M,,-1.144M,29.42M,132.66M,,-209.83M,22.37M,-177.90M,,19.72M,-0.612M,-168.34M,,-1.844M,,-1.844M,113.98M,,107.41M,,,,,-77.90M,6.325M,33.98M,,291.80M,-1.696M,290.10M,,113.98M,,-1.844M,,28.85M,,AOR,Restated
