,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.669B,,1.669B,77.41M,96.28M,1.123B,1.296B,33.84M,50.59M,,3.049B,,,,,,,,,,1.350B,,640.08M,,19.81B,22.86B,,336.26M,171.08M,507.35M,106.29M,613.63M,0.00,0.00,0.00,,613.63M,13.05B,438.20M,13.49B,2.344B,6.897M,412.08M,13.90B,14.52B,,201.56M,-509.65M,6.357B,2.722M,200.00M,-49.89M,5.996B,,AOR,
2020-09,1.715B,,1.715B,76.33M,102.90M,1.111B,1.290B,106.52M,50.01M,,3.162B,,,,,,,,,,1.412B,,644.04M,,19.80B,22.96B,,345.96M,171.07M,517.03M,88.83M,605.86M,0.00,0.00,0.00,,605.86M,13.05B,434.62M,13.48B,2.365B,5.604M,369.93M,13.86B,14.46B,,201.56M,-364.72M,6.348B,2.722M,200.00M,-52.62M,6.130B,,AOR,
2020-06,1.691B,,1.691B,82.54M,104.00M,1.069B,1.256B,56.77M,300.61M,,3.304B,,,,,,,,,,1.373B,,655.81M,,19.70B,23.00B,,328.29M,171.08M,499.37M,95.27M,594.64M,0.00,0.00,0.00,,594.64M,13.05B,431.12M,13.48B,2.365B,6.003M,373.28M,13.86B,14.45B,,201.56M,-302.51M,6.341B,2.722M,200.00M,-54.92M,6.182B,,AOR,
2020-03,660.73M,,660.73M,89.43M,94.59M,1.060B,1.244B,136.73M,197.84M,,2.239B,,,,,,,,,,1.405B,,667.08M,,19.59B,21.83B,,293.83M,171.03M,464.86M,82.39M,547.24M,250.00M,250.00M,250.00M,,797.24M,11.81B,427.64M,12.24B,2.373B,5.854M,366.85M,12.61B,13.41B,,201.55M,-416.74M,6.321B,2.722M,200.00M,-55.70M,6.048B,,AOR,
2019-12,644.95M,,644.95M,112.81M,95.92M,1.039B,1.248B,41.68M,46.94M,,1.981B,,,,,,,,,,992.39M,,689.21M,,19.30B,21.28B,,377.55M,170.71M,548.27M,90.02M,638.28M,0.00,0.00,0.00,,638.28M,11.81B,424.22M,12.24B,2.330B,8.365M,387.99M,12.63B,13.27B,,201.55M,-760.52M,6.295B,2.722M,200.00M,-48.34M,5.685B,,AOR,
2019-09,751.21M,,751.21M,102.16M,99.84M,1.003B,1.205B,110.31M,53.56M,,2.120B,,,,,,,,,,967.63M,,689.77M,,19.17B,21.29B,,421.27M,165.42M,586.69M,83.18M,669.87M,0.00,0.00,0.00,,669.87M,11.84B,420.78M,12.26B,2.324B,7.081M,356.34M,12.62B,13.29B,,201.55M,-749.67M,6.275B,2.722M,200.00M,-52.00M,5.672B,,AOR,Restated
2019-06,1.087B,,1.087B,87.73M,99.72M,973.17M,1.161B,68.70M,75.92M,,2.392B,,,,,,,,,,970.25M,,676.08M,,18.88B,21.27B,,418.43M,165.42M,583.85M,89.29M,673.14M,0.00,0.00,0.00,,673.14M,11.85B,372.25M,12.22B,2.305B,,355.98M,12.57B,13.25B,,201.55M,-710.59M,6.279B,2.722M,200.00M,-51.34M,5.716B,,AOR,Restated
2019-03,360.09M,,360.09M,92.46M,99.59M,954.06M,1.146B,131.47M,72.21M,,1.710B,,,,,,,,,,1.009B,,666.32M,,18.79B,20.50B,,328.88M,165.35M,494.24M,89.17M,583.41M,0.00,0.00,0.00,,583.41M,11.01B,372.78M,11.38B,2.334B,,369.58M,11.75B,12.33B,,201.54M,-728.08M,6.415B,2.722M,200.00M,-48.73M,5.837B,,AOR,Restated
2018-12,543.36M,,543.36M,86.63M,99.47M,934.90M,1.121B,80.94M,95.83M,,1.841B,,,,,,,,,,984.51M,,678.72M,,18.42B,20.26B,,276.64M,165.11M,441.76M,89.27M,531.03M,0.00,0.00,0.00,,531.03M,11.01B,0.00,11.01B,2.331B,0.00,503.73M,11.51B,12.04B,,201.54M,-675.53M,6.408B,2.722M,200.00M,-47.74M,5.883B,,AOR,Restated
2018-09,322.50M,,322.50M,98.50M,80.00M,1.196B,1.105B,133.44M,101.28M,,1.662B,,,,,,,,,,956.81M,,669.54M,,18.48B,20.14B,,315.46M,165.12M,480.58M,92.81M,573.39M,170.00M,170.00M,170.00M,,743.39M,10.72B,,10.72B,2.329B,,468.43M,11.19B,11.93B,,201.54M,-677.31M,6.400B,2.722M,200.00M,-45.14M,5.877B,,AOR,Restated
