,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-11,-2.222B,-86.00M,,154.00M,,543.00M,543.00M,138.00M,,53.00M,168.00M,100.00M,6.00M,-218.00M,-210.00M,,,-164.00M,-486.00M,-1.652B,,-1.721B,63.00M,-1.658B,0.00,,-130.00M,-1.788B,,2.827B,-289.00M,2.538B,2.471B,0.00,2.471B,0.00,0.00,,-58.00M,4.951B,,8.191B,1.511B,-10.00M,9.692B,,2.471B,3.552B,-725.00M,0.00,,,AOR,
2020-08,-2.859B,108.00M,,332.00M,,551.00M,551.00M,910.00M,,14.00M,-3.051B,227.00M,13.00M,-162.00M,-1.321B,,,-552.00M,-1.795B,-2.845B,,-231.00M,35.00M,-196.00M,0.00,,0.00,-196.00M,,4.281B,-192.00M,4.089B,220.00M,0.00,220.00M,0.00,0.00,,-35.00M,4.274B,,6.896B,1.233B,62.00M,8.191B,,220.00M,4.794B,-513.00M,0.00,,,AOR,
2020-05,-4.374B,56.00M,,56.00M,,577.00M,577.00M,1.953B,,18.00M,3.126B,-223.00M,73.00M,291.00M,787.00M,,,-1.951B,-1.023B,-2.72B,,-342.00M,10.00M,-332.00M,-81.00M,0.00,318.00M,-95.00M,,5.60B,2.554B,8.154B,558.00M,0.00,558.00M,-345.00M,-345.00M,,-31.00M,8.336B,,1.368B,5.52B,8.00M,6.896B,,558.00M,5.851B,-251.00M,0.00,,,AOR,
2020-02,-781.00M,,,,,570.00M,570.00M,1.062B,,20.00M,-73.00M,21.00M,-15.00M,-120.00M,268.00M,,,-36.00M,118.00M,916.00M,,-1.326B,226.00M,-1.10B,,0.00,-61.00M,-1.161B,,691.00M,779.00M,1.47B,,-12.00M,-12.00M,-344.00M,-344.00M,,-25.00M,1.089B,,530.00M,845.00M,-7.00M,1.368B,,,823.00M,-132.00M,-12.00M,,,AOR,
2019-11,423.00M,14.00M,,14.00M,,553.00M,553.00M,0.00,,8.00M,-1.00M,-13.00M,57.00M,-34.00M,76.00M,,,-22.00M,64.00M,1.061B,,-1.981B,11.00M,-1.97B,0.00,,10.00M,-1.96B,,773.00M,-5.00M,768.00M,0.00,-131.00M,-131.00M,-346.00M,-346.00M,,-34.00M,257.00M,,1.17B,-642.00M,2.00M,530.00M,,0.00,1.952B,-1.179B,-131.00M,,,AOR,Restated
2019-08,1.78B,22.00M,,22.00M,,548.00M,548.00M,24.00M,,11.00M,-3.00M,-51.00M,17.00M,82.00M,-78.00M,,,-1.107B,-1.137B,1.245B,,-427.00M,9.00M,-418.00M,0.00,6.00M,13.00M,-399.00M,,-134.00M,-243.00M,-377.00M,2.00M,-156.00M,-154.00M,-347.00M,-347.00M,,-8.00M,-886.00M,,1.215B,-39.00M,-6.00M,1.17B,,2.00M,0.00,-134.00M,-156.00M,,,AOR,Restated
2019-05,451.00M,7.00M,,7.00M,,543.00M,543.00M,2.00M,,7.00M,-11.00M,0.00,-2.00M,-148.00M,46.00M,,,1.158B,1.054B,2.053B,,-892.00M,6.00M,-886.00M,0.00,0.00,27.00M,-859.00M,,40.00M,-276.00M,-236.00M,2.00M,-42.00M,-40.00M,-346.00M,-346.00M,,-16.00M,-638.00M,,665.00M,556.00M,-6.00M,1.215B,,2.00M,283.00M,-243.00M,-42.00M,,,AOR,Restated
2019-02,336.00M,,,,,516.00M,516.00M,0.00,,20.00M,13.00M,-50.00M,7.00M,-154.00M,70.00M,,,358.00M,231.00M,1.116B,,-2.129B,0.00,-2.129B,,-6.00M,76.00M,-2.059B,,1.344B,-81.00M,1.263B,,-274.00M,-274.00M,-348.00M,-348.00M,,-29.00M,612.00M,,996.00M,-332.00M,1.00M,665.00M,,,1.439B,-95.00M,-274.00M,,,AOR,Restated
2018-11,493.00M,,2.00M,-4.00M,,507.00M,507.00M,0.00,,16.00M,103.00M,3.00M,-48.00M,-2.00M,-30.00M,,,156.00M,79.00M,1.113B,,-965.00M,107.00M,-858.00M,,37.00M,59.00M,-897.00M,,639.00M,235.00M,874.00M,,-263.00M,-260.00M,-352.00M,-352.00M,,-15.00M,247.00M,,541.00M,463.00M,-8.00M,996.00M,,,924.00M,-285.00M,-263.00M,,,AOR,Restated
2018-08,1.708B,,-4.00M,-4.00M,,510.00M,510.00M,16.00M,,17.00M,-25.00M,-26.00M,-3.00M,17.00M,-80.00M,,,-781.00M,-873.00M,1.349B,,-583.00M,180.00M,-403.00M,,-3.00M,-108.00M,-514.00M,,-90.00M,-216.00M,-306.00M,,-692.00M,-692.00M,-357.00M,-357.00M,,-13.00M,-1.368B,,1.068B,-532.00M,5.00M,541.00M,,,0.00,-90.00M,-692.00M,,,AOR,Restated
