,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,150.20M,0.00,,5.50M,,5.50M,-48.40M,-90.50M,50.80M,50.80M,-2.30M,,2.80M,,-90.20M,4.70M,20.40M,,27.00M,-6.10M,,35.10M,81.10M,192.10M,,-44.30M,,54.60M,-7.00M,-512.70M,,7.10M,-556.90M,,0.00,349.40M,349.40M,,-300.00M,-300.00M,-59.60M,-59.60M,3.90M,-0.10M,-6.40M,,549.10M,-371.20M,5.20M,183.10M,,,99.00M,250.40M,-300.00M,-120.00M,-52.00M,,AOR,
2020-09,216.20M,0.00,,-1.90M,,-1.90M,16.40M,30.10M,46.50M,46.50M,16.60M,,2.90M,,-0.20M,-24.00M,-39.60M,,30.30M,-2.00M,,-48.30M,-83.60M,199.60M,,-23.70M,,-23.70M,0.00,0.00,,-1.10M,-24.80M,,0.00,-64.20M,-64.20M,,0.00,0.00,-59.60M,-59.60M,44.20M,-0.10M,-79.70M,,451.70M,95.10M,2.30M,549.10M,,,0.00,-64.20M,0.00,102.70M,19.80M,,AOR,
2020-06,189.70M,0.00,,-2.00M,,-2.00M,16.00M,30.20M,46.20M,46.20M,3.30M,,13.10M,,-0.50M,14.20M,-57.90M,,142.90M,2.90M,,8.80M,110.90M,362.10M,,-14.10M,,-14.10M,0.00,0.00,,-0.90M,-15.00M,,,-906.10M,-906.10M,,0.00,0.00,-59.10M,-59.10M,35.60M,-14.50M,-944.10M,,1.047B,-597.00M,2.10M,451.70M,,,-719.90M,-186.20M,0.00,9.90M,10.30M,,AOR,
2020-03,229.80M,-3.00M,,-1.60M,,-4.60M,16.00M,30.20M,46.20M,46.20M,8.10M,,2.70M,,2.10M,-8.30M,15.20M,,-20.00M,-5.00M,,-31.00M,-49.10M,236.50M,,-16.80M,,-16.80M,7.00M,,,-1.60M,-11.40M,,0.00,719.90M,719.90M,,0.00,0.00,-59.00M,-59.00M,9.30M,-0.10M,670.10M,,155.70M,895.20M,-4.30M,1.047B,,,719.90M,0.00,0.00,7.40M,21.90M,,AOR,
2019-12,144.40M,,,-1.10M,,-1.10M,15.90M,30.60M,46.50M,46.50M,-0.50M,,3.10M,,-6.60M,32.60M,-26.70M,,59.50M,-1.60M,,-17.90M,45.90M,247.00M,,-34.00M,,-34.00M,,0.00,,-0.50M,-34.50M,,-300.00M,178.60M,-121.40M,,0.00,0.00,-55.90M,-55.90M,3.00M,0.00,-174.30M,,114.70M,38.20M,2.80M,155.70M,,,178.60M,-300.00M,0.00,43.50M,13.20M,,AOR,
2019-09,157.30M,0.00,,-2.10M,,-2.10M,16.00M,31.00M,47.00M,47.00M,0.10M,,2.70M,,3.20M,-4.50M,10.80M,,21.60M,5.60M,,22.40M,55.90M,266.30M,,-16.10M,,-16.10M,0.00,0.00,,-0.50M,-16.60M,,0.00,-37.40M,-37.40M,,-150.00M,-150.00M,-56.20M,-56.20M,12.80M,-0.10M,-230.90M,,97.90M,18.80M,-2.00M,114.70M,,,-37.40M,0.00,-150.00M,4.20M,22.70M,,AOR,Restated
2019-06,138.50M,0.00,,-1.70M,,-1.70M,16.10M,28.20M,44.30M,44.30M,3.20M,,12.60M,,4.20M,-1.30M,-2.00M,,20.00M,0.40M,,-5.80M,11.30M,213.30M,,-11.90M,,-11.90M,0.00,-475.00M,,-3.10M,-490.00M,,300.00M,11.80M,311.80M,,0.00,0.00,-56.10M,-56.10M,21.90M,-1.00M,276.60M,,97.90M,-0.10M,0.10M,97.90M,,,311.80M,0.00,0.00,74.80M,12.90M,,AOR,Restated
2019-03,175.70M,0.00,,-1.70M,,-1.70M,15.80M,22.80M,38.60M,38.60M,2.80M,,2.40M,,-0.70M,-36.00M,-15.90M,,-24.90M,0.50M,,-3.60M,-79.90M,137.90M,,-11.70M,,-11.70M,0.00,,,-0.70M,-12.40M,,-300.00M,98.00M,-202.00M,,-100.00M,-100.00M,-55.90M,-55.90M,15.10M,-1.50M,-344.30M,,316.70M,-218.80M,0.00,97.90M,,,98.00M,-300.00M,-100.00M,12.30M,21.80M,,AOR,Restated
2018-12,142.80M,,,-2.20M,,-2.20M,16.80M,18.90M,35.70M,35.70M,6.60M,,3.50M,,0.70M,13.80M,5.40M,,-10.20M,-5.70M,,-0.90M,2.40M,195.60M,,-30.00M,,-30.00M,,0.00,,0.20M,-29.80M,,0.00,0.70M,0.70M,,0.00,0.00,-53.70M,-53.70M,18.60M,-0.50M,-34.90M,,188.30M,130.90M,-2.50M,316.70M,,,0.00,0.70M,0.00,45.10M,14.60M,,AOR,Restated
2018-09,146.30M,,,-2.50M,,-2.50M,16.20M,19.30M,35.50M,35.50M,3.30M,,3.90M,,1.60M,-12.40M,-21.40M,,53.20M,30.10M,,4.50M,54.00M,245.30M,,-10.80M,,-10.80M,,0.00,,-0.30M,-11.10M,,0.00,-109.70M,-109.70M,,0.00,0.00,-53.40M,-53.40M,29.10M,-0.60M,-134.60M,,89.30M,99.60M,-0.60M,188.30M,,,0.00,-109.70M,0.00,-12.10M,22.20M,,AOR,Restated
