,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,510.00M,,9.00M,,31.00M,27.00M,67.00M,,,174.00M,174.00M,14.00M,,9.00M,,-35.00M,-98.00M,96.00M,536.00M,-112.00M,,-19.00M,403.00M,1.142B,,-274.00M,,,-14.00M,-21.00M,-106.00M,19.00M,-382.00M,,-17.00M,11.00M,-6.00M,,-91.00M,-3.00M,-200.00M,,-200.00M,-75.00M,-284.00M,,2.967B,476.00M,-42.00M,3.401B,,,19.00M,-25.00M,-91.00M,,AOR,
2020-09,504.00M,,-5.00M,,-12.00M,27.00M,10.00M,,,166.00M,166.00M,4.00M,,10.00M,,-24.00M,-123.00M,174.00M,515.00M,-22.00M,,9.00M,553.00M,1.223B,,-128.00M,,,-12.00M,-13.00M,17.00M,21.00M,-103.00M,,1.983B,-1.709B,274.00M,,0.00,0.00,-194.00M,,-194.00M,24.00M,104.00M,,1.751B,1.224B,-8.00M,2.967B,,,634.00M,-360.00M,0.00,,AOR,
2020-06,269.00M,,-5.00M,,-46.00M,27.00M,-24.00M,,,165.00M,165.00M,0.00,,8.00M,,-145.00M,63.00M,-53.00M,-492.00M,16.00M,,171.00M,-295.00M,-22.00M,,-90.00M,,,-13.00M,-10.00M,-10.00M,-25.00M,-135.00M,,-15.00M,389.00M,374.00M,,0.00,0.00,-193.00M,,-193.00M,45.00M,226.00M,,1.691B,69.00M,-9.00M,1.751B,,,389.00M,-15.00M,0.00,,AOR,
2020-03,528.00M,,3.00M,,-78.00M,27.00M,-48.00M,,,168.00M,168.00M,-11.00M,,4.00M,,-155.00M,107.00M,-171.00M,-150.00M,79.00M,,28.00M,-107.00M,379.00M,,-83.00M,,,-8.00M,-7.00M,-21.00M,12.00M,-99.00M,,-10.00M,982.00M,972.00M,,-550.00M,-550.00M,-195.00M,,-195.00M,7.00M,234.00M,,1.129B,514.00M,48.00M,1.691B,,,982.00M,-10.00M,-550.00M,,AOR,
2019-12,298.00M,,-51.00M,,30.00M,19.00M,-2.00M,,,179.00M,179.00M,10.00M,,12.00M,,108.00M,296.00M,353.00M,-345.00M,-143.00M,,72.00M,233.00M,838.00M,,-330.00M,,,-25.00M,-4.00M,-79.00M,92.00M,-321.00M,,-48.00M,-242.00M,-290.00M,,-465.00M,-389.00M,-199.00M,,-199.00M,-19.00M,-897.00M,,1.56B,-380.00M,-51.00M,1.129B,,,-121.00M,-169.00M,-465.00M,,AOR,Restated
2019-09,616.00M,,-100.00M,,-1.00M,19.00M,-82.00M,,,178.00M,178.00M,-31.00M,,9.00M,,109.00M,211.00M,63.00M,-31.00M,33.00M,,48.00M,324.00M,1.123B,,-169.00M,,,-16.00M,-235.00M,35.00M,-49.00M,-418.00M,,-20.00M,464.00M,444.00M,,-706.00M,-706.00M,-204.00M,,-204.00M,-21.00M,-487.00M,,1.397B,218.00M,-55.00M,1.56B,,,128.00M,316.00M,-706.00M,,AOR,Restated
2019-06,685.00M,,-33.00M,,21.00M,19.00M,7.00M,,,158.00M,158.00M,6.00M,,19.00M,,43.00M,-177.00M,-18.00M,81.00M,-52.00M,,56.00M,-110.00M,808.00M,,-147.00M,,,-14.00M,-8.00M,-88.00M,-97.00M,-340.00M,,-7.00M,-233.00M,-240.00M,,0.00,0.00,-179.00M,,-179.00M,55.00M,-364.00M,,1.328B,104.00M,-35.00M,1.397B,,,42.00M,-282.00M,0.00,,AOR,Restated
2019-03,669.00M,,79.00M,,-64.00M,18.00M,33.00M,,,157.00M,157.00M,11.00M,,9.00M,,-229.00M,-135.00M,-107.00M,-127.00M,67.00M,,64.00M,-238.00M,412.00M,,-129.00M,,,-20.00M,-10.00M,-18.00M,86.00M,-71.00M,,-10.00M,-56.00M,-66.00M,,-100.00M,-100.00M,-179.00M,,-179.00M,-2.00M,-347.00M,,1.303B,-6.00M,31.00M,1.328B,,,15.00M,-81.00M,-100.00M,,AOR,Restated
2018-12,610.00M,,-19.00M,,66.00M,69.00M,116.00M,,,155.00M,155.00M,-71.00M,,15.00M,,43.00M,66.00M,78.00M,-63.00M,51.00M,,-10.00M,122.00M,990.00M,,-368.00M,,,-20.00M,-28.00M,-121.00M,62.00M,-455.00M,,28.00M,-28.00M,0.00,,-261.00M,-248.00M,-181.00M,,-181.00M,-11.00M,-440.00M,,1.222B,95.00M,-14.00M,1.303B,,,8.00M,-8.00M,-261.00M,,AOR,Restated
2018-09,698.00M,,-6.00M,,7.00M,3.00M,4.00M,,,148.00M,148.00M,-146.00M,,10.00M,,111.00M,126.00M,-298.00M,207.00M,-58.00M,,113.00M,90.00M,915.00M,,-195.00M,,,-20.00M,-64.00M,9.00M,-33.00M,-283.00M,,-21.00M,8.00M,-13.00M,,-500.00M,-500.00M,-182.00M,,-182.00M,-12.00M,-707.00M,,1.318B,-75.00M,-21.00M,1.222B,,,7.00M,-20.00M,-500.00M,,AOR,Restated
