,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.825B,2.825B,1.61B,1.215B,,,,,,189.00M,,-172.00M,,,1.215B,,189.00M,-172.00M,-49.00M,-172.00M,994.00M,234.00M,760.00M,,,,,760.00M,760.00M,1.53B,347.00M,1.183B,,0.9961,,,,0.9961,0.9961,,0.99,,,,0.99,0.99,,763.00M,765.00M,0.26,,AOR,
2020-09,2.648B,2.648B,1.507B,1.141B,,,,,,187.00M,,-187.00M,,,1.141B,,187.00M,-187.00M,14.00M,-187.00M,968.00M,232.00M,736.00M,,,,,736.00M,736.00M,1.503B,348.00M,1.155B,,0.96,,,,0.96,0.96,,0.96,,,,0.96,0.96,,765.00M,767.00M,0.26,,AOR,
2020-06,2.255B,2.255B,1.427B,828.00M,,,,,,191.00M,,-191.00M,,,828.00M,,191.00M,-191.00M,15.00M,-191.00M,652.00M,153.00M,499.00M,,,,,499.00M,499.00M,1.187B,344.00M,843.00M,,0.65,,,,0.65,0.65,,0.65,,,,0.65,0.65,,766.00M,767.00M,0.26,,AOR,
2020-03,2.855B,2.855B,1.677B,1.178B,,,,,,187.00M,,-187.00M,,,1.178B,,187.00M,-187.00M,22.00M,-187.00M,1.013B,243.00M,770.00M,,,,,770.00M,770.00M,1.544B,344.00M,1.20B,,1.00,,,,1.00,1.00,,1.00,,,,1.00,1.00,,772.00M,773.00M,0.26,,AOR,
2019-12,2.885B,2.885B,1.731B,1.154B,,,,,,189.00M,,-141.00M,,,1.154B,,189.00M,-141.00M,-32.00M,-141.00M,981.00M,210.00M,771.00M,,,,,771.00M,771.00M,1.514B,344.00M,1.17B,,0.9974,,,,0.9974,0.9974,,0.99,,,,0.99,0.99,,775.00M,777.00M,0.24,,AOR,Restated
2019-09,2.978B,2.978B,1.691B,1.287B,,,,,,186.00M,,-186.00M,,,1.287B,,186.00M,-186.00M,24.00M,-186.00M,1.125B,269.00M,856.00M,,,,,856.00M,856.00M,1.649B,338.00M,1.311B,,1.08,,,,1.08,1.08,,1.08,,,,1.08,1.08,,790.00M,792.00M,0.24,,AOR,Restated
2019-06,3.061B,3.061B,1.756B,1.305B,,,,,,184.00M,,-184.00M,,,1.305B,,184.00M,-184.00M,25.00M,-184.00M,1.146B,276.00M,870.00M,,,,,870.00M,870.00M,1.667B,337.00M,1.33B,,1.08,,,,1.08,1.08,,1.08,,,,1.08,1.08,,805.00M,807.00M,0.24,,AOR,Restated
2019-03,3.013B,3.013B,1.794B,1.219B,,,,,,178.00M,,-178.00M,,,1.219B,,178.00M,-178.00M,23.00M,-178.00M,1.064B,230.00M,834.00M,,,,,834.00M,834.00M,1.572B,330.00M,1.242B,,1.02,,,,1.02,1.02,,1.02,,,,1.02,1.02,,814.00M,817.00M,0.24,,AOR,Restated
2018-12,3.143B,3.143B,1.815B,1.328B,,,,,,171.00M,,-139.00M,,,1.328B,,171.00M,-139.00M,-91.00M,-139.00M,1.098B,255.00M,843.00M,,,,,843.00M,843.00M,1.614B,345.00M,1.269B,,1.031,,,,1.031,1.031,,1.01,,,,1.01,1.01,,830.00M,834.00M,0.22,,AOR,Restated
2018-09,3.129B,3.129B,1.86B,1.269B,,,,,,162.00M,,-162.00M,,,1.269B,,162.00M,-162.00M,43.00M,-162.00M,1.15B,256.00M,894.00M,,,,,894.00M,894.00M,1.646B,334.00M,1.312B,,1.05,,,,1.05,1.05,,1.05,,,,1.05,1.05,,850.00M,854.00M,0.22,,AOR,Restated
2018-06,3.102B,3.102B,1.849B,1.253B,,,,,,157.00M,,-157.00M,,,1.253B,,157.00M,-157.00M,48.00M,-157.00M,1.144B,267.00M,877.00M,,,,,877.00M,877.00M,1.63B,329.00M,1.301B,,1.02,,,,1.02,1.02,,1.01,,,,1.01,1.01,,864.00M,868.00M,0.22,,AOR,Restated
2018-03,2.876B,2.876B,1.857B,1.019B,,,,,,149.00M,,-149.00M,,,1.019B,,149.00M,-149.00M,42.00M,-149.00M,912.00M,217.00M,695.00M,,,,,695.00M,695.00M,1.384B,323.00M,1.061B,,0.78,,,,0.78,0.78,,0.78,,,,0.78,0.78,,885.00M,888.00M,0.22,,AOR,Restated
