,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.824B,2.824B,159.00M,702.00M,861.00M,861.00M,,2.377B,1.015B,216.00M,799.00M,,,799.00M,799.00M,,1.398B,,2.59,,2.59,2.59,,2.59,,2.59,2.59,,307.00M,307.00M,0.44,,AOR,
2020-09,2.714B,2.714B,140.00M,582.00M,722.00M,722.00M,0.00,2.265B,959.00M,188.00M,771.00M,,15.00M,771.00M,771.00M,116.00M,1.375B,,2.45,,2.45,2.45,,2.45,,2.45,2.45,,306.00M,306.00M,0.44,,AOR,
2020-06,2.662B,2.662B,129.00M,569.00M,698.00M,698.00M,43.00M,2.19B,-461.00M,-93.00M,-368.00M,,,-368.00M,-368.00M,123.00M,21.00M,,-1.20,,-1.20,-1.20,,-1.20,,-1.20,-1.20,,306.00M,306.00M,0.44,,AOR,
2020-03,2.888B,2.888B,231.00M,581.00M,812.00M,812.00M,36.00M,2.398B,-78.00M,-17.00M,-61.00M,,16.00M,-61.00M,-61.00M,123.00M,506.00M,,-0.25,,-0.25,-0.25,,-0.25,,-0.25,-0.25,,308.00M,308.00M,0.44,,AOR,
2019-12,2.944B,2.944B,234.00M,771.00M,1.005B,1.005B,,2.424B,924.00M,216.00M,708.00M,,0.00,708.00M,708.00M,121.00M,1.539B,,2.25,,2.25,2.25,,2.25,,2.25,2.25,,311.00M,311.00M,0.44,,AOR,
2019-09,2.90B,2.90B,230.00M,535.00M,765.00M,765.00M,0.00,2.402B,994.00M,224.00M,770.00M,,15.00M,770.00M,770.00M,113.00M,1.632B,,2.36,,2.36,2.36,,2.36,,2.36,2.36,,317.00M,317.00M,0.44,,AOR,Restated
2019-06,2.852B,2.852B,224.00M,528.00M,752.00M,752.00M,0.00,2.332B,987.00M,234.00M,753.00M,,,753.00M,753.00M,103.00M,1.632B,,2.32,,2.32,2.32,,2.32,,2.32,2.32,,322.00M,323.00M,0.40,,AOR,Restated
2019-03,2.763B,2.763B,195.00M,524.00M,719.00M,719.00M,0.00,2.305B,930.00M,204.00M,726.00M,,16.00M,726.00M,726.00M,99.00M,1.562B,,2.15,,2.15,2.15,,2.15,,2.15,2.15,,328.00M,328.00M,0.40,,AOR,Restated
2018-12,2.807B,2.807B,230.00M,707.00M,937.00M,937.00M,,2.302B,897.00M,210.00M,687.00M,,0.00,687.00M,687.00M,109.00M,1.502B,,2.04,,2.04,2.04,,2.03,,2.03,2.03,,332.00M,336.00M,0.40,,AOR,Restated
2018-09,2.724B,2.724B,218.00M,497.00M,715.00M,715.00M,,2.223B,967.00M,247.00M,720.00M,,15.00M,720.00M,720.00M,110.00M,1.525B,,2.05,,2.05,2.05,,2.05,,2.05,2.05,,341.00M,342.00M,0.40,,AOR,Restated
2018-06,2.603B,2.603B,224.00M,486.00M,710.00M,710.00M,,2.129B,877.00M,208.00M,669.00M,,,669.00M,669.00M,109.00M,1.384B,,1.91,,1.91,1.91,,1.91,,1.91,1.91,,348.00M,348.00M,0.35,,AOR,Restated
