,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,RestrictedCommonStock,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-10,2.199B,,2.199B,111.14M,5.026B,5.026B,197.04M,,,7.533B,,,,,13.05B,,,13.05B,,13.05B,4.339B,1.200B,5.538B,,36.36M,18.62B,26.15B,,3.771B,10.71M,,3.781B,1.061B,4.842B,,,,1.044B,1.044B,,,,5.886B,,4.132B,8.285B,12.42B,686.69M,,686.69M,,,,178.42M,13.28B,19.17B,,214.38M,3.347B,3.427B,,,-2.406M,6.986B,,AOR,
2020-07,2.960B,,2.960B,36.18M,4.391B,4.391B,210.47M,,,7.597B,,,,,12.68B,,,12.68B,,12.68B,4.339B,1.200B,5.539B,,35.72M,18.25B,25.85B,,3.401B,16.25M,,3.417B,978.57M,4.395B,,,,1.016B,1.016B,,,,5.411B,,4.089B,8.125B,12.21B,689.89M,,689.89M,,,,176.40M,13.08B,18.49B,,217.91M,3.759B,3.382B,,,-2.649M,7.356B,,AOR,
2020-04,2.674B,,2.674B,17.19M,4.107B,4.107B,194.05M,,,6.992B,,,,,12.28B,,,12.28B,,12.28B,4.339B,1.200B,5.539B,,36.33M,17.86B,24.85B,,2.954B,105.86M,,3.060B,791.37M,3.852B,,0.58M,0.58M,991.05M,991.63M,,,,4.843B,,3.967B,7.957B,11.92B,700.10M,,700.10M,,,,171.55M,12.80B,17.64B,,220.26M,3.660B,3.332B,,,-2.892M,7.209B,,AOR,
2020-01,240.32M,,240.32M,76.54M,4.677B,4.677B,184.16M,,,5.178B,0.00,306.86M,1.291B,3.782B,8.796B,62.18M,656.23M,14.89B,-2.820B,12.07B,4.339B,1.200B,5.539B,,34.08M,17.65B,22.83B,,2.861B,201.02M,,3.062B,271.72M,3.333B,109.29M,0.555M,0.555M,964.80M,965.36M,,,,4.544B,131.28M,2.911B,7.820B,10.73B,675.23M,0.00,675.23M,,,,41.40M,11.58B,16.12B,,220.44M,3.163B,3.323B,,,-3.135M,6.702B,,AOR,
2019-10,276.08M,,276.08M,103.19M,4.496B,4.496B,192.90M,,,5.069B,,,,,11.77B,,,11.77B,,11.77B,4.339B,1.200B,5.539B,,35.15M,17.34B,22.41B,,2.844B,3.341M,,2.848B,717.47M,3.565B,,0.555M,0.555M,940.50M,941.06M,,,,4.506B,,2.762B,7.689B,10.45B,634.04M,,634.04M,,,,173.00M,11.26B,15.76B,,222.78M,3.121B,3.308B,,,-3.378M,6.648B,,AOR,Restated
2019-07,259.57M,,259.57M,61.69M,4.420B,4.420B,178.25M,,,4.919B,,,,,11.43B,,,11.43B,,11.43B,4.339B,1.200B,5.539B,,33.94M,17.00B,21.92B,,2.727B,3.31M,,2.730B,666.25M,3.397B,,0.555M,0.555M,915.08M,915.63M,,,,4.312B,,2.573B,7.481B,10.05B,627.76M,,627.76M,,,,173.98M,10.86B,15.17B,,224.94M,3.235B,3.293B,,,-3.621M,6.749B,,AOR,Restated
2019-04,271.11M,,271.11M,25.16M,4.110B,4.110B,177.74M,,,4.584B,,,,,11.15B,,,11.15B,,11.15B,4.339B,1.200B,5.539B,,33.01M,16.72B,21.30B,,2.453B,48.79M,,2.502B,560.01M,3.062B,,0.555M,0.555M,894.47M,895.02M,,,,3.957B,,2.732B,7.239B,9.971B,629.86M,,629.86M,,,,173.98M,10.77B,14.73B,,226.03M,3.075B,3.276B,,,-3.864M,6.573B,,AOR,Restated
2019-01,235.49M,,235.49M,57.80M,4.097B,4.097B,272.72M,,,4.663B,0.00,299.72M,1.220B,3.299B,,117.28M,583.53M,5.519B,-2.548B,2.971B,4.339B,1.200B,5.539B,,31.41M,8.541B,13.20B,,2.385B,193.97M,,2.579B,205.71M,2.785B,107.38M,1.95M,1.95M,0.00,1.95M,,,,3.016B,130.02M,2.863B,0.00,2.863B,609.69M,40.30M,720.13M,,,,57.90M,3.771B,6.787B,,227.07M,2.941B,3.252B,,,-3.207M,6.417B,,AOR,Restated
2018-10,260.69M,,260.69M,114.65M,3.979B,3.979B,275.90M,,,4.630B,,,,,,,,,,2.922B,4.339B,1.200B,5.539B,,29.88M,8.491B,13.12B,,2.337B,4.837M,,2.342B,638.64M,2.980B,,,1.929M,,1.929M,,,,2.982B,,2.902B,,2.902B,583.07M,,583.07M,,,,297.45M,3.783B,6.765B,,230.02M,2.890B,3.239B,,,-3.451M,6.356B,,AOR,Restated
2018-07,265.29M,,265.29M,68.35M,3.896B,3.896B,287.75M,,,4.518B,,,,,,,,,,2.857B,4.339B,1.200B,5.539B,,29.94M,8.426B,12.94B,,2.295B,7.25M,,2.302B,611.39M,2.914B,,,1.909M,,1.909M,,,,2.916B,,2.777B,,2.777B,569.69M,,569.69M,,,,302.96M,3.649B,6.565B,,232.34M,2.928B,3.222B,,,-3.695M,6.379B,,AOR,Restated
