,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2020-09,2.505B,2.561B,1.003B,1.558B,633.00M,,-69.00M,161.00M,1.00M,-160.00M,,974.00M,584.00M,1.00M,161.00M,-160.00M,-105.00M,-160.00M,319.00M,-11.00M,330.00M,,-30.00M,73.00M,300.00M,363.51M,1.584B,1.104B,480.00M,,0.44,,0.5658,0.44,,0.44,,0.5345,0.44,,505.00M,672.00M,,AOR,
2020-06,2.498B,2.541B,810.00M,1.731B,635.00M,,-116.00M,161.00M,1.00M,-160.00M,,969.00M,762.00M,1.00M,161.00M,-160.00M,-146.00M,-160.00M,456.00M,156.00M,300.00M,,-29.00M,29.00M,271.00M,351.52M,1.602B,985.00M,617.00M,,0.40,,0.5585,0.40,,0.40,,0.5195,0.40,,508.00M,674.00M,,AOR,
2020-03,2.625B,2.683B,918.00M,1.765B,645.00M,,-15.00M,163.00M,,-163.00M,,971.00M,794.00M,,163.00M,-163.00M,-94.00M,-163.00M,537.00M,130.00M,407.00M,,-30.00M,39.00M,377.00M,388.40M,1.73B,1.03B,700.00M,,0.55,,0.5720,0.55,,0.55,,0.5666,0.55,,517.00M,685.00M,,AOR,
2019-12,2.801B,2.874B,1.037B,1.837B,793.00M,,-6.00M,162.00M,4.00M,-158.00M,,1.126B,711.00M,4.00M,162.00M,-158.00M,10.00M,-158.00M,563.00M,52.00M,511.00M,,-35.00M,114.00M,476.00M,482.35M,1.833B,1.108B,725.00M,,0.68,,0.6920,0.68,,0.67,,0.6791,0.67,,529.00M,702.00M,,AOR,
2019-09,2.614B,2.678B,914.00M,1.764B,660.00M,,-163.00M,163.00M,9.00M,-154.00M,,982.00M,782.00M,9.00M,163.00M,-154.00M,-184.00M,-154.00M,444.00M,147.00M,297.00M,,-35.00M,62.00M,262.00M,377.91M,1.629B,1.022B,607.00M,,0.35,,0.5667,0.35,,0.35,,0.5126,0.35,,535.00M,713.00M,,AOR,Restated
2019-06,2.825B,2.885B,938.00M,1.947B,709.00M,,-30.00M,161.00M,0.00,-161.00M,,1.029B,918.00M,0.00,161.00M,-161.00M,-41.00M,-161.00M,716.00M,-271.00M,987.00M,,-40.00M,94.00M,947.00M,964.52M,1.878B,1.001B,877.00M,,1.33,,1.363,1.33,,1.33,,1.354,1.33,,528.00M,716.00M,,AOR,Restated
2019-03,2.639B,2.707B,930.00M,1.777B,626.00M,,-10.00M,182.00M,,-182.00M,,998.00M,779.00M,,182.00M,-182.00M,-26.00M,-182.00M,571.00M,153.00M,418.00M,,-34.00M,38.00M,384.00M,391.30M,1.822B,1.069B,753.00M,,0.53,,0.5439,0.53,,0.53,,0.5402,0.53,,524.00M,714.00M,,AOR,Restated
2018-12,2.723B,2.809B,946.00M,1.863B,657.00M,,-98.00M,171.00M,0.00,-171.00M,,1.054B,809.00M,0.00,171.00M,-171.00M,-144.00M,-171.00M,494.00M,195.00M,299.00M,,-30.00M,126.00M,269.00M,351.92M,1.827B,1.162B,665.00M,,0.38,,0.5389,0.38,,0.38,,0.4960,0.38,,522.00M,715.00M,,AOR,Restated
2018-09,2.517B,2.592B,934.00M,1.658B,667.00M,,-224.00M,185.00M,,-185.00M,,1.065B,593.00M,,185.00M,-185.00M,-230.00M,-185.00M,178.00M,43.00M,135.00M,,-18.00M,12.00M,117.00M,293.32M,1.624B,1.261B,363.00M,,0.16,,0.4971,0.16,,0.16,,0.4073,0.16,,523.00M,713.00M,,AOR,Restated
2018-06,2.749B,2.845B,995.00M,1.85B,687.00M,,-103.00M,196.00M,0.00,-196.00M,,1.097B,753.00M,0.00,196.00M,-196.00M,-190.00M,-196.00M,367.00M,123.00M,244.00M,,-28.00M,21.00M,216.00M,316.50M,1.882B,1.319B,563.00M,,0.30,,0.4922,0.30,,0.30,,0.4412,0.30,,523.00M,712.00M,,AOR,Restated
