,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-11,1.656B,1.656B,1.341B,315.40M,18.80M,89.90M,108.70M,,,-14.60M,194.70M,120.70M,-14.60M,-0.40M,-14.60M,105.70M,8.80M,96.90M,-0.90M,96.00M,96.90M,206.70M,86.00M,120.70M,,0.74,0.00,0.74,0.74,,0.74,-0.01,0.74,0.73,,130.30M,131.50M,0.30,,AOR,
2020-08,1.527B,1.527B,1.226B,301.30M,28.80M,128.30M,157.10M,,,-16.60M,244.70M,56.60M,-16.60M,-7.50M,-16.60M,32.50M,-4.80M,37.30M,-1.20M,36.10M,37.30M,144.20M,87.60M,56.60M,,0.29,-0.01,0.29,0.28,,0.28,-0.01,0.28,0.28,,130.00M,130.90M,0.00,,AOR,
2020-05,1.270B,1.270B,1.260B,10.50M,31.40M,86.80M,118.20M,220.80M,-390.00M,-19.90M,212.60M,-202.10M,-19.90M,-388.30M,-19.90M,-610.30M,-130.60M,-479.70M,-0.30M,-480.00M,-173.16M,-644.60M,94.40M,-739.00M,,-3.85,-0.01,-1.388,-3.86,,-3.85,-0.01,-1.388,-3.86,,124.50M,124.50M,0.00,,AOR,
2020-02,2.346B,2.346B,1.808B,538.00M,71.60M,100.30M,171.90M,0.10M,-0.10M,-13.20M,259.60M,278.40M,-13.20M,-0.10M,-13.20M,265.10M,31.80M,233.30M,-1.00M,232.30M,233.39M,366.10M,87.70M,278.40M,,1.92,0.00,1.921,1.92,,1.90,-0.01,1.901,1.89,,121.30M,122.80M,0.88,,AOR,
2019-11,2.056B,2.056B,1.651B,405.50M,66.30M,91.40M,157.70M,,,-13.10M,245.30M,160.20M,-13.10M,-153.30M,-13.10M,-6.20M,-31.60M,25.40M,-0.70M,24.70M,25.40M,247.80M,87.60M,160.20M,,0.21,-0.01,0.21,0.20,,0.21,-0.01,0.21,0.20,,122.20M,123.70M,0.88,,AOR,Restated
2019-08,2.134B,2.134B,1.680B,454.40M,68.70M,98.00M,166.70M,,,-11.10M,252.90M,201.50M,-11.10M,,-11.10M,190.40M,18.60M,171.80M,-1.20M,170.60M,171.80M,287.70M,86.20M,201.50M,,1.40,-0.01,1.40,1.39,,1.38,-0.01,1.38,1.37,,122.90M,124.60M,0.88,,AOR,Restated
2019-05,2.229B,2.229B,1.725B,503.80M,68.40M,103.10M,171.50M,14.70M,-14.60M,-11.90M,259.40M,244.40M,-11.90M,-14.60M,-11.90M,217.90M,9.20M,208.70M,-0.70M,208.00M,222.68M,317.10M,87.90M,229.20M,,1.70,-0.01,1.814,1.69,,1.67,-0.01,1.782,1.67,,122.90M,124.80M,0.75,,AOR,Restated
2019-02,2.246B,2.246B,1.729B,517.60M,62.40M,102.80M,165.20M,2.30M,-1.60M,-12.40M,250.50M,267.10M,-12.40M,-1.60M,-12.40M,253.10M,28.00M,225.10M,-1.50M,223.60M,226.52M,352.40M,85.30M,267.10M,,1.83,-0.02,1.842,1.81,,1.80,-0.02,1.811,1.79,,123.30M,125.00M,0.75,,AOR,Restated
2018-11,1.973B,1.973B,1.587B,386.70M,58.00M,95.10M,153.10M,2.60M,-2.70M,-12.80M,235.90M,150.80M,-12.80M,-2.70M,-12.80M,135.30M,19.40M,115.90M,-0.30M,115.60M,118.21M,233.60M,82.80M,150.80M,,0.94,-0.01,0.9587,0.93,,0.92,-0.01,0.9384,0.92,,123.90M,125.80M,0.75,,AOR,Restated
2018-08,2.061B,2.061B,1.620B,440.90M,66.50M,104.50M,171.00M,0.10M,-0.10M,-13.10M,251.70M,189.20M,-13.10M,-0.10M,-13.10M,176.00M,7.10M,168.90M,-2.70M,166.20M,169.00M,269.90M,80.70M,189.20M,,1.36,-0.02,1.361,1.34,,1.34,-0.02,1.341,1.32,,123.80M,125.80M,0.75,,AOR,Restated
