,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,324.96M,20.10M,345.06M,1.824B,544.38M,2.439B,111.62M,76.39M,176.83M,,,3.149B,0.00,37.92M,400.62M,3.081B,2.863B,616.69M,3.866B,10.87B,-4.480B,6.385B,6.919B,166.58M,7.086B,289.68M,,79.50M,13.84B,16.99B,,434.25M,46.84M,,481.10M,84.50M,565.60M,,,168.54M,168.54M,369.50M,538.04M,686.95M,2.476B,7.917B,2.739B,10.66B,809.60M,809.60M,183.19M,1.330B,150.06M,12.95B,15.42B,,0.11M,852.54M,597.07M,,,,-66.15M,1.384B,,AOR,
2020-09,710.51M,19.36M,729.87M,1.804B,548.38M,2.428B,106.25M,58.51M,106.82M,,,3.430B,,,,,10.62B,,,10.62B,-4.369B,6.252B,6.868B,118.08M,6.986B,282.35M,,96.11M,13.62B,17.05B,,388.50M,0.00,,388.50M,,388.50M,,,163.79M,163.79M,365.19M,528.98M,879.79M,2.499B,7.867B,2.711B,10.58B,765.69M,765.69M,178.58M,1.304B,147.37M,12.79B,15.29B,,0.126M,2.032B,694.13M,1.029B,,,-122.53M,1.575B,,AOR,
2020-06,2.929B,154.12M,3.083B,1.772B,614.61M,2.429B,97.90M,63.27M,106.81M,,,5.780B,,,,,10.47B,,,10.47B,-4.229B,6.245B,6.791B,113.38M,6.904B,283.83M,,92.91M,13.53B,19.31B,,357.28M,61.60M,,418.88M,,418.88M,,,1.907B,1.907B,360.40M,2.267B,902.02M,4.275B,7.895B,2.710B,10.60B,706.41M,706.41M,179.90M,1.242B,144.12M,12.70B,16.97B,,0.126M,1.873B,719.10M,303.14M,,,-135.11M,2.154B,,AOR,
2020-03,1.382B,9.376M,1.391B,1.820B,519.08M,2.371B,95.68M,59.85M,106.72M,,,4.024B,,,,,10.39B,,,10.39B,-4.092B,6.293B,6.778B,117.95M,6.896B,289.16M,,94.03M,13.57B,17.60B,,340.09M,23.52M,,363.61M,,363.61M,,,146.32M,146.32M,356.03M,502.35M,757.78M,2.221B,8.442B,2.734B,11.18B,675.73M,675.73M,185.50M,1.228B,161.94M,13.24B,15.46B,,0.126M,1.671B,720.05M,303.14M,,,-140.52M,1.948B,,AOR,
2019-12,1.102B,11.57M,1.114B,1.796B,489.70M,2.305B,97.95M,66.87M,106.35M,,,3.690B,0.00,36.48M,392.26M,2.881B,2.830B,588.34M,3.545B,10.27B,-3.970B,6.303B,6.788B,135.68M,6.923B,278.50M,,115.97M,13.62B,17.31B,,403.84M,78.70M,,482.54M,113.84M,596.38M,,,130.71M,130.71M,343.91M,474.62M,606.05M,2.372B,7.978B,2.724B,10.70B,577.54M,577.54M,185.83M,1.180B,160.81M,12.62B,14.99B,,0.126M,1.432B,749.04M,,,,-47.50M,2.133B,,AOR,Restated
2019-09,1.253B,100.71M,1.354B,1.901B,474.14M,2.392B,98.64M,50.62M,103.88M,,,3.999B,,,,,9.993B,,,9.993B,-3.793B,6.201B,6.766B,117.67M,6.883B,254.43M,,114.83M,13.45B,17.45B,,332.14M,,,332.14M,,332.14M,,,121.44M,121.44M,374.21M,495.66M,716.02M,2.207B,8.014B,2.682B,10.70B,604.92M,604.92M,193.95M,1.296B,135.09M,12.73B,14.94B,,0.167M,3.349B,906.99M,1.860B,,,-77.60M,2.319B,,AOR,Restated
2019-06,3.576B,5.213M,3.581B,2.011B,525.00M,2.552B,96.82M,54.60M,106.77M,,,6.391B,,,,,9.846B,,,9.846B,-3.650B,6.196B,6.865B,120.57M,6.986B,260.73M,,97.44M,13.54B,19.93B,,388.96M,,,388.96M,,388.96M,,,3.591B,3.591B,372.62M,3.964B,726.01M,5.707B,5.378B,2.689B,8.067B,593.56M,593.56M,193.77M,1.186B,134.60M,9.981B,15.69B,,0.167M,3.206B,989.02M,112.19M,,,-33.61M,4.049B,,AOR,Restated
2019-03,459.24M,4.035M,463.28M,1.953B,489.58M,2.486B,104.24M,64.77M,102.19M,,,9.225B,,,,,9.668B,,,9.668B,-3.539B,6.129B,6.799B,118.32M,6.918B,260.72M,,73.65M,13.38B,22.61B,,365.19M,,,365.19M,,365.19M,,,4.677B,4.677B,367.41M,5.044B,2.326B,8.231B,5.787B,2.626B,8.413B,588.80M,588.80M,211.32M,1.143B,143.76M,10.29B,18.52B,,0.166M,2.932B,990.38M,,,,-47.55M,3.875B,,AOR,Restated
2018-12,323.04M,2.935M,325.97M,1.859B,469.80M,2.397B,107.38M,111.84M,92.38M,,,8.424B,0.00,37.38M,467.18M,2.587B,,661.70M,3.165B,6.918B,-3.524B,3.394B,6.842B,118.85M,6.961B,260.04M,,71.58M,10.69B,19.11B,,463.27M,28.66M,,491.93M,141.40M,633.33M,,,,1.929B,,1.929B,1.670B,4.891B,8.173B,,8.173B,562.54M,562.54M,204.96M,1.125B,450.67M,10.31B,15.20B,,0.166M,2.743B,995.01M,,,,-34.92M,3.703B,,AOR,Restated
2018-09,448.22M,4.73M,452.94M,1.847B,383.78M,2.257B,91.10M,88.86M,91.94M,,,8.930B,,,,,,,,6.730B,-3.454B,3.276B,6.703B,97.61M,6.800B,275.87M,,76.52M,10.43B,19.36B,,458.93M,,,458.93M,,458.93M,,,,1.784B,,1.784B,1.980B,4.855B,8.441B,,8.441B,515.89M,515.89M,204.61M,1.064B,452.44M,10.47B,15.33B,,0.183M,3.951B,1.056B,1.154B,,,-29.11M,3.825B,,AOR,Restated
