,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.685B,1.685B,630.60M,,630.60M,104.10M,,59.00M,2.478B,239.10M,,1.674B,,1.914B,-774.10M,1.139B,4.496B,1.093B,5.588B,405.60M,7.134B,9.612B,,159.10M,159.10M,502.10M,661.20M,,1.101B,,1.101B,108.30M,108.30M,612.50M,2.483B,3.277B,3.277B,332.30M,332.30M,130.70M,41.90M,178.10M,3.918B,6.402B,,236.60M,4.185B,1.471B,2.547B,,,-171.40M,3.168B,,AOR,
2020-09,1.536B,1.536B,605.90M,,605.90M,123.30M,,46.80M,2.312B,235.90M,,1.584B,,1.820B,-749.10M,1.071B,4.366B,1.096B,5.462B,405.40M,6.938B,9.250B,,159.50M,159.50M,393.50M,553.00M,,1.102B,,1.102B,103.50M,103.50M,632.40M,2.391B,3.275B,3.275B,339.90M,339.90M,106.10M,37.80M,170.70M,3.892B,6.283B,,236.60M,4.423B,1.454B,2.550B,,,-628.50M,2.929B,,AOR,
2020-06,1.347B,1.347B,592.50M,,592.50M,121.10M,,43.90M,2.105B,235.00M,,1.475B,,1.710B,-693.00M,1.017B,4.323B,1.108B,5.430B,280.30M,6.728B,8.833B,,149.40M,149.40M,334.90M,484.30M,,503.70M,,503.70M,98.60M,98.60M,569.80M,1.656B,3.872B,3.872B,287.90M,287.90M,110.60M,40.20M,171.50M,4.442B,6.098B,,236.60M,4.248B,1.448B,2.551B,,,-681.70M,2.694B,,AOR,
2020-03,369.90M,369.90M,605.50M,,605.50M,119.90M,,53.70M,1.149B,233.60M,,1.360B,,1.593B,-631.10M,962.10M,4.157B,1.095B,5.253B,259.00M,6.474B,7.623B,,170.90M,170.90M,267.80M,438.70M,,3.10M,,3.10M,111.10M,111.10M,590.90M,1.144B,3.505B,3.505B,263.40M,263.40M,114.30M,43.30M,166.40M,4.049B,5.193B,,236.60M,4.197B,1.432B,2.554B,,,-918.90M,2.386B,,AOR,
2019-12,401.30M,401.30M,532.10M,,532.10M,88.10M,,187.90M,1.209B,236.30M,,1.304B,,1.541B,-593.20M,947.60M,4.308B,1.140B,5.448B,304.20M,6.700B,7.909B,,148.30M,148.30M,319.60M,467.90M,,3.10M,,3.10M,104.00M,104.00M,784.10M,1.359B,3.380B,3.380B,248.00M,248.00M,118.90M,44.30M,180.60M,3.927B,5.286B,,236.60M,4.132B,1.405B,2.557B,,,-631.60M,2.579B,,AOR,
2019-09,167.50M,167.50M,516.60M,,516.60M,92.70M,,76.20M,853.00M,234.80M,,1.246B,,1.481B,-576.60M,904.50M,4.227B,1.147B,5.374B,299.10M,6.578B,7.431B,,135.40M,135.40M,299.00M,434.40M,,372.00M,,372.00M,97.90M,97.90M,587.50M,1.492B,2.835B,2.835B,250.30M,250.30M,130.60M,43.30M,164.20M,3.380B,4.872B,,236.60M,4.170B,1.393B,2.560B,,,-717.50M,2.516B,,AOR,Restated
2019-06,135.80M,135.80M,502.60M,,502.60M,97.90M,,77.50M,813.80M,231.20M,,1.180B,,1.411B,-538.20M,872.50M,4.282B,1.199B,5.482B,305.70M,6.660B,7.474B,,156.90M,156.90M,312.00M,468.90M,,32.30M,,32.30M,97.10M,97.10M,899.60M,1.498B,2.833B,2.833B,249.90M,249.90M,134.40M,44.50M,170.10M,3.388B,4.886B,,236.60M,4.136B,1.382B,2.564B,,,-640.00M,2.543B,,AOR,Restated
2019-03,133.20M,133.20M,514.00M,,514.00M,107.00M,,110.50M,864.70M,227.00M,,1.093B,,1.320B,-502.10M,818.10M,4.170B,1.178B,5.349B,304.30M,6.471B,7.336B,,170.70M,170.70M,282.00M,452.70M,,69.70M,,69.70M,107.80M,107.80M,892.80M,1.523B,2.657B,2.657B,229.30M,229.30M,136.80M,49.20M,178.80M,3.202B,4.725B,,236.60M,4.115B,1.369B,2.568B,,,-585.90M,2.562B,,AOR,Restated
2018-12,223.60M,223.60M,469.10M,,469.10M,100.00M,,109.60M,902.30M,216.10M,,1.029B,,1.245B,-480.00M,764.80M,4.130B,1.194B,5.324B,162.40M,6.251B,7.153B,,175.70M,175.70M,344.20M,519.90M,,4.90M,,4.90M,98.00M,98.00M,204.00M,826.80M,2.631B,2.631B,316.20M,316.20M,139.30M,47.90M,84.60M,3.171B,3.998B,,236.60M,4.718B,1.357B,2.571B,,,-626.30M,3.108B,,AOR,Restated
2018-09,253.40M,253.40M,467.90M,,467.90M,90.60M,,75.60M,887.50M,213.20M,,933.60M,,1.147B,-451.60M,695.20M,4.163B,1.228B,5.390B,160.80M,6.246B,7.134B,,139.60M,139.60M,276.30M,415.90M,,3.10M,,3.10M,104.90M,104.90M,220.30M,744.20M,2.629B,2.629B,298.60M,298.60M,135.70M,57.00M,84.60M,3.148B,3.892B,,236.60M,4.740B,1.347B,2.572B,,,-561.40M,3.184B,,AOR,Restated
2018-06,327.40M,327.40M,473.50M,,473.50M,87.70M,,60.20M,948.80M,212.30M,,841.80M,,1.054B,-417.60M,636.50M,4.136B,1.250B,5.386B,146.00M,6.168B,7.117B,,121.40M,121.40M,266.00M,387.40M,,4.00M,,4.00M,101.50M,101.50M,184.70M,677.60M,2.628B,2.628B,293.20M,293.20M,153.60M,57.10M,84.40M,3.160B,3.837B,,236.60M,4.748B,1.340B,2.574B,,,-522.00M,3.223B,,AOR,Restated
2018-03,249.30M,249.30M,487.50M,,487.50M,97.60M,,83.00M,917.40M,213.80M,,781.60M,,995.40M,-404.50M,590.90M,4.221B,1.314B,5.536B,152.30M,6.279B,7.196B,,106.70M,106.70M,243.00M,349.70M,,888.50M,,888.50M,110.70M,110.70M,190.00M,1.539B,1.740B,1.740B,304.90M,304.90M,172.40M,62.20M,103.40M,2.320B,3.859B,,236.60M,4.653B,1.337B,2.579B,,,-366.80M,3.275B,,AOR,Restated
2017-12,336.40M,336.40M,444.80M,,444.80M,94.30M,,122.90M,998.40M,212.50M,,734.50M,,947.00M,-380.00M,567.00M,4.184B,1.342B,5.526B,142.00M,6.235B,7.233B,,110.30M,110.30M,280.30M,390.60M,,965.30M,,965.30M,108.40M,108.40M,209.20M,1.674B,1.739B,1.739B,305.10M,305.10M,175.80M,64.60M,101.00M,2.321B,3.994B,,236.60M,4.601B,1.333B,2.578B,,,-412.00M,3.174B,,AOR,Restated
2017-09,315.40M,315.40M,458.30M,,458.30M,76.90M,,48.70M,899.30M,214.50M,,682.30M,,896.80M,-368.10M,528.70M,4.178B,1.372B,5.550B,137.50M,6.216B,7.116B,,82.50M,82.50M,228.60M,311.10M,,667.80M,,667.80M,117.40M,117.40M,240.00M,1.336B,2.039B,2.039B,303.50M,303.50M,175.60M,65.30M,95.90M,2.614B,3.95B,,236.60M,4.425B,1.335B,2.578B,,,-311.80M,3.100B,,AOR,
2017-06,403.90M,403.90M,462.40M,,462.40M,71.40M,,63.00M,1.001B,210.40M,,649.00M,,859.40M,-361.30M,498.10M,4.064B,1.368B,5.432B,128.00M,6.058B,7.058B,,66.50M,66.50M,221.40M,287.90M,,794.20M,,794.20M,104.70M,104.70M,156.60M,1.343B,2.038B,2.038B,325.40M,325.40M,178.30M,60.40M,91.70M,2.634B,3.977B,,236.60M,4.376B,1.325B,2.506B,,,-405.50M,3.021B,,AOR,Restated
2017-03,123.20M,123.20M,459.70M,,459.70M,76.20M,,46.10M,705.20M,206.60M,,612.40M,,819.00M,-340.00M,479.00M,4.058B,1.407B,5.465B,140.20M,6.084B,6.789B,,79.60M,79.60M,193.00M,272.60M,,631.80M,,631.80M,113.50M,113.50M,183.40M,1.201B,2.037B,2.037B,330.30M,330.30M,181.00M,64.10M,86.80M,2.636B,3.837B,,236.60M,4.256B,1.323B,2.507B,,,-414.40M,2.888B,,AOR,Restated
2016-12,129.30M,129.30M,433.30M,,433.30M,60.20M,,50.10M,672.90M,203.80M,,580.20M,,784.00M,-317.10M,466.90M,3.974B,1.419B,5.393B,131.30M,5.991B,6.664B,,81.00M,81.00M,308.10M,389.10M,,585.40M,,585.40M,110.70M,110.70M,174.40M,1.260B,2.087B,2.087B,325.40M,325.40M,184.40M,58.60M,86.50M,2.683B,3.943B,,236.60M,4.153B,1.313B,2.506B,,,-528.90M,2.663B,,AOR,Restated
2016-09,111.50M,111.50M,436.40M,,436.40M,64.40M,,49.50M,661.80M,202.70M,,552.70M,,755.40M,-312.10M,443.30M,4.072B,1.501B,5.573B,128.70M,6.145B,6.807B,,46.00M,46.00M,259.70M,305.70M,,706.70M,,706.70M,112.20M,112.20M,173.10M,1.298B,2.136B,2.136B,358.20M,358.20M,141.20M,41.30M,85.80M,2.722B,4.019B,,236.60M,4.082B,1.304B,2.508B,,,-363.30M,2.746B,,AOR,Restated
2016-06,96.80M,96.80M,418.00M,,418.00M,55.90M,,56.50M,627.20M,202.30M,,517.30M,,719.60M,-301.40M,418.20M,3.972B,1.500B,5.471B,124.00M,6.014B,6.641B,,43.40M,43.40M,231.10M,274.50M,,447.50M,,447.50M,98.60M,98.60M,141.30M,961.90M,2.499B,2.499B,365.90M,365.90M,143.20M,41.90M,87.70M,3.096B,4.057B,,236.60M,3.988B,1.288B,2.518B,,,-447.80M,2.542B,,AOR,Restated
2016-03,96.80M,96.80M,424.70M,,424.70M,55.70M,,52.90M,630.10M,199.90M,,489.60M,,689.50M,-292.10M,397.40M,4.022B,1.567B,5.589B,116.40M,6.103B,6.733B,,55.90M,55.90M,224.00M,279.90M,,1.185B,,1.185B,108.00M,108.00M,156.10M,1.729B,1.884B,1.884B,364.40M,364.40M,144.70M,45.50M,77.80M,2.471B,4.200B,,236.60M,3.896B,1.273B,2.529B,,,-384.00M,2.487B,,AOR,Restated
2015-12,93.30M,93.30M,349.80M,,349.80M,39.30M,,79.20M,561.60M,194.60M,,460.30M,,654.90M,-288.10M,366.80M,2.571B,922.60M,3.494B,79.50M,3.940B,4.502B,,40.60M,40.60M,251.90M,292.50M,,49.30M,,49.30M,96.80M,96.80M,165.20M,603.80M,1.138B,1.138B,205.50M,205.50M,146.40M,39.50M,57.00M,1.547B,2.151B,,236.60M,3.834B,1.260B,2.530B,,,-484.80M,2.311B,,AOR,Restated
2015-09,108.50M,108.50M,357.70M,,357.70M,46.90M,,69.00M,582.10M,193.40M,,439.80M,,633.20M,-294.20M,339.00M,2.581B,954.50M,3.536B,84.80M,3.959B,4.541B,,43.40M,43.40M,238.20M,281.60M,,186.80M,,186.80M,79.70M,79.70M,142.60M,690.70M,1.146B,1.146B,219.90M,219.90M,165.10M,39.60M,52.30M,1.583B,2.274B,,236.60M,3.758B,1.253B,2.537B,,,-477.10M,2.228B,,AOR,Restated
2015-06,84.20M,84.20M,368.20M,,368.20M,46.20M,,92.60M,591.20M,194.20M,,419.40M,,613.60M,-298.00M,315.60M,2.600B,990.50M,3.591B,87.80M,3.994B,4.586B,,35.80M,35.80M,197.80M,233.60M,,335.10M,,335.10M,74.10M,74.10M,141.70M,784.50M,1.146B,1.146B,226.40M,226.40M,168.10M,39.00M,54.10M,1.594B,2.379B,,236.60M,3.676B,1.240B,2.531B,,,-448.20M,2.168B,,AOR,Restated
2015-03,95.00M,95.00M,362.70M,,362.70M,46.30M,,81.00M,585.00M,193.80M,,402.90M,,596.70M,-292.70M,304.00M,2.587B,1.018B,3.605B,100.90M,4.01B,4.595B,,42.10M,42.10M,162.70M,204.80M,,377.50M,,377.50M,76.00M,76.00M,132.50M,790.80M,1.146B,1.146B,244.10M,244.10M,169.90M,42.40M,54.70M,1.614B,2.405B,,236.60M,3.600B,1.231B,2.444B,,,-469.80M,2.147B,,AOR,Restated
2014-12,128.30M,128.30M,337.20M,,337.20M,35.70M,,89.30M,590.50M,194.80M,,460.60M,,655.40M,-354.80M,300.60M,2.607B,1.049B,3.656B,114.00M,4.070B,4.661B,,20.30M,20.30M,187.40M,207.70M,,380.40M,,380.40M,73.40M,73.40M,161.60M,823.10M,1.146B,1.146B,228.30M,228.30M,173.00M,34.50M,56.30M,1.603B,2.426B,,236.60M,3.555B,1.202B,2.352B,,,-435.40M,2.200B,,AOR,Restated
2014-09,115.00M,115.00M,324.00M,,324.00M,44.70M,,66.70M,550.40M,192.90M,,568.60M,,761.50M,-463.60M,297.90M,2.625B,1.087B,3.712B,147.10M,4.157B,4.707B,,35.10M,35.10M,165.20M,200.30M,,408.90M,,408.90M,67.00M,67.00M,89.90M,766.10M,1.146B,1.146B,293.70M,293.70M,73.30M,37.00M,57.30M,1.57B,2.336B,,236.60M,3.487B,1.209B,2.259B,,,-333.90M,2.334B,,AOR,Restated
