,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,452.00M,,8.00M,8.00M,244.00M,244.00M,,,64.00M,-31.00M,232.00M,-37.00M,,-142.00M,18.00M,,,71.00M,,808.00M,,-122.00M,,,-1.611B,,13.00M,-1.72B,,-301.00M,340.00M,39.00M,,-13.00M,-13.00M,-303.00M,-303.00M,42.00M,-235.00M,,3.315B,-1.147B,29.00M,2.197B,,,340.00M,-301.00M,-13.00M,,AOR,
2020-09,730.00M,,-49.00M,-49.00M,223.00M,223.00M,,,41.00M,50.00M,-249.00M,212.00M,,278.00M,-7.00M,,,234.00M,,1.229B,,-209.00M,,,-12.00M,,-11.00M,-232.00M,,744.00M,-565.00M,179.00M,,0.00,0.00,-299.00M,-299.00M,-26.00M,-146.00M,,2.45B,851.00M,14.00M,3.315B,,,973.00M,-794.00M,0.00,,AOR,
2020-06,407.00M,,16.00M,16.00M,209.00M,209.00M,,,51.00M,-15.00M,173.00M,-2.00M,,-5.00M,8.00M,,,174.00M,,842.00M,,-104.00M,,,-18.00M,,-23.00M,-145.00M,,1.488B,-2.034B,-546.00M,,0.00,0.00,-299.00M,-299.00M,-11.00M,-856.00M,,2.583B,-159.00M,26.00M,2.45B,,,-206.00M,-340.00M,0.00,,AOR,
2020-03,524.00M,,17.00M,17.00M,211.00M,211.00M,,,-38.00M,-46.00M,2.00M,-49.00M,,-33.00M,0.00,,,-80.00M,,588.00M,,-111.00M,,,-96.00M,,-25.00M,-232.00M,,0.00,1.755B,1.755B,,-813.00M,-813.00M,-306.00M,-306.00M,19.00M,655.00M,,1.635B,1.011B,-63.00M,2.583B,,,1.755B,0.00,-813.00M,,AOR,
2019-12,329.00M,,17.00M,17.00M,211.00M,211.00M,,,56.00M,-9.00M,281.00M,-167.00M,,-326.00M,32.00M,,,-180.00M,,424.00M,,-114.00M,,,0.00,,-17.00M,-131.00M,,-502.00M,754.00M,252.00M,,-129.00M,-129.00M,-305.00M,-305.00M,20.00M,-162.00M,,1.494B,131.00M,10.00M,1.635B,,,754.00M,-502.00M,-129.00M,,AOR,Restated
2019-09,724.00M,,-57.00M,-57.00M,213.00M,213.00M,,,37.00M,85.00M,-127.00M,130.00M,,212.00M,-13.00M,,,202.00M,,1.204B,,-199.00M,,,-80.00M,,-34.00M,-313.00M,,-1.00M,-433.00M,-434.00M,,-250.00M,-250.00M,-300.00M,-300.00M,18.00M,-966.00M,,1.603B,-75.00M,-34.00M,1.494B,,,-427.00M,-7.00M,-250.00M,,AOR,Restated
2019-06,612.00M,,-1.00M,-1.00M,203.00M,203.00M,,,31.00M,-77.00M,3.00M,-12.00M,,179.00M,8.00M,,,178.00M,,946.00M,,-121.00M,,,-137.00M,,-26.00M,-284.00M,,307.00M,-424.00M,-117.00M,,0.00,0.00,-302.00M,-302.00M,-8.00M,-427.00M,,1.384B,235.00M,-16.00M,1.603B,,,132.00M,-249.00M,0.00,,AOR,Restated
2019-03,525.00M,,0.00,0.00,204.00M,204.00M,,,59.00M,-35.00M,-117.00M,-35.00M,,5.00M,-73.00M,,,-220.00M,,533.00M,,-119.00M,,,-165.00M,,-34.00M,-318.00M,,1.132B,-750.00M,382.00M,,-214.00M,-214.00M,-302.00M,-302.00M,38.00M,-96.00M,,1.248B,119.00M,17.00M,1.384B,,,1.986B,-3.00M,-214.00M,,AOR,Restated
2018-12,467.00M,,0.00,0.00,202.00M,202.00M,,,-7.00M,-29.00M,292.00M,-170.00M,,-423.00M,-9.00M,,,-310.00M,,323.00M,,-155.00M,,,-73.00M,,-31.00M,-259.00M,,-403.00M,1.601B,1.198B,,-786.00M,-786.00M,-305.00M,-305.00M,-9.00M,98.00M,,1.093B,162.00M,-7.00M,1.248B,,,,-403.00M,-786.00M,,AOR,Restated
2018-09,622.00M,,,,201.00M,201.00M,,,,-206.00M,-202.00M,150.00M,,282.00M,-27.00M,,,203.00M,,1.024B,,-303.00M,,,-1.455B,,-30.00M,-1.788B,,10.00M,-1.238B,-1.228B,,0.00,0.00,-305.00M,-305.00M,1.00M,-1.532B,,3.411B,-2.296B,-22.00M,1.093B,,,343.00M,10.00M,0.00,,AOR,Restated
