,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,320.00M,320.00M,310.99M,,310.99M,269.06M,61.62M,144.16M,474.84M,122.86M,,,1.229B,,,,,657.46M,657.46M,-402.00M,255.46M,1.351B,211.21M,1.562B,37.90M,129.01M,1.984B,3.213B,,148.03M,36.70M,184.73M,140.30M,325.03M,,65.00M,12.74M,77.74M,77.74M,39.43M,39.43M,45.03M,487.24M,715.22M,715.22M,38.15M,38.15M,,,,90.76M,916.81M,1.404B,,20.99M,1.964B,,,-176.23M,1.809B,,AOR,
2020-06,332.96M,332.96M,304.98M,,304.98M,239.09M,62.11M,132.71M,433.91M,114.43M,,,1.186B,,,,,644.87M,644.87M,-389.10M,255.77M,1.341B,222.12M,1.563B,41.39M,110.75M,1.971B,3.157B,,147.49M,24.27M,171.76M,128.76M,300.52M,,191.00M,12.46M,203.46M,203.46M,44.46M,44.46M,34.72M,583.17M,643.26M,643.26M,40.40M,40.40M,,,,82.52M,823.43M,1.407B,,10.78M,1.926B,,,-185.81M,1.751B,,AOR,
2020-03,308.62M,308.62M,302.00M,,302.00M,221.77M,52.27M,123.49M,397.53M,122.40M,,,1.131B,0.00,23.84M,167.69M,434.09M,,625.62M,-374.20M,251.42M,1.329B,231.95M,1.561B,39.46M,140.04M,1.992B,3.122B,,157.97M,7.45M,165.42M,130.33M,295.75M,,191.00M,11.92M,202.92M,202.92M,51.33M,51.33M,39.33M,589.33M,636.27M,636.27M,39.96M,39.96M,,,,96.59M,828.32M,1.418B,,1.304M,1.887B,,,-183.48M,1.705B,,AOR,
2019-12,284.59M,284.59M,318.65M,,318.65M,224.24M,44.34M,120.18M,388.76M,116.73M,,,1.109B,0.00,21.51M,167.85M,436.66M,,626.02M,-370.12M,255.90M,1.365B,247.51M,1.612B,39.98M,120.81M,2.029B,3.138B,,158.03M,14.74M,172.77M,127.90M,300.67M,,16.00M,12.44M,28.44M,28.44M,56.59M,56.59M,27.35M,413.06M,648.42M,648.42M,53.54M,53.54M,,,,95.58M,853.05M,1.266B,,16.69M,2.021B,,,-165.94M,1.871B,,AOR,
2019-09,295.39M,295.39M,329.55M,,329.55M,226.70M,46.42M,124.43M,397.55M,94.69M,,,1.117B,,,,,,608.74M,-355.40M,253.34M,1.355B,262.10M,1.617B,101.21M,109.26M,2.081B,3.198B,,144.28M,0.00,144.28M,130.80M,275.08M,,87.50M,12.10M,99.60M,99.60M,71.88M,71.88M,23.82M,470.39M,644.88M,644.88M,50.70M,50.70M,,99.94M,,,857.84M,1.328B,,1.341M,2.042B,,,-173.54M,1.870B,,AOR,Restated
2019-06,268.88M,268.88M,356.99M,,356.99M,220.53M,50.18M,124.04M,394.74M,110.10M,,,1.131B,,,,,,600.88M,-349.20M,251.68M,1.352B,273.22M,1.625B,98.33M,138.53M,2.114B,3.245B,,132.29M,0.00,132.29M,124.06M,256.35M,,100.00M,12.49M,112.49M,112.49M,59.97M,59.97M,29.16M,457.97M,654.86M,654.86M,46.94M,46.94M,,97.36M,,,874.83M,1.333B,,1.356M,2.064B,,,-153.45M,1.912B,,AOR,Restated
2019-03,284.36M,284.36M,356.69M,,356.69M,218.65M,52.75M,113.92M,385.32M,101.07M,,,1.127B,,,,,,594.68M,-341.00M,253.68M,903.46M,140.55M,1.044B,97.70M,683.47M,2.079B,3.206B,,131.42M,5.523M,136.94M,132.68M,269.63M,,100.00M,12.45M,112.45M,112.45M,55.29M,55.29M,22.28M,459.65M,656.89M,656.89M,19.81M,19.81M,,92.44M,,,843.97M,1.304B,,1.354M,2.059B,,,-157.34M,1.903B,,AOR,Restated
2018-12,512.14M,512.14M,323.75M,,323.75M,214.16M,43.10M,94.85M,352.11M,104.65M,,,1.293B,0.00,21.60M,171.41M,387.81M,,580.81M,-333.40M,247.41M,904.57M,146.84M,1.051B,100.62M,89.15M,1.489B,2.781B,,95.50M,13.86M,109.35M,138.08M,247.43M,,0.00,,0.00,0.00,52.39M,52.39M,16.19M,316.01M,421.95M,421.95M,22.93M,22.93M,,,,67.13M,588.44M,904.46M,,1.355M,2.025B,,,-149.09M,1.877B,,AOR,Restated
2018-09,593.34M,593.34M,291.09M,,291.09M,219.70M,52.23M,104.62M,376.54M,93.76M,,,1.355B,,,,,,579.65M,-329.60M,250.05M,911.26M,151.78M,1.063B,94.44M,94.63M,1.502B,2.857B,,95.98M,30.04M,126.01M,127.50M,253.51M,,,,,,53.33M,53.33M,15.10M,321.94M,421.63M,421.63M,14.70M,14.70M,,67.16M,,,593.72M,915.66M,,25.74M,2.055B,,,-139.66M,1.941B,,AOR,Restated
2018-06,507.94M,507.94M,304.26M,,304.26M,213.15M,50.70M,120.40M,384.24M,89.38M,,,1.286B,,,,,,571.68M,-319.20M,252.48M,903.85M,154.96M,1.059B,22.57M,85.38M,1.419B,2.705B,,106.72M,32.07M,138.79M,118.50M,257.28M,,,,,,48.21M,48.21M,10.59M,316.09M,421.32M,421.32M,15.29M,15.29M,,67.02M,,,593.82M,909.91M,,10.39M,1.930B,,,-144.96M,1.795B,,AOR,Restated
