,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,3.237B,3.237B,2.843B,394.00M,44.00M,44.00M,0.00,-358.00M,97.00M,,-125.00M,,44.00M,350.00M,,97.00M,-125.00M,-465.00M,-125.00M,-240.00M,-13.00M,-227.00M,,,-8.00M,-235.00M,103.61M,86.00M,229.00M,-143.00M,,-0.27,,,,0.1117,-0.27,,-0.27,,,,0.1117,-0.27,,887.00M,887.00M,0.045,,AOR,
2020-09,2.975B,2.975B,2.659B,316.00M,41.00M,41.00M,11.00M,-125.00M,133.00M,11.00M,-122.00M,,41.00M,275.00M,11.00M,133.00M,-122.00M,-154.00M,-122.00M,-1.00M,18.00M,-19.00M,,,2.00M,-17.00M,74.25M,362.00M,230.00M,132.00M,,-0.02,,,,0.0835,-0.02,,-0.02,,,,0.0835,-0.02,,882.00M,882.00M,0.045,,AOR,
2020-06,3.196B,3.196B,2.917B,279.00M,43.00M,43.00M,494.00M,-1.987B,131.00M,7.00M,-124.00M,,43.00M,236.00M,7.00M,131.00M,-124.00M,-2.195B,-124.00M,-2.083B,-402.00M,-1.681B,,,5.00M,-1.676B,-72.49M,-1.701B,251.00M,-1.952B,,-1.91,,,,-0.0816,-1.91,,-1.91,,,,-0.0816,-1.91,,877.00M,877.00M,0.045,,AOR,
2020-03,5.037B,5.037B,4.481B,556.00M,54.00M,54.00M,,-1.216B,144.00M,10.00M,-134.00M,,54.00M,502.00M,10.00M,144.00M,-134.00M,-1.264B,-134.00M,-896.00M,119.00M,-1.015B,,,-2.00M,-1.017B,-129.32M,-404.00M,348.00M,-752.00M,,-1.16,,,,-0.1490,-1.16,,-1.16,,,,-0.1490,-1.16,,878.00M,878.00M,0.18,,AOR,
2019-12,5.191B,5.191B,4.586B,605.00M,59.00M,59.00M,425.00M,-1.973B,123.00M,,-141.00M,,59.00M,546.00M,,123.00M,-141.00M,-2.242B,-141.00M,-1.837B,-183.00M,-1.654B,,,1.00M,-1.653B,123.45M,-1.342B,372.00M,-1.714B,,-1.88,,,,0.1433,-1.88,,-1.88,,,,0.1433,-1.88,,878.00M,878.00M,0.18,,AOR,Restated
2019-09,5.55B,5.55B,4.961B,589.00M,53.00M,53.00M,0.00,0.00,147.00M,6.00M,-141.00M,,53.00M,536.00M,6.00M,147.00M,-141.00M,-23.00M,-141.00M,372.00M,76.00M,296.00M,,,-1.00M,295.00M,295.00M,936.00M,417.00M,519.00M,,0.34,,,,0.34,0.34,,0.34,,,,0.34,0.34,,876.00M,876.00M,0.18,,AOR,Restated
2019-06,5.93B,5.93B,5.324B,606.00M,56.00M,56.00M,33.00M,-199.00M,148.00M,4.00M,-144.00M,,56.00M,550.00M,4.00M,148.00M,-144.00M,-255.00M,-144.00M,151.00M,74.00M,77.00M,,,-2.00M,75.00M,220.27M,719.00M,420.00M,299.00M,,0.09,,,,0.2562,0.09,,0.09,,,,0.2560,0.09,,874.00M,875.00M,0.18,,AOR,Restated
2019-03,5.737B,5.737B,5.252B,485.00M,59.00M,59.00M,,-61.00M,151.00M,8.00M,-143.00M,,59.00M,426.00M,8.00M,151.00M,-143.00M,-91.00M,-143.00M,192.00M,40.00M,152.00M,,,0.00,152.00M,200.25M,759.00M,416.00M,343.00M,,0.17,,,,0.2253,0.17,,0.17,,,,0.2253,0.17,,873.00M,873.00M,0.18,,AOR,Restated
2018-12,5.936B,5.936B,5.269B,667.00M,59.00M,59.00M,0.00,0.00,104.00M,,-137.00M,,59.00M,608.00M,,104.00M,-137.00M,-13.00M,-137.00M,458.00M,-210.00M,668.00M,,,-4.00M,664.00M,664.00M,984.00M,422.00M,562.00M,,0.76,,,,0.76,0.76,,0.76,,,,0.76,0.76,,872.00M,872.00M,0.18,,AOR,Restated
2018-09,6.172B,6.172B,5.384B,788.00M,72.00M,72.00M,0.00,0.00,150.00M,10.00M,-140.00M,,72.00M,716.00M,10.00M,150.00M,-140.00M,-42.00M,-140.00M,534.00M,100.00M,434.00M,,,1.00M,435.00M,435.00M,1.084B,400.00M,684.00M,,0.50,,,,0.50,0.50,,0.50,,,,0.50,0.50,,877.00M,878.00M,0.18,,AOR,Restated
