,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.321B,1.321B,831.00M,490.00M,281.00M,82.00M,363.00M,79.00M,118.00M,-118.00M,60.00M,423.00M,67.00M,118.00M,-118.00M,96.00M,-118.00M,45.00M,72.00M,-27.00M,,,-70.00M,,-97.00M,-154.67M,649.00M,486.00M,163.00M,,-0.3159,,,-0.5037,-0.3159,,-0.3179,,,-0.5057,-0.3179,,307.08M,307.08M,0.25,,AOR,
2020-09,1.159B,1.159B,860.00M,299.00M,221.00M,84.00M,305.00M,0.00,118.00M,-118.00M,71.00M,376.00M,-77.00M,118.00M,-118.00M,17.00M,-118.00M,-178.00M,5.00M,-183.00M,,,-60.00M,,-243.00M,-243.00M,458.00M,518.00M,-60.00M,,-0.80,,,-0.80,-0.80,,-0.80,,,-0.80,-0.80,,305.00M,305.00M,0.25,,AOR,
2020-06,833.00M,833.00M,819.00M,14.00M,56.00M,89.00M,145.00M,8.00M,119.00M,-119.00M,31.00M,176.00M,-162.00M,119.00M,-119.00M,9.00M,-119.00M,-272.00M,-9.00M,-263.00M,,,-57.00M,,-320.00M,-327.74M,356.00M,509.00M,-153.00M,,-1.05,,,-1.075,-1.05,,-1.05,,,-1.075,-1.05,,305.00M,305.00M,0.25,,AOR,
2020-03,1.354B,1.354B,906.00M,448.00M,378.00M,102.00M,480.00M,-2.126B,113.00M,-113.00M,189.00M,669.00M,-221.00M,113.00M,-113.00M,-2.111B,-113.00M,-2.445B,-79.00M,-2.366B,,,-67.00M,,-2.433B,-375.69M,-1.771B,561.00M,-2.332B,,-8.00,,,-1.233,-8.00,,-8.00,,,-1.233,-8.00,,304.00M,304.00M,0.25,,AOR,
2019-12,1.683B,1.683B,1.003B,680.00M,428.00M,131.00M,559.00M,0.00,95.00M,-95.00M,106.00M,665.00M,15.00M,95.00M,-95.00M,16.00M,-95.00M,-64.00M,119.00M,-183.00M,,,-39.00M,0.00,-222.00M,-222.00M,617.00M,586.00M,31.00M,,-0.7280,,,-0.7280,-0.7280,,-0.73,,,-0.73,-0.73,,302.70M,302.70M,0.25,,AOR,
2019-09,1.58B,1.58B,912.00M,668.00M,423.00M,90.00M,513.00M,0.00,90.00M,-90.00M,50.00M,563.00M,105.00M,90.00M,-90.00M,-65.00M,-90.00M,-50.00M,116.00M,-166.00M,,,-46.00M,,-212.00M,-212.00M,584.00M,544.00M,40.00M,,-0.70,,,-0.70,-0.70,,-0.70,,,-0.70,-0.70,,302.50M,302.50M,0.25,,AOR,Restated
2019-06,1.66B,1.66B,825.00M,835.00M,477.00M,89.00M,566.00M,22.00M,97.00M,-97.00M,43.00M,609.00M,226.00M,97.00M,-97.00M,37.00M,-97.00M,166.00M,132.00M,34.00M,,,-40.00M,,-6.00M,-22.06M,757.00M,494.00M,263.00M,,-0.02,,,-0.0731,-0.02,,-0.02,,,-0.0731,-0.02,,302.20M,302.20M,0.25,,AOR,Restated
2019-03,1.572B,1.572B,803.00M,769.00M,408.00M,87.00M,495.00M,0.00,98.00M,-98.00M,34.00M,529.00M,240.00M,98.00M,-98.00M,27.00M,-98.00M,169.00M,94.00M,75.00M,,,-43.00M,4.00M,32.00M,32.00M,765.00M,498.00M,267.00M,,0.09,,,0.09,0.09,,0.09,,,0.09,0.09,,297.40M,299.70M,0.25,,AOR,Restated
2018-12,1.65B,1.65B,868.00M,782.00M,472.00M,91.00M,563.00M,0.00,99.00M,-99.00M,91.00M,654.00M,128.00M,99.00M,-99.00M,32.00M,-99.00M,61.00M,27.00M,34.00M,,,-38.00M,12.00M,-4.00M,-4.00M,693.00M,533.00M,160.00M,,-0.0549,,,-0.0549,-0.0549,,-0.0549,,,-0.0549,-0.0549,,291.60M,291.60M,0.25,,AOR,Restated
2018-09,1.793B,1.793B,802.00M,991.00M,491.00M,143.00M,634.00M,14.00M,99.00M,-99.00M,169.00M,803.00M,188.00M,99.00M,-99.00M,35.00M,-99.00M,124.00M,121.00M,3.00M,,,-45.00M,11.00M,-42.00M,-52.22M,712.00M,489.00M,223.00M,,-0.18,,,-0.2147,-0.18,,-0.18,,,-0.2147,-0.18,,294.30M,294.30M,0.25,,AOR,Restated
