,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,278.50M,8.60M,,,8.60M,,,71.00M,71.00M,11.70M,,61.10M,-447.20M,,764.80M,14.30M,,-83.90M,248.00M,,689.30M,,-40.10M,,,0.00,,0.90M,-39.20M,,-0.40M,-0.60M,-1.00M,,,,,,-99.40M,,-99.40M,0.00,-15.00M,-115.40M,,1.087B,534.70M,8.60M,1.630B,,,1.90M,-0.40M,,,AOR,
2020-06,-43.90M,19.90M,,,19.90M,,,73.10M,73.10M,-9.90M,,93.60M,987.30M,,-1.215B,-17.50M,,8.60M,-236.70M,,-87.10M,,-27.30M,,,-1.20M,,-4.00M,-32.50M,,-0.10M,-245.30M,-245.40M,,,,,,-99.20M,,-99.20M,0.00,-22.10M,-366.70M,,1.556B,-486.30M,17.80M,1.087B,,,0.00,-0.10M,,,AOR,
2020-03,2.60M,23.30M,,,23.30M,,,72.80M,72.80M,-11.20M,,26.70M,1.303B,,-1.626B,-57.50M,,-33.50M,-413.90M,,-277.10M,,-44.60M,,,-1.30M,,-14.90M,-60.80M,,646.20M,247.80M,894.00M,,,,,,-100.00M,,-100.00M,0.00,-49.60M,744.40M,,1.196B,406.50M,-46.70M,1.556B,,,646.20M,,,,AOR,
2019-12,342.20M,23.90M,,,23.90M,,,65.40M,65.40M,11.20M,,24.00M,-1.008B,,1.600B,2.30M,,42.70M,636.50M,,1.106B,,-64.70M,,,0.00,,23.70M,-41.00M,,-103.10M,-192.90M,-296.00M,,,,,,-90.90M,,-90.90M,0.10M,-11.20M,-398.00M,,524.00M,666.60M,5.10M,1.196B,,,-173.10M,-103.10M,,,AOR,
2019-09,168.40M,7.70M,,,7.70M,,,69.00M,69.00M,1.50M,,16.00M,190.30M,,-257.10M,32.60M,,-4.80M,-39.00M,,224.60M,,-53.70M,,,0.00,,10.90M,-42.80M,,-200.10M,40.80M,-159.30M,,,,,,-90.80M,,-90.80M,3.60M,-6.80M,-253.30M,,616.90M,-71.50M,-21.40M,524.00M,,,173.10M,-200.10M,,,AOR,Restated
2019-06,172.80M,3.20M,,,3.20M,,,73.00M,73.00M,28.00M,,15.80M,-245.30M,,269.70M,17.30M,,-45.30M,-3.60M,,292.50M,,-47.30M,,,-0.60M,,0.70M,-47.20M,,-100.10M,-68.70M,-168.80M,,,,,,-90.80M,,-90.80M,0.00,-18.80M,-278.40M,,633.30M,-33.10M,16.70M,616.90M,,,0.00,-100.10M,,,AOR,Restated
2019-03,-9.50M,8.60M,,,8.60M,,,71.10M,71.10M,-31.00M,,43.60M,913.20M,,-1.039B,-79.40M,,25.30M,-179.70M,,-93.50M,,-32.80M,,,0.00,,2.10M,-30.70M,,0.00,201.00M,201.00M,,,,,,-90.60M,,-90.60M,0.60M,-24.30M,86.70M,,677.20M,-37.50M,-6.40M,633.30M,,,0.00,,,,AOR,Restated
2018-12,342.50M,11.90M,,,11.90M,,,68.90M,68.90M,37.00M,,21.80M,-953.90M,,1.358B,33.40M,,-24.80M,412.60M,,891.80M,,-71.40M,,,-2.298B,,-5.70M,-2.375B,,400.10M,-12.90M,387.20M,,0.00,0.00,,,-80.50M,,-80.50M,6.40M,-10.50M,302.60M,,1.870B,-1.180B,-12.00M,677.20M,,,500.00M,-99.90M,0.00,,AOR,Restated
2018-09,163.50M,5.80M,,,5.80M,,,44.00M,44.00M,8.10M,,17.50M,136.30M,,-198.20M,24.00M,,26.70M,-11.20M,,231.00M,,-44.20M,,,-3.50M,,-11.30M,-59.00M,,1.994B,-673.90M,1.320B,,-2.60M,-2.60M,,,-80.40M,,-80.40M,2.10M,-29.60M,1.210B,,495.90M,1.382B,-7.80M,1.870B,,,1.994B,-0.20M,-2.60M,,AOR,Restated
2018-06,147.80M,19.80M,,,19.80M,,,44.00M,44.00M,-10.20M,,12.40M,-450.20M,,403.60M,-36.30M,0.00,37.30M,-45.60M,,172.20M,,-38.70M,,,-8.30M,,12.50M,-34.50M,,-4.70M,-49.50M,-54.20M,,-59.60M,-59.60M,,,-80.40M,,-80.40M,0.10M,-23.10M,-217.20M,,600.00M,-79.50M,-24.60M,495.90M,,,,-4.70M,-59.60M,,AOR,Restated
2018-03,-16.10M,24.40M,,,24.40M,,,46.00M,46.00M,-20.80M,,38.20M,454.50M,,-1.159B,-88.30M,,-11.10M,-803.70M,,-729.90M,,-22.80M,,,-0.20M,,-0.10M,-23.10M,,,718.80M,718.80M,,-54.90M,-54.90M,,,-80.80M,,-80.80M,6.90M,-31.80M,558.20M,,797.70M,-194.80M,-2.90M,600.00M,,,,,-54.90M,,AOR,Restated
2017-12,269.20M,3.20M,,,3.20M,,,32.60M,32.60M,-28.30M,,20.40M,-836.80M,,1.345B,114.00M,,101.90M,723.70M,,1.021B,,-47.20M,,,-8.00M,,-0.50M,-55.70M,,-301.00M,-426.90M,-727.90M,,-84.10M,-84.10M,,,-69.10M,,-69.10M,1.00M,-11.70M,-891.80M,,708.00M,73.30M,16.40M,797.70M,,,0.00,-301.00M,-84.10M,,AOR,Restated
2017-09,172.30M,8.70M,,,8.70M,,,42.20M,42.20M,9.30M,,21.10M,104.70M,,-284.30M,20.60M,,-81.40M,-240.40M,,14.10M,,-39.80M,,,-10.00M,,5.30M,-44.50M,,0.00,276.40M,276.40M,,-101.00M,-101.00M,,,-69.80M,,-69.80M,0.30M,-19.60M,86.30M,,659.90M,55.90M,-7.80M,708.00M,,,0.00,0.00,-101.00M,,AOR,Restated
2017-06,107.60M,13.10M,,,13.10M,,,41.30M,41.30M,21.50M,,21.20M,4.10M,,26.20M,-15.90M,,-3.10M,11.30M,,218.70M,,-44.10M,,,-9.30M,,-9.40M,-62.80M,,-23.60M,-71.30M,-94.90M,,-60.00M,-60.00M,,,-70.50M,,-70.50M,3.60M,-42.00M,-263.80M,,779.60M,-107.90M,-11.80M,659.90M,,,,-23.60M,-60.00M,,AOR,Restated
2017-03,21.30M,-0.90M,,,-0.90M,,,41.00M,41.00M,-12.00M,,37.80M,600.10M,,-991.40M,-68.60M,,-5.00M,-464.90M,,-371.80M,,-24.80M,,,-3.30M,,-5.10M,-33.20M,,,224.80M,224.80M,,-55.00M,-55.00M,,,-70.90M,,-70.90M,8.20M,-42.70M,64.40M,,1.100B,-340.60M,20.00M,779.60M,,,,,-55.00M,,AOR,Restated
2016-12,333.40M,25.30M,,,25.30M,,,42.70M,42.70M,42.00M,,33.70M,-648.00M,,687.80M,21.10M,,-1.40M,59.50M,,539.70M,,-86.20M,,,-4.10M,,-6.10M,-96.40M,,-0.70M,-22.30M,-23.00M,,-110.00M,-110.00M,,,-58.80M,,-58.80M,0.00,-7.70M,-199.50M,,895.50M,243.80M,-39.10M,1.100B,,,,-0.70M,-110.00M,,AOR,Restated
2016-09,132.70M,-3.90M,,,-3.90M,,,39.70M,39.70M,6.80M,,21.60M,107.70M,,204.20M,12.70M,,-0.60M,324.00M,,526.90M,,-51.50M,,,-13.60M,,-0.20M,-65.30M,,-0.10M,-88.90M,-89.00M,,-80.80M,-80.80M,,,-59.50M,,-59.50M,0.40M,-11.00M,-239.90M,,675.70M,221.70M,-1.90M,895.50M,,,,-0.10M,-80.80M,,AOR,Restated
2016-06,160.20M,3.70M,,,3.70M,,,39.80M,39.80M,23.90M,,21.40M,-231.80M,,83.00M,27.10M,,-31.90M,-153.60M,,99.80M,,-36.00M,,,-7.30M,,0.60M,-42.70M,,-1.00M,74.70M,73.70M,,-58.80M,-58.80M,,,-60.20M,,-60.20M,5.90M,-33.30M,-72.70M,,675.40M,-15.60M,15.90M,675.70M,,,,-1.00M,-58.80M,,AOR,Restated
2016-03,2.70M,16.30M,,,16.30M,,,38.00M,38.00M,-28.10M,,50.00M,549.20M,,-1.184B,-60.40M,,-41.00M,-735.70M,,-653.60M,,-27.00M,,,-27.00M,,-5.50M,-59.50M,,,-19.70M,-19.70M,,-53.70M,-53.70M,,,-59.90M,,-59.90M,3.90M,-24.90M,-154.30M,,1.506B,-867.40M,36.70M,675.40M,,,,,-53.70M,,AOR,Restated
2015-12,282.90M,12.00M,,,12.00M,,,40.70M,40.70M,83.20M,,33.40M,-546.80M,,1.033B,2.40M,,-12.90M,475.40M,,926.80M,,-80.40M,,,-22.70M,,-6.10M,-109.20M,,,22.40M,20.40M,,-112.90M,-112.90M,,,-48.30M,,-48.30M,1.70M,-22.80M,-161.90M,,874.30M,655.70M,-27.70M,1.506B,,,,,-112.90M,,AOR,Restated
2015-09,78.00M,37.80M,,,37.80M,,,38.10M,38.10M,-33.90M,,19.40M,-158.00M,,308.10M,5.60M,,-18.80M,136.90M,,281.80M,,-30.90M,,,-5.90M,,-3.80M,-40.60M,,,-25.50M,-25.50M,,-70.30M,-70.30M,,,-48.70M,,-48.70M,1.20M,-8.70M,-152.00M,,848.90M,89.20M,-63.80M,874.30M,,,,,-70.30M,,AOR,Restated
2015-06,123.80M,0.20M,,,0.20M,,,39.50M,39.50M,32.00M,,18.50M,-118.50M,,146.10M,13.30M,,1.70M,42.60M,,260.60M,,-29.60M,,,0.00,,-0.30M,-29.90M,,,20.60M,20.60M,,-50.80M,-50.80M,,,-49.20M,,-49.20M,1.50M,-31.80M,-109.70M,,734.30M,121.00M,-6.40M,848.90M,,,,,-50.80M,,AOR,Restated
2015-03,-4.20M,0.10M,,,0.10M,,,38.70M,38.70M,-31.80M,,29.00M,349.40M,,-1.103B,-31.00M,,-30.40M,-815.20M,,-780.70M,,-20.20M,,,0.00,,0.20M,-20.00M,,,34.30M,34.30M,,-51.20M,-51.20M,,,-49.30M,,-49.30M,9.10M,-10.20M,-67.30M,,1.661B,-868.00M,-58.30M,734.30M,,,,,-51.20M,,AOR,Restated
2014-12,331.30M,0.70M,,,0.70M,,,41.30M,41.30M,34.40M,,24.80M,-366.40M,,1.004B,7.80M,,1.60M,646.50M,,1.077B,,-54.30M,,,-20.80M,0.50M,17.60M,-57.00M,,-1.10M,-21.90M,-23.00M,,-127.00M,-127.00M,,,-39.10M,,-39.10M,8.20M,-17.00M,-197.90M,,896.00M,822.50M,-57.90M,1.661B,,,0.00,-1.10M,-127.00M,,AOR,Restated
2014-09,92.80M,-0.50M,,,-0.50M,,,41.00M,41.00M,41.80M,,15.30M,341.60M,,-364.90M,11.70M,,-6.00M,-17.60M,,176.20M,,-35.70M,,,-6.70M,-0.50M,0.10M,-42.80M,,0.00,8.40M,8.40M,,-50.80M,-50.80M,,,-39.80M,,-39.80M,1.20M,-4.50M,-85.50M,,895.10M,47.90M,-47.00M,896.00M,,,0.00,0.00,-50.80M,,AOR,Restated
2014-06,103.70M,,,,,,,40.20M,40.20M,30.20M,,23.30M,-315.40M,,320.90M,-29.00M,,-7.20M,-30.70M,,168.50M,,-32.10M,,,-18.20M,,-1.70M,-52.00M,,149.00M,-46.10M,102.90M,,-52.40M,-52.40M,,,-39.90M,,-39.90M,4.50M,-13.70M,1.40M,,771.00M,117.90M,6.20M,895.10M,,,499.10M,-350.10M,-52.40M,,AOR,Restated
2014-03,-22.40M,,,,,,,40.50M,40.50M,-22.90M,,20.10M,403.60M,,-1.079B,-47.70M,,-21.80M,-744.80M,,-725.70M,,-26.60M,,,-22.10M,,1.60M,-47.10M,,,-6.70M,-6.70M,,-44.90M,-44.90M,,,-40.20M,,-40.20M,6.20M,-5.10M,-90.70M,,1.637B,-863.50M,-2.30M,771.00M,,,,,-44.90M,,AOR,Restated
2013-12,212.10M,,,,1.00M,,,39.50M,39.50M,40.90M,,23.00M,-734.60M,,1.365B,27.50M,,48.00M,705.60M,,1.023B,,-81.40M,,,-14.10M,0.00,-0.90M,-96.40M,,-1.20M,-7.90M,-9.10M,,-201.00M,-201.00M,,,-31.90M,-2.90M,-34.80M,3.80M,-15.60M,-256.70M,,999.30M,670.20M,-32.70M,1.637B,,,0.00,-1.20M,-201.00M,,AOR,Restated
2013-09,49.20M,,,,15.20M,,,40.50M,40.50M,42.80M,,13.50M,261.20M,,-240.70M,17.60M,,-42.30M,-4.20M,,161.00M,,-44.80M,,,0.20M,-0.80M,-0.30M,-45.70M,,-600.00M,-5.80M,-605.80M,,-100.20M,-100.20M,,,-31.40M,-2.90M,-34.30M,12.10M,-1.40M,-729.60M,,1.614B,-614.30M,-0.30M,999.30M,,,0.00,-600.00M,-100.20M,,AOR,Restated
2013-06,86.10M,,,,,,,39.20M,39.20M,35.20M,,0.90M,-286.40M,,306.30M,-3.20M,,2.00M,18.70M,,183.70M,,-29.00M,,,-10.20M,0.50M,-3.90M,-42.60M,,-1.20M,30.50M,29.30M,,-104.80M,-104.80M,,,-31.70M,-2.90M,-34.60M,13.40M,-25.20M,-121.90M,,1.646B,19.20M,-51.00M,1.614B,,,0.00,-1.20M,-104.80M,,AOR,Restated
2013-03,-58.50M,,,,,,,38.20M,38.20M,-49.50M,,16.50M,361.20M,,-1.03B,-53.20M,,-3.60M,-725.60M,,-775.10M,,-17.80M,,,-34.90M,11.10M,1.80M,-39.80M,,,-11.40M,-11.40M,,-75.80M,-75.80M,,,-31.00M,-2.90M,-33.90M,18.10M,-1.10M,-104.10M,,2.575B,-919.00M,-10.10M,1.646B,,,,,-75.80M,,AOR,Restated
2012-12,337.10M,,,,,,,38.90M,38.90M,135.10M,,10.60M,-460.30M,,846.50M,21.30M,,-37.60M,369.90M,,802.50M,,-69.90M,,,90.20M,-0.40M,-0.80M,19.10M,,797.30M,-32.90M,764.40M,,-149.10M,-149.10M,,,-25.30M,-2.90M,-28.20M,2.30M,-18.40M,571.00M,,1.187B,1.393B,-5.10M,2.575B,,,797.80M,-0.50M,-149.10M,,AOR,Restated
2012-09,67.70M,,,,,,,37.40M,37.40M,11.90M,,10.50M,-55.10M,,-212.60M,28.20M,,4.60M,-234.90M,,-104.70M,,-41.10M,,,-89.50M,-0.50M,-0.60M,-131.70M,,-0.50M,17.00M,16.50M,,-83.30M,-83.30M,,,-25.80M,-2.90M,-28.70M,0.80M,-3.90M,-98.60M,,1.502B,-335.00M,20.30M,1.187B,,,0.00,-0.50M,-83.30M,,AOR,Restated
2012-06,105.50M,,,,,,,36.80M,36.80M,8.10M,,12.10M,-151.70M,,147.20M,-11.90M,,9.40M,-7.00M,,157.90M,,-35.80M,,,-36.90M,0.00,-3.60M,-76.30M,,-0.40M,24.70M,24.30M,,-65.60M,-65.60M,,,-26.10M,-2.90M,-29.00M,2.80M,-44.60M,-112.10M,,1.573B,-30.50M,-40.60M,1.502B,,,0.00,-0.40M,-65.60M,,AOR,Restated
2012-03,-45.70M,,,,,,,34.60M,34.60M,-51.50M,,25.40M,548.60M,,-959.30M,-34.10M,,-23.20M,-468.00M,,-498.50M,,-22.40M,,,-2.10M,-0.30M,3.50M,-21.30M,,-153.30M,3.80M,-149.50M,,-52.50M,-52.50M,,,-26.20M,-2.90M,-29.10M,4.90M,-2.80M,-229.00M,,2.303B,-748.80M,19.20M,1.573B,,,246.80M,-400.10M,-52.50M,,AOR,Restated
2011-12,278.30M,,0.00,,0.00,,,41.40M,41.40M,59.20M,-35.80M,55.30M,-824.20M,,857.60M,310.10M,,-27.20M,316.30M,,717.40M,,-57.00M,,,-12.80M,0.00,1.90M,-67.90M,,-0.60M,-5.50M,-6.10M,,-131.80M,-131.80M,,,-26.70M,-2.90M,-29.60M,0.10M,49.10M,-118.30M,,1.785B,531.20M,-13.50M,2.303B,,,-48.00M,-0.60M,-131.80M,,AOR,Restated
2011-09,217.50M,,-132.20M,,-132.20M,,,36.20M,36.20M,60.80M,10.30M,2.20M,314.80M,,-135.30M,-213.70M,,-4.80M,-39.00M,,157.80M,,-30.20M,,,-18.70M,133.50M,9.00M,93.60M,,-36.80M,23.30M,-13.50M,,-130.00M,-130.00M,,,-27.60M,-2.90M,-30.50M,0.20M,-28.20M,-202.00M,,1.810B,49.40M,-74.20M,1.785B,,,23.30M,-36.80M,-130.00M,,AOR,Restated
2011-06,108.90M,,,,,,,37.70M,37.70M,16.90M,11.70M,0.00,-118.40M,,172.10M,-109.80M,,75.20M,19.10M,,200.00M,,-36.20M,,,-31.90M,,0.40M,-67.70M,,-0.70M,29.70M,29.00M,,-128.50M,-128.50M,,,-25.20M,-2.90M,-28.10M,3.30M,-51.00M,-175.30M,,1.840B,-43.00M,12.60M,1.810B,,,29.70M,-0.70M,-128.50M,,AOR,Restated
2011-03,-53.20M,,,,,,,35.60M,35.60M,-53.00M,13.80M,13.70M,369.40M,,-953.40M,-28.60M,,-146.00M,-758.60M,,-801.70M,,-16.90M,,,0.30M,,-0.20M,-16.80M,,-0.80M,-5.00M,-5.80M,,-10.50M,-10.50M,,,-31.60M,-2.90M,-34.50M,8.40M,-3.00M,-45.40M,,2.676B,-863.90M,28.40M,1.840B,,,-5.00M,-0.80M,-10.50M,,AOR,Restated
2010-12,222.80M,,,,,,,36.90M,36.90M,63.50M,-35.50M,35.90M,-587.70M,,986.70M,240.50M,,5.30M,644.80M,,979.10M,,-46.60M,,,1.10M,0.00,20.60M,-24.90M,,-193.10M,-8.50M,-201.60M,,0.00,0.00,0.00,0.00,18.20M,-2.90M,15.30M,-1.00M,-32.70M,-220.00M,,1.928B,734.20M,13.80M,2.676B,,,-25.90M,-193.10M,0.00,,AOR,Restated
2010-09,45.60M,,,0.00,0.00,,,37.30M,37.30M,-11.90M,10.80M,16.40M,62.00M,25.30M,-67.40M,-79.60M,,8.60M,-51.10M,,40.40M,,-21.40M,,,-84.90M,0.00,32.00M,-74.30M,,-2.80M,22.30M,19.50M,,0.00,0.00,0.00,0.00,-6.10M,-2.90M,-9.00M,1.00M,-23.30M,-11.80M,,1.930B,-45.70M,43.50M,1.928B,,,22.30M,-2.80M,0.00,,AOR,Restated
2010-06,12.80M,,,,,,,36.80M,36.80M,43.10M,12.00M,77.70M,-416.30M,-25.30M,703.00M,-122.00M,,25.90M,165.30M,,353.30M,,-18.90M,,,-2.60M,,-0.80M,-22.30M,,-21.40M,11.40M,-10.00M,,0.00,0.00,-265.90M,-265.90M,-7.60M,-6.90M,-14.50M,0.00,-9.30M,-299.70M,,1.929B,31.30M,-30.20M,1.930B,,,11.40M,-21.40M,-265.90M,,AOR,Restated
2010-03,,,,,,,,37.40M,37.40M,-38.70M,12.70M,-59.40M,271.60M,,-688.50M,-39.10M,,-52.60M,-508.60M,,-555.50M,,-9.40M,,,24.50M,,-2.10M,13.00M,,,-7.80M,-7.80M,,0.00,0.00,,,-4.50M,-6.90M,-11.40M,0.00,3.00M,-16.20M,,2.495B,-558.70M,-7.70M,1.929B,,,-7.80M,,0.00,,AOR,Restated
2009-12,159.70M,,,,,,,43.40M,43.40M,98.60M,10.90M,-16.50M,-633.40M,33.10M,1.002B,24.30M,,-8.00M,418.10M,,739.30M,,-23.40M,,,4.90M,-1.30M,1.90M,-17.90M,,-12.70M,12.10M,-0.60M,,,,0.00,0.00,-1.10M,-6.90M,-8.00M,,4.20M,-4.40M,,1.762B,717.00M,16.70M,2.495B,,,0.00,-0.60M,0.00,,AOR,Restated
