,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,130.00M,,-8.00M,1.00M,-7.00M,344.00M,344.00M,-16.00M,,,26.00M,,5.00M,-73.00M,317.00M,268.00M,750.00M,,-176.00M,,,-57.00M,-1.00M,-2.00M,-236.00M,,-97.00M,-97.00M,,-101.00M,-101.00M,,,-1.00M,1.00M,-198.00M,,1.464B,316.00M,34.00M,1.814B,,,0.00,-97.00M,-101.00M,,AOR,
2020-09,108.00M,,-3.00M,-3.00M,-6.00M,319.00M,319.00M,-58.00M,,,33.00M,,5.00M,120.00M,53.00M,173.00M,574.00M,,-157.00M,,,-33.00M,-1.00M,,-191.00M,,-36.00M,-36.00M,,0.00,0.00,,,-2.00M,-15.00M,-53.00M,,1.109B,330.00M,25.00M,1.464B,,,1.00M,-37.00M,0.00,,AOR,
2020-06,-21.00M,,-22.00M,1.00M,-21.00M,308.00M,308.00M,-62.00M,,,36.00M,,5.00M,208.00M,19.00M,227.00M,472.00M,,-142.00M,,,-80.00M,4.00M,-1.00M,-219.00M,,-40.00M,-40.00M,,-1.00M,-1.00M,,,0.00,-32.00M,-73.00M,,927.00M,180.00M,2.00M,1.109B,,,1.05B,-1.09B,-1.00M,,AOR,
2020-03,91.00M,,8.00M,-6.00M,2.00M,316.00M,316.00M,-40.00M,,,,,3.00M,,-209.00M,-209.00M,163.00M,,-141.00M,,,3.00M,-13.00M,1.00M,-150.00M,,515.00M,515.00M,,-345.00M,-345.00M,,,-41.00M,-22.00M,107.00M,,837.00M,120.00M,-30.00M,927.00M,,,1.79B,-1.275B,-345.00M,,AOR,
2019-12,20.00M,,-43.00M,8.00M,-34.00M,314.00M,314.00M,-3.00M,,,59.00M,,3.00M,45.00M,36.00M,224.00M,583.00M,,-137.00M,,,-130.00M,-13.00M,0.00,-280.00M,,-58.00M,-58.00M,,-270.00M,-270.00M,,,-4.00M,-11.00M,-343.00M,,863.00M,-40.00M,14.00M,837.00M,,,812.00M,-870.00M,-270.00M,,AOR,Restated
2019-09,69.00M,,5.00M,1.00M,6.00M,299.00M,299.00M,-88.00M,,,27.00M,,4.00M,-115.00M,128.00M,13.00M,330.00M,,-149.00M,,,-254.00M,0.00,3.00M,-400.00M,,375.00M,375.00M,,-298.00M,-298.00M,,,3.00M,-41.00M,39.00M,,938.00M,-31.00M,-44.00M,863.00M,,,1.41B,-1.035B,-298.00M,,AOR,Restated
2019-06,71.00M,,-2.00M,-1.00M,-3.00M,294.00M,294.00M,-54.00M,,,34.00M,,3.00M,-52.00M,98.00M,46.00M,391.00M,,-155.00M,,,-31.00M,-10.00M,1.00M,-195.00M,,50.00M,50.00M,,-236.00M,-236.00M,,,3.00M,-17.00M,-200.00M,,936.00M,-4.00M,6.00M,938.00M,,,1.41B,-1.36B,-236.00M,,AOR,Restated
2019-03,67.00M,,-3.00M,1.00M,-2.00M,295.00M,295.00M,-12.00M,,,26.00M,,3.00M,,-264.00M,-264.00M,113.00M,,-141.00M,,,-173.00M,-2.00M,1.00M,-315.00M,,380.00M,380.00M,,-145.00M,-145.00M,,,9.00M,-16.00M,228.00M,,891.00M,26.00M,19.00M,936.00M,,,790.00M,-410.00M,-145.00M,,AOR,Restated
2018-12,76.00M,,6.00M,-2.00M,4.00M,294.00M,294.00M,6.00M,,,35.00M,,3.00M,-297.00M,112.00M,-1.00M,417.00M,,-138.00M,,,-47.00M,-1.00M,8.00M,-178.00M,,460.00M,460.00M,,-604.00M,-604.00M,,,-3.00M,-11.00M,-158.00M,,827.00M,81.00M,-17.00M,891.00M,,,645.00M,-185.00M,-604.00M,,AOR,Restated
2018-09,67.00M,,0.00,-2.00M,-2.00M,283.00M,283.00M,-69.00M,,,31.00M,,3.00M,114.00M,-83.00M,31.00M,344.00M,,-123.00M,,,-47.00M,-6.00M,-6.00M,-182.00M,,-75.00M,-75.00M,,-133.00M,-133.00M,,,20.00M,-13.00M,-201.00M,,879.00M,-39.00M,-13.00M,827.00M,,,340.00M,-415.00M,-133.00M,,AOR,Restated
