,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2020-12,3.298B,3.298B,2.172B,1.126B,491.00M,-3.00M,102.00M,2.00M,-100.00M,835.00M,291.00M,2.00M,102.00M,-100.00M,,-100.00M,194.00M,63.00M,130.00M,-11.00M,119.00M,121.03M,640.00M,344.00M,296.00M,,0.62,0.6306,0.62,,0.61,0.6204,0.61,,191.30M,195.30M,,AOR,
2020-09,2.786B,2.786B,1.80B,986.00M,460.00M,-20.00M,100.00M,1.00M,-99.00M,779.00M,207.00M,1.00M,100.00M,-99.00M,-6.00M,-99.00M,102.00M,-3.00M,108.00M,-7.00M,101.00M,115.60M,521.00M,319.00M,202.00M,,0.53,0.6063,0.53,,0.52,0.5949,0.52,,191.30M,194.90M,,AOR,
2020-06,2.521B,2.521B,1.704B,817.00M,431.00M,-28.00M,108.00M,1.00M,-107.00M,739.00M,78.00M,1.00M,108.00M,-107.00M,4.00M,-107.00M,-25.00M,-5.00M,-21.00M,-2.00M,-23.00M,-0.60M,391.00M,308.00M,83.00M,,-0.12,-0.0027,-0.12,,-0.12,-0.0027,-0.12,,190.90M,190.90M,,AOR,
2020-03,2.754B,2.754B,1.824B,930.00M,407.00M,-14.00M,106.00M,2.00M,-104.00M,723.00M,207.00M,2.00M,106.00M,-104.00M,-1.00M,-104.00M,102.00M,17.00M,91.00M,-9.00M,82.00M,93.66M,524.00M,316.00M,208.00M,,0.43,0.4909,0.43,,0.42,0.4796,0.42,,191.60M,195.70M,,AOR,
2019-12,2.895B,2.895B,1.901B,994.00M,484.00M,-30.00M,109.00M,2.00M,-107.00M,798.00M,196.00M,2.00M,109.00M,-107.00M,7.00M,-107.00M,96.00M,68.00M,20.00M,-4.00M,16.00M,37.90M,519.00M,314.00M,205.00M,,0.09,0.2036,0.09,,0.09,0.2012,0.09,,192.70M,196.90M,,AOR,Restated
2019-09,2.769B,2.769B,1.852B,917.00M,395.00M,-43.00M,114.00M,3.00M,-111.00M,694.00M,223.00M,3.00M,114.00M,-111.00M,-43.00M,-111.00M,69.00M,-1.00M,69.00M,-12.00M,57.00M,88.39M,482.00M,299.00M,183.00M,,0.29,0.4514,0.29,,0.29,0.4477,0.29,,194.50M,199.00M,,AOR,Restated
2019-06,2.74B,2.74B,1.799B,941.00M,436.00M,-14.00M,114.00M,2.00M,-112.00M,730.00M,211.00M,2.00M,114.00M,-112.00M,-21.00M,-112.00M,78.00M,8.00M,71.00M,-11.00M,60.00M,72.56M,486.00M,294.00M,192.00M,,0.31,0.3740,0.31,,0.30,0.3626,0.30,,196.20M,200.60M,,AOR,Restated
2019-03,2.684B,2.684B,1.748B,936.00M,419.00M,-12.00M,110.00M,2.00M,-108.00M,714.00M,222.00M,2.00M,110.00M,-108.00M,-5.00M,-108.00M,109.00M,41.00M,67.00M,-9.00M,58.00M,65.49M,514.00M,295.00M,219.00M,,0.29,0.3280,0.29,,0.29,0.3271,0.29,,197.00M,201.70M,,AOR,Restated
2018-12,2.688B,2.688B,1.742B,946.00M,443.00M,-2.00M,106.00M,3.00M,-103.00M,737.00M,209.00M,3.00M,106.00M,-103.00M,-2.00M,-103.00M,104.00M,30.00M,76.00M,-7.00M,69.00M,70.42M,504.00M,294.00M,210.00M,,0.34,0.3471,0.34,,0.34,0.3470,0.34,,199.20M,204.00M,,AOR,Restated
2018-09,2.594B,2.594B,1.678B,916.00M,429.00M,-23.00M,105.00M,2.00M,-103.00M,712.00M,204.00M,2.00M,105.00M,-103.00M,-50.00M,-103.00M,51.00M,-14.00M,67.00M,-7.00M,60.00M,76.79M,439.00M,283.00M,156.00M,,0.30,0.3830,0.30,,0.29,0.3712,0.29,,202.30M,206.80M,,AOR,Restated
