,NetIncome,NetForeignCurrencyExchangeGain/Loss,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,29.90M,6.20M,6.20M,114.20M,114.20M,114.20M,-25.10M,19.90M,12.80M,28.60M,-3.00M,102.60M,-112.10M,12.70M,0.20M,186.70M,,-8.10M,0.20M,0.20M,-31.90M,,-39.80M,,-9.60M,,-9.60M,,-0.10M,-0.10M,5.90M,-15.20M,-19.00M,,1.174B,127.90M,11.80M,1.313B,,,0.00,-9.60M,-0.10M,43.40M,25.70M,,AOR,
2020-06,-176.60M,5.20M,3.20M,114.60M,114.60M,114.60M,26.20M,,12.70M,90.30M,115.60M,15.80M,98.70M,-53.10M,177.00M,247.40M,,-17.10M,1.30M,1.30M,0.00,,-15.80M,,385.10M,,385.10M,,-0.50M,-0.50M,4.10M,-9.90M,378.80M,,555.70M,610.40M,7.50M,1.174B,,,394.10M,-9.00M,-0.50M,18.10M,28.30M,,AOR,
2020-03,-36.80M,2.60M,4.60M,55.20M,55.20M,55.20M,-1.10M,,3.50M,17.10M,-4.10M,-23.60M,26.50M,27.10M,25.90M,68.40M,,-8.30M,0.10M,0.10M,41.30M,,33.10M,,-4.60M,,-4.60M,,-0.80M,-0.80M,2.70M,-39.20M,-41.90M,,505.50M,59.60M,-9.40M,555.70M,,,1.586B,-1.591B,-0.80M,12.40M,25.90M,,AOR,
2019-12,25.70M,5.00M,6.00M,31.70M,31.70M,31.70M,-21.30M,0.00,5.80M,16.70M,7.00M,44.90M,-34.10M,16.40M,34.20M,99.00M,,-9.40M,0.20M,0.20M,0.00,,-9.20M,,-2.00M,,-2.00M,,-1.30M,-1.30M,5.40M,-0.50M,1.60M,,406.40M,91.40M,7.70M,505.50M,,,0.00,-2.00M,-1.30M,7.80M,21.60M,,AOR,
2019-09,41.30M,-0.60M,-0.60M,30.30M,30.30M,30.30M,-6.50M,0.00,-0.20M,12.90M,30.50M,8.80M,0.50M,-2.80M,37.00M,114.20M,,-9.10M,0.00,0.00,-11.50M,,-20.60M,,-2.00M,,-2.00M,,-0.20M,-0.20M,5.20M,0.00,3.00M,,317.50M,96.60M,-7.70M,406.40M,,,0.00,-2.00M,-0.20M,22.30M,21.50M,,AOR,Restated
2019-06,45.00M,0.60M,0.50M,30.90M,30.90M,30.90M,11.60M,,6.10M,13.40M,11.80M,-1.50M,-26.00M,-30.50M,-46.20M,61.30M,,-10.50M,0.70M,0.80M,0.00,,-9.80M,,-1.90M,,-1.90M,,-8.60M,-8.60M,14.00M,-2.30M,1.20M,,263.70M,52.70M,1.10M,317.50M,,,0.00,-1.90M,-8.60M,18.00M,21.40M,,AOR,Restated
2019-03,47.10M,3.10M,3.20M,31.40M,31.40M,31.40M,-5.10M,,7.50M,14.10M,5.40M,-33.50M,24.30M,-25.60M,-29.40M,68.80M,,-14.20M,,-0.10M,-0.50M,,-14.70M,,-26.90M,,-26.90M,,-8.50M,-8.50M,18.10M,,-17.30M,,221.20M,36.80M,5.70M,263.70M,,,0.00,-26.90M,-8.50M,13.50M,21.10M,,AOR,Restated
2018-12,94.50M,-1.30M,-1.20M,32.40M,32.40M,32.40M,-23.50M,,-3.30M,13.40M,2.70M,31.70M,7.60M,-8.30M,33.70M,146.20M,,-20.10M,0.40M,0.40M,-72.70M,,-92.40M,,-75.20M,,-75.20M,,-24.00M,-24.00M,0.50M,,-100.20M,,269.00M,-46.40M,-1.40M,221.20M,,,,-75.20M,-24.00M,22.30M,23.30M,,AOR,Restated
2018-09,72.20M,-0.80M,0.10M,31.00M,31.00M,31.00M,18.30M,,0.90M,13.40M,-32.70M,2.10M,20.50M,-22.00M,-32.10M,103.80M,,-11.20M,0.00,0.00,0.00,,-11.20M,,-151.90M,,-151.90M,,-7.50M,-7.50M,1.10M,,-158.30M,,337.80M,-65.70M,-3.10M,269.00M,,,,-151.90M,-7.50M,18.40M,23.50M,,AOR,Restated
2018-06,60.30M,-2.40M,-2.20M,31.50M,31.50M,31.50M,6.40M,,1.80M,13.70M,33.20M,-3.90M,-7.80M,1.30M,22.80M,134.30M,,-10.80M,0.10M,0.10M,-18.70M,,-29.40M,,-105.20M,,-105.20M,,-3.00M,-3.00M,1.90M,,-106.30M,,353.80M,-1.40M,-14.60M,337.80M,,,,-105.20M,-3.00M,48.60M,26.00M,,AOR,Restated
