,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,188.20M,,188.20M,247.10M,,247.10M,127.20M,127.20M,48.30M,,,11.40M,625.80M,0.00,227.50M,2.684B,8.698B,221.90M,11.83B,-2.874B,8.958B,,110.30M,110.30M,42.60M,,226.90M,9.338B,9.964B,,174.60M,40.20M,27.30M,,242.10M,134.40M,376.50M,39.00M,,6.40M,6.40M,24.60M,31.00M,29.90M,29.90M,,476.40M,3.764B,45.40M,3.810B,1.185B,1.185B,326.40M,108.80M,5.104B,5.580B,,6.30M,3.220B,830.90M,,5.40M,0.40M,4.057B,,AOR,
2020-09,646.00M,,646.00M,256.00M,,256.00M,127.90M,127.90M,,,,63.90M,1.094B,0.00,227.50M,,11.27B,227.00M,11.72B,-2.818B,8.902B,,141.10M,141.10M,44.10M,,184.60M,9.272B,10.37B,,,,,,,,466.30M,,,,10.90M,,10.90M,,,,477.20M,3.765B,49.80M,3.815B,1.177B,1.177B,325.80M,102.00M,5.094B,5.572B,,6.50M,3.552B,925.60M,,5.50M,-16.30M,4.468B,,AOR,
2020-06,620.10M,,620.10M,222.80M,,222.80M,131.20M,131.20M,,,,142.10M,1.116B,0.00,225.60M,,11.19B,228.50M,11.64B,-2.755B,8.887B,,141.10M,141.10M,44.00M,,99.70M,9.172B,10.29B,,,,,,,,440.60M,,,,16.30M,,16.30M,,,,456.90M,3.765B,53.30M,3.819B,1.165B,1.165B,324.50M,102.30M,5.086B,5.543B,,6.60M,3.511B,922.80M,,5.60M,-19.60M,4.420B,,AOR,
2020-03,91.00M,,91.00M,269.80M,,269.80M,143.60M,143.60M,,,,117.50M,621.90M,0.00,225.20M,,11.16B,203.50M,11.59B,-2.727B,8.864B,,141.10M,141.10M,45.90M,,92.50M,9.144B,9.766B,,,,,,,,453.60M,,,,17.10M,,17.10M,,,,470.70M,3.227B,51.40M,3.278B,1.149B,1.149B,323.90M,105.40M,4.533B,5.004B,,6.60M,3.532B,925.00M,,5.60M,-25.50M,4.438B,,AOR,
2019-12,148.80M,,148.80M,274.20M,,334.40M,150.60M,150.60M,68.60M,,,14.90M,728.60M,0.00,224.90M,2.575B,8.544B,170.20M,11.51B,-2.660B,8.853B,,111.70M,111.70M,47.60M,,45.90M,9.058B,9.787B,,157.10M,38.70M,34.40M,,230.20M,128.70M,358.90M,38.50M,,18.00M,18.00M,45.40M,63.40M,30.50M,30.50M,,491.30M,3.228B,85.70M,3.314B,1.128B,1.128B,323.40M,107.90M,4.550B,5.041B,,6.60M,3.601B,843.70M,,5.60M,-29.10M,4.422B,,AOR,Restated
2019-09,61.60M,,61.60M,273.40M,,273.40M,161.80M,161.80M,,,,117.10M,613.90M,0.00,222.70M,,11.01B,244.20M,11.48B,-2.636B,8.843B,,141.20M,141.20M,53.50M,,47.00M,9.084B,9.698B,,,,,,,,497.40M,,,,288.80M,,288.80M,,,,786.20M,2.395B,93.10M,2.488B,1.100B,1.100B,322.70M,126.70M,3.715B,4.501B,,6.60M,3.951B,947.30M,,5.60M,-30.60M,4.874B,,AOR,Restated
2019-06,47.60M,,47.60M,296.30M,,296.30M,154.50M,154.50M,,,,111.30M,609.70M,0.00,219.00M,,11.01B,188.00M,11.42B,-2.622B,8.797B,,141.20M,141.20M,48.00M,,42.60M,9.028B,9.638B,,,,,,,,483.40M,,,,283.90M,,283.90M,,,,767.30M,2.401B,103.80M,2.505B,1.088B,1.088B,322.30M,126.00M,3.719B,4.487B,,6.60M,3.899B,947.10M,,5.60M,-23.30M,4.829B,,AOR,Restated
2019-03,92.70M,,92.70M,277.90M,,277.90M,166.20M,166.20M,,,,117.60M,654.40M,0.00,219.00M,,10.97B,135.20M,11.32B,-2.567B,8.752B,,141.20M,141.20M,47.80M,,42.10M,8.983B,9.638B,,,,,,,,470.90M,,,,9.70M,,9.70M,,,,480.60M,2.678B,105.60M,2.783B,1.085B,1.085B,321.90M,138.70M,4.007B,4.488B,,6.70M,3.891B,946.10M,,5.70M,-15.80M,4.828B,,AOR,Restated
2018-12,100.50M,,100.50M,301.20M,,343.30M,160.30M,160.30M,28.00M,,,3.30M,635.40M,0.00,219.30M,,10.76B,152.50M,11.13B,-2.550B,8.578B,,113.20M,113.20M,44.90M,,98.40M,8.834B,9.470B,,180.50M,36.40M,35.20M,,252.10M,108.40M,360.50M,44.00M,,10.10M,10.10M,0.00,10.10M,32.40M,32.40M,,447.00M,2.679B,0.00,2.679B,1.080B,1.080B,319.70M,130.90M,3.890B,4.337B,,6.70M,3.871B,946.60M,,5.70M,-10.90M,4.813B,,AOR,Restated
2018-09,107.10M,,107.10M,272.00M,,272.00M,155.20M,155.20M,,,,81.60M,615.90M,0.00,219.40M,2.726B,7.805B,196.20M,10.95B,-2.443B,8.503B,,141.20M,141.20M,46.50M,,102.20M,8.793B,9.409B,,,,,,,,455.40M,,0.00,10.50M,10.50M,,10.50M,,,,465.90M,2.681B,,2.681B,1.069B,1.069B,319.00M,102.50M,3.852B,4.318B,,6.90M,3.818B,949.90M,,5.90M,-3.40M,4.772B,,AOR,Restated
