,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,348.90M,,348.90M,563.60M,,,563.60M,,,,645.50M,,,54.10M,1.612B,,,,,946.40M,946.40M,,946.40M,1.389B,806.70M,2.196B,,,,,3.142B,4.754B,,552.20M,,,,552.20M,,552.20M,,50.90M,50.90M,42.40M,93.30M,,,360.50M,1.006B,1.849B,122.10M,1.971B,386.30M,386.30M,,,,2.358B,3.364B,,,,,,,,,,1.390B,,AOR,
2020-09,245.00M,,245.00M,620.60M,1.20M,9.20M,642.30M,318.50M,50.80M,265.40M,585.30M,45.70M,,,1.518B,0.00,43.00M,729.10M,1.380B,164.40M,2.317B,-1.366B,950.10M,1.380B,714.60M,2.095B,,,,100.50M,3.146B,4.664B,,494.10M,,,,494.10M,270.70M,764.80M,,51.10M,51.10M,41.90M,93.00M,,,89.60M,947.40M,1.909B,125.30M,2.034B,204.60M,204.60M,,0.50M,177.40M,2.416B,3.364B,,2.00M,2.714B,539.00M,1.868B,,,,-87.40M,1.300B,,AOR,
2020-06,208.80M,,208.80M,555.90M,1.00M,12.00M,577.30M,314.60M,48.20M,258.70M,574.10M,50.10M,,,1.410B,0.00,42.40M,721.20M,1.363B,167.90M,2.295B,-1.329B,965.30M,1.374B,730.80M,2.104B,,,,102.20M,3.172B,4.582B,,361.40M,,,,361.40M,240.50M,601.90M,,51.10M,51.10M,41.80M,92.90M,,,80.70M,775.50M,2.083B,128.60M,2.212B,212.20M,212.20M,,0.40M,168.00M,2.592B,3.368B,,2.00M,2.663B,537.80M,1.872B,,,,-117.20M,1.214B,,AOR,
2020-03,505.80M,,505.80M,544.90M,1.10M,8.20M,568.20M,334.80M,52.00M,316.60M,655.50M,52.50M,,,1.782B,0.00,41.70M,696.30M,1.370B,155.30M,2.263B,-1.298B,964.80M,1.391B,744.00M,2.135B,,,,99.80M,3.20B,4.982B,,429.10M,,,,429.10M,244.00M,673.10M,,51.20M,51.20M,39.60M,90.80M,,,90.80M,854.70M,2.415B,117.90M,2.533B,197.10M,197.10M,,0.40M,158.50M,2.889B,3.743B,,2.00M,2.724B,533.50M,1.874B,,,,-147.30M,1.238B,,AOR,
2019-12,247.60M,,247.60M,563.40M,1.00M,11.70M,591.90M,323.50M,54.40M,308.70M,636.70M,61.90M,,,1.538B,0.00,43.50M,719.00M,1.389B,163.10M,2.314B,-1.320B,993.90M,1.406B,764.00M,2.170B,42.50M,9.00M,11.50M,39.20M,3.278B,4.816B,,463.40M,52.70M,22.00M,80.90M,619.00M,124.60M,743.60M,3.80M,51.10M,51.10M,39.30M,90.40M,11.90M,11.90M,20.90M,928.10M,2.066B,121.60M,2.188B,222.30M,236.90M,105.10M,0.50M,12.90M,2.576B,3.504B,,2.00M,2.734B,536.10M,1.884B,,,,-76.80M,1.312B,,AOR,
2019-09,242.00M,,242.00M,654.70M,0.90M,8.50M,677.30M,340.80M,59.60M,299.60M,635.80M,49.50M,,,1.605B,0.00,44.30M,707.10M,1.359B,156.00M,2.266B,-1.293B,973.30M,1.392B,770.60M,2.163B,,,,117.30M,3.253B,4.858B,,467.30M,,,,467.30M,270.60M,737.90M,,51.20M,51.20M,38.00M,89.20M,,,93.70M,920.80M,2.197B,119.00M,2.316B,217.10M,217.10M,,0.40M,148.20M,2.681B,3.602B,,2.00M,2.702B,531.40M,1.884B,,,,-95.80M,1.255B,,AOR,Restated
2019-06,289.70M,,289.70M,669.80M,1.00M,12.10M,700.30M,347.50M,57.50M,323.50M,656.70M,56.30M,,,1.703B,0.00,44.70M,695.90M,1.367B,169.80M,2.278B,-1.290B,987.70M,1.398B,790.10M,2.188B,,,,122.80M,3.299B,5.002B,,452.90M,,,,452.90M,263.30M,716.20M,,51.30M,51.30M,38.50M,89.80M,,,94.30M,900.30M,2.364B,131.40M,2.495B,218.80M,218.80M,,0.60M,149.20M,2.863B,3.763B,,2.00M,2.656B,530.10M,1.888B,,,,-62.20M,1.238B,,AOR,Restated
2019-03,263.30M,,263.30M,641.20M,1.60M,9.20M,665.30M,367.30M,49.00M,342.70M,676.80M,53.60M,,,1.659B,0.00,43.10M,682.00M,1.351B,157.90M,2.234B,-1.266B,968.20M,1.396B,807.90M,2.203B,,,,123.20M,3.295B,4.954B,,431.20M,,,,431.20M,248.10M,679.30M,,51.40M,51.40M,38.10M,89.50M,,,98.20M,867.00M,2.410B,119.10M,2.529B,216.10M,216.10M,,0.50M,146.80M,2.892B,3.759B,,2.00M,2.624B,524.80M,1.892B,,,,-64.40M,1.195B,,AOR,Restated
2018-12,268.10M,,268.10M,543.60M,1.70M,13.40M,571.60M,334.90M,49.60M,331.60M,633.90M,51.00M,,,1.525B,0.00,42.40M,656.80M,1.282B,,1.981B,-1.252B,728.50M,833.80M,178.70M,1.012B,37.50M,10.60M,20.20M,32.60M,1.857B,3.382B,,465.40M,49.60M,20.20M,71.50M,606.70M,110.60M,717.30M,2.90M,1.20M,1.20M,0.00,1.20M,11.80M,11.80M,18.80M,815.70M,1.168B,0.00,1.168B,95.90M,113.50M,73.80M,0.60M,21.40M,1.409B,2.224B,,2.00M,2.614B,527.10M,1.908B,,,,-77.60M,1.157B,,AOR,Restated
2018-09,363.50M,,363.50M,598.90M,1.80M,12.50M,625.50M,332.30M,48.20M,329.10M,634.00M,44.00M,,,1.667B,0.00,43.00M,651.10M,1.277B,,1.971B,-1.248B,723.00M,840.30M,188.40M,1.029B,,,,130.40M,1.882B,3.549B,,428.70M,,,,428.70M,269.50M,698.20M,,,3.60M,,3.60M,,,83.10M,784.90M,1.353B,,1.353B,87.60M,87.60M,,0.50M,157.40M,1.598B,2.383B,,2.00M,2.612B,521.70M,1.911B,,,,-58.70M,1.166B,,AOR,Restated
