,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,4.945B,4.945B,137.00M,,137.00M,1.044B,502.00M,420.00M,,1.966B,,69.00M,7.117B,0.00,348.00M,1.48B,3.01B,312.00M,5.15B,-3.138B,2.012B,5.177B,12.62B,17.79B,19.53B,964.00M,40.30B,47.41B,,380.00M,1.602B,,1.982B,5.581B,7.563B,1.50B,1.50B,,9.063B,27.97B,27.97B,4.532B,4.532B,2.502B,86.00M,40.00M,381.00M,35.43B,44.49B,,935.00M,34.68B,5.91B,34.34B,,,-4.341B,2.839B,,AOR,
2020-09,4.123B,4.123B,151.00M,,151.00M,960.00M,450.00M,452.00M,,1.862B,,263.00M,6.399B,,,,,,5.173B,-3.164B,2.009B,5.177B,12.63B,17.81B,19.41B,1.025B,40.25B,46.65B,,348.00M,1.602B,,1.95B,4.84B,6.79B,1.50B,1.50B,,8.29B,27.76B,27.76B,4.724B,4.724B,2.202B,93.00M,39.00M,409.00M,35.13B,43.42B,,935.00M,34.36B,5.973B,34.34B,,,-3.781B,3.139B,,AOR,
2020-06,4.826B,4.826B,140.00M,,140.00M,962.00M,433.00M,519.00M,,1.914B,,124.00M,7.004B,,,,,,5.137B,-3.135B,2.002B,5.177B,12.65B,17.83B,22.32B,1.048B,43.20B,50.20B,,273.00M,1.565B,2.391B,4.229B,3.671B,7.90B,1.50B,1.50B,,9.40B,27.54B,27.54B,4.847B,4.847B,2.177B,98.00M,38.00M,410.00M,35.01B,44.41B,,935.00M,36.91B,5.964B,34.34B,,,-3.774B,5.688B,,AOR,
2020-03,5.616B,5.616B,147.00M,,147.00M,1.088B,467.00M,451.00M,,2.006B,,166.00M,7.935B,,,,,,5.103B,-3.106B,1.997B,5.177B,12.67B,17.84B,23.86B,980.00M,44.68B,52.62B,,278.00M,1.565B,393.00M,2.236B,5.918B,8.154B,3.00B,3.00B,,11.15B,26.97B,26.97B,5.191B,5.191B,2.225B,94.00M,38.00M,402.00M,34.83B,45.98B,,935.00M,36.53B,5.959B,34.35B,,,-2.533B,6.543B,,AOR,
2019-12,2.117B,2.117B,152.00M,,268.00M,1.066B,696.00M,531.00M,,2.293B,,146.00M,4.824B,0.00,353.00M,1.461B,2.998B,262.00M,5.074B,-3.075B,1.999B,5.177B,12.69B,17.86B,23.58B,1.003B,44.45B,49.27B,,325.00M,1.565B,,1.89B,5.284B,7.174B,1.00B,1.00B,,8.174B,27.04B,27.04B,5.083B,5.083B,2.27B,97.00M,38.00M,345.00M,34.78B,42.95B,,935.00M,36.54B,5.97B,34.36B,,,-2.864B,6.222B,,AOR,
2019-09,1.604B,1.604B,165.00M,,180.00M,1.021B,598.00M,569.00M,,2.188B,,319.00M,4.291B,,,,,,5.009B,-3.047B,1.962B,5.262B,12.69B,17.95B,27.35B,1.364B,48.62B,52.91B,,246.00M,1.573B,,1.819B,4.843B,6.662B,1.00B,1.00B,,7.662B,26.90B,26.90B,5.24B,5.24B,2.116B,92.00M,39.00M,316.00M,34.61B,42.28B,,935.00M,39.91B,5.96B,33.86B,,,-2.402B,10.54B,,AOR,Restated
2019-06,1.796B,1.796B,163.00M,,242.00M,1.031B,603.00M,601.00M,,2.235B,,210.00M,4.483B,,,,,,4.933B,-3.016B,1.917B,5.196B,12.33B,17.53B,32.09B,1.48B,53.02B,57.50B,,224.00M,1.498B,,1.722B,4.086B,5.808B,2.144B,2.144B,,7.952B,27.10B,27.10B,5.378B,5.378B,2.207B,2.00M,38.00M,364.00M,35.08B,43.04B,,935.00M,44.08B,5.953B,33.86B,,,-2.646B,14.46B,,AOR,Restated
2019-03,3.352B,3.352B,158.00M,,161.00M,1.12B,651.00M,585.00M,,2.356B,,393.00M,6.262B,,,,,,4.917B,-2.995B,1.922B,5.196B,12.33B,17.52B,32.02B,1.511B,52.97B,59.23B,,205.00M,1.501B,,1.706B,6.269B,7.975B,2.144B,2.144B,,10.12B,27.02B,27.02B,5.353B,5.353B,2.261B,2.00M,38.00M,357.00M,35.03B,45.15B,,935.00M,43.58B,5.943B,33.66B,,,-2.717B,14.08B,,AOR,Restated
2018-12,1.333B,1.333B,142.00M,,309.00M,1.126B,647.00M,558.00M,,2.331B,,326.00M,4.299B,0.00,309.00M,1.442B,2.981B,218.00M,4.95B,-3.012B,1.938B,5.196B,12.28B,17.48B,30.50B,1.251B,51.16B,55.46B,,399.00M,1.503B,,1.902B,5.443B,7.345B,13.85B,13.85B,,21.19B,11.90B,11.90B,4.993B,4.993B,2.293B,2.00M,39.00M,254.00M,19.48B,40.67B,,935.00M,43.96B,5.961B,33.52B,,,-2.547B,14.79B,,AOR,Restated
2018-09,2.393B,2.393B,187.00M,,271.00M,982.00M,506.00M,589.00M,,2.077B,,424.00M,5.165B,,,,,,4.861B,-2.97B,1.891B,5.307B,12.38B,17.69B,18.67B,532.00M,38.79B,43.95B,,289.00M,1.508B,,1.797B,4.842B,6.639B,2.007B,2.007B,,8.646B,11.90B,11.90B,5.427B,5.427B,2.243B,2.00M,38.00M,207.00M,19.81B,28.46B,,935.00M,43.80B,5.959B,33.17B,,,-2.034B,15.49B,,AOR,Restated
2018-06,1.43B,1.43B,144.00M,,326.00M,1.001B,501.00M,621.00M,,2.123B,,252.00M,4.131B,,,,,,4.818B,-2.94B,1.878B,5.307B,12.40B,17.71B,19.03B,422.00M,39.05B,43.18B,,209.00M,1.325B,,1.534B,3.99B,5.524B,864.00M,864.00M,,6.388B,13.04B,13.04B,5.376B,5.376B,2.312B,2.00M,37.00M,230.00M,20.99B,27.38B,,935.00M,43.37B,5.948B,32.80B,,,-1.652B,15.80B,,AOR,Restated
2018-03,2.191B,2.191B,133.00M,,133.00M,1.104B,547.00M,606.00M,,2.257B,,243.00M,4.824B,,,,,,4.879B,-2.988B,1.891B,5.307B,12.40B,17.71B,19.05B,424.00M,39.08B,43.90B,,203.00M,1.33B,,1.533B,5.078B,6.611B,864.00M,864.00M,,7.475B,13.03B,13.03B,5.292B,5.292B,2.369B,3.00M,37.00M,296.00M,21.03B,28.50B,,935.00M,42.82B,5.938B,32.37B,,,-1.927B,15.39B,,AOR,Restated
