,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,2.751B,,,,,853.00M,853.00M,,,254.00M,64.00M,-9.309B,-4.813B,,,3.222B,-10.90B,-6.867B,,-123.00M,-123.00M,,1.311B,-116.00M,-3.82B,,-4.264B,,-4.264B,,-30.00M,-30.00M,,,,-680.00M,-147.00M,-2.674B,,106.28B,-13.36B,1.857B,94.77B,,,9.255B,-13.52B,-30.00M,996.00M,1.005B,,AOR,
2020-06,3.236B,,,,,686.00M,686.00M,,,394.00M,-445.00M,15.83B,3.242B,,,-39.99B,-20.92B,-16.81B,,-428.00M,-428.00M,,-16.58B,-45.00M,-12.51B,,2.648B,,2.648B,,-28.00M,-28.00M,,,,-640.00M,72.00M,3.645B,,131.51B,-25.68B,442.00M,106.28B,,,12.31B,-9.665B,-28.00M,337.00M,619.00M,,AOR,
2020-03,1.78B,,,,,824.00M,824.00M,,,154.00M,1.044B,-23.62B,-4.247B,,,47.49B,19.63B,23.84B,,-354.00M,-354.00M,,-7.418B,-93.00M,-21.11B,,5.634B,,5.634B,,-1.782B,-1.782B,,,,-688.00M,96.00M,47.95B,,82.17B,50.68B,-1.344B,131.51B,,,20.60B,-14.97B,-1.782B,342.00M,2.123B,,AOR,
2019-12,2.305B,,,,,656.00M,656.00M,,,328.00M,-81.00M,5.368B,-2.779B,,,-6.156B,-3.567B,-136.00M,,-366.00M,-366.00M,,-89.00M,-105.00M,-7.84B,,-3.249B,,-3.249B,,-1.507B,-1.507B,,,,-545.00M,4.421B,9.214B,,79.66B,1.238B,1.277B,82.17B,,,6.908B,-10.16B,-1.507B,305.00M,2.751B,,AOR,
2019-09,2.218B,,,,,654.00M,654.00M,,,233.00M,7.00M,-5.183B,11.20B,,,4.159B,10.18B,13.34B,,-452.00M,-452.00M,,-2.182B,-72.00M,-7.899B,,-4.873B,,-4.873B,,-1.538B,-1.538B,,,,-670.00M,-981.00M,-3.919B,,79.58B,1.519B,-1.443B,79.66B,,,7.005B,-11.88B,-1.538B,488.00M,3.449B,,AOR,Restated
2019-06,2.246B,,,,,675.00M,675.00M,,,299.00M,-29.00M,-1.519B,1.551B,,,7.29B,7.322B,10.53B,,-479.00M,-479.00M,,-5.795B,-764.00M,-10.60B,,2.015B,,2.015B,,-1.264B,-1.264B,,,,-749.00M,1.739B,-1.397B,,80.68B,-1.461B,359.00M,79.58B,,,8.601B,-6.586B,-1.264B,870.00M,3.415B,,AOR,Restated
2019-03,2.468B,,,,,658.00M,658.00M,,,293.00M,-92.00M,1.567B,9.971B,,,2.14B,13.68B,17.04B,,-529.00M,-529.00M,,-5.357B,-12.00M,-7.227B,,-3.836B,,-3.836B,,-1.645B,-1.645B,,,,-663.00M,-1.631B,-15.86B,,87.20B,-6.05B,-464.00M,80.68B,,,8.091B,-11.93B,-1.645B,245.00M,2.896B,,AOR,Restated
2018-12,1.558B,,,,,469.00M,469.00M,,,177.00M,226.00M,3.364B,-13.37B,,,-61.00M,-10.07B,-7.179B,,-504.00M,-504.00M,,-7.161B,-53.00M,-8.815B,,-720.00M,,-720.00M,,-1.186B,-1.186B,,,,-587.00M,701.00M,10.84B,,92.48B,-5.151B,-134.00M,87.20B,,,5.826B,-6.546B,-1.186B,368.00M,3.159B,,AOR,Restated
2018-09,2.154B,,,,,468.00M,468.00M,,,217.00M,-45.00M,5.187B,-8.743B,,,15.32B,11.77B,14.56B,,-453.00M,-453.00M,,-1.075B,-98.00M,-4.763B,,745.00M,,745.00M,,-1.207B,-1.207B,,,,-673.00M,288.00M,1.536B,,81.59B,11.34B,-446.00M,92.48B,,,5.999B,-5.254B,-1.207B,219.00M,2.884B,,AOR,Restated
2018-06,2.467B,,,,,517.00M,517.00M,,,205.00M,55.00M,3.74B,7.924B,,,-27.58B,-15.92B,-12.73B,,-498.00M,-498.00M,,-1.141B,17.00M,-2.381B,,1.26B,,1.26B,,-1.305B,-1.305B,,,,-516.00M,-354.00M,11.46B,,87.34B,-3.647B,-2.108B,81.59B,,,12.86B,-11.60B,-1.305B,540.00M,2.527B,,AOR,Restated
2018-03,2.704B,,,,,390.00M,390.00M,,,321.00M,-37.00M,-13.02B,1.129B,,,21.13B,9.244B,12.65B,,-410.00M,-410.00M,,-2.547B,-164.00M,-6.922B,,3.993B,,3.993B,,-1.868B,-1.868B,,,,-599.00M,-2.151B,363.00M,,80.40B,6.089B,860.00M,87.34B,,,15.37B,-11.38B,-1.868B,250.00M,1.407B,,AOR,Restated
2017-12,663.00M,,,,,413.00M,413.00M,,,251.00M,215.00M,-1.385B,-6.048B,,,7.191B,-242.00M,4.044B,,-452.00M,-452.00M,,-162.00M,-174.00M,-3.563B,,-1.506B,,-1.506B,,-1.284B,-1.284B,0.00,,0.00,-523.00M,-2.756B,-1.272B,,80.92B,-791.00M,264.00M,80.40B,,0.00,9.222B,-10.73B,-1.284B,423.00M,1.955B,,AOR,Restated
