,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.463B,1.463B,880.00M,583.00M,19.00M,151.00M,170.00M,26.00M,-34.00M,,24.00M,0.00,-24.00M,8.00M,231.00M,352.00M,0.00,24.00M,-24.00M,-61.00M,-24.00M,267.00M,43.00M,224.00M,,,,,224.00M,252.52M,344.00M,53.00M,291.00M,,1.36,,,1.533,1.36,,1.34,,,1.510,1.34,,164.50M,167.30M,0.49,,AOR,
2020-09,1.414B,1.414B,897.00M,517.00M,7.00M,119.00M,126.00M,29.00M,-12.00M,,22.00M,0.00,-24.00M,2.00M,179.00M,338.00M,0.00,22.00M,-24.00M,43.00M,-24.00M,357.00M,93.00M,264.00M,,,,,264.00M,272.87M,430.00M,51.00M,379.00M,,1.61,,,1.664,1.61,,1.58,,,1.633,1.58,,164.17M,167.49M,0.49,,AOR,
2020-06,1.398B,1.398B,888.00M,510.00M,4.00M,117.00M,121.00M,26.00M,-17.00M,,24.00M,1.00M,-25.00M,7.00M,178.00M,332.00M,1.00M,24.00M,-25.00M,9.00M,-25.00M,316.00M,75.00M,241.00M,,,,,241.00M,253.97M,390.00M,50.00M,340.00M,,1.47,,,1.549,1.47,,1.45,,,1.528,1.45,,164.10M,166.07M,0.49,,AOR,
2020-03,1.353B,1.353B,847.00M,506.00M,9.00M,148.00M,157.00M,25.00M,-19.00M,,26.00M,2.00M,-24.00M,7.00M,212.00M,294.00M,2.00M,26.00M,-24.00M,3.00M,-24.00M,273.00M,70.00M,203.00M,,,,,203.00M,217.14M,347.00M,48.00M,299.00M,,1.23,,,1.316,1.23,,1.22,,,1.305,1.22,,164.86M,166.78M,0.47,,AOR,
2019-12,1.065B,1.065B,608.00M,457.00M,10.00M,118.00M,128.00M,25.00M,-14.00M,,24.00M,2.00M,-25.00M,8.00M,183.00M,274.00M,2.00M,24.00M,-25.00M,3.00M,-25.00M,252.00M,49.00M,203.00M,,,,,203.00M,214.28M,323.00M,47.00M,276.00M,,1.23,,,1.299,1.23,,1.21,,,1.278,1.21,,164.47M,166.79M,0.47,,AOR,
2019-09,1.096B,1.096B,639.00M,457.00M,8.00M,128.00M,136.00M,24.00M,-40.00M,,27.00M,3.00M,-26.00M,8.00M,191.00M,266.00M,3.00M,27.00M,-26.00M,-25.00M,-26.00M,215.00M,65.00M,150.00M,,,,,150.00M,177.92M,289.00M,47.00M,242.00M,,0.91,,,1.080,0.91,,0.90,,,1.067,0.90,,164.33M,167.03M,0.47,,AOR,Restated
2019-06,1.061B,1.061B,607.00M,454.00M,10.00M,127.00M,137.00M,24.00M,-5.00M,,29.00M,3.00M,-28.00M,8.00M,193.00M,261.00M,3.00M,29.00M,-28.00M,6.00M,-28.00M,239.00M,65.00M,174.00M,,,,,174.00M,177.64M,316.00M,48.00M,268.00M,,1.05,,,1.072,1.05,,1.04,,,1.062,1.04,,165.60M,167.04M,0.47,,AOR,Restated
2019-03,1.029B,1.039B,580.00M,459.00M,10.00M,110.00M,120.00M,24.00M,18.00M,,37.00M,3.00M,-34.00M,7.00M,175.00M,284.00M,3.00M,37.00M,-34.00M,63.00M,-34.00M,313.00M,66.00M,247.00M,,,,,247.00M,232.80M,398.00M,48.00M,350.00M,,1.49,,,1.404,1.49,,1.48,,,1.395,1.48,,165.34M,167.03M,0.44,,AOR,Restated
2018-12,1.126B,1.136B,670.00M,466.00M,10.00M,142.00M,152.00M,23.00M,-14.00M,,35.00M,2.00M,-36.00M,8.00M,211.00M,255.00M,2.00M,35.00M,-36.00M,109.00M,-36.00M,328.00M,372.00M,-44.00M,,,,,-44.00M,-114.81M,414.00M,51.00M,363.00M,,-0.27,,,-0.7004,-0.27,,-0.27,,,-0.6937,-0.27,,164.53M,167.11M,0.44,,AOR,Restated
2018-09,954.00M,964.00M,528.00M,436.00M,7.00M,116.00M,123.00M,23.00M,-14.00M,,35.00M,3.00M,-35.00M,8.00M,184.00M,252.00M,3.00M,35.00M,-35.00M,-8.00M,-35.00M,209.00M,46.00M,163.00M,,,,,163.00M,173.92M,297.00M,53.00M,244.00M,,0.99,,,1.056,0.99,,0.97,,,1.035,0.97,,164.23M,167.29M,0.44,,AOR,Restated
