,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,861.50M,902.50M,523.00M,379.50M,-244.00M,70.20M,93.40M,1.30M,-92.10M,,250.80M,128.70M,1.30M,93.40M,-92.10M,-274.40M,-92.10M,-237.80M,-64.90M,-172.90M,,,,13.80M,-172.90M,1.144M,36.20M,180.60M,-144.40M,,-0.49,,,-0.0365,-0.49,,-0.49,,,-0.0365,-0.49,,383.80M,383.80M,0.21,,AOR,
2020-06,932.70M,962.70M,541.50M,421.20M,0.60M,68.20M,95.60M,1.40M,-94.20M,,245.70M,175.50M,1.40M,95.60M,-94.20M,-80.10M,-94.20M,1.20M,5.90M,-4.70M,,,,13.80M,-4.70M,-5.138M,274.30M,177.50M,96.80M,,-0.05,,,-0.0511,-0.05,,-0.05,,,-0.0511,-0.05,,383.50M,383.50M,0.21,,AOR,
2020-03,1.526B,1.606B,907.00M,698.50M,0.10M,85.90M,91.20M,1.70M,-89.50M,,270.20M,428.30M,1.70M,91.20M,-89.50M,-278.10M,-89.50M,60.70M,-14.90M,75.60M,,,,13.80M,75.60M,75.53M,336.20M,184.30M,151.90M,,0.16,,,0.1598,0.16,,0.16,,,0.1598,0.16,,383.10M,384.10M,0.21,,AOR,
2019-12,1.359B,1.397B,763.50M,633.70M,-415.70M,74.90M,84.50M,2.30M,-90.10M,,257.10M,376.60M,2.30M,84.50M,-90.10M,-423.30M,-90.10M,-136.80M,2.50M,-139.30M,,,,13.70M,-139.30M,164.16M,129.90M,182.20M,-52.30M,,-0.41,,,0.3949,-0.41,,-0.41,,,0.3920,-0.41,,377.00M,378.40M,0.20,,AOR,
2019-09,891.00M,931.50M,590.60M,340.90M,-0.90M,67.90M,93.00M,2.10M,-90.90M,,250.10M,90.80M,2.10M,93.00M,-90.90M,-3.50M,-90.90M,-3.60M,-10.20M,6.60M,,,,13.80M,6.60M,7.257M,271.60M,182.20M,89.40M,,-0.02,,,-0.0182,-0.02,,-0.02,,,-0.0182,-0.02,,374.10M,374.10M,0.20,,AOR,Restated
2019-06,969.20M,1.010B,302.70M,707.70M,0.10M,66.40M,91.60M,1.20M,-90.40M,,244.30M,463.40M,1.20M,91.60M,-90.40M,-3.90M,-90.40M,369.10M,72.20M,296.90M,,,,13.80M,296.90M,296.82M,638.60M,177.90M,460.70M,,0.76,,,0.7598,0.76,,0.75,,,0.7498,0.75,,373.90M,375.20M,0.20,,AOR,Restated
2019-03,1.834B,1.870B,1.233B,637.10M,-0.20M,87.60M,93.90M,2.10M,-91.80M,,262.70M,374.40M,2.10M,93.90M,-91.80M,-4.70M,-91.80M,277.90M,59.00M,218.90M,,,,13.80M,218.90M,219.06M,546.90M,175.10M,371.80M,,0.55,,,0.5504,0.55,,0.55,,,0.5504,0.55,,373.40M,374.70M,0.20,,AOR,Restated
2018-12,1.436B,1.462B,1.306B,155.70M,-32.20M,71.50M,98.10M,2.40M,-84.10M,,233.30M,-77.60M,2.40M,98.10M,-84.10M,-3.70M,-84.10M,-165.40M,-153.70M,-11.70M,,,,8.10M,-11.70M,-6.444M,94.50M,161.80M,-67.30M,,-0.05,,,-0.0358,-0.05,,-0.05,,,-0.0358,-0.05,,369.70M,369.70M,0.195,,AOR,Restated
2018-09,855.80M,895.00M,1.003B,-107.80M,-44.80M,58.90M,78.40M,1.40M,-77.00M,,207.40M,-315.20M,1.40M,78.40M,-77.00M,-41.80M,-77.00M,-434.00M,-94.50M,-339.50M,,,,5.60M,-339.50M,-304.47M,-207.10M,148.50M,-355.60M,,-0.95,,,-0.8537,-0.95,,-0.95,,,-0.8537,-0.95,,363.90M,363.90M,0.195,,AOR,Restated
2018-06,982.10M,1.007B,678.50M,328.50M,-12.50M,65.50M,84.80M,1.10M,-83.70M,,210.10M,118.40M,1.10M,84.80M,-83.70M,-4.70M,-83.70M,30.00M,5.50M,24.50M,,,,1.30M,24.50M,34.71M,259.40M,144.60M,114.80M,,0.07,,,0.0988,0.07,,0.07,,,0.0988,0.07,,354.20M,355.20M,0.195,,AOR,Restated
