,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.073B,1.073B,741.77M,331.62M,31.87M,31.87M,,,-9.783M,30.66M,0.846M,0.228M,-0.618M,4.998M,67.54M,264.08M,0.228M,0.846M,-0.618M,-10.14M,-0.618M,253.32M,63.49M,189.83M,,,189.83M,197.16M,254.17M,,254.17M,,1.62,,,1.683,1.62,,1.61,,,1.672,1.61,,117.11M,117.89M,0.15,,AOR,
2020-09,1.058B,1.058B,705.32M,352.85M,35.00M,35.00M,,,-11.82M,29.92M,1.071M,0.123M,-0.948M,5.858M,70.79M,282.06M,0.123M,1.071M,-0.948M,-12.78M,-0.948M,268.34M,66.47M,201.87M,,,201.87M,210.76M,334.39M,64.99M,269.41M,,1.72,,,1.796,1.72,,1.71,,,1.785,1.71,,117.19M,117.93M,0.15,,AOR,
2020-06,896.21M,896.21M,621.04M,275.17M,33.14M,33.14M,,,-10.91M,27.04M,0.765M,0.231M,-0.534M,4.912M,65.10M,210.08M,0.231M,0.765M,-0.534M,-10.54M,-0.534M,199.00M,51.20M,147.80M,,,147.80M,155.91M,265.50M,65.74M,199.77M,,1.26,,,1.329,1.26,,1.25,,,1.318,1.25,,117.61M,118.36M,0.15,,AOR,
2020-03,987.36M,987.36M,718.41M,268.95M,41.80M,41.80M,,,-9.85M,29.31M,0.10M,1.248M,1.148M,4.82M,75.93M,193.02M,1.248M,0.10M,1.148M,-13.47M,1.148M,180.70M,47.52M,133.18M,,,133.18M,140.44M,246.24M,65.44M,180.80M,,1.12,,,1.181,1.12,,1.11,,,1.171,1.11,,119.05M,119.81M,0.1533,,AOR,
2019-12,1.009B,1.009B,732.05M,277.15M,33.92M,33.92M,,,-18.51M,29.27M,0.092M,1.797M,1.705M,7.192M,70.38M,206.77M,1.797M,0.092M,1.705M,-18.88M,1.705M,189.59M,45.57M,144.02M,,,144.02M,158.09M,254.23M,64.54M,189.69M,,1.207,,,1.324,1.207,,1.20,,,1.317,1.20,,119.52M,119.79M,0.1133,,AOR,
2019-09,1.048B,1.048B,737.35M,311.11M,41.73M,41.73M,,,-11.28M,29.12M,0.003M,1.714M,1.711M,11.45M,82.30M,228.81M,1.714M,0.003M,1.711M,-12.12M,1.711M,218.39M,54.30M,164.10M,,,164.10M,172.57M,281.89M,63.49M,218.40M,,1.37,,,1.441,1.37,,1.37,,,1.441,1.37,,119.82M,119.98M,0.1133,,AOR,Restated
2019-06,1.061B,1.061B,742.03M,318.63M,38.52M,38.52M,,,-11.59M,29.38M,0.16M,1.769M,1.609M,4.649M,72.56M,246.08M,1.769M,0.16M,1.609M,-12.11M,1.609M,235.57M,61.50M,174.07M,,,174.07M,182.65M,298.30M,62.57M,235.73M,,1.44,,,1.511,1.44,,1.44,,,1.511,1.44,,120.78M,120.97M,0.1133,,AOR,Restated
2019-03,990.78M,990.78M,727.46M,263.32M,39.40M,39.40M,,,-11.17M,29.07M,0.122M,1.483M,1.361M,5.253M,73.72M,189.60M,1.483M,0.122M,1.361M,-10.57M,1.361M,180.39M,47.06M,133.32M,,,133.32M,141.58M,243.58M,63.07M,180.51M,,1.10,,,1.168,1.10,,1.10,,,1.168,1.10,,121.55M,121.72M,0.1133,,AOR,Restated
2018-12,1.027B,1.027B,728.36M,298.58M,36.47M,36.47M,,,-9.608M,29.30M,0.138M,1.211M,1.073M,4.351M,70.13M,228.45M,1.211M,0.138M,1.073M,-12.18M,1.073M,217.35M,57.89M,159.46M,,,159.46M,166.51M,280.04M,62.56M,217.49M,,1.307,,,1.364,1.307,,1.30,,,1.358,1.30,,122.24M,122.37M,0.0867,,AOR,Restated
2018-09,1.058B,1.058B,747.53M,310.70M,39.42M,39.42M,,,-12.07M,27.95M,0.029M,0.778M,0.749M,2.874M,70.25M,240.45M,0.778M,0.029M,0.749M,-12.00M,0.749M,229.20M,55.76M,173.44M,,,173.44M,182.58M,287.32M,58.09M,229.23M,,1.413,,,1.488,1.413,,1.413,,,1.488,1.413,,122.83M,122.96M,0.0867,,AOR,Restated
2018-06,1.033B,1.033B,731.09M,302.40M,37.33M,37.33M,,,-11.34M,28.16M,0.011M,0.668M,0.657M,5.086M,70.58M,231.82M,0.668M,0.011M,0.657M,-11.01M,0.657M,221.47M,58.04M,163.43M,,,163.43M,171.80M,277.72M,56.24M,221.48M,,1.327,,,1.395,1.327,,1.327,,,1.395,1.327,,123.10M,123.25M,0.0867,,AOR,Restated
2018-03,925.02M,925.02M,692.47M,232.55M,37.02M,37.02M,,,-11.10M,26.79M,0.011M,0.456M,0.445M,8.303M,72.11M,160.44M,0.456M,0.011M,0.445M,-13.40M,0.445M,147.49M,38.15M,109.33M,,,109.33M,117.56M,200.98M,53.48M,147.50M,,0.8867,,,0.9533,0.8867,,0.8867,,,0.9532,0.8867,,123.38M,123.53M,0.0867,,AOR,Restated
2017-12,891.12M,891.12M,667.04M,224.08M,34.60M,34.60M,,,-12.91M,26.25M,0.362M,0.408M,0.046M,6.861M,67.71M,156.37M,0.408M,0.362M,0.046M,-12.55M,0.046M,143.86M,-53.39M,197.25M,,,197.25M,205.00M,197.32M,53.09M,144.23M,,1.60,,,1.663,1.60,,1.593,,,1.656,1.593,,123.42M,123.56M,0.0667,,AOR,Restated
2017-09,872.99M,872.99M,634.03M,238.95M,35.28M,35.28M,,,-10.70M,24.55M,0.555M,0.228M,-0.327M,4.557M,64.38M,174.58M,0.228M,0.555M,-0.327M,-9.723M,-0.327M,164.52M,62.21M,102.31M,,,102.31M,108.97M,217.01M,51.93M,165.08M,,0.8267,,,0.8806,0.8267,,0.8267,,,0.8805,0.8267,,123.43M,123.57M,0.0667,,AOR,Restated
2017-06,839.91M,839.91M,603.78M,236.14M,35.30M,35.30M,,,-9.314M,24.96M,0.642M,0.069M,-0.573M,6.125M,66.39M,169.75M,0.069M,0.642M,-0.573M,-8.883M,-0.573M,160.29M,61.87M,98.42M,,,98.42M,104.14M,211.38M,50.45M,160.93M,,0.80,,,0.8463,0.80,,0.7933,,,0.8396,0.7933,,123.48M,123.64M,0.0667,,AOR,Restated
2017-03,754.10M,754.10M,577.89M,176.21M,30.30M,30.30M,,,-8.79M,24.02M,0.595M,0.035M,-0.56M,4.968M,59.30M,116.91M,0.035M,0.595M,-0.56M,-9.199M,-0.56M,107.15M,41.36M,65.79M,,,65.79M,71.19M,158.04M,50.29M,107.75M,,0.5333,,,0.5770,0.5333,,0.5333,,,0.5770,0.5333,,123.52M,123.67M,0.0667,,AOR,Restated
2016-12,745.74M,745.74M,571.26M,174.48M,27.24M,27.24M,,,-8.069M,23.06M,0.954M,0.02M,-0.934M,2.663M,52.96M,121.52M,0.02M,0.954M,-0.934M,-9.261M,-0.934M,111.32M,42.81M,68.51M,,,68.51M,73.48M,161.85M,49.57M,112.28M,,0.5533,,,0.5935,0.5533,,0.5533,,,0.5935,0.5533,,123.56M,123.67M,,,AOR,Restated
