,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-11,2.442B,,386.00M,345.00M,731.00M,731.00M,-216.00M,488.00M,,106.00M,186.00M,,165.00M,632.00M,,,-3.146B,-2.163B,1.388B,,-568.00M,,,0.00,4.42B,,3.852B,,0.00,0.00,205.00M,-4.059B,-3.854B,-717.00M,-717.00M,,17.00M,-4.554B,,27.28B,686.00M,39.00M,28.00B,,205.00M,,0.00,-4.059B,,AOR,
2020-08,2.251B,,356.00M,345.00M,701.00M,701.00M,173.00M,428.00M,,78.00M,1.077B,,380.00M,-880.00M,,,1.745B,2.322B,5.953B,,-436.00M,,,0.00,-9.219B,,-9.655B,,-1.00B,-1.00B,567.00M,-5.423B,-4.856B,-730.00M,-730.00M,,93.00M,-6.493B,,37.24B,-10.20B,232.00M,27.28B,,567.00M,,-1.00B,-5.423B,,AOR,
2020-05,3.116B,,357.00M,365.00M,722.00M,722.00M,-453.00M,386.00M,,72.00M,-1.636B,,-53.00M,884.00M,,,331.00M,-474.00M,3.614B,,-433.00M,,,-13.00M,-3.81B,,-4.256B,,19.89B,19.89B,356.00M,-5.346B,-4.99B,-740.00M,-740.00M,,-25.00M,14.13B,,23.83B,13.49B,-81.00M,37.24B,,356.00M,,0.00,-5.346B,,AOR,
2020-02,2.571B,,348.00M,400.00M,748.00M,748.00M,-135.00M,361.00M,,50.00M,-133.00M,,80.00M,-908.00M,,,378.00M,-583.00M,3.012B,,-396.00M,,,0.00,876.00M,,480.00M,,0.00,0.00,615.00M,-4.004B,-3.389B,-768.00M,-768.00M,,-12.00M,-4.169B,,24.54B,-677.00M,-34.00M,23.83B,,615.00M,,0.00,-4.004B,,AOR,
2019-11,2.311B,,341.00M,407.00M,748.00M,748.00M,-249.00M,397.00M,,57.00M,-234.00M,,157.00M,18.00M,,,-2.692B,-2.751B,513.00M,,-349.00M,,,-109.00M,1.691B,,1.233B,,-2.75B,-2.75B,301.00M,-5.036B,-4.735B,-767.00M,-767.00M,,-42.00M,-8.294B,,31.08B,-6.548B,5.00M,24.54B,,301.00M,,-2.75B,-5.036B,,AOR,Restated
2019-08,2.137B,,336.00M,414.00M,750.00M,750.00M,-14.00M,446.00M,,60.00M,1.313B,,481.00M,-934.00M,,,1.761B,2.621B,6.00B,,-386.00M,,,-2.00M,12.77B,,12.39B,,-1.75B,-1.75B,316.00M,-5.519B,-5.203B,-795.00M,-795.00M,,-54.00M,-7.802B,,20.51B,10.58B,-15.00M,31.08B,,316.00M,,-1.75B,-5.519B,,AOR,Restated
2019-05,3.74B,,330.00M,424.00M,754.00M,754.00M,-450.00M,394.00M,,13.00M,-1.378B,,93.00M,502.00M,,,564.00M,-219.00M,4.422B,,-413.00M,,,-33.00M,8.352B,,7.906B,,0.00,0.00,687.00M,-6.301B,-5.614B,-806.00M,-806.00M,,-41.00M,-6.461B,,14.72B,5.867B,-73.00M,20.51B,,687.00M,,0.00,-6.301B,,AOR,Restated
2019-02,2.745B,,334.00M,407.00M,741.00M,741.00M,-513.00M,427.00M,,26.00M,-10.00M,,-159.00M,-14.00M,,,-382.00M,-565.00M,2.861B,,-443.00M,,,-17.00M,13.66B,,13.20B,,-2.00B,-2.00B,450.00M,-10.00B,-9.551B,-670.00M,-670.00M,,-18.00M,-12.24B,,10.82B,3.821B,75.00M,14.72B,,450.00M,,-2.00B,-10.00B,,AOR,Restated
2018-11,2.333B,,280.00M,424.00M,704.00M,704.00M,-116.00M,396.00M,,66.00M,-274.00M,,18.00M,-492.00M,,,-2.089B,-2.837B,546.00M,,-421.00M,,,-263.00M,2.604B,,1.92B,,0.00,0.00,727.00M,-9.995B,-9.268B,-714.00M,-714.00M,,-41.00M,-10.02B,,18.46B,-7.557B,-74.00M,10.82B,,727.00M,,0.00,-9.995B,,AOR,Restated
2018-08,2.265B,,286.00M,434.00M,720.00M,720.00M,-112.00M,436.00M,,52.00M,1.39B,,309.00M,-551.00M,,,2.213B,3.361B,6.722B,,-383.00M,,,-50.00M,3.965B,,3.532B,,-2.50B,-2.50B,291.00M,-10.35B,-10.06B,-742.00M,-742.00M,,-36.00M,-13.33B,,21.62B,-3.079B,-86.00M,18.46B,,291.00M,,-2.50B,-10.35B,,AOR,Restated
2018-05,3.276B,,287.00M,415.00M,702.00M,702.00M,-107.00M,396.00M,,35.00M,-1.366B,,-153.00M,8.497B,,,-6.766B,212.00M,4.66B,,-378.00M,,,-1.724B,5.262B,,3.16B,,-2.00M,-2.00M,286.00M,-4.965B,-4.679B,-778.00M,-778.00M,,0.00,-5.459B,,19.49B,2.361B,-228.00M,21.62B,,286.00M,2.498B,-2.50B,-4.965B,,AOR,Restated
