,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,1.896B,,1.896B,2.083B,2.083B,948.00M,,753.00M,,1.66B,,51.00M,1.445B,10.69B,121.66B,121.66B,-52.04B,69.62B,,,,3.125B,,998.00M,,73.74B,84.43B,,2.682B,,2.682B,3.47B,6.152B,,2.525B,2.525B,492.00M,3.017B,,,1.331B,10.50B,5.11B,35.61B,1.078B,36.68B,7.508B,7.508B,1.728B,,,3.043B,54.07B,64.57B,,9.978B,4.317B,16.50B,10.66B,9.762B,,,-283.00M,19.86B,,AOR,
2020-06,1.011B,,1.011B,2.359B,2.359B,1.015B,,503.00M,,1.477B,,124.00M,2.054B,8.437B,126.65B,126.65B,-52.92B,73.73B,,,,6.128B,,1.154B,,81.02B,89.45B,,3.034B,,3.034B,3.215B,6.249B,,2.46B,2.46B,420.00M,2.88B,,,790.00M,9.919B,5.316B,36.03B,740.00M,36.77B,7.887B,7.887B,1.816B,,,4.394B,56.19B,66.11B,,9.975B,8.105B,16.24B,10.66B,9.762B,,,-312.00M,23.35B,,AOR,
2020-03,2.021B,,2.021B,2.458B,2.458B,971.00M,,505.00M,,1.436B,,242.00M,2.22B,14.11B,124.66B,124.66B,-44.39B,80.27B,,,,6.05B,,1.218B,,87.53B,101.64B,,3.845B,,3.845B,3.31B,7.155B,,2.464B,2.464B,453.00M,2.917B,,,1.891B,11.96B,5.445B,36.06B,768.00M,36.83B,9.403B,9.403B,1.968B,,,4.743B,58.38B,70.35B,,9.972B,17.23B,15.08B,10.65B,9.762B,,,-334.00M,31.30B,,AOR,
2019-12,3.032B,,3.032B,6.373B,6.373B,954.00M,,533.00M,,1.447B,,480.00M,1.323B,18.68B,123.73B,123.73B,-41.88B,81.85B,,,,6.389B,,2.406B,,90.65B,109.33B,,7.017B,,7.017B,5.302B,12.32B,,51.00M,51.00M,569.00M,620.00M,,,2.01B,14.95B,5.42B,38.19B,1.201B,39.39B,9.717B,9.717B,1.807B,,,3.814B,60.15B,75.10B,,9.971B,20.18B,14.96B,10.65B,9.762B,,,-221.00M,34.23B,,AOR,
2019-09,4.84B,,4.84B,5.854B,5.854B,983.00M,,665.00M,,1.601B,,454.00M,1.75B,20.94B,138.00B,138.00B,-46.80B,91.20B,6.074B,2.387B,8.461B,3.684B,,1.155B,,104.50B,125.44B,,6.789B,1.036B,7.825B,5.175B,13.00B,,31.00M,31.00M,463.00M,494.00M,,,2.203B,15.70B,5.069B,47.58B,676.00M,48.26B,9.92B,9.92B,1.927B,4.925B,,3.566B,68.74B,84.44B,,9.971B,22.23B,14.87B,10.65B,9.762B,,,-332.00M,36.08B,,AOR,Restated
2019-06,1.751B,,1.751B,5.273B,5.273B,599.00M,,1.03B,,1.582B,,,819.00M,9.425B,77.68B,77.68B,-44.89B,32.80B,,,,1.777B,,772.00M,,35.34B,44.77B,,5.445B,,5.445B,2.067B,7.512B,,116.00M,116.00M,252.00M,368.00M,,,,7.88B,2.197B,10.16B,445.00M,10.60B,950.00M,950.00M,819.00M,,,977.00M,15.54B,23.42B,,179.00M,23.85B,8.157B,10.65B,,,,-184.00M,21.35B,,AOR,Restated
2019-03,1.752B,,1.752B,5.31B,5.31B,541.00M,,990.00M,,1.484B,,,724.00M,9.27B,76.50B,76.50B,-43.91B,32.58B,,,,1.725B,,801.00M,,35.11B,44.38B,,5.261B,,5.261B,1.92B,7.181B,,116.00M,116.00M,240.00M,356.00M,,,,7.537B,2.185B,10.20B,465.00M,10.67B,918.00M,918.00M,816.00M,,,1.02B,15.61B,23.14B,,179.00M,23.80B,8.083B,10.65B,,,,-168.00M,21.24B,,AOR,Restated
2018-12,3.033B,,3.033B,4.893B,4.893B,519.00M,,788.00M,,1.26B,,0.00,746.00M,9.932B,74.42B,74.42B,-42.98B,31.44B,,,,1.68B,,805.00M,,33.92B,43.85B,,4.885B,,4.885B,2.411B,7.296B,,116.00M,116.00M,0.00,116.00M,,,,7.412B,2.186B,10.20B,0.00,10.20B,907.00M,907.00M,809.00M,,,1.009B,15.11B,22.52B,,179.00M,23.75B,8.046B,10.47B,,,,-172.00M,21.33B,,AOR,Restated
2018-09,2.954B,,2.954B,6.00B,6.00B,503.00M,,549.00M,,1.009B,,,1.149B,11.11B,,72.98B,-41.82B,31.16B,,,,1.568B,,1.122B,,33.84B,44.96B,,5.443B,,5.443B,2.813B,8.256B,,,116.00M,,116.00M,,,,8.372B,1.989B,10.20B,,10.20B,1.162B,1.162B,828.00M,4.00M,,915.00M,15.09B,23.46B,,179.00M,23.64B,7.991B,10.16B,,,,-154.00M,21.49B,,AOR,Restated
2018-06,1.362B,,1.362B,5.521B,5.521B,534.00M,,858.00M,,1.347B,,,1.096B,10.99B,,71.21B,-40.78B,30.43B,,,,1.551B,,1.094B,,33.08B,44.07B,,5.412B,,5.412B,2.521B,7.933B,,,,,,,,145.00M,8.078B,1.975B,10.31B,,10.31B,738.00M,738.00M,1.01B,,,1.023B,15.06B,23.14B,,179.00M,22.36B,7.967B,9.268B,,,,-308.00M,20.93B,,AOR,Restated
