,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,405.80M,126.60M,126.60M,269.50M,269.50M,269.50M,,-286.10M,152.70M,-11.90M,145.70M,,,,306.50M,794.70M,,-505.50M,,-505.50M,,-219.10M,-116.90M,-841.50M,,-1.192B,1.471B,278.50M,,-0.50M,-0.50M,-110.90M,-110.90M,12.40M,,179.50M,,3.344B,132.70M,62.60M,3.540B,,,-2.031B,1.419B,-0.50M,,AOR,
2020-09,385.50M,-98.10M,-98.10M,266.20M,266.20M,266.20M,,28.60M,-6.60M,27.40M,225.60M,,,,246.40M,831.70M,,-381.10M,,-381.10M,,-37.20M,-21.90M,-440.20M,,149.80M,-278.50M,-128.70M,,0.00,0.00,-110.90M,-110.90M,30.00M,,-209.60M,,3.128B,181.90M,34.40M,3.344B,,,556.50M,-406.70M,0.00,,AOR,
2020-06,147.70M,-5.20M,-5.20M,241.30M,241.30M,241.30M,,7.80M,712.50M,153.50M,-330.20M,,,,535.80M,934.90M,,-295.30M,,-295.30M,,-28.80M,109.80M,-214.30M,,220.00M,-1.059B,-839.00M,,-0.10M,-0.10M,-110.60M,-110.60M,5.00M,,-944.70M,,3.323B,-224.10M,29.00M,3.128B,,,764.80M,-544.80M,-0.10M,,AOR,
2020-03,359.40M,-23.30M,-23.30M,272.00M,272.00M,272.00M,,-1.70M,12.60M,-169.00M,-41.10M,,,,-197.50M,425.90M,,-456.50M,,-456.50M,,40.50M,36.20M,-379.80M,,242.40M,-133.50M,108.90M,,-41.50M,-41.50M,-907.40M,-907.40M,6.30M,,-833.70M,,4.175B,-787.60M,-64.40M,3.323B,,,710.00M,-467.60M,-41.50M,,AOR,
2019-12,531.30M,-19.20M,-19.20M,284.90M,284.90M,284.90M,,-26.40M,383.70M,159.80M,-358.30M,,,,98.70M,943.70M,,-545.20M,,92.90M,,-44.50M,-699.30M,-650.90M,,335.30M,-79.40M,255.90M,,0.00,0.00,-110.80M,-110.80M,27.00M,,172.10M,,3.670B,464.90M,40.70M,4.175B,,,448.10M,-112.80M,0.00,,AOR,
2019-09,607.90M,-5.30M,-5.30M,272.10M,272.10M,272.10M,,24.50M,-218.60M,13.50M,27.40M,,,,-177.70M,727.10M,,-515.30M,,-515.30M,,-2.80M,87.00M,-431.10M,,42.00M,305.90M,347.90M,,-53.70M,-53.70M,-110.80M,-110.80M,9.90M,,193.30M,,3.219B,489.30M,-39.20M,3.670B,,,602.30M,-560.30M,-53.70M,,AOR,Restated
2019-06,619.70M,-5.40M,-5.40M,261.20M,261.20M,261.20M,,37.50M,87.60M,-55.90M,-122.20M,,,,-90.50M,826.50M,,-520.10M,,-520.10M,,-31.80M,-172.80M,-724.70M,,-49.70M,444.50M,394.80M,,-23.60M,-23.60M,-110.90M,-110.90M,8.00M,,268.30M,,2.843B,370.10M,6.70M,3.219B,,,817.20M,-866.90M,-23.60M,,AOR,Restated
2019-03,629.00M,-5.80M,-5.80M,259.10M,259.10M,259.10M,,-9.00M,-845.20M,-92.80M,425.50M,,,,-512.50M,363.00M,,-390.20M,,-390.20M,,-56.00M,45.50M,-400.70M,,386.70M,-113.90M,272.80M,,-32.90M,-32.90M,-806.10M,-806.10M,15.90M,,-550.30M,,3.436B,-588.00M,-5.30M,2.843B,,,636.70M,-250.00M,-32.90M,,AOR,Restated
2018-12,578.10M,-3.20M,-3.20M,259.70M,259.70M,259.70M,,24.30M,152.10M,94.50M,-437.70M,,,,187.00M,1.065B,,-539.40M,163.00M,-376.40M,,-27.60M,-250.20M,-654.20M,,-98.40M,526.00M,427.60M,,-201.20M,-201.20M,-97.70M,-97.70M,6.10M,,134.80M,,2.914B,545.70M,-23.80M,3.436B,,,254.60M,-353.00M,-201.20M,,AOR,Restated
2018-09,545.30M,-5.00M,-5.00M,252.60M,252.60M,252.60M,,13.50M,-197.40M,-38.70M,154.10M,,,,-82.00M,728.70M,,-494.30M,182.40M,-311.90M,,26.30M,-245.70M,-531.30M,,499.90M,-130.20M,369.70M,,-59.00M,-59.00M,-98.10M,-98.10M,2.30M,,214.90M,,2.507B,412.30M,-5.10M,2.914B,,,757.60M,-257.70M,-59.00M,,AOR,Restated
2018-06,559.60M,-5.10M,-5.10M,268.30M,268.30M,268.30M,,45.00M,-179.40M,-253.00M,233.20M,,,,-199.20M,673.20M,,-543.50M,178.30M,-365.20M,,-3.20M,-320.70M,-689.10M,,292.60M,-54.20M,238.40M,,-80.70M,-80.70M,-98.40M,-98.40M,1.40M,,60.70M,,2.504B,44.80M,-42.10M,2.507B,,,929.00M,-636.40M,-80.70M,,AOR,Restated
2018-03,512.10M,-75.60M,-75.60M,273.50M,273.50M,273.50M,,-47.70M,-586.70M,-135.50M,579.30M,,,,-142.90M,525.30M,,-375.10M,130.00M,-245.10M,,320.10M,-131.10M,-56.10M,,-109.50M,284.30M,174.80M,,-13.50M,-13.50M,-510.10M,-510.10M,9.50M,,-339.30M,,2.365B,129.90M,9.50M,2.504B,,,398.70M,-508.20M,-13.50M,,AOR,Restated
2017-12,589.20M,-55.30M,-55.30M,293.20M,293.20M,293.20M,,48.50M,214.10M,57.90M,-479.00M,,,,186.70M,893.30M,,-502.90M,113.70M,-389.20M,,-156.00M,-279.90M,-825.10M,,-37.90M,90.20M,52.30M,,,,-87.90M,-87.90M,11.10M,,-24.50M,,2.313B,43.70M,7.70M,2.365B,,,299.20M,-337.10M,,,AOR,Restated
2017-09,402.70M,-4.90M,-4.90M,286.10M,286.10M,286.10M,,3.90M,-184.40M,-81.00M,210.20M,,,,-55.20M,637.30M,,-427.40M,112.80M,-314.60M,,41.50M,-96.10M,-369.20M,,292.00M,-75.00M,217.00M,,,,-87.90M,-87.90M,9.40M,,138.50M,,1.880B,406.60M,26.90M,2.313B,,,411.20M,-119.20M,,,AOR,Restated
2017-06,373.00M,-5.50M,-5.50M,269.00M,269.00M,269.00M,,7.20M,-193.60M,-92.00M,209.80M,,,,-75.80M,574.70M,,-487.00M,123.40M,-363.60M,,-16.00M,-53.70M,-433.30M,,-293.40M,318.10M,24.70M,,,,-87.80M,-87.80M,1.00M,,-62.10M,,1.764B,79.30M,36.10M,1.880B,,,547.80M,-841.20M,,,AOR,Restated
2017-03,310.30M,-4.90M,-4.90M,259.20M,259.20M,259.20M,,-16.00M,-301.80M,-34.80M,392.60M,,,,56.00M,610.50M,,-429.30M,120.80M,-308.50M,,-60.30M,31.80M,-337.00M,,-187.60M,18.80M,-168.80M,,,,-294.70M,-294.70M,17.80M,,-445.70M,,1.916B,-172.20M,20.90M,1.764B,,,412.00M,-599.60M,,,AOR,Restated
2016-12,288.80M,-120.60M,-120.60M,247.50M,247.50M,247.50M,,28.10M,333.80M,71.50M,-454.30M,,,,331.70M,810.30M,,-520.60M,112.90M,-407.70M,,-97.80M,-137.40M,-642.90M,,127.90M,-39.20M,88.70M,,-14.20M,-14.20M,-84.10M,-84.10M,18.10M,,8.50M,,1.788B,175.90M,-48.10M,1.916B,,,130.40M,-2.50M,-14.20M,,AOR,Restated
2016-09,346.20M,-5.80M,-5.80M,250.20M,250.20M,250.20M,,-824.90M,26.00M,4.90M,39.40M,,,,70.30M,-158.90M,,-525.10M,102.70M,-422.40M,,342.20M,-55.10M,-135.30M,,-15.50M,105.60M,90.10M,,0.00,0.00,-84.20M,-84.20M,3.90M,,9.80M,,2.065B,-284.40M,7.40M,1.788B,,,497.90M,-513.40M,0.00,,AOR,Restated
2016-06,481.30M,-59.30M,-59.30M,252.90M,252.90M,252.90M,,-98.10M,188.60M,-1.90M,84.10M,,,,270.80M,853.60M,,-501.80M,102.10M,-399.70M,,14.50M,-108.70M,-493.90M,,231.70M,-271.30M,-39.60M,,0.00,0.00,-84.10M,-84.10M,4.80M,,-118.90M,,1.847B,240.80M,-23.20M,2.065B,,,840.90M,-609.20M,0.00,,AOR,Restated
2016-03,-594.60M,,,242.50M,242.50M,242.50M,,925.20M,-92.50M,-10.40M,322.20M,,,,219.30M,795.80M,,-417.40M,116.10M,-301.30M,,14.00M,-4.90M,-292.20M,,25.60M,-117.90M,-92.30M,,-56.30M,-56.30M,-576.90M,-576.90M,2.60M,,-722.90M,,2.016B,-219.30M,50.20M,1.847B,,,525.60M,-500.00M,-56.30M,,AOR,Restated
2015-12,347.20M,-3.70M,-3.70M,227.80M,227.80M,227.80M,,61.40M,312.30M,89.40M,-655.10M,,,,123.60M,704.80M,,-444.50M,108.70M,-335.80M,,-78.20M,-159.20M,-573.20M,,-254.60M,243.30M,-11.30M,,-130.90M,-130.90M,-84.80M,-84.80M,5.60M,,-221.40M,,2.126B,-89.80M,-19.90M,2.016B,,,56.70M,-311.30M,-130.90M,,AOR,Restated
2015-09,431.20M,-3.50M,-3.50M,230.90M,230.90M,230.90M,,30.20M,49.20M,-26.60M,-49.70M,,,,-27.10M,664.10M,,-448.00M,99.00M,-349.00M,,-21.70M,-116.30M,-487.00M,,270.90M,-98.90M,172.00M,,-70.70M,-70.70M,-85.20M,-85.20M,3.50M,,19.60M,,1.963B,196.70M,-33.70M,2.126B,,,630.20M,-359.30M,-70.70M,,AOR,Restated
2015-06,447.20M,-55.70M,-55.70M,227.30M,227.30M,227.30M,,2.20M,-70.30M,-8.50M,165.10M,,,,86.30M,710.90M,,-437.00M,118.10M,-318.90M,,-148.60M,-115.00M,-582.50M,,-137.30M,454.20M,316.90M,,,,-78.10M,-78.10M,6.40M,,245.20M,,1.565B,373.60M,24.80M,1.963B,,,752.00M,-889.30M,,,AOR,Restated
2015-03,378.40M,,,221.10M,221.10M,221.10M,,-47.20M,-465.90M,10.00M,377.10M,,,,-78.80M,476.20M,,-395.70M,123.00M,-272.70M,,-45.80M,-13.70M,-332.20M,,534.10M,-347.90M,186.20M,,,,-432.40M,-432.40M,6.30M,,-239.90M,,1.738B,-95.90M,-77.00M,1.565B,,,554.30M,-20.20M,,,AOR,Restated
2014-12,394.30M,-69.10M,-69.10M,240.10M,240.10M,240.10M,,109.20M,-13.60M,30.10M,-418.70M,,,,-57.40M,522.00M,,-428.70M,105.50M,-323.20M,,3.30M,-129.70M,-449.60M,,384.00M,-246.20M,137.80M,,-17.20M,-17.20M,-78.00M,-78.00M,12.70M,,55.30M,,1.648B,127.70M,-38.50M,1.738B,,,384.00M,0.00,-17.20M,,AOR,Restated
2014-09,371.40M,-3.70M,-3.70M,230.10M,230.10M,230.10M,,-35.80M,-275.60M,-67.60M,537.20M,,,,194.00M,760.80M,,-416.70M,102.20M,-314.50M,,-58.10M,-56.50M,-429.10M,,-261.30M,351.60M,90.30M,,-25.50M,-25.50M,-78.00M,-78.00M,3.10M,,-10.10M,,1.380B,321.60M,-53.50M,1.648B,,,315.30M,-576.60M,-25.50M,,AOR,Restated
