,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,575.00M,-28.00M,,-27.00M,-177.00M,368.00M,,368.00M,368.00M,-64.00M,,,-123.00M,52.00M,,,113.00M,,,109.00M,274.00M,,853.00M,,-722.00M,300.00M,-378.00M,-44.00M,,0.00,0.00,-422.00M,,1.225B,-865.00M,360.00M,,,,,,-248.00M,-248.00M,-11.00M,101.00M,,467.00M,532.00M,,999.00M,,,1.475B,-1.115B,,135.00M,96.00M,,AOR,
2020-06,451.00M,-101.00M,,-26.00M,-127.00M,361.00M,,361.00M,361.00M,86.00M,,,-111.00M,0.00,,,44.00M,,,-193.00M,-149.00M,,511.00M,,-715.00M,,-694.00M,-21.00M,,-11.00M,17.00M,-709.00M,,-31.00M,103.00M,72.00M,,,,,,-247.00M,-247.00M,-2.00M,-177.00M,,842.00M,-375.00M,,467.00M,,,875.00M,-803.00M,,41.00M,197.00M,,AOR,
2020-03,448.00M,103.00M,,-26.00M,77.00M,371.00M,,371.00M,371.00M,18.00M,,,57.00M,16.00M,,,71.00M,,,95.00M,182.00M,,1.153B,,-749.00M,,-720.00M,-29.00M,,-10.00M,35.00M,-724.00M,,600.00M,-53.00M,547.00M,,,,,,-248.00M,-248.00M,-62.00M,237.00M,,176.00M,666.00M,,842.00M,,,900.00M,-353.00M,,,91.00M,,AOR,
2019-12,437.00M,-158.00M,,-22.00M,-180.00M,361.00M,,361.00M,361.00M,41.00M,,,-20.00M,0.00,,,2.00M,,,-320.00M,31.00M,,670.00M,,-808.00M,-70.00M,-853.00M,-25.00M,,1.00M,91.00M,-786.00M,,-400.00M,769.00M,369.00M,,,,,,-237.00M,-237.00M,4.00M,136.00M,,156.00M,20.00M,,176.00M,,,0.00,270.00M,,10.00M,194.00M,,AOR,
2019-09,403.00M,81.00M,,-21.00M,67.00M,355.00M,,355.00M,355.00M,16.00M,,,22.00M,0.00,,,-1.00M,,,23.00M,22.00M,,885.00M,,-823.00M,70.00M,-709.00M,-44.00M,,-10.00M,26.00M,-737.00M,,150.00M,-19.00M,131.00M,,,,,,-238.00M,-238.00M,0.00,-107.00M,,115.00M,41.00M,,156.00M,,,400.00M,-269.00M,,6.00M,89.00M,,AOR,Restated
2019-06,153.00M,-231.00M,,-2.00M,162.00M,349.00M,,349.00M,349.00M,21.00M,,,-28.00M,0.00,,,-36.00M,,,-15.00M,-51.00M,,606.00M,,-817.00M,,-809.00M,-8.00M,,-8.00M,19.00M,-806.00M,,1.25B,-786.00M,464.00M,,,,,,-237.00M,-237.00M,-8.00M,219.00M,,96.00M,19.00M,,115.00M,,,1.50B,-901.00M,,25.00M,165.00M,,AOR,Restated
2019-03,700.00M,-246.00M,,-3.00M,-249.00M,361.00M,,361.00M,361.00M,102.00M,,,9.00M,77.00M,,,26.00M,,,192.00M,295.00M,,1.218B,,-816.00M,,-795.00M,-21.00M,,-10.00M,10.00M,-816.00M,,-350.00M,135.00M,-215.00M,,,,,,-238.00M,-238.00M,-52.00M,-505.00M,,199.00M,-103.00M,,96.00M,,,0.00,-350.00M,,,91.00M,,AOR,Restated
2018-12,199.00M,189.00M,,18.00M,153.00M,348.00M,,348.00M,348.00M,58.00M,,,-165.00M,115.00M,,-170.00M,-57.00M,,,-60.00M,-172.00M,,421.00M,,-919.00M,,-884.00M,-35.00M,,43.00M,73.00M,-803.00M,,100.00M,597.00M,697.00M,,,,,,-228.00M,-228.00M,6.00M,475.00M,,106.00M,93.00M,,199.00M,,,700.00M,-600.00M,,35.00M,162.00M,,AOR,Restated
2018-09,412.00M,78.00M,,17.00M,95.00M,342.00M,,342.00M,342.00M,297.00M,,,-36.00M,-114.00M,,-101.00M,-69.00M,,,33.00M,-251.00M,,859.00M,,-1.09B,,-1.023B,-67.00M,,-7.00M,11.00M,-1.086B,,300.00M,149.00M,449.00M,,,,,,-227.00M,-227.00M,0.00,222.00M,,111.00M,-5.00M,,106.00M,,,650.00M,-350.00M,,12.00M,87.00M,,AOR,Restated
2018-06,269.00M,59.00M,,18.00M,77.00M,325.00M,,325.00M,325.00M,137.00M,,,-46.00M,10.00M,,-1.00M,-68.00M,,,-210.00M,-269.00M,,493.00M,,-979.00M,,-952.00M,-27.00M,,2.00M,23.00M,-954.00M,,1.00B,-324.00M,676.00M,,,,,,-228.00M,-228.00M,-10.00M,438.00M,,134.00M,-23.00M,,111.00M,,,1.40B,-400.00M,,48.00M,132.00M,,AOR,Restated
