,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,3.765B,3.765B,1.162B,1.162B,,,,,1.162B,,,,,591.60M,100.10M,491.50M,,,-18.90M,,472.60M,472.60M,,591.60M,,1.72,,,1.72,1.72,,1.71,,,1.71,1.71,,274.70M,277.20M,0.56,,AOR,
2020-09,3.311B,3.311B,1.166B,1.166B,,,,,1.166B,,,,,275.10M,39.20M,235.90M,,,0.10M,,236.00M,236.00M,,275.10M,,0.86,,,0.86,0.86,,0.85,,,0.85,0.85,,274.80M,276.80M,0.56,,AOR,
2020-06,3.115B,3.115B,983.30M,983.30M,,,,,983.30M,,,,,498.60M,82.50M,416.10M,,,-17.80M,,398.30M,398.30M,,498.60M,,1.45,,,1.45,1.45,,1.45,,,1.45,1.45,,274.30M,275.60M,0.56,,AOR,
2020-03,4.551B,4.551B,1.336B,1.336B,,,,,1.336B,,,,,328.20M,43.20M,285.00M,,,3.90M,,288.90M,288.90M,,328.20M,,1.05,,,1.05,1.05,,1.04,,,1.04,1.04,,275.00M,277.20M,0.56,,AOR,
2019-12,4.047B,4.047B,1.223B,1.223B,,,,,1.223B,,,,,371.30M,56.00M,315.30M,,,-14.40M,,300.90M,300.90M,,371.30M,,1.08,,,1.08,1.08,,1.07,,,1.07,1.07,,277.70M,280.10M,0.55,,AOR,Restated
2019-09,4.458B,4.458B,1.242B,1.242B,,,,,1.242B,,,,,345.70M,61.10M,284.60M,,,-7.50M,,277.10M,277.10M,,345.70M,,0.99,,,0.99,0.99,,0.98,,,0.98,0.98,,279.00M,281.40M,0.55,,AOR,Restated
2019-06,3.973B,3.973B,1.046B,1.046B,,,,,1.046B,,,,,450.30M,58.20M,392.10M,,,-5.80M,,386.30M,386.30M,,450.30M,,1.38,,,1.38,1.38,,1.37,,,1.37,1.37,,279.00M,281.20M,0.54,,AOR,Restated
2019-03,3.744B,3.744B,992.70M,992.70M,,,,,992.70M,,,,,526.00M,73.90M,452.10M,,,-22.20M,,429.90M,429.90M,,526.00M,,1.54,,,1.54,1.54,,1.53,,,1.53,1.53,,278.70M,280.90M,0.54,,AOR,Restated
2018-12,3.771B,3.771B,1.057B,1.057B,,,,,1.057B,,,,,242.90M,11.20M,231.70M,,,4.80M,,236.50M,236.50M,53.20M,242.90M,,0.84,,,0.84,0.84,,0.84,,,0.84,0.84,,282.50M,285.20M,0.54,,AOR,Restated
2018-09,4.348B,4.348B,1.105B,1.105B,,,,,1.105B,,,,,569.10M,109.10M,460.00M,,,-3.70M,,456.30M,456.30M,50.70M,569.10M,,1.60,,,1.60,1.60,,1.59,,,1.59,1.59,,284.90M,287.80M,0.53,,AOR,Restated
