,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,308.01M,,,102.09M,-149.41M,-80.53M,-104.16M,,,417.07M,417.07M,7.308M,,,23.47M,-35.40M,-151.74M,43.88M,,,,-107.85M,,603.67M,,,,,4.812M,-1.798M,0.00,-494.51M,,26.32M,,26.32M,0.348M,0.00,0.348M,,0.00,0.00,,,-430.66M,,-62.20M,-466.20M,,940.19M,-357.04M,14.93M,598.09M,,0.348M,520.76M,-494.44M,0.00,,,AOR,
2020-09,332.52M,,,101.55M,-243.13M,-73.97M,-117.29M,,,400.74M,400.74M,-7.395M,,,26.55M,-33.62M,136.63M,67.19M,,,,203.83M,,977.99M,,,,,5.866M,-0.205M,0.00,-328.66M,,380.43M,,380.43M,0.018M,0.00,0.018M,,-7.20M,-7.20M,,,-430.59M,,-202.98M,-260.32M,,549.13M,389.00M,2.062M,940.19M,,0.018M,1.926B,-1.546B,-7.20M,,,AOR,
2020-06,454.94M,,,66.82M,-130.36M,-54.14M,-94.10M,,,398.20M,398.20M,-2.162M,,,28.00M,-26.88M,-264.23M,106.50M,,,,-157.74M,,676.26M,,,,,-35.36M,-1.432M,0.00,-241.99M,,-176.37M,,-176.37M,1.001M,0.00,1.001M,,,,430.77M,,-430.97M,,-89.71M,-696.05M,,807.87M,-261.78M,3.04M,549.13M,,1.001M,386.32M,-562.68M,0.00,,,AOR,
2020-03,521.16M,,,-109.73M,-194.24M,-88.73M,-349.93M,,,345.97M,345.97M,2.993M,,,31.81M,-22.56M,166.39M,-123.47M,,,,42.92M,,679.09M,,,,,-1.799B,-3.247M,4.312M,-2.009B,,800.87M,,800.87M,0.85M,-34.83M,-33.98M,,,,-430.77M,,-430.77M,,714.28M,1.050B,,1.089B,-279.67M,-1.315M,807.87M,,0.85M,4.991B,-4.190B,-34.83M,,,AOR,
2019-12,426.24M,,,122.07M,-322.10M,-48.65M,-248.65M,,,289.24M,289.24M,2.452M,,,25.09M,-16.90M,29.00M,33.38M,,,,62.38M,,616.37M,,,,,9.915M,-1.90M,,-403.10M,,217.19M,,217.19M,0.183M,0.00,0.183M,,0.00,0.00,,,-336.70M,,-36.90M,-156.22M,,1.025B,57.05M,6.813M,1.089B,,0.183M,182.79M,34.40M,0.00,,,AOR,Restated
2019-09,491.01M,,,-47.54M,-123.31M,-46.30M,-203.57M,,,282.25M,282.25M,0.534M,,,20.52M,-21.01M,-141.82M,126.14M,,,,-15.69M,,644.14M,,,,,-69.75M,11.40M,,-364.02M,,737.68M,,737.68M,1.527M,0.00,1.527M,,0.00,0.00,,,-336.60M,,-52.08M,350.52M,,401.19M,630.64M,-6.839M,1.025B,,1.527M,1.965B,-1.227B,0.00,,,AOR,Restated
2019-06,410.83M,,,3.322M,-224.20M,-48.56M,-269.04M,,,284.38M,284.38M,8.442M,,,20.19M,-19.76M,-19.81M,9.871M,,,,-9.935M,,508.61M,,,,,-106.85M,2.479M,,-77.87M,,145.74M,,145.74M,1.89M,0.00,1.89M,,,,336.09M,,-336.27M,,-96.62M,-285.27M,,251.03M,145.48M,4.685M,401.19M,,1.89M,811.62M,-665.89M,0.00,,,AOR,Restated
2019-03,373.76M,,,-7.158M,-188.21M,-56.67M,-249.92M,,,284.01M,284.01M,0.793M,,,31.76M,-23.75M,36.02M,-54.16M,,,,-18.15M,,494.91M,,,,,279.98M,-18.76M,,159.64M,,-297.91M,,-297.91M,2.482M,0.00,2.482M,,,,-336.09M,,-336.09M,,-117.11M,-748.63M,,343.86M,-94.08M,1.255M,251.03M,,2.482M,1.145B,-1.443B,0.00,,,AOR,Restated
2018-12,690.49M,,,-47.24M,-357.57M,-116.42M,-521.30M,,,286.76M,286.76M,2.527M,,,18.06M,-17.45M,-41.50M,12.93M,,,,-28.57M,,529.64M,,,,,141.32M,20.70M,0.00,-19.69M,,-124.67M,,-124.67M,1.738M,,1.738M,,,,,,-303.79M,,-16.29M,-443.01M,,275.56M,66.94M,1.354M,343.86M,,1.738M,937.65M,-1.062B,,,,AOR,Restated
2018-09,375.52M,,,-20.52M,-194.06M,-56.63M,-269.26M,,,252.70M,252.70M,0.115M,,,18.95M,-16.44M,-42.18M,106.48M,,,,64.31M,,500.69M,,,,,7.205M,0.985M,0.00,-457.33M,,20.83M,,20.83M,0.831M,,0.831M,,,,,,-304.33M,,-6.174M,-288.85M,,527.83M,-245.48M,-6.784M,275.56M,,0.831M,2.240B,-2.219B,,,,AOR,Restated
2018-06,364.99M,,,-86.74M,-94.26M,-62.55M,-242.85M,,,203.67M,203.67M,0.87M,,,19.09M,-8.352M,40.76M,-44.93M,,,,-4.168M,,423.98M,,,,,-7.69M,0.00,0.00,-338.64M,,318.58M,,318.58M,3.089M,,3.089M,,,,,,-257.56M,,-68.39M,-4.275M,,458.10M,81.07M,-11.34M,527.83M,,3.089M,1.181B,-862.90M,,,,AOR,Restated
2018-03,391.96M,,,34.14M,-195.11M,-62.66M,-223.62M,,,204.08M,204.08M,-2.064M,,,20.00M,-12.05M,-69.93M,-44.36M,,,,-114.29M,,349.24M,,,,,59.08M,-3.966M,34.26M,151.86M,,-155.71M,,-155.71M,1.233M,,1.233M,,,,,,-257.69M,,-83.81M,-495.97M,,447.05M,5.134M,5.919M,458.10M,,1.233M,540.30M,-696.01M,,,,AOR,Restated
2017-12,338.87M,,,13.31M,-223.58M,-76.30M,-248.79M,,,222.50M,222.50M,-4.808M,,,18.55M,-12.45M,-50.26M,-12.47M,,,,-62.72M,,326.93M,,,,,60.11M,0.00,0.00,201.39M,,-407.94M,,-407.94M,2.174M,,2.174M,,,,,,-235.62M,,5.27M,-649.30M,,568.73M,-120.97M,-0.707M,447.05M,,2.174M,409.01M,-816.95M,,,,AOR,Restated
2017-09,913.42M,,,20.38M,-779.05M,-55.07M,-813.74M,,,201.90M,201.90M,-2.465M,,,20.49M,-14.45M,112.86M,106.96M,,,,219.82M,,615.15M,,,,,-464.08M,0.00,0.00,512.39M,,-565.68M,,-565.68M,5.31M,,5.31M,,,,,,-236.47M,,-34.10M,-830.94M,,271.35M,296.61M,0.764M,568.73M,,5.31M,160.00M,-725.68M,,,,AOR,Restated
