,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,325.85M,,,41.90M,0.00,-21.24M,20.66M,,,138.33M,138.33M,,,8.734M,19.22M,,,,,,528.27M,,-62.17M,,,,,2.649M,-103.32M,,-0.505M,,-0.505M,1.819M,-0.619M,1.20M,224.57M,-1.22B,-995.43M,,,-403.73M,-0.56M,-1.399B,,1.293B,-974.07M,-0.164M,318.71M,,226.39M,0.00,-0.505M,-1.221B,,AOR,
2020-06,315.81M,,,19.30M,0.00,-17.66M,1.64M,,,137.62M,137.62M,,,7.124M,55.34M,,,,,,539.12M,,-109.53M,,,,,4.86M,-134.93M,,-0.503M,,-0.503M,1.923M,-0.578M,1.345M,549.17M,0.00,549.17M,,,-402.79M,-0.544M,146.68M,,742.13M,550.88M,-0.059M,1.293B,,551.09M,0.00,-0.503M,-0.578M,,AOR,
2020-03,367.14M,,,-8.945M,-1.117M,-23.97M,-34.03M,,,135.90M,135.90M,,,5.677M,-27.18M,,,,,,462.95M,,-243.69M,,,,,,-289.90M,,544.65M,,544.65M,1.763M,-8.507M,-6.744M,,,,,,-401.81M,-0.606M,135.50M,,433.55M,308.54M,0.031M,742.13M,,1.763M,545.15M,-0.497M,-8.507M,,AOR,
2019-12,387.10M,,,10.32M,0.00,-13.92M,-3.598M,,,134.88M,134.88M,,,6.345M,-43.99M,,,,,,500.00M,,-178.29M,,,,,,-226.68M,,-0.488M,,-0.488M,0.555M,-1.479M,-0.924M,475.08M,-477.50M,-2.415M,,,-401.37M,0.845M,-404.35M,,564.69M,-131.03M,-0.104M,433.55M,,475.64M,0.00,-0.488M,-478.98M,,AOR,
2019-09,399.42M,,,-15.57M,0.00,-19.04M,-34.62M,,,129.23M,129.23M,,,7.114M,35.88M,,,,,,552.46M,,-179.58M,,,,,,-257.54M,,-0.484M,,-0.484M,15.62M,-0.672M,14.95M,307.35M,0.00,307.35M,,,-399.77M,-36.14M,-114.10M,,383.83M,180.82M,0.045M,564.69M,,322.97M,0.00,-0.484M,-0.672M,,AOR,Restated
2019-06,371.46M,,,5.218M,-0.341M,-18.91M,-14.04M,,,126.86M,126.86M,,,5.71M,32.24M,,,,,,545.35M,,-154.71M,,,,,,-223.64M,,496.42M,,496.42M,15.80M,-0.254M,15.54M,0.00,-287.50M,-287.50M,,,-403.12M,-0.624M,-179.28M,,241.40M,142.43M,-0.004M,383.83M,,15.80M,496.90M,-0.481M,-287.75M,,AOR,Restated
2019-03,367.68M,,,-7.791M,,-17.67M,-25.46M,,,121.94M,121.94M,,,6.664M,-16.42M,,,,,,469.83M,,-112.48M,,,,,,-189.49M,,-0.467M,,-0.467M,1.593M,-9.757M,-8.164M,276.72M,-285.00M,-8.277M,,,-404.49M,-1.607M,-423.00M,,384.02M,-142.67M,0.05M,241.40M,,278.32M,0.00,-0.467M,-294.76M,,AOR,Restated
2018-12,587.91M,,,-5.379M,-36.08M,-12.97M,-54.42M,,,121.37M,121.37M,,,18.10M,-196.23M,,,,,,492.16M,,-121.96M,,,,,,-161.19M,,-0.455M,,-0.455M,4.582M,-1.498M,3.084M,0.00,0.00,0.00,,,-403.28M,-1.382M,-402.03M,,455.11M,-71.06M,-0.028M,384.02M,,4.582M,0.00,-0.455M,-1.498M,,AOR,Restated
2018-09,379.59M,,,-2.612M,-1.401M,-17.77M,-21.78M,,,124.52M,124.52M,,,18.60M,22.25M,,,,,,592.21M,,-109.18M,,,,,,-98.70M,,-0.447M,,-0.447M,6.244M,-0.607M,5.637M,0.00,0.00,0.00,,,-403.25M,-1.617M,-399.67M,,361.43M,93.84M,-0.156M,455.11M,,6.244M,0.00,-0.447M,-0.607M,,AOR,Restated
2018-06,405.29M,,,-21.94M,0.00,-41.96M,-63.91M,,,119.78M,119.78M,,,17.25M,29.70M,,,,,,520.75M,,-49.22M,,,,,,-141.13M,,-0.442M,,-0.442M,0.732M,-0.173M,0.559M,0.00,0.00,0.00,,,-403.06M,-1.291M,-404.24M,,386.00M,-24.61M,0.038M,361.43M,,0.732M,0.00,-0.442M,-0.173M,,AOR,Restated
