,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,8.235B,8.235B,3.489B,4.746B,567.00M,1.653B,,1.00M,-1.00M,141.00M,21.00M,-120.00M,,2.22B,2.526B,21.00M,141.00M,-120.00M,198.00M,-120.00M,2.604B,149.00M,2.455B,,,,2.455B,2.267B,3.109B,364.00M,2.745B,,2.16,,,1.994,2.16,,2.12,,,1.957,2.12,,1.134B,1.156B,0.65,,AOR,
2020-09,8.346B,8.346B,2.766B,5.58B,551.00M,1.582B,,56.00M,-58.00M,166.00M,21.00M,-145.00M,-5.00M,2.128B,3.452B,21.00M,166.00M,-145.00M,-1.00M,-145.00M,3.306B,346.00M,2.96B,,,,2.96B,2.961B,3.811B,339.00M,3.472B,,2.62,,,2.621,2.62,,2.58,,,2.581,2.58,,1.129B,1.146B,0.65,,AOR,
2020-06,4.893B,4.893B,2.08B,2.813B,511.00M,1.52B,,12.00M,-11.00M,143.00M,30.00M,-113.00M,,2.031B,782.00M,30.00M,143.00M,-113.00M,199.00M,-113.00M,868.00M,23.00M,845.00M,,,,845.00M,646.15M,1.374B,363.00M,1.011B,,0.75,,,0.5736,0.75,,0.74,,,0.5654,0.74,,1.127B,1.139B,0.65,,AOR,
2020-03,5.216B,5.216B,2.297B,2.919B,483.00M,1.468B,,265.00M,-265.00M,146.00M,47.00M,-99.00M,-23.00M,1.928B,991.00M,47.00M,146.00M,-99.00M,-294.00M,-99.00M,598.00M,130.00M,468.00M,,,,468.00M,692.64M,1.084B,340.00M,744.00M,,0.41,,,0.6072,0.41,,0.41,,,0.6052,0.41,,1.139B,1.151B,0.62,,AOR,
2019-12,5.077B,5.077B,2.113B,2.964B,528.00M,1.406B,,72.00M,-72.00M,148.00M,59.00M,-89.00M,,1.934B,1.03B,59.00M,148.00M,-89.00M,6.00M,-89.00M,947.00M,22.00M,925.00M,,,,925.00M,909.32M,1.446B,351.00M,1.095B,,0.81,,,0.7963,0.81,,0.80,,,0.7865,0.80,,1.144B,1.159B,0.62,,AOR,Restated
2019-09,4.814B,4.814B,2.118B,2.696B,549.00M,1.441B,,24.00M,-14.00M,150.00M,76.00M,-74.00M,6.00M,1.996B,700.00M,76.00M,150.00M,-74.00M,-12.00M,-74.00M,614.00M,108.00M,506.00M,,,,506.00M,504.35M,1.114B,350.00M,764.00M,,0.42,,,0.4186,0.42,,0.42,,,0.4186,0.42,,1.198B,1.208B,0.62,,AOR,Restated
2019-06,9.635B,9.635B,2.114B,7.521B,547.00M,1.38B,,42.00M,-42.00M,160.00M,80.00M,-80.00M,277.00M,2.204B,5.317B,80.00M,160.00M,-80.00M,264.00M,-80.00M,5.501B,3.352B,2.149B,,,,2.149B,1.940B,6.014B,353.00M,5.661B,,1.77,,,1.598,1.77,,1.75,,,1.580,1.75,,1.217B,1.231B,0.62,,AOR,Restated
2019-03,4.982B,4.982B,2.179B,2.803B,573.00M,1.308B,,60.00M,-60.00M,162.00M,78.00M,-84.00M,-18.00M,1.863B,940.00M,78.00M,162.00M,-84.00M,-50.00M,-84.00M,806.00M,143.00M,663.00M,,,,663.00M,674.48M,1.313B,345.00M,968.00M,,0.55,,,0.5595,0.55,,0.55,,,0.5594,0.55,,1.213B,1.217B,0.62,,AOR,Restated
2018-12,4.842B,4.842B,2.188B,2.654B,526.00M,1.269B,,9.00M,-17.00M,156.00M,74.00M,-82.00M,149.00M,1.944B,710.00M,74.00M,156.00M,-82.00M,-69.00M,-82.00M,559.00M,-509.00M,1.068B,,,,1.068B,1.103B,1.068B,353.00M,715.00M,,0.88,,,0.9089,0.88,,0.87,,,0.8987,0.87,,1.213B,1.223B,0.62,,AOR,Restated
2018-09,5.778B,5.778B,2.85B,2.928B,689.00M,1.388B,,35.00M,-35.00M,207.00M,150.00M,-57.00M,1.53B,3.607B,-679.00M,150.00M,207.00M,-57.00M,-65.00M,-57.00M,-801.00M,-288.00M,-513.00M,,,,-513.00M,-521.33M,-198.00M,396.00M,-594.00M,,-0.35,,,-0.3559,-0.35,,-0.35,,,-0.3559,-0.35,,1.415B,1.415B,0.62,,AOR,Restated
