,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,530.00M,,,-3.00M,-85.00M,132.00M,132.00M,8.00M,,,,50.00M,-55.00M,-36.00M,24.00M,,-67.00M,681.00M,,-19.00M,,-19.00M,6.00M,-2.455B,-7.00M,-414.00M,,-1.481B,0.00,-1.481B,,0.00,0.00,0.00,,0.00,-148.00M,-29.00M,-177.00M,,0.00,8.00M,,13.20B,275.00M,13.47B,,0.00,0.00,-1.481B,0.00,,AOR,
2020-06,-214.00M,,,-1.00M,-59.00M,128.00M,128.00M,-173.00M,,,,-506.00M,14.00M,517.00M,268.00M,,799.00M,857.00M,,-12.00M,,-12.00M,-387.00M,132.00M,-48.00M,-1.136B,,-5.541B,-3.15B,-8.691B,,0.00,0.00,346.00M,,346.00M,-149.00M,-23.00M,-172.00M,,-10.00M,8.222B,,5.255B,7.943B,13.20B,,346.00M,748.00M,-6.289B,0.00,,AOR,
2020-03,162.00M,,,0.00,-33.00M,100.00M,100.00M,-69.00M,,,,204.00M,41.00M,-212.00M,221.00M,,50.00M,787.00M,,-4.00M,,-4.00M,,-397.00M,-44.00M,-5.28B,,2.151B,1.10B,3.251B,,0.00,0.00,,,,-149.00M,-23.00M,-172.00M,,,5.634B,,4.114B,1.141B,5.255B,,,3.95B,-1.799B,0.00,,AOR,
2019-12,389.00M,,,2.00M,-14.00M,105.00M,105.00M,55.00M,,,,-50.00M,-218.00M,232.00M,-98.00M,,-84.00M,497.00M,,-5.00M,,-5.00M,0.00,629.00M,-55.00M,287.00M,,-1.251B,-3.351B,-4.602B,,-132.00M,-132.00M,0.00,,0.00,-151.00M,-23.00M,-174.00M,,1.00M,-1.737B,,5.067B,-953.00M,4.114B,,0.00,0.00,-1.251B,-132.00M,,AOR,
2019-09,409.00M,,,0.00,-37.00M,109.00M,109.00M,-11.00M,,,,34.00M,105.00M,-124.00M,170.00M,,151.00M,763.00M,,-9.00M,,-9.00M,0.00,-380.00M,-72.00M,187.00M,,-101.00M,1.151B,1.05B,,-589.00M,-589.00M,0.00,,0.00,-140.00M,-24.00M,-164.00M,,-2.00M,-371.00M,,4.488B,579.00M,5.067B,,0.00,500.00M,-601.00M,-589.00M,,AOR,Restated
2019-06,390.00M,,,19.00M,-11.00M,107.00M,107.00M,-1.00M,,,,-100.00M,147.00M,-40.00M,159.00M,,266.00M,743.00M,,-2.00M,,-2.00M,0.00,974.00M,-21.00M,1.723B,,-3.80B,2.65B,-1.15B,,-190.00M,-190.00M,490.00M,,490.00M,-143.00M,-16.00M,-159.00M,,-27.00M,-1.785B,,3.807B,681.00M,4.488B,,490.00M,8.749B,-12.55B,-190.00M,,AOR,Restated
2019-03,394.00M,,,7.00M,-18.00M,105.00M,105.00M,19.00M,,,,56.00M,-381.00M,90.00M,222.00M,,-69.00M,578.00M,,-8.00M,,-8.00M,,-273.00M,-38.00M,-1.688B,,500.00M,0.00,500.00M,,-190.00M,-190.00M,,,,-143.00M,-16.00M,-159.00M,,-1.00M,1.379B,,3.538B,269.00M,3.807B,,,12.02B,-11.52B,-190.00M,,AOR,Restated
2018-12,406.00M,0.00,,0.00,-18.00M,107.00M,107.00M,80.00M,,,,92.00M,210.00M,70.00M,-38.00M,,242.00M,1.004B,,-34.00M,,-34.00M,0.00,274.00M,-23.00M,-1.211B,,1.199B,-1.65B,-451.00M,,-370.00M,-370.00M,0.00,,0.00,-148.00M,-16.00M,-164.00M,,-1.00M,250.00M,,3.495B,43.00M,3.538B,,0.00,10.95B,-9.751B,-370.00M,,AOR,Restated
2018-09,564.00M,-281.00M,,0.00,-303.00M,116.00M,116.00M,37.00M,,,,196.00M,53.00M,-143.00M,7.00M,,-83.00M,611.00M,,-35.00M,,-35.00M,357.00M,65.00M,-60.00M,-1.12B,,1.301B,1.85B,3.151B,,-1.282B,-1.282B,0.00,,0.00,-101.00M,-16.00M,-117.00M,,-6.00M,-282.00M,,4.286B,-791.00M,3.495B,,0.00,2.70B,-1.399B,-1.282B,,AOR,Restated
2018-06,375.00M,,,-1.00M,-20.00M,118.00M,118.00M,6.00M,,,,-46.00M,-31.00M,-46.00M,90.00M,,13.00M,506.00M,,0.00,,0.00,,87.00M,-17.00M,-670.00M,,1.949B,1.40B,3.349B,,-235.00M,-235.00M,0.00,,0.00,-101.00M,-16.00M,-117.00M,,-25.00M,1.265B,,3.185B,1.101B,4.286B,,0.00,3.75B,-1.801B,-235.00M,,AOR,Restated
