,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,844.00M,844.00M,2.162B,3.006B,5.247B,5.247B,1.573B,464.00M,1.317B,,3.354B,,1.312B,12.92B,0.00,362.00M,3.757B,25.62B,,,29.74B,-22.92B,6.826B,12.98B,3.455B,16.44B,2.061B,,4.193B,29.52B,42.43B,,2.937B,184.00M,1.015B,,4.136B,4.564B,8.70B,,,850.00M,850.00M,941.00M,941.00M,,,10.49B,16.04B,16.04B,19.00M,19.00M,1.049B,,418.00M,2.35B,19.45B,29.94B,,12.97B,7.018B,,3.033B,,,-4.884B,12.07B,,AOR,
2020-09,1.219B,1.219B,2.618B,3.837B,5.552B,5.552B,1.609B,520.00M,1.413B,,3.542B,,1.284B,14.22B,,,,,,,32.13B,-24.73B,7.396B,12.97B,3.573B,16.54B,1.436B,33.00M,4.445B,29.85B,44.07B,,9.201B,184.00M,974.00M,,10.36B,,10.36B,,,1.292B,1.292B,,,,,11.65B,16.47B,16.47B,0.00,0.00,854.00M,,428.00M,2.721B,20.05B,31.70B,,12.92B,6.818B,,3.055B,,,-4.743B,11.94B,,AOR,
2020-06,1.462B,1.462B,2.127B,3.589B,5.808B,5.808B,1.677B,481.00M,1.443B,,3.601B,,1.381B,14.38B,,,,,,,32.74B,-25.01B,7.729B,12.95B,3.622B,16.58B,1.484B,,4.499B,30.29B,44.67B,,9.824B,184.00M,1.054B,,11.06B,,11.06B,,,603.00M,603.00M,,,,,11.66B,16.76B,16.76B,42.00M,42.00M,905.00M,,416.00M,2.836B,20.55B,32.21B,,13.04B,7.073B,,3.339B,,,-4.738B,12.04B,,AOR,
2020-03,1.375B,1.375B,1.969B,3.344B,7.486B,7.486B,1.949B,542.00M,1.657B,,4.148B,,1.288B,16.27B,,,,,,,34.10B,-25.56B,8.55B,12.92B,3.673B,16.60B,1.515B,155.00M,5.511B,32.33B,48.59B,,10.17B,704.00M,1.157B,,12.03B,,12.03B,,,1.233B,1.233B,,,,,13.26B,15.41B,15.41B,0.00,0.00,936.00M,,422.00M,3.004B,19.35B,32.61B,,12.96B,10.68B,,3.36B,,,-4.723B,15.56B,,AOR,
2019-12,1.137B,1.137B,1.03B,2.167B,7.747B,7.747B,1.857B,515.00M,1.758B,,4.13B,,1.486B,15.53B,0.00,483.00M,5.156B,29.37B,,,35.01B,-25.74B,9.27B,16.04B,7.089B,23.13B,1.565B,,6.816B,40.78B,56.31B,,4.79B,702.00M,1.209B,,6.701B,4.963B,11.66B,,,524.00M,524.00M,910.00M,910.00M,,,13.10B,14.77B,14.77B,491.00M,491.00M,967.00M,,416.00M,2.81B,19.04B,32.14B,,13.08B,18.75B,,3.631B,,,-4.438B,23.76B,,AOR,Restated
2019-09,1.183B,1.183B,1.109B,2.292B,8.332B,8.332B,1.964B,606.00M,1.771B,,4.341B,,1.186B,16.15B,,,,,,,35.96B,-26.36B,9.605B,16.11B,7.282B,23.39B,1.335B,,7.505B,41.84B,57.99B,,10.36B,701.00M,1.078B,,12.14B,,12.14B,,,340.00M,340.00M,,,,,12.48B,16.33B,16.33B,591.00M,591.00M,1.101B,,414.00M,3.155B,21.18B,33.66B,,13.01B,19.11B,,3.641B,,,-4.569B,23.91B,,AOR,Restated
2019-06,1.466B,1.466B,882.00M,2.348B,8.471B,8.471B,1.995B,576.00M,1.818B,,4.389B,,1.125B,16.33B,,,,,,,38.82B,-27.46B,11.36B,24.95B,8.485B,33.44B,1.558B,,7.906B,54.26B,70.59B,,9.851B,701.00M,1.123B,,11.68B,,11.68B,,,98.00M,98.00M,,,,,11.77B,16.98B,16.98B,1.33B,1.33B,1.119B,,421.00M,3.118B,22.54B,34.32B,,13.04B,31.19B,,3.827B,,,-4.544B,35.85B,,AOR,Restated
2019-03,1.23B,1.23B,925.00M,2.155B,8.171B,8.171B,1.877B,549.00M,1.798B,,4.224B,,1.223B,15.77B,,,,,,,38.71B,-27.18B,11.53B,24.94B,8.611B,33.56B,1.544B,,7.915B,54.55B,70.32B,,9.702B,702.00M,1.194B,,11.60B,,11.60B,,,99.00M,99.00M,,,,,11.70B,16.45B,16.45B,1.375B,1.375B,1.136B,,421.00M,3.14B,22.10B,33.80B,,13.00B,31.39B,,3.756B,,,-4.527B,36.10B,,AOR,Restated
2018-12,1.433B,1.433B,1.344B,2.777B,7.881B,7.881B,1.803B,519.00M,1.688B,,4.01B,,1.063B,15.73B,0.00,462.00M,5.534B,32.67B,,,38.66B,-26.98B,11.68B,24.93B,8.727B,33.66B,1.538B,,7.901B,54.78B,70.51B,,4.709B,701.00M,1.155B,,6.565B,4.637B,11.20B,,,1.407B,1.407B,877.00M,877.00M,,,13.49B,14.64B,14.64B,1.441B,1.441B,1.153B,,424.00M,3.197B,20.44B,33.92B,,13.13B,31.66B,,4.006B,,,-4.622B,36.16B,,AOR,Restated
2018-09,1.493B,1.493B,1.361B,2.854B,8.409B,8.409B,1.885B,541.00M,1.682B,,4.108B,,1.112B,16.48B,,,,,,,38.70B,-26.96B,11.74B,25.13B,8.93B,34.06B,1.497B,,6.263B,53.56B,70.05B,,9.419B,701.00M,1.265B,,11.38B,,11.38B,,,3.215B,3.215B,,,,,14.60B,14.16B,14.16B,1.529B,1.529B,957.00M,,415.00M,1.853B,18.50B,33.10B,,13.06B,31.71B,,3.924B,,,-4.313B,36.53B,,AOR,Restated
2018-06,1.461B,1.461B,1.588B,3.049B,8.606B,8.606B,1.853B,525.00M,1.742B,,4.12B,,1.125B,16.90B,,,,,,,38.19B,-26.69B,11.50B,25.12B,9.092B,34.21B,1.487B,,6.052B,53.26B,70.16B,,9.367B,699.00M,1.264B,,11.33B,,11.33B,,,3.736B,3.736B,,,,,15.07B,13.86B,13.86B,1.541B,1.541B,971.00M,,413.00M,1.816B,18.19B,33.26B,,13.03B,31.76B,,4.001B,,,-4.305B,36.48B,,AOR,Restated
