,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,3.379B,,3.379B,2.106B,506.00M,3.016B,448.00M,2.476B,299.00M,,,1.269B,10.57B,3.651B,8.861B,121.34B,-32.10B,89.24B,5.28B,499.00M,5.779B,3.467B,,2.608B,,112.58B,123.16B,,2.285B,817.00M,,3.102B,421.00M,3.523B,640.00M,171.00M,,4.378B,4.549B,235.00M,4.784B,496.00M,496.00M,1.464B,11.75B,10.24B,45.58B,1.57B,47.15B,16.36B,,16.93B,1.753B,4.211B,,2.231B,78.62B,90.37B,,5.558B,11.60B,11.81B,44.00M,291.00M,-344.00M,28.58B,,AOR,
2020-06,1.879B,,1.879B,1.886B,549.00M,2.899B,282.00M,2.381B,502.00M,,,1.288B,9.069B,3.637B,8.351B,119.31B,-31.48B,87.83B,5.28B,511.00M,5.791B,3.377B,,2.471B,,110.66B,119.73B,,2.071B,544.00M,,2.615B,499.00M,3.114B,575.00M,1.185B,,1.596B,2.781B,235.00M,3.016B,490.00M,490.00M,1.473B,9.334B,9.919B,45.14B,1.611B,46.75B,16.43B,,17.06B,1.789B,4.291B,,2.258B,78.14B,87.48B,,5.557B,11.02B,11.79B,44.00M,291.00M,-363.00M,27.96B,,AOR,
2020-03,2.164B,,2.164B,1.894B,560.00M,2.923B,233.00M,2.215B,667.00M,,,1.327B,9.43B,3.826B,8.36B,118.12B,-31.18B,86.94B,5.28B,523.00M,5.803B,3.173B,,2.362B,,109.42B,118.85B,,1.951B,363.00M,,2.314B,414.00M,2.728B,514.00M,1.71B,,1.809B,3.519B,230.00M,3.749B,491.00M,491.00M,1.569B,9.553B,9.526B,44.24B,1.61B,45.84B,16.62B,,17.32B,1.778B,4.191B,,2.251B,77.09B,86.64B,,5.557B,11.09B,11.78B,44.00M,291.00M,-367.00M,28.02B,,AOR,
2019-12,1.975B,,1.975B,2.042B,817.00M,3.409B,479.00M,2.388B,314.00M,,,1.36B,9.817B,3.83B,7.88B,116.82B,-30.76B,86.06B,5.28B,536.00M,5.816B,3.339B,,2.169B,601.00M,108.88B,118.70B,,2.557B,659.00M,,3.216B,474.00M,3.69B,504.00M,2.055B,,2.989B,5.044B,229.00M,5.273B,496.00M,496.00M,1.591B,12.55B,9.516B,41.80B,1.615B,43.41B,16.26B,,16.87B,1.814B,4.254B,,2.239B,74.10B,86.65B,,5.548B,10.88B,11.73B,42.00M,291.00M,-321.00M,27.80B,,AOR,
2019-09,2.931B,,2.931B,2.148B,693.00M,3.385B,475.00M,2.324B,279.00M,,,865.00M,9.917B,3.86B,7.804B,115.19B,-30.47B,84.72B,5.28B,550.00M,5.83B,3.505B,,2.259B,631.00M,107.67B,117.59B,,2.266B,868.00M,,3.134B,386.00M,3.52B,433.00M,542.00M,,3.313B,3.855B,229.00M,4.084B,494.00M,494.00M,1.205B,10.53B,9.768B,42.10B,1.601B,43.70B,16.40B,,16.96B,1.999B,4.278B,,2.263B,74.98B,85.51B,,5.525B,11.09B,11.51B,41.00M,291.00M,-279.00M,27.80B,,AOR,Restated
2019-06,1.383B,,1.383B,2.015B,825.00M,3.373B,268.00M,2.143B,543.00M,,,745.00M,8.352B,4.051B,7.568B,115.05B,-30.69B,84.35B,5.282B,550.00M,5.832B,3.499B,,2.248B,685.00M,106.52B,114.87B,,2.371B,672.00M,,3.043B,455.00M,3.498B,429.00M,1.398B,,3.148B,4.546B,228.00M,4.774B,489.00M,489.00M,1.133B,11.00B,9.725B,39.68B,1.702B,41.38B,16.40B,,16.78B,2.058B,4.233B,,2.283B,72.45B,83.44B,,5.508B,10.42B,11.54B,41.00M,291.00M,-238.00M,27.19B,,AOR,Restated
2019-03,1.361B,,1.361B,2.244B,936.00M,3.689B,189.00M,2.093B,786.00M,,,614.00M,8.709B,3.935B,7.598B,115.52B,-30.83B,84.69B,5.284B,585.00M,5.869B,3.473B,,2.404B,763.00M,105.39B,114.10B,,2.569B,671.00M,,3.24B,412.00M,3.652B,417.00M,1.251B,,2.315B,3.566B,226.00M,3.792B,483.00M,483.00M,1.102B,9.919B,9.272B,40.46B,1.72B,42.18B,16.71B,,17.11B,2.084B,4.25B,,2.304B,73.20B,83.12B,,5.483B,10.17B,11.32B,40.00M,291.00M,-203.00M,26.73B,,AOR,Restated
2018-12,1.396B,,1.396B,2.527B,928.00M,4.059B,524.00M,2.394B,432.00M,,,687.00M,9.583B,1.942B,7.254B,112.90B,-31.04B,81.86B,5.315B,613.00M,5.928B,3.301B,,2.58B,5.35B,107.33B,116.91B,,3.436B,656.00M,,4.092B,472.00M,4.564B,404.00M,2.915B,,3.198B,6.113B,0.00,6.113B,522.00M,522.00M,1.653B,14.29B,9.258B,40.74B,0.00,40.74B,15.39B,,15.86B,2.147B,4.316B,,2.297B,73.30B,87.58B,,5.455B,8.706B,11.09B,38.00M,291.00M,-203.00M,25.01B,,AOR,Restated
2018-09,1.847B,,1.847B,2.228B,795.00M,3.728B,486.00M,2.294B,354.00M,,,754.00M,9.384B,1.896B,7.655B,110.22B,-30.74B,79.48B,5.315B,674.00M,5.989B,3.441B,,2.556B,4.667B,102.33B,111.72B,,2.767B,1.06B,,3.827B,422.00M,4.249B,348.00M,2.564B,,3.013B,5.577B,,5.577B,524.00M,524.00M,1.467B,12.96B,6.086B,41.42B,,41.42B,15.06B,,15.52B,2.017B,3.188B,,2.33B,70.36B,83.33B,,5.464B,9.048B,10.90B,39.00M,324.00M,-177.00M,25.20B,,AOR,Restated
2018-06,1.98B,,1.98B,2.179B,780.00M,3.686B,292.00M,2.151B,398.00M,,,700.00M,11.62B,1.909B,6.947B,108.48B,-30.26B,78.23B,5.315B,702.00M,6.017B,3.375B,,2.619B,4.618B,101.16B,112.78B,,2.647B,544.00M,,3.191B,469.00M,3.66B,332.00M,4.981B,,2.237B,7.218B,,7.218B,488.00M,488.00M,2.022B,14.37B,6.109B,42.48B,,42.48B,14.94B,,15.46B,2.009B,3.056B,,2.364B,71.40B,85.76B,,5.39B,8.494B,10.30B,39.00M,324.00M,-188.00M,23.96B,,AOR,Restated
2018-03,2.284B,,2.284B,2.131B,859.00M,3.713B,235.00M,2.23B,432.00M,,,865.00M,9.524B,1.939B,7.46B,113.90B,-31.92B,81.98B,6.226B,848.00M,7.074B,3.369B,,2.674B,,102.04B,111.57B,,2.526B,368.00M,,2.894B,432.00M,3.326B,301.00M,4.271B,,3.235B,7.506B,,7.506B,530.00M,530.00M,1.474B,13.63B,4.914B,44.45B,,44.45B,16.47B,,17.13B,2.206B,1.349B,,2.667B,71.59B,85.22B,,5.378B,9.257B,10.60B,38.00M,324.00M,-200.00M,25.00B,,AOR,Restated
2017-12,2.13B,,2.13B,2.413B,869.00M,4.048B,595.00M,2.627B,452.00M,,,666.00M,10.07B,1.907B,6.904B,112.35B,-31.46B,80.90B,6.268B,873.00M,7.141B,3.345B,,2.608B,,100.93B,111.00B,,3.076B,636.00M,,3.712B,488.00M,4.20B,351.00M,2.439B,,3.861B,6.30B,31.00M,6.331B,542.00M,542.00M,1.211B,13.59B,4.862B,44.46B,,44.46B,16.36B,,17.06B,2.256B,1.361B,,2.684B,71.56B,85.15B,,5.362B,8.885B,10.47B,36.00M,324.00M,-189.00M,24.49B,,AOR,Restated
2017-09,1.841B,,1.841B,2.171B,640.00M,3.501B,631.00M,2.701B,365.00M,,,794.00M,9.202B,1.889B,8.026B,111.93B,-31.16B,80.76B,6.267B,902.00M,7.169B,3.42B,,3.041B,,101.11B,110.32B,,2.804B,866.00M,,3.67B,443.00M,4.113B,245.00M,2.579B,,3.505B,6.084B,,6.084B,550.00M,550.00M,908.00M,12.60B,4.356B,44.04B,,44.04B,16.61B,,17.66B,2.139B,1.395B,59.00M,2.708B,71.41B,84.02B,,5.841B,8.981B,10.30B,35.00M,823.00M,-182.00M,24.90B,,AOR,Restated
