,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,568.00M,,39.00M,93.00M,130.00M,223.00M,223.00M,,54.00M,27.00M,,374.00M,-113.00M,181.00M,235.00M,,,-42.00M,261.00M,,1.237B,,-165.00M,,-165.00M,-4.196B,-3.00M,12.00M,-4.352B,,-798.00M,-9.00M,-807.00M,,0.00,0.00,-216.00M,-216.00M,,-34.00M,-1.057B,,7.083B,-4.172B,32.00M,2.943B,,,999.00M,-1.797B,0.00,,AOR,
2020-09,621.00M,,0.00,84.00M,114.00M,198.00M,198.00M,,0.00,29.00M,,1.00M,-204.00M,27.00M,243.00M,,,-86.00M,-20.00M,,829.00M,,-69.00M,,-69.00M,0.00,2.00M,-2.00M,-69.00M,,0.00,-5.00M,-5.00M,,0.00,0.00,-216.00M,-216.00M,,-21.00M,-242.00M,,6.539B,518.00M,26.00M,7.083B,,,0.00,0.00,0.00,,AOR,
2020-06,-83.00M,,3.00M,83.00M,110.00M,193.00M,193.00M,,161.00M,30.00M,,-8.00M,467.00M,-59.00M,-45.00M,,,-39.00M,324.00M,,620.00M,,-109.00M,,-109.00M,-3.00M,4.00M,-9.00M,-117.00M,,2.293B,4.00M,2.297B,,0.00,0.00,-216.00M,-216.00M,,-25.00M,2.056B,,3.964B,2.559B,16.00M,6.539B,,,2.293B,0.00,0.00,,AOR,
2020-03,493.00M,,6.00M,80.00M,118.00M,198.00M,198.00M,,,56.00M,,-10.00M,204.00M,-122.00M,-403.00M,,,169.00M,-152.00M,,591.00M,,-144.00M,,-144.00M,-23.00M,4.00M,,-163.00M,,-500.00M,4.00M,-496.00M,,0.00,0.00,-215.00M,-215.00M,,-57.00M,-768.00M,,4.337B,-340.00M,-33.00M,3.964B,,,,-500.00M,0.00,,AOR,
2019-12,725.00M,,12.00M,83.00M,112.00M,195.00M,195.00M,,14.00M,32.00M,,8.00M,-439.00M,14.00M,64.00M,,,-16.00M,-377.00M,,735.00M,,-199.00M,,-199.00M,-521.00M,0.00,,-719.00M,,2.641B,0.00,2.641B,,0.00,0.00,-193.00M,-193.00M,,-85.00M,2.363B,,1.948B,2.379B,10.00M,4.337B,,,2.642B,-1.00M,0.00,,AOR,Restated
2019-09,466.00M,,17.00M,78.00M,116.00M,194.00M,194.00M,,2.00M,32.00M,,-89.00M,-52.00M,-129.00M,185.00M,,,3.00M,7.00M,,629.00M,,-163.00M,,-163.00M,-21.00M,-2.00M,,-186.00M,,0.00,-13.00M,-13.00M,,0.00,0.00,-195.00M,-195.00M,,-17.00M,-225.00M,,1.754B,218.00M,-24.00M,1.948B,,,0.00,0.00,0.00,,AOR,Restated
2019-06,480.00M,,14.00M,77.00M,122.00M,199.00M,199.00M,,0.00,28.00M,,103.00M,-122.00M,-146.00M,-9.00M,,,-33.00M,-310.00M,,514.00M,,-165.00M,,-165.00M,-80.00M,-2.00M,,-247.00M,,0.00,18.00M,18.00M,,0.00,0.00,-195.00M,-195.00M,,-11.00M,-188.00M,,1.674B,79.00M,1.00M,1.754B,,,0.00,0.00,0.00,,AOR,Restated
2019-03,412.00M,,24.00M,76.00M,114.00M,190.00M,190.00M,,,35.00M,,-7.00M,50.00M,-139.00M,-169.00M,,,-83.00M,-341.00M,,313.00M,,-122.00M,,-122.00M,-180.00M,-1.00M,,-303.00M,,-1.341B,-12.00M,-1.353B,,-307.00M,-307.00M,-195.00M,-195.00M,,-92.00M,-1.947B,,3.616B,-1.937B,-5.00M,1.674B,,,,-1.341B,-307.00M,,AOR,Restated
2018-12,2.068B,,10.00M,83.00M,93.00M,176.00M,176.00M,,,32.00M,,12.00M,-179.00M,60.00M,463.00M,,,-28.00M,316.00M,,1.046B,,-154.00M,,-154.00M,-1.681B,209.00M,,-1.628B,,2.462B,7.00M,2.469B,,0.00,0.00,-175.00M,-175.00M,,-14.00M,2.28B,,1.918B,1.698B,0.00,3.616B,,,2.531B,-69.00M,0.00,,AOR,Restated
2018-09,590.00M,,-5.00M,73.00M,112.00M,185.00M,185.00M,,,30.00M,,-17.00M,4.00M,-151.00M,-42.00M,,,24.00M,-165.00M,,618.00M,,-140.00M,,-140.00M,-3.00M,-13.00M,,-156.00M,,0.00,-1.00M,-1.00M,,0.00,0.00,-176.00M,-176.00M,,-2.00M,-179.00M,,1.641B,283.00M,-6.00M,1.918B,,,0.00,0.00,0.00,,AOR,Restated
2018-06,452.00M,,8.00M,76.00M,110.00M,186.00M,186.00M,,,28.00M,,-38.00M,-24.00M,-150.00M,53.00M,,,134.00M,13.00M,,649.00M,,-157.00M,,-157.00M,-63.00M,-4.00M,,-224.00M,,-600.00M,-106.00M,-706.00M,,0.00,0.00,-176.00M,-176.00M,,-35.00M,-917.00M,,2.179B,-492.00M,-46.00M,1.641B,,,0.00,-600.00M,0.00,,AOR,Restated
2018-03,443.00M,,3.00M,74.00M,102.00M,176.00M,176.00M,,,29.00M,,-24.00M,139.00M,-144.00M,-225.00M,,,-100.00M,-330.00M,,297.00M,,-121.00M,,-121.00M,-704.00M,-24.00M,,-849.00M,,595.00M,99.00M,694.00M,,-300.00M,-300.00M,-176.00M,-176.00M,,-73.00M,145.00M,,2.542B,-407.00M,44.00M,2.179B,,,595.00M,0.00,-300.00M,,AOR,Restated
2017-12,-249.00M,,,73.00M,96.00M,169.00M,169.00M,,,28.00M,,-25.00M,-234.00M,2.00M,921.00M,,,9.00M,698.00M,,679.00M,,-186.00M,,-186.00M,-119.00M,-154.00M,,-460.00M,,1.00M,-2.00M,-1.00M,,0.00,0.00,-159.00M,-159.00M,,-112.00M,-272.00M,,2.592B,-53.00M,3.00M,2.542B,,,1.00M,0.00,0.00,,AOR,Restated
2017-09,434.00M,,,71.00M,92.00M,163.00M,163.00M,,,27.00M,,-302.00M,-25.00M,-130.00M,33.00M,,,-121.00M,-243.00M,,79.00M,,-142.00M,,-142.00M,-674.00M,1.00M,,-815.00M,,0.00,-143.00M,-143.00M,,0.00,0.00,-159.00M,-159.00M,,-43.00M,-345.00M,,3.649B,-1.081B,24.00M,2.592B,,,0.00,0.00,0.00,,AOR,Restated
2017-06,391.00M,,,65.00M,95.00M,160.00M,160.00M,,,26.00M,,42.00M,-15.00M,-78.00M,164.00M,,,-40.00M,31.00M,,650.00M,,-131.00M,,-131.00M,-29.00M,-32.00M,,-192.00M,,194.00M,-55.00M,139.00M,,0.00,0.00,-159.00M,-159.00M,,-20.00M,-40.00M,,3.213B,418.00M,18.00M,3.649B,,,-160.00M,354.00M,0.00,,AOR,Restated
2017-03,444.00M,,,62.00M,88.00M,150.00M,150.00M,,,32.00M,,-68.00M,112.00M,-114.00M,-303.00M,,,-102.00M,-407.00M,,151.00M,,-139.00M,,-139.00M,-9.00M,2.00M,,-146.00M,,304.00M,,304.00M,,-230.00M,-230.00M,-159.00M,-159.00M,,-52.00M,-137.00M,,3.316B,-132.00M,29.00M,3.213B,,,658.00M,-354.00M,-230.00M,,AOR,Restated
2016-12,510.00M,,-1.00M,62.00M,89.00M,151.00M,151.00M,,,26.00M,,-8.00M,-214.00M,8.00M,113.00M,,,119.00M,26.00M,,658.00M,,-143.00M,,-143.00M,-36.00M,1.00M,1.00M,-177.00M,,-115.00M,,94.00M,,0.00,0.00,-142.00M,-142.00M,,-4.00M,-52.00M,,2.953B,429.00M,-66.00M,3.316B,,,-795.00M,680.00M,0.00,,AOR,Restated
