,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,472.00M,,,,298.00M,298.00M,17.00M,18.00M,,,,,,,580.00M,1.385B,,-289.00M,,-289.00M,0.00,1.00M,29.00M,-259.00M,,0.00,0.00,0.00,,-17.00M,-17.00M,-159.00M,-159.00M,4.00M,-1.00M,-173.00M,,1.466B,953.00M,16.00M,2.406B,,,29.00M,-29.00M,-17.00M,,AOR,
2020-09,616.00M,,,,316.00M,316.00M,-9.00M,-117.00M,,,,,,,223.00M,1.166B,,-292.00M,,-292.00M,0.00,0.00,12.00M,-280.00M,,-707.00M,0.00,-707.00M,,-7.00M,-7.00M,-150.00M,-150.00M,1.00M,-11.00M,-874.00M,,1.365B,12.00M,7.00M,1.42B,,,-26.00M,-681.00M,-7.00M,,AOR,Restated
2020-06,527.00M,,,,295.00M,295.00M,-19.00M,28.00M,,,,,,,617.00M,1.448B,,-283.00M,,-283.00M,1.00M,-1.00M,17.00M,-266.00M,,898.00M,-1.00B,-102.00M,,-4.00M,-4.00M,-150.00M,-150.00M,1.00M,0.00,-255.00M,,519.00M,927.00M,1.00M,1.365B,,,2.953B,-3.055B,-4.00M,,AOR,
2020-03,419.00M,,,,293.00M,293.00M,59.00M,-62.00M,,,,,,,-343.00M,366.00M,,-312.00M,,-312.00M,-184.00M,-1.00M,1.00M,-496.00M,,199.00M,181.00M,380.00M,,-64.00M,-64.00M,-151.00M,-151.00M,8.00M,-5.00M,168.00M,,497.00M,38.00M,-16.00M,519.00M,,,9.271B,-8.891B,-64.00M,,AOR,
2019-12,509.00M,,,,288.00M,288.00M,-13.00M,27.00M,,,,,,,83.00M,894.00M,,-312.00M,,-312.00M,29.00M,-16.00M,-82.00M,-381.00M,,-63.00M,-180.00M,-243.00M,,-132.00M,-132.00M,-150.00M,-150.00M,20.00M,-2.00M,-507.00M,,484.00M,6.00M,7.00M,497.00M,,,4.893B,-5.136B,-132.00M,,AOR,Restated
2019-09,330.00M,,,,289.00M,289.00M,34.00M,-61.00M,,,,,,,232.00M,978.00M,,-288.00M,,-288.00M,169.00M,0.00,-10.00M,-129.00M,,-944.00M,305.00M,-639.00M,,-27.00M,-27.00M,-134.00M,-134.00M,39.00M,0.00,-761.00M,,406.00M,88.00M,-10.00M,484.00M,,,5.477B,-6.116B,-27.00M,,AOR,Restated
2019-06,681.00M,,,,286.00M,286.00M,39.00M,-28.00M,,,,,,,-382.00M,596.00M,,-315.00M,,-315.00M,-320.00M,0.00,66.00M,-569.00M,,-311.00M,512.00M,201.00M,,-79.00M,-79.00M,-134.00M,-134.00M,36.00M,-4.00M,20.00M,,360.00M,47.00M,-1.00M,406.00M,,,2.934B,-2.733B,-79.00M,,AOR,Restated
2019-03,430.00M,,,,273.00M,273.00M,-14.00M,5.00M,,,,,,,-623.00M,71.00M,,-338.00M,,-338.00M,0.00,-1.00M,22.00M,-317.00M,,956.00M,-554.00M,402.00M,,-63.00M,-63.00M,-135.00M,-135.00M,21.00M,-24.00M,201.00M,,400.00M,-45.00M,5.00M,360.00M,,,7.735B,-7.333B,-63.00M,,AOR,Restated
2018-12,552.00M,,,,250.00M,250.00M,18.00M,64.00M,,,,,,,-16.00M,868.00M,,-318.00M,,-318.00M,-2.141B,0.00,10.00M,-2.449B,,1.795B,132.00M,1.927B,,-83.00M,-83.00M,-134.00M,-134.00M,3.00M,-2.00M,1.711B,,270.00M,130.00M,0.00,400.00M,,,7.345B,-5.418B,-83.00M,,AOR,Restated
2018-09,483.00M,,,,246.00M,246.00M,46.00M,-218.00M,,,,,,,280.00M,1.039B,,-313.00M,,-313.00M,-194.00M,-4.00M,28.00M,-483.00M,,115.00M,-395.00M,-280.00M,,-60.00M,-60.00M,-107.00M,-107.00M,5.00M,-13.00M,-455.00M,,170.00M,101.00M,-1.00M,270.00M,,,5.373B,-5.653B,-60.00M,,AOR,Restated
