,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.972B,2.972B,1.345B,1.627B,1.215B,,34.32M,2.539M,-31.78M,,1.215B,412.00M,2.539M,34.32M,-31.78M,6.484M,-31.78M,386.71M,59.05M,327.66M,19.58M,,,,347.24M,327.66M,486.75M,65.73M,421.02M,,0.84,0.05,,0.84,0.89,,0.83,0.05,,0.83,0.88,,389.87M,392.85M,0.49,,AOR,
2020-09,2.608B,2.608B,1.282B,1.326B,1.006B,,34.11M,3.176M,-30.93M,,1.006B,319.95M,3.176M,34.11M,-30.93M,4.644M,-30.93M,293.66M,50.42M,243.25M,13.48M,,,,256.72M,243.25M,403.60M,75.83M,327.77M,,0.62,0.03,,0.62,0.66,,0.62,0.03,,0.62,0.66,,389.22M,391.18M,0.48,,AOR,
2020-06,1.076B,1.076B,506.95M,569.34M,816.15M,,29.26M,1.313M,-27.95M,,816.15M,-246.81M,1.313M,29.26M,-27.95M,-38.19M,-27.95M,-312.94M,-35.20M,-277.74M,-7.871M,,,,-285.61M,-277.74M,-220.66M,63.03M,-283.68M,,-0.71,-0.02,,-0.71,-0.73,,-0.71,-0.02,,-0.71,-0.73,,388.70M,390.79M,0.48,,AOR,
2020-03,2.102B,2.102B,986.27M,1.116B,1.050B,,26.80M,3.933M,-22.87M,,1.050B,66.46M,3.933M,26.80M,-22.87M,-433.28M,-22.87M,-389.69M,93.40M,-483.09M,-0.69M,,,,-483.78M,-483.09M,-289.92M,72.97M,-362.89M,,-1.23,-0.01,,-1.23,-1.24,,-1.23,-0.01,,-1.23,-1.24,,391.23M,395.25M,0.48,,AOR,
2019-12,3.156B,3.156B,1.352B,1.804B,1.264B,,22.30M,4.966M,-17.34M,,1.264B,540.04M,4.966M,22.30M,-17.34M,-22.14M,-17.34M,500.56M,78.98M,421.58M,43.42M,,,,465.00M,421.58M,592.35M,69.49M,522.86M,,1.06,0.11,,1.06,1.17,,1.05,0.11,,1.05,1.16,,395.94M,400.32M,0.48,,AOR,Restated
2019-09,3.180B,3.180B,1.456B,1.723B,1.175B,,20.81M,4.424M,-16.39M,,1.175B,548.56M,4.424M,20.81M,-16.39M,-1.771M,-16.39M,530.40M,-94.97M,625.38M,23.62M,,,,649.00M,625.38M,614.14M,62.92M,551.22M,,1.57,0.06,,1.57,1.63,,1.55,0.06,,1.55,1.61,,397.75M,402.26M,0.43,,AOR,Restated
2019-06,2.051B,2.051B,896.28M,1.154B,1.058B,,22.13M,6.544M,-15.58M,,1.058B,95.96M,6.544M,22.13M,-15.58M,5.554M,-15.58M,85.94M,20.66M,65.27M,-16.05M,,,,49.22M,65.27M,170.30M,62.24M,108.06M,,0.16,-0.04,,0.16,0.12,,0.16,-0.04,,0.16,0.12,,396.73M,401.91M,0.51,,AOR,Restated
2019-03,-368.80M,-368.80M,-575.72M,206.92M,498.19M,,23.71M,4.22M,-19.49M,,498.19M,-291.27M,4.22M,23.71M,-19.49M,-2.644M,-19.49M,-313.40M,-53.63M,-259.77M,388.58M,,,,128.80M,-259.77M,-250.33M,39.37M,-289.70M,,0.33,0.00,,0.33,0.33,,0.32,0.00,,0.32,0.32,,395.40M,400.73M,0.51,,AOR,Restated
2018-12,3.940B,3.940B,1.896B,2.044B,1.452B,,28.40M,4.55M,-23.85M,,1.452B,591.90M,4.55M,28.40M,-23.85M,-1.774M,-23.85M,566.28M,103.16M,463.13M,0.383M,,,,463.51M,463.13M,666.05M,71.37M,594.68M,,1.17,0.00,,1.17,1.17,,1.16,0.00,,1.16,1.16,,395.29M,399.77M,0.51,,AOR,
2018-09,3.907B,3.907B,1.951B,1.957B,1.298B,,28.36M,2.845M,-25.51M,,1.298B,658.67M,2.845M,28.36M,-25.51M,-34.06M,-25.51M,599.10M,91.98M,507.12M,0.00,,,,507.12M,507.12M,701.32M,73.86M,627.46M,,1.28,0.00,,1.28,1.28,,1.26,0.00,,1.26,1.26,,395.89M,401.94M,0.46,,AOR,
2018-06,2.788B,2.788B,1.385B,1.403B,1.172B,,27.28M,3.393M,-23.88M,,1.172B,230.88M,3.393M,27.28M,-23.88M,-20.67M,-23.88M,186.33M,26.38M,159.95M,0.405M,,,,160.36M,159.95M,284.74M,71.13M,213.61M,,0.41,0.00,,0.41,0.41,,0.40,0.00,,0.40,0.40,,394.16M,399.55M,0.46,,AOR,
2018-03,3.045B,3.045B,1.506B,1.539B,1.228B,,24.39M,3.228M,-21.16M,,1.228B,311.36M,3.228M,24.39M,-21.16M,3.939M,-21.16M,294.13M,32.97M,261.16M,-8.371M,,,,252.79M,261.16M,390.06M,71.53M,318.53M,,0.66,-0.02,,0.66,0.64,,0.65,-0.02,,0.65,0.63,,395.25M,401.28M,0.46,,AOR,
2017-12,-55.39M,-55.39M,-376.20M,320.80M,485.53M,104.65M,26.97M,1.33M,-25.64M,,485.53M,-164.72M,1.33M,26.97M,-25.64M,100.18M,-25.64M,-90.18M,358.06M,-448.24M,,,,,-90.27M,-499.91M,-32.48M,30.73M,-63.21M,,-0.18,-0.04,,-0.3391,-0.23,,-0.18,-0.04,,-0.3368,-0.23,,394.58M,400.38M,0.46,,AOR,Restated
2017-09,3.509B,3.509B,1.752B,1.757B,1.168B,-104.65M,27.11M,4.571M,-22.54M,,1.168B,588.60M,4.571M,27.11M,-22.54M,-104.98M,-22.54M,461.08M,74.32M,386.76M,,,-0.624M,,386.14M,473.92M,563.87M,75.68M,488.19M,,0.98,,,1.203,0.98,,0.97,,,1.191,0.97,,393.26M,397.38M,0.42,,AOR,
2017-06,2.360B,2.360B,1.187B,1.173B,1.005B,,24.19M,3.583M,-20.61M,,1.005B,168.02M,3.583M,24.19M,-20.61M,-1.653M,-20.61M,145.76M,30.90M,114.86M,,,-4.976M,,109.89M,109.89M,235.42M,65.47M,169.95M,,0.29,-0.01,,0.29,0.28,,0.29,-0.01,,0.29,0.27,,397.06M,400.51M,0.42,,AOR,
2017-03,2.582B,2.582B,1.287B,1.295B,1.004B,,23.71M,3.518M,-20.19M,,1.004B,291.47M,3.518M,23.71M,-20.19M,-0.067M,-20.19M,271.22M,56.54M,214.68M,,,-5.516M,,209.16M,209.16M,361.36M,66.44M,294.92M,,0.52,,,0.52,0.52,,0.52,,,0.52,0.52,,411.99M,415.96M,0.42,,AOR,
2016-12,2.744B,2.744B,1.361B,1.383B,962.01M,-79.64M,24.28M,2.717M,-21.56M,,962.01M,420.64M,2.717M,24.28M,-21.56M,-166.54M,-21.56M,232.54M,17.33M,215.20M,,,,,264.33M,342.79M,332.90M,76.09M,256.82M,,0.64,,,0.8184,0.64,,0.63,,,0.8064,0.63,,413.21M,417.89M,0.42,,AOR,Restated
2016-09,3.328B,3.328B,1.693B,1.635B,1.026B,0.00,24.78M,2.215M,-22.57M,,1.026B,608.25M,2.215M,24.78M,-22.57M,-1.097M,-22.57M,584.58M,99.36M,485.22M,,,13.26M,,498.49M,498.49M,677.38M,68.02M,609.36M,,1.17,,,1.17,1.17,,1.16,,,1.16,1.16,,413.46M,419.24M,0.37,,AOR,Restated
2016-06,2.320B,2.320B,1.185B,1.135B,940.80M,,23.63M,2.236M,-21.39M,,940.80M,194.42M,2.236M,23.63M,-21.39M,1.501M,-21.39M,174.53M,38.04M,136.49M,,,-85.48M,,51.02M,51.02M,267.60M,69.44M,198.16M,,0.33,-0.21,,0.33,0.12,,0.32,-0.21,,0.32,0.12,,415.99M,422.06M,0.37,,AOR,Restated
2016-03,2.634B,2.634B,1.351B,1.284B,971.92M,,22.03M,2.008M,-20.02M,,971.92M,311.80M,2.008M,22.03M,-20.02M,1.292M,-20.02M,293.07M,51.13M,241.94M,,,18.33M,,260.27M,260.27M,383.13M,68.03M,315.10M,,0.57,,,0.57,0.57,,0.56,,,0.56,0.56,,421.75M,429.13M,0.37,,AOR,Restated
2015-12,2.290B,2.290B,1.090B,1.200B,804.65M,,22.04M,1.653M,-20.38M,,804.65M,394.94M,1.653M,22.04M,-20.38M,0.811M,-20.38M,375.36M,66.91M,308.45M,,,,,312.21M,297.67M,471.17M,73.77M,397.40M,,0.73,,,0.73,0.73,,0.72,,,0.72,0.72,,425.81M,432.04M,0.37,,AOR,Restated
2015-09,3.530B,3.530B,1.844B,1.685B,1.046B,,22.16M,1.506M,-20.66M,,1.046B,639.56M,1.506M,22.16M,-20.66M,-1.278M,-20.66M,617.63M,159.99M,457.64M,,,2.229M,,459.86M,459.86M,708.83M,69.04M,639.79M,,1.08,,,1.08,1.08,,1.06,,,1.06,1.06,,425.21M,431.46M,0.32,,AOR,Restated
2015-06,2.427B,2.427B,1.261B,1.166B,947.07M,,22.86M,1.895M,-20.96M,,947.07M,218.98M,1.895M,22.86M,-20.96M,0.672M,-20.96M,198.69M,30.84M,167.84M,,,2.969M,,170.81M,170.81M,284.93M,63.38M,221.55M,,0.39,0.01,,0.39,0.40,,0.39,0.01,,0.39,0.40,,424.35M,430.70M,0.32,,AOR,Restated
2015-03,2.837B,2.837B,1.447B,1.391B,992.92M,,21.85M,2.098M,-19.75M,,992.92M,397.84M,2.098M,21.85M,-19.75M,0.828M,-19.75M,378.91M,90.20M,288.71M,,,,,288.71M,288.71M,466.64M,65.88M,400.76M,,0.68,,,0.68,0.68,,0.67,,,0.67,0.67,,426.26M,434.10M,0.32,,AOR,Restated
2014-12,3.178B,3.178B,1.648B,1.530B,987.88M,,21.57M,2.209M,-19.36M,,987.88M,542.23M,2.209M,21.57M,-19.36M,-1.336M,-19.36M,521.53M,119.19M,402.34M,,,,,122.10M,122.10M,617.47M,74.36M,543.11M,,0.28,,,0.28,0.28,,0.28,,,0.28,0.28,,431.58M,439.63M,0.32,,AOR,Restated
2014-09,3.520B,3.520B,1.819B,1.702B,1.069B,,22.56M,1.852M,-20.70M,,1.069B,633.08M,1.852M,22.56M,-20.70M,-1.609M,-20.70M,610.77M,140.24M,470.53M,,,,,470.53M,470.53M,702.64M,69.32M,633.32M,,1.09,,,1.09,1.09,,1.08,,,1.08,1.08,,430.64M,437.59M,0.2625,,AOR,Restated
2014-06,2.402B,2.402B,1.239B,1.163B,942.92M,,21.34M,1.519M,-19.82M,,942.92M,219.81M,1.519M,21.34M,-19.82M,-0.508M,-19.82M,199.48M,41.80M,157.68M,,,,,157.68M,157.68M,288.00M,67.18M,220.82M,,0.37,,,0.37,0.37,,0.36,,,0.36,0.36,,429.94M,437.13M,0.2625,,AOR,Restated
2014-03,2.781B,2.781B,1.407B,1.374B,971.02M,,20.64M,1.331M,-19.31M,,971.02M,403.19M,1.331M,20.64M,-19.31M,-2.092M,-19.31M,381.79M,84.60M,297.19M,,,,,297.19M,297.19M,466.45M,64.02M,402.43M,,0.68,,,0.68,0.68,,0.67,,,0.67,0.67,,438.29M,446.27M,0.2625,,AOR,Restated
2013-12,3.290B,3.290B,1.705B,1.585B,1.077B,,20.98M,1.577M,-19.41M,,1.077B,508.38M,1.577M,20.98M,-19.41M,-2.302M,-19.41M,486.67M,119.00M,367.67M,,,,,367.67M,367.67M,579.82M,72.16M,507.66M,,0.84,,,0.84,0.84,,0.82,,,0.82,0.82,,439.08M,447.80M,0.2625,,AOR,Restated
2013-09,3.297B,3.297B,1.728B,1.569B,989.42M,,21.25M,1.259M,-19.99M,,989.42M,579.70M,1.259M,21.25M,-19.99M,-1.25M,-19.99M,558.47M,124.70M,433.76M,,,,,433.76M,433.76M,644.11M,64.39M,579.71M,,0.99,,,0.99,0.99,,0.97,,,0.97,0.97,,438.18M,445.62M,0.2175,,AOR,Restated
2013-06,2.220B,2.220B,1.143B,1.077B,875.72M,,21.53M,0.815M,-20.72M,,875.72M,201.33M,0.815M,21.53M,-20.72M,-1.512M,-20.72M,179.10M,40.83M,138.27M,,,,,138.27M,138.27M,259.40M,58.77M,200.64M,,0.32,,,0.32,0.32,,0.31,,,0.31,0.31,,437.10M,445.92M,0.2175,,AOR,Restated
2013-03,2.612B,2.612B,1.355B,1.257B,898.86M,,21.01M,0.49M,-20.52M,,898.86M,357.73M,0.49M,21.01M,-20.52M,1.039M,-20.52M,338.25M,67.83M,270.42M,,,,,270.42M,270.42M,417.20M,57.95M,359.26M,,0.61,,,0.61,0.61,,0.60,,,0.60,0.60,,440.27M,447.90M,0.2175,,AOR,Restated
