,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,3.943B,3.943B,2.983B,960.00M,,265.00M,535.00M,,-2.00M,81.00M,2.00M,-79.00M,800.00M,160.00M,2.00M,81.00M,-79.00M,4.00M,-79.00M,85.00M,23.00M,62.00M,,,,62.00M,63.46M,502.00M,336.00M,166.00M,,0.20,,,,0.2048,0.20,,0.20,,,,0.2048,0.20,,305.00M,307.00M,0.00,,AOR,
2020-09,3.922B,3.922B,3.018B,904.00M,,256.00M,555.00M,,-23.00M,84.00M,2.00M,-82.00M,811.00M,93.00M,2.00M,84.00M,-82.00M,-14.00M,-82.00M,-3.00M,57.00M,-60.00M,,,,-60.00M,-43.21M,455.00M,374.00M,81.00M,,-0.20,,,,-0.1446,-0.20,,-0.20,,,,-0.1446,-0.20,,303.00M,303.00M,0.00,,AOR,
2020-06,4.287B,4.287B,3.204B,1.083B,,269.00M,546.00M,17.00M,-7.00M,87.00M,2.00M,-85.00M,815.00M,268.00M,2.00M,87.00M,-85.00M,2.00M,-85.00M,185.00M,37.00M,148.00M,,,,148.00M,153.60M,649.00M,377.00M,272.00M,,0.49,,,,0.5088,0.49,,0.49,,,,0.5088,0.49,,298.00M,298.00M,0.00,,AOR,
2020-03,4.175B,4.175B,3.17B,1.005B,,281.00M,563.00M,0.00,-8.00M,99.00M,6.00M,-93.00M,844.00M,161.00M,6.00M,99.00M,-93.00M,-22.00M,-93.00M,46.00M,29.00M,17.00M,,,,17.00M,22.84M,529.00M,384.00M,145.00M,,0.06,,,,0.0795,0.06,,0.06,,,,0.0793,0.06,,299.00M,303.00M,0.50,,AOR,
2019-12,4.234B,4.234B,3.299B,935.00M,,298.00M,578.00M,,-9.00M,105.00M,8.00M,-97.00M,876.00M,59.00M,8.00M,105.00M,-97.00M,-2.00M,-97.00M,-40.00M,99.00M,-139.00M,,,,-139.00M,-132.43M,464.00M,399.00M,65.00M,,-0.47,,,,-0.4480,-0.47,,-0.47,,,,-0.4480,-0.47,,298.00M,298.00M,0.50,,AOR,Restated
2019-09,4.04B,4.04B,3.282B,758.00M,,305.00M,574.00M,,-8.00M,122.00M,12.00M,-110.00M,879.00M,-121.00M,12.00M,122.00M,-110.00M,-6.00M,-110.00M,-237.00M,39.00M,-276.00M,,,,-276.00M,-270.16M,291.00M,406.00M,-115.00M,,-0.93,,,,-0.9103,-0.93,,-0.93,,,,-0.9103,-0.93,,296.00M,296.00M,0.50,,AOR,Restated
2019-06,3.634B,3.634B,3.169B,465.00M,,299.00M,523.00M,0.00,-24.00M,117.00M,14.00M,-103.00M,822.00M,-357.00M,14.00M,117.00M,-103.00M,-14.00M,-103.00M,-474.00M,-277.00M,-197.00M,,,,-197.00M,-179.48M,59.00M,416.00M,-357.00M,,-0.67,,,,-0.6106,-0.67,,-0.67,,,,-0.6106,-0.67,,295.00M,295.00M,0.50,,AOR,Restated
2019-03,3.674B,3.674B,3.095B,579.00M,,353.00M,544.00M,0.00,-76.00M,118.00M,13.00M,-105.00M,897.00M,-318.00M,13.00M,118.00M,-105.00M,-54.00M,-105.00M,-477.00M,104.00M,-581.00M,,,,-581.00M,-525.52M,85.00M,444.00M,-359.00M,,-1.99,,,,-1.80,-1.99,,-1.99,,,,-1.80,-1.99,,292.00M,292.00M,0.50,,AOR,Restated
2018-12,4.233B,4.233B,3.189B,1.044B,,309.00M,539.00M,,-20.00M,118.00M,15.00M,-103.00M,848.00M,196.00M,15.00M,118.00M,-103.00M,-12.00M,-103.00M,81.00M,568.00M,-487.00M,,,,-487.00M,-472.40M,671.00M,472.00M,199.00M,,-1.68,,,,-1.630,-1.68,,-1.68,,,,-1.630,-1.68,,290.00M,290.00M,0.50,,AOR,Restated
2018-09,5.028B,5.028B,3.364B,1.664B,,356.00M,576.00M,,-46.00M,116.00M,15.00M,-101.00M,932.00M,732.00M,15.00M,116.00M,-101.00M,-48.00M,-101.00M,583.00M,72.00M,511.00M,,,,511.00M,551.48M,1.179B,480.00M,699.00M,,1.75,,,,1.889,1.75,,1.71,,,,1.846,1.71,,292.00M,298.00M,0.50,,AOR,Restated
