,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,,,,,,,,,,,,,,,,7.236B,28.61B,,,,,,,,,,,,,,,,,,,,,,,28.61B,,,,,,,,,,6.311B,,AOR,
2020-09,2.571B,435.30M,3.007B,4.486B,84.77M,252.22M,4.768B,626.23M,8.401B,410.23M,169.65M,,169.65M,84.77M,14.92B,,16.29B,28.21B,,406.84M,0.00,,406.84M,406.84M,,,,,,406.84M,3.073B,3.073B,,,19.25M,11.39B,4.054B,44.56M,,18.54B,22.17B,,70.54M,8.058B,1.065B,3.027B,,,,-170.89M,5.995B,,AOR,
2020-06,2.431B,362.26M,2.793B,4.461B,82.13M,254.23M,4.715B,608.91M,8.117B,414.34M,169.65M,,169.65M,82.13M,14.22B,,15.66B,27.32B,,424.81M,10.92M,,435.73M,435.73M,,,,,,435.73M,2.925B,2.925B,,,20.81M,11.07B,3.903B,44.28M,,17.91B,21.48B,,70.54M,7.927B,1.076B,3.023B,,,,-249.35M,5.801B,,AOR,
2020-03,965.01M,356.10M,1.321B,4.254B,87.06M,132.93M,4.470B,576.65M,6.368B,422.01M,169.65M,,169.65M,87.06M,14.69B,,16.13B,26.09B,,368.72M,0.00,,368.72M,368.72M,,,,,,368.72M,2.631B,2.631B,,,14.00M,10.79B,3.801B,44.07M,,17.23B,20.55B,,70.54M,7.877B,1.063B,2.928B,,,,-589.52M,5.493B,,AOR,
2019-12,1.024B,480.62M,1.504B,4.131B,91.80M,423.54M,4.568B,567.60M,6.640B,422.09M,169.65M,,169.65M,91.80M,15.06B,0.00,16.51B,26.64B,,360.31M,,,360.31M,360.31M,,,,,,360.31M,2.626B,2.626B,17.71M,17.71M,36.14M,10.70B,3.657B,43.40M,,17.03B,20.53B,,70.54M,7.932B,1.056B,2.727B,,,,-257.30M,6.075B,,AOR,
2019-09,812.55M,443.65M,1.256B,4.089B,92.28M,209.06M,4.298B,547.35M,6.101B,416.97M,169.65M,,169.65M,92.28M,15.17B,,16.56B,26.22B,,336.55M,15.28M,,351.83M,351.83M,,,,,,351.83M,2.343B,2.343B,,,68.98M,10.58B,3.691B,43.15M,,16.69B,20.12B,,70.54M,7.971B,1.045B,2.709B,,,,-322.10M,6.056B,,AOR,Restated
2019-06,1.258B,416.59M,1.675B,4.074B,94.70M,402.36M,4.477B,538.36M,6.690B,398.88M,173.04M,,173.04M,94.70M,14.68B,,16.08B,26.49B,,294.95M,38.44M,,333.39M,333.39M,,,,,,333.39M,2.782B,2.782B,,,159.35M,10.51B,3.614B,43.32M,,17.07B,20.47B,,70.54M,7.826B,1.058B,2.717B,,,,-260.80M,5.977B,,AOR,Restated
2019-03,937.43M,341.98M,1.279B,3.906B,95.56M,322.92M,4.228B,516.69M,6.025B,406.84M,173.04M,,173.04M,95.56M,14.49B,,15.86B,25.59B,,262.78M,43.24M,,306.02M,306.02M,,,,,,306.02M,2.783B,2.783B,,,58.15M,10.37B,3.496B,42.84M,,16.71B,19.78B,,70.54M,7.721B,1.053B,2.720B,,,,-364.98M,5.760B,,AOR,Restated
2018-12,817.60M,279.01M,1.097B,3.740B,94.81M,347.23M,4.088B,498.88M,5.683B,416.37M,173.04M,,173.04M,94.81M,14.34B,35.49M,15.52B,24.90B,,256.92M,,,256.92M,256.92M,,,,,,256.92M,2.790B,2.790B,,,38.12M,10.25B,3.360B,41.95M,,16.44B,19.42B,,70.54M,7.559B,1.040B,2.720B,,,,-510.47M,5.438B,,AOR,Restated
2018-09,819.37M,325.25M,1.145B,3.732B,96.59M,191.39M,3.961B,497.28M,5.603B,424.75M,171.10M,,171.10M,96.59M,14.58B,,15.75B,24.86B,,231.20M,0.00,,231.20M,231.20M,,,,,,231.20M,2.698B,2.698B,,,112.36M,10.21B,3.455B,41.18M,,16.47B,19.38B,,47.02M,7.506B,1.058B,2.698B,,,,-474.94M,5.438B,,AOR,Restated
