,Open,High,Low,Close,Volume
1985-03-29,2.5740740299224854,2.5740740299224854,2.537036895751953,2.5740740299224854,9450.0
1985-06-28,3.814815044403076,3.814815044403076,3.814815044403076,3.814815044403076,10800.0
1985-09-30,3.1111109256744385,3.1111109256744385,3.1111109256744385,3.1111109256744385,15750.0
1985-12-31,5.0,5.055555820465088,4.805555820465088,5.055555820465088,72900.0
1986-03-31,5.805555820465088,5.805555820465088,5.777778148651122,5.805555820465088,6750.0
1986-06-30,6.833333015441895,6.833333015441895,6.75,6.7916669845581055,24300.0
1986-09-30,4.833333015441895,4.9166669845581055,4.833333015441895,4.9166669845581055,7500.0
1986-12-31,5.7916669845581055,5.833333015441895,5.708333015441895,5.75,26700.0
1987-03-31,8.875,8.916666984558105,8.833333015441895,8.875,9900.0
1987-06-30,8.083333015441895,8.083333015441895,8.0,8.083333015441895,12300.0
1987-09-30,7.9166669845581055,8.041666984558105,7.9166669845581055,8.041666984558105,8400.0
1987-12-31,5.0,5.125,5.0,5.083333015441895,7200.0
1988-03-31,5.958333015441895,6.125,5.958333015441895,6.125,17400.0
1988-06-30,7.3333330154418945,7.4166669845581055,7.3333330154418945,7.4166669845581055,52200.0
1988-09-30,7.2083330154418945,7.2916669845581055,7.2083330154418945,7.2916669845581055,19200.0
1988-12-30,5.625,5.6666669845581055,5.625,5.6666669845581055,13500.0
1989-03-31,6.458333015441895,6.6666669845581055,6.458333015441895,6.5416669845581055,104100.0
1989-06-30,4.875,5.0,4.875,4.958333015441895,37200.0
1989-09-29,6.083333015441895,6.1666669845581055,6.083333015441895,6.1666669845581055,23700.0
1989-12-29,5.0416669845581055,5.333333015441895,5.0,5.333333015441895,42000.0
1990-03-30,6.4166669845581055,6.583333015441895,6.375,6.583333015441895,72000.0
1990-06-29,7.2083330154418945,7.5416669845581055,7.2083330154418945,7.5416669845581055,51900.0
1990-09-28,4.375,4.375,4.208333015441895,4.208333015441895,23100.0
1990-12-31,6.0416669845581055,6.1666669845581055,6.0416669845581055,6.1666669845581055,24600.0
1991-03-28,9.083333015441896,9.125,8.958333015441895,9.083333015441896,45600.0
1991-06-28,7.9166669845581055,7.9583330154418945,7.7083330154418945,7.7083330154418945,84900.0
1991-09-30,6.375,6.5416669845581055,6.333333015441895,6.5416669845581055,20700.0
1991-12-31,6.5416669845581055,6.583333015441895,6.4166669845581055,6.583333015441895,42300.0
1992-03-31,5.833333015441895,5.875,5.833333015441895,5.875,3000.0
1992-06-30,6.25,6.25,6.125,6.125,6300.0
1992-09-30,5.958333015441895,5.958333015441895,5.833333015441895,5.833333015441895,15600.0
1992-12-31,5.583333015441895,5.708333015441895,5.583333015441895,5.708333015441895,53400.0
1993-03-31,5.458333015441895,5.458333015441895,5.4166669845581055,5.458333015441895,37500.0
1993-06-30,4.75,4.958333015441895,4.75,4.9166669845581055,38400.0
1993-09-30,4.5416669845581055,4.625,4.5416669845581055,4.5416669845581055,36300.0
1993-12-31,3.5,3.5,3.3333330154418945,3.3333330154418945,62400.0
1994-03-31,4.4166669845581055,4.4166669845581055,4.375,4.375,6000.0
1994-06-30,6.0,6.083333015441895,6.0,6.0416669845581055,33000.0
1994-09-30,7.9166669845581055,8.041666984558105,7.875,8.041666984558105,24000.0
1994-12-30,9.25,9.291666984558104,9.208333015441896,9.25,42300.0
1995-03-31,9.583333015441896,9.625,9.5,9.583333015441896,60900.0
1995-06-30,11.875,12.083333015441895,11.875,12.0,67800.0
1995-09-29,13.458333015441895,13.458333015441895,13.416666984558105,13.416666984558105,99900.0
1995-12-29,14.0,14.208333015441895,14.0,14.166666984558105,40500.0
1996-03-29,13.333333015441895,14.0,13.333333015441895,14.0,113100.0
1996-06-28,17.5625,18.0,17.5,17.9375,51400.0
1996-09-30,14.25,14.375,14.25,14.375,17000.0
1996-12-31,14.75,15.0625,14.75,15.0,13200.0
1997-03-31,13.1875,13.1875,12.75,12.75,90600.0
1997-06-30,13.125,13.25,13.03125,13.03125,43000.0
1997-09-30,14.84375,15.0,14.84375,15.0,50200.0
1997-12-31,12.9375,13.09375,12.84375,13.0625,16400.0
1998-03-31,13.0,13.4375,13.0,13.4375,28600.0
