,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,222.00M,,,,76.00M,76.00M,30.00M,0.00,-2.00M,20.00M,,2.00M,-108.00M,18.00M,37.00M,,72.00M,19.00M,,377.00M,,-27.00M,0.00,-27.00M,0.00,0.00,0.00,0.00,-27.00M,,-615.00M,650.00M,35.00M,,-250.00M,-250.00M,-55.00M,-55.00M,4.00M,-3.00M,-269.00M,,1.364B,81.00M,2.00M,1.447B,2020-10,,,180.00M,-145.00M,-250.00M,36.00M,,2020-10,AOR,
2020-07,199.00M,,,,77.00M,77.00M,2.00M,0.00,1.00M,19.00M,,3.00M,-24.00M,-1.00M,-25.00M,,30.00M,-20.00M,,290.00M,,-25.00M,1.00M,-24.00M,0.00,0.00,-2.00M,-6.00M,-32.00M,,499.00M,-660.00M,-161.00M,,-33.00M,-33.00M,-56.00M,-56.00M,24.00M,-5.00M,-231.00M,,1.329B,27.00M,8.00M,1.364B,2020-07,,,739.00M,-900.00M,-33.00M,39.00M,,2020-07,AOR,
2020-04,101.00M,,,,76.00M,76.00M,-13.00M,99.00M,-11.00M,17.00M,,1.00M,65.00M,-53.00M,5.00M,,21.00M,38.00M,,313.00M,,-33.00M,,-33.00M,,0.00,-17.00M,-3.00M,-53.00M,,0.00,25.00M,25.00M,,-126.00M,-126.00M,-55.00M,-55.00M,0.00,0.00,-156.00M,,1.232B,104.00M,-7.00M,1.329B,2020-04,,,366.00M,-341.00M,-126.00M,45.00M,,2020-04,AOR,
2020-01,197.00M,,,,79.00M,79.00M,10.00M,,-16.00M,27.00M,,2.00M,-40.00M,-32.00M,-15.00M,,-275.00M,-362.00M,,-59.00M,,-34.00M,,-34.00M,,0.00,-1.00M,,-35.00M,,-4.00M,60.00M,56.00M,,-60.00M,-60.00M,-56.00M,-56.00M,32.00M,-33.00M,-61.00M,,1.388B,-155.00M,-1.00M,1.232B,2020-01,,,432.00M,-376.00M,-60.00M,241.00M,,2020-01,AOR,
2019-10,194.00M,,,,76.00M,76.00M,12.00M,0.00,0.00,15.00M,,-4.00M,-48.00M,-5.00M,29.00M,,29.00M,5.00M,,314.00M,,-30.00M,0.00,-30.00M,0.00,-1.16B,-2.00M,-1.00M,-1.193B,,600.00M,0.00,600.00M,,-49.00M,-49.00M,-51.00M,-51.00M,2.00M,-5.00M,497.00M,,1.771B,-382.00M,-1.00M,1.388B,2019-10,,,1.302B,-702.00M,-49.00M,51.00M,,2019-10,AOR,Restated
2019-07,191.00M,,,,55.00M,55.00M,5.00M,0.00,0.00,17.00M,,2.00M,-41.00M,-10.00M,8.00M,,10.00M,-33.00M,,242.00M,,-48.00M,0.00,-47.00M,-1.00M,0.00,-3.00M,0.00,-51.00M,,0.00,0.00,0.00,,-549.00M,-549.00M,-51.00M,-51.00M,19.00M,-1.00M,-582.00M,,2.161B,-391.00M,1.00M,1.771B,2019-07,,,0.00,0.00,-549.00M,4.00M,,2019-07,AOR,Restated
2019-04,182.00M,,,,53.00M,53.00M,9.00M,0.00,-1.00M,16.00M,,0.00,5.00M,-9.00M,8.00M,,-14.00M,-10.00M,,252.00M,,-39.00M,,-39.00M,,0.00,-16.00M,-1.00M,-56.00M,,0.00,0.00,0.00,,-50.00M,-50.00M,-52.00M,-52.00M,11.00M,-1.00M,-92.00M,,2.064B,104.00M,-7.00M,2.161B,2019-04,,,0.00,0.00,-50.00M,83.00M,,2019-04,AOR,Restated
2019-01,504.00M,,,,54.00M,54.00M,-281.00M,,0.00,24.00M,,3.00M,-22.00M,-12.00M,-16.00M,,-45.00M,-95.00M,,213.00M,,-39.00M,,-39.00M,,-248.00M,-2.00M,-1.00M,-290.00M,,0.00,0.00,0.00,,-75.00M,-75.00M,-52.00M,-52.00M,22.00M,-17.00M,-122.00M,,2.254B,-199.00M,9.00M,2.064B,2019-01,,,0.00,0.00,-75.00M,21.00M,,2019-01,AOR,Restated
2018-10,195.00M,,,,56.00M,56.00M,5.00M,,,14.00M,,2.00M,-56.00M,-17.00M,49.00M,,99.00M,75.00M,,372.00M,,-36.00M,,-35.00M,0.00,-79.00M,0.00,0.00,-114.00M,,483.00M,-483.00M,0.00,,-86.00M,-86.00M,-47.00M,-47.00M,3.00M,-1.00M,-131.00M,,2.139B,127.00M,-12.00M,2.254B,2018-10,,,0.00,0.00,-86.00M,16.00M,,2018-10,AOR,Restated
2018-07,236.00M,,,,53.00M,53.00M,-8.00M,,,13.00M,,-15.00M,12.00M,-32.00M,5.00M,,-72.00M,-87.00M,,197.00M,,-33.00M,,-33.00M,0.00,-430.00M,-10.00M,0.00,-473.00M,,-442.00M,127.00M,-315.00M,,-243.00M,-243.00M,-48.00M,-48.00M,17.00M,0.00,-589.00M,,3.018B,-865.00M,-14.00M,2.139B,2018-07,,,127.00M,-442.00M,-243.00M,38.00M,,2018-07,AOR,Restated
2018-04,205.00M,,,,50.00M,50.00M,-7.00M,,,12.00M,,1.00M,-16.00M,0.00,-11.00M,,57.00M,30.00M,,303.00M,,-48.00M,,-48.00M,,-1.00M,0.00,-2.00M,-51.00M,,-112.00M,82.00M,-30.00M,,-46.00M,-46.00M,-48.00M,-48.00M,11.00M,-1.00M,-114.00M,,2.896B,138.00M,-16.00M,3.018B,2018-04,,,82.00M,-112.00M,-46.00M,16.00M,,2018-04,AOR,Restated
2018-01,-320.00M,,,,51.00M,51.00M,-6.00M,,,31.00M,,1.00M,-5.00M,-34.00M,-3.00M,,495.00M,453.00M,,215.00M,,-60.00M,,-60.00M,,-6.00M,-1.00M,,-67.00M,,-139.00M,274.00M,135.00M,,-47.00M,-47.00M,-48.00M,-48.00M,25.00M,-28.00M,37.00M,,2.686B,185.00M,25.00M,2.896B,2018-01,,,274.00M,-139.00M,-47.00M,32.00M,,2018-01,AOR,Restated
2017-10,177.00M,,,,52.00M,52.00M,19.00M,,,12.00M,,2.00M,-52.00M,-15.00M,-9.00M,,97.00M,21.00M,,288.00M,,-58.00M,,-58.00M,,0.00,-1.00M,0.00,-59.00M,,273.00M,-343.00M,-70.00M,,0.00,0.00,-43.00M,-43.00M,8.00M,-1.00M,-106.00M,,2.563B,123.00M,-6.00M,2.686B,2017-10,,,57.00M,-127.00M,0.00,7.00M,,2017-10,AOR,Restated
2017-07,175.00M,,,,51.00M,51.00M,63.00M,,,13.00M,,3.00M,19.00M,-17.00M,5.00M,,-88.00M,-81.00M,,228.00M,,-43.00M,,-43.00M,,-57.00M,0.00,-1.00M,-101.00M,,-76.00M,115.00M,39.00M,,0.00,0.00,-42.00M,-42.00M,32.00M,0.00,29.00M,,2.389B,156.00M,18.00M,2.563B,2017-07,,,115.00M,-76.00M,0.00,15.00M,,2017-07,AOR,Restated
2017-04,164.00M,,,,54.00M,54.00M,4.00M,,,15.00M,,0.00,-17.00M,-3.00M,-3.00M,,35.00M,12.00M,,257.00M,,-43.00M,,-43.00M,,0.00,,,-43.00M,,-45.00M,97.00M,52.00M,,-83.00M,-83.00M,-43.00M,-43.00M,8.00M,-1.00M,-67.00M,,2.241B,147.00M,1.00M,2.389B,2017-04,,,97.00M,-45.00M,-83.00M,14.00M,,2017-04,AOR,Restated
