,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2020-08,329.80M,0.00,,,4.00M,-15.50M,-11.50M,,,95.20M,95.20M,,3.40M,16.50M,24.30M,52.40M,-202.80M,-16.70M,-21.70M,,,-173.20M,,284.50M,,2020-08,-145.50M,0.60M,-144.90M,,1.90M,0.10M,-142.90M,,2020-08,-133.40M,-0.50M,-133.90M,,,,-103.50M,-9.30M,-12.90M,-259.60M,,554.30M,-118.00M,2.90M,439.20M,,2020-08,,-133.40M,,,2020-08,AOR,
2020-05,201.30M,0.00,,,-6.00M,25.20M,19.20M,,,96.40M,96.40M,,146.40M,30.20M,-0.80M,-6.60M,268.10M,1.00M,124.50M,,,443.40M,0.00,936.10M,,2020-05,-104.20M,5.30M,-98.90M,,1.80M,0.00,-93.90M,,2020-05,-281.60M,0.20M,-281.40M,0.00,,0.00,-103.50M,0.50M,-1.40M,-385.80M,,100.00M,456.40M,-2.10M,554.30M,,2020-05,0.00,-281.60M,,,2020-05,AOR,
2020-02,204.70M,0.70M,,,-1.70M,-16.20M,-17.20M,,,99.10M,99.10M,,7.60M,8.00M,1.20M,91.10M,125.40M,-7.60M,-23.00M,,,175.60M,0.00,479.00M,,2020-02,-81.60M,2.90M,-78.70M,,3.10M,3.50M,-19.70M,,2020-02,-455.00M,0.40M,-454.60M,0.00,,0.00,-103.40M,5.00M,-0.10M,-553.10M,,193.00M,-93.80M,0.80M,100.00M,,2020-02,0.00,-455.00M,,,2020-02,AOR,
2019-11,261.50M,-0.20M,,,-14.30M,-11.50M,-26.00M,,,96.70M,96.70M,,38.90M,10.80M,13.50M,-170.00M,-32.00M,9.10M,17.10M,,,-174.90M,0.00,220.50M,,2019-11,-77.10M,4.80M,-72.30M,,0.80M,-0.20M,67.30M,,2019-11,-5.10M,-55.50M,-60.60M,0.00,,0.00,-103.40M,2.40M,0.90M,-160.70M,,65.70M,127.10M,0.20M,193.00M,,2019-11,0.00,-5.10M,,,2019-11,AOR,
2019-08,174.30M,1.70M,,,0.20M,-9.10M,-7.20M,,,96.70M,96.70M,,67.00M,10.20M,-2.60M,41.70M,-198.00M,-16.10M,64.90M,,,-131.40M,,207.00M,,2019-08,-106.60M,1.00M,-105.60M,,1.30M,-3.20M,-107.50M,,2019-08,-205.80M,55.00M,-150.80M,,,,-103.30M,-3.10M,-13.60M,-270.80M,,237.60M,-171.30M,-0.60M,65.70M,,2019-08,,-205.80M,,,2019-08,AOR,Restated
2019-05,125.20M,-56.20M,,0.00,2.60M,-4.90M,-53.00M,,,100.40M,100.40M,,90.80M,11.20M,-52.40M,39.30M,65.00M,0.90M,-2.60M,,,147.00M,0.00,369.20M,,2019-05,-117.00M,3.80M,-113.20M,,-8.80M,11.00M,138.30M,,2019-05,-455.60M,1.00M,-454.60M,0.00,,0.00,-103.20M,2.50M,-0.30M,-555.60M,,283.20M,-48.10M,2.50M,237.60M,,2019-05,0.00,-455.60M,,,2019-05,AOR,Restated
2019-02,242.60M,0.00,,0.00,2.70M,-10.80M,-8.10M,,,92.30M,92.30M,,0.70M,3.80M,-24.40M,78.10M,88.20M,1.20M,-1.40M,,,187.50M,0.00,494.40M,,2019-02,-102.80M,1.00M,-101.80M,,0.00,0.00,-101.80M,,2019-02,-455.80M,-0.90M,-456.70M,-0.20M,,-0.20M,-86.70M,-0.40M,-7.30M,-551.30M,,443.30M,-158.70M,-1.40M,283.20M,,2019-02,-0.20M,-455.80M,,,2019-02,AOR,Restated
2018-11,134.30M,0.10M,,47.50M,-23.10M,-10.60M,13.90M,,,76.60M,76.60M,,1.80M,7.30M,15.10M,-167.60M,39.90M,2.90M,63.30M,,,-93.00M,11.20M,167.20M,,2018-11,-47.20M,0.50M,-46.70M,,0.00,0.00,-5.164B,,2018-11,5.249B,-304.20M,4.945B,555.90M,,555.90M,-83.30M,-1.30M,-50.00M,5.366B,,75.80M,369.50M,-2.00M,443.30M,,2018-11,555.90M,-3.061B,,,2018-11,AOR,Restated
2018-08,178.20M,-13.30M,,,-3.00M,-11.10M,-27.40M,,,63.70M,63.70M,,0.50M,11.40M,7.40M,-18.90M,-115.10M,-24.10M,-30.40M,,,-139.10M,,94.70M,,2018-08,-86.10M,17.20M,-68.90M,,0.00,0.10M,-38.50M,,2018-08,0.00,26.80M,26.80M,,,,-83.00M,-2.40M,-51.00M,-109.60M,,129.00M,-53.40M,0.20M,75.80M,,2018-08,,0.00,,,2018-08,AOR,Restated
2018-05,70.60M,0.00,,,18.30M,-320.30M,-302.00M,,,63.60M,63.60M,,5.30M,11.20M,148.00M,21.10M,27.00M,8.70M,37.40M,,,114.90M,0.30M,111.90M,,2018-05,-75.70M,0.50M,-75.20M,,,0.20M,-75.00M,,2018-05,227.80M,-75.00M,152.80M,0.00,-107.30M,-107.30M,-84.60M,1.90M,-1.70M,-38.90M,,133.90M,-2.00M,-2.90M,129.00M,,2018-05,0.00,-72.20M,-107.30M,,2018-05,AOR,Restated
