,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-08,2.679B,2.679B,1.869B,810.20M,300.30M,,114.50M,0.80M,-113.70M,300.30M,509.90M,0.80M,114.50M,-113.70M,13.80M,-113.70M,410.00M,86.70M,329.80M,,,-0.80M,,329.00M,329.00M,524.50M,,2020-08,0.67,,0.67,,2020-08,0.67,,0.67,,2020-08,0.2125,,2020-08,AOR,
2020-05,3.288B,3.288B,2.365B,922.80M,532.00M,,126.10M,0.80M,-125.30M,532.00M,390.80M,0.80M,126.10M,-125.30M,-27.30M,-125.30M,238.20M,59.80M,201.30M,0.00,,0.10M,,201.40M,201.40M,364.30M,,2020-05,0.41,0.00,0.41,,2020-05,0.41,0.00,0.41,,2020-05,0.2125,,2020-05,AOR,
2020-02,2.555B,2.555B,1.871B,684.40M,319.90M,,119.00M,1.30M,-117.70M,319.90M,364.50M,1.30M,119.00M,-117.70M,16.40M,-117.70M,263.20M,68.90M,204.70M,0.00,,-0.30M,,204.40M,204.40M,382.20M,,2020-02,0.42,0.00,0.42,,2020-02,0.42,0.00,0.42,,2020-02,0.2125,,2020-02,AOR,
2019-11,2.821B,2.821B,2.023B,797.90M,369.80M,,121.80M,0.40M,-121.40M,369.80M,428.10M,0.40M,121.80M,-121.40M,11.30M,-121.40M,318.00M,84.10M,261.50M,0.00,,-1.00M,,260.50M,260.50M,439.80M,,2019-11,0.53,0.00,0.53,,2019-11,0.53,0.00,0.53,,2019-11,0.2125,,2019-11,AOR,
2019-08,2.391B,2.391B,1.726B,664.50M,400.80M,,123.30M,0.60M,-122.70M,400.80M,263.70M,0.60M,123.30M,-122.70M,9.50M,-122.70M,150.50M,-11.50M,174.30M,,,-0.50M,,173.80M,173.80M,273.80M,,2019-08,0.36,,0.36,,2019-08,0.36,,0.36,,2019-08,0.2125,,2019-08,AOR,Restated
2019-05,2.613B,2.613B,1.905B,708.00M,394.70M,,132.70M,1.80M,-130.90M,394.70M,313.30M,1.80M,132.70M,-130.90M,5.40M,-130.90M,187.80M,71.80M,125.20M,0.00,,1.30M,,126.50M,126.50M,320.50M,,2019-05,0.26,0.00,0.26,,2019-05,0.26,0.00,0.26,,2019-05,0.2125,,2019-05,AOR,Restated
2019-02,2.707B,2.707B,1.955B,752.30M,334.10M,,132.80M,1.90M,-130.90M,334.10M,418.20M,1.90M,132.80M,-130.90M,9.80M,-130.90M,297.10M,67.20M,242.60M,0.00,,-0.60M,,242.00M,242.00M,429.90M,,2019-02,0.50,0.00,0.50,,2019-02,0.50,0.00,0.50,,2019-02,0.2125,,2019-02,AOR,Restated
2018-11,2.384B,2.384B,1.706B,677.20M,487.30M,,83.10M,2.50M,-80.60M,487.30M,189.90M,2.50M,83.10M,-80.60M,9.70M,-80.60M,119.00M,22.40M,134.30M,-1.90M,,-0.80M,,131.60M,133.50M,202.10M,,2018-11,0.32,-0.01,0.31,,2018-11,0.32,-0.01,0.31,,2018-11,0.2125,,2018-11,AOR,Restated
2018-08,1.834B,1.834B,1.319B,515.50M,257.30M,,49.60M,0.60M,-49.00M,257.30M,258.20M,0.60M,49.60M,-49.00M,10.20M,-49.00M,219.40M,57.40M,178.20M,,,0.00,,178.20M,178.20M,269.00M,,2018-08,0.45,,0.45,,2018-08,0.45,,0.45,,2018-08,0.2125,,2018-08,AOR,Restated
2018-05,1.966B,1.966B,1.391B,575.40M,461.90M,,45.50M,1.00M,-44.50M,461.90M,113.50M,1.00M,45.50M,-44.50M,20.40M,-44.50M,89.40M,36.50M,70.60M,-0.30M,,-0.70M,,69.60M,69.90M,134.90M,,2018-05,0.18,0.00,0.18,,2018-05,0.18,0.00,0.18,,2018-05,0.2125,,2018-05,AOR,Restated
2018-02,1.994B,1.994B,1.396B,598.80M,352.10M,,40.60M,0.80M,-39.80M,352.10M,246.70M,0.80M,40.60M,-39.80M,21.90M,-39.80M,228.80M,-91.40M,349.20M,14.50M,,-0.90M,,362.80M,348.30M,269.40M,,2018-02,0.87,0.04,0.91,,2018-02,0.87,0.03,0.90,,2018-02,0.2125,,2018-02,AOR,Restated
2017-11,2.173B,2.173B,1.515B,658.30M,324.80M,,39.10M,1.10M,-38.00M,324.80M,333.50M,1.10M,39.10M,-38.00M,17.50M,-38.00M,313.00M,109.50M,224.10M,0.40M,,-1.00M,,223.50M,223.10M,352.10M,,2017-11,0.55,0.00,0.55,,2017-11,0.54,0.00,0.54,,2017-11,0.2125,,2017-11,AOR,Restated
2017-08,1.804B,1.804B,1.285B,519.00M,259.60M,,37.30M,0.90M,-36.40M,259.60M,259.40M,0.90M,37.30M,-36.40M,20.60M,-36.40M,243.60M,120.00M,153.60M,-0.30M,,-0.80M,,152.50M,152.80M,280.90M,,2017-08,0.37,0.00,0.37,,2017-08,0.36,0.00,0.36,,2017-08,0.2125,,2017-08,AOR,Restated
2017-05,1.862B,1.862B,1.331B,530.70M,474.70M,,38.40M,0.90M,-37.50M,474.70M,56.00M,0.90M,38.40M,-37.50M,,-37.50M,73.70M,-60.80M,153.60M,-1.70M,,-0.60M,,151.30M,153.00M,112.10M,,2017-05,0.36,0.00,0.36,,2017-05,0.36,0.00,0.36,,2017-05,0.20,,2017-05,AOR,Restated
2017-02,1.981B,1.981B,1.360B,621.00M,349.70M,,47.00M,1.30M,-45.70M,349.70M,271.30M,1.30M,47.00M,-45.70M,,-45.70M,225.60M,67.90M,179.50M,0.70M,,-0.50M,,179.70M,179.00M,272.60M,,2017-02,0.41,0.01,0.42,,2017-02,0.41,0.00,0.41,,2017-02,0.20,,2017-02,AOR,Restated
2016-11,2.088B,2.088B,1.441B,647.50M,417.90M,,54.90M,0.80M,-54.10M,417.90M,229.60M,0.80M,54.90M,-54.10M,,-54.10M,175.50M,78.40M,114.30M,11.60M,,-3.80M,,122.10M,110.50M,230.40M,,2016-11,0.26,0.02,0.28,,2016-11,0.26,0.02,0.28,,2016-11,0.25,,2016-11,AOR,Restated
2016-08,1.896B,1.896B,1.351B,544.60M,231.70M,,58.90M,0.70M,-58.20M,231.70M,312.90M,0.70M,58.90M,-58.20M,,-58.20M,254.70M,169.20M,98.60M,91.40M,,-3.80M,,186.20M,94.80M,313.60M,,2016-08,0.22,0.20,0.42,,2016-08,0.22,0.20,0.42,,2016-08,0.25,,2016-08,AOR,Restated
