,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,-72.00M,,193.00M,,-17.00M,14.00M,-422.00M,780.00M,780.00M,-171.00M,183.00M,,391.00M,22.00M,324.00M,9.00M,,,230.00M,585.00M,,,2020-09,-203.00M,581.00M,581.00M,,0.00,5.00M,383.00M,2020-09,6.248B,-1.165B,5.083B,0.00,0.00,0.00,,,,-220.00M,-220.00M,4.78B,,2020-09,3.769B,34.00M,10.24B,,2020-09,0.00,6.25B,-2.00M,,2020-09,AOR,
2020-06,-2.471B,,4.00M,,-72.00M,9.00M,-59.00M,774.00M,774.00M,-146.00M,2.498B,,39.00M,245.00M,122.00M,-202.00M,,,2.00M,167.00M,,,2020-06,-238.00M,0.00,0.00,0.00,1.00M,13.00M,-224.00M,2020-06,1.974B,-343.00M,1.631B,0.00,0.00,0.00,,,,-220.00M,-220.00M,1.394B,,2020-06,1.782B,15.00M,3.769B,,2020-06,0.00,2.00B,-26.00M,,2020-06,AOR,
2020-03,-610.00M,,-197.00M,,-31.00M,7.00M,-221.00M,772.00M,772.00M,-164.00M,533.00M,,427.00M,-134.00M,-134.00M,236.00M,,,13.00M,-19.00M,,,2020-03,-554.00M,427.00M,354.00M,0.00,-1.00M,4.00M,-124.00M,2020-03,24.00M,69.00M,93.00M,34.00M,-232.00M,-198.00M,,,,-222.00M,-222.00M,-344.00M,,2020-03,1.577B,-45.00M,1.782B,,2020-03,34.00M,25.00M,-1.00M,,2020-03,AOR,
2019-12,188.00M,,-149.00M,,209.00M,3.00M,182.00M,533.00M,533.00M,-110.00M,0.00,,-176.00M,191.00M,48.00M,-244.00M,,,-34.00M,-39.00M,,,2019-12,-552.00M,19.00M,-152.00M,20.00M,7.00M,0.00,-506.00M,2019-12,-1.00M,-141.00M,-142.00M,9.00M,-289.00M,-280.00M,,,,-222.00M,-222.00M,-653.00M,,2019-12,2.147B,11.00M,1.577B,,2019-12,9.00M,0.00,-1.00M,,2019-12,AOR,
2019-09,377.00M,,55.00M,,-33.00M,-5.00M,-102.00M,499.00M,499.00M,-98.00M,0.00,,112.00M,117.00M,37.00M,-110.00M,,,50.00M,94.00M,,,2019-09,-300.00M,133.00M,124.00M,-21.00M,2.00M,36.00M,-150.00M,2019-09,-7.00M,359.00M,352.00M,9.00M,-359.00M,-350.00M,,,,-224.00M,-224.00M,-236.00M,,2019-09,1.701B,-50.00M,2.147B,,2019-09,9.00M,0.00,-7.00M,,2019-09,AOR,Restated
2019-06,-537.00M,,-12.00M,,-34.00M,-45.00M,-91.00M,643.00M,643.00M,-192.00M,1.175B,,114.00M,-892.00M,496.00M,37.00M,,,-830.00M,-1.189B,,,2019-06,-661.00M,1.00M,1.00M,0.00,13.00M,-10.00M,-657.00M,2019-06,-3.524B,1.719B,-1.805B,4.00M,-102.00M,-98.00M,,,,-314.00M,-314.00M,-9.629B,,2019-06,12.07B,-2.00M,1.701B,,2019-06,4.00M,3.005B,-6.529B,,2019-06,AOR,Restated
2019-03,572.00M,,-43.00M,,767.00M,-8.00M,716.00M,1.52B,1.52B,-368.00M,,,432.00M,-1.643B,-194.00M,-732.00M,,,-277.00M,-2.846B,,,2019-03,-1.164B,125.00M,100.00M,21.00M,23.00M,-5.00M,-1.00B,2019-03,637.00M,798.00M,1.435B,63.00M,-1.579B,-1.516B,,,,-851.00M,-851.00M,-1.032B,,2019-03,14.02B,50.00M,12.07B,,2019-03,63.00M,1.00B,-363.00M,,2019-03,AOR,Restated
2018-12,520.00M,,-28.00M,,-72.00M,-27.00M,-127.00M,1.468B,1.468B,-329.00M,0.00,,438.00M,2.154B,-360.00M,-149.00M,,,1.486B,3.131B,,,2018-12,-1.311B,98.00M,66.00M,-22.00M,195.00M,17.00M,-1.023B,2018-12,8.086B,-2.584B,5.502B,10.00M,-1.421B,-1.411B,,,,-866.00M,-866.00M,2.566B,,2018-12,7.476B,-98.00M,14.02B,,2018-12,10.00M,14.70B,-6.613B,,2018-12,AOR,Restated
2018-09,539.00M,,2.00M,,-44.00M,29.00M,-13.00M,1.47B,1.47B,145.00M,0.00,,-1.751B,689.00M,-921.00M,285.00M,,,-766.00M,-713.00M,,,2018-09,-1.028B,8.00M,-48.00M,0.00,-17.00M,-13.00M,-1.049B,2018-09,-1.052B,2.007B,955.00M,45.00M,-1.00B,-955.00M,,,,-870.00M,-870.00M,-882.00M,,2018-09,9.805B,-75.00M,7.476B,,2018-09,45.00M,502.00M,-1.554B,,2018-09,AOR,Restated
2018-06,1.793B,,-32.00M,,-175.00M,25.00M,-182.00M,1.496B,1.496B,-149.00M,0.00,,946.00M,-1.311B,955.00M,-340.00M,,,-1.118B,-1.814B,,,2018-06,-828.00M,63.00M,45.00M,0.00,-181.00M,0.00,-680.00M,2018-06,-756.00M,604.00M,-152.00M,34.00M,-1.00B,-966.00M,,,,-875.00M,-875.00M,-2.059B,,2018-06,10.83B,-379.00M,9.805B,,2018-06,34.00M,1.00M,-757.00M,,2018-06,AOR,Restated
