,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,3.018B,,3.018B,,,,5.984B,6.253B,,12.24B,21.60M,,,15.28B,0.00,52.00M,267.40M,257.70M,106.40M,232.10M,87.20M,1.003B,-284.40M,718.40M,163.50M,17.10M,180.60M,,,302.70M,1.569B,3.635B,18.91B,,2020-09,900.50M,86.70M,987.20M,95.00M,1.082B,473.80M,,,,,1.556B,4.283B,37.00M,4.320B,93.10M,93.10M,376.10M,428.80M,5.235B,6.791B,,2020-09,3.241B,1.163B,,11.84B,,2020-09,AOR,
2020-06,2.354B,,2.354B,,,,5.847B,6.291B,,12.14B,19.20M,,,14.51B,0.00,100.30M,349.70M,265.50M,35.50M,86.20M,118.90M,956.10M,-288.70M,667.40M,163.50M,,163.50M,,,257.50M,1.591B,3.462B,17.97B,,2020-06,761.20M,198.50M,959.70M,89.80M,1.050B,461.30M,,,,,1.511B,4.297B,38.10M,4.335B,74.00M,74.00M,309.90M,380.10M,5.136B,6.647B,,2020-06,3.214B,1.163B,,11.05B,,2020-06,AOR,
2020-03,1.523B,,1.523B,,,,5.969B,6.255B,,12.22B,14.50M,,,13.76B,0.00,91.90M,335.70M,260.50M,37.80M,75.50M,101.60M,903.00M,-275.50M,627.50M,163.50M,,163.50M,,,231.20M,1.484B,3.368B,17.13B,,2020-03,707.00M,43.80M,750.80M,79.60M,830.40M,442.20M,,,,,1.273B,4.307B,40.50M,4.347B,68.30M,68.30M,269.20M,356.50M,5.123B,6.395B,,2020-03,3.191B,1.163B,,10.46B,,2020-03,AOR,
2019-12,1.583B,,1.583B,,,,5.580B,6.319B,,11.90B,12.60M,,,13.50B,0.00,90.70M,350.50M,254.80M,,64.80M,62.40M,823.20M,-259.80M,563.40M,163.50M,,163.50M,,,,1.947B,2.828B,16.32B,,2019-12,659.30M,146.10M,805.40M,101.20M,906.60M,432.50M,,,,,1.339B,3.783B,37.60M,3.821B,54.30M,54.30M,255.40M,350.30M,4.481B,5.82B,,2019-12,3.182B,965.30M,,10.23B,,2019-12,AOR,
2019-09,1.494B,,1.494B,,,,5.245B,6.037B,,11.28B,19.70M,,,12.80B,0.00,37.70M,240.20M,250.80M,62.50M,154.10M,6.40M,751.70M,-252.50M,499.20M,163.50M,,163.50M,,,237.20M,1.138B,2.811B,15.61B,,2019-09,634.00M,73.50M,707.50M,87.80M,795.30M,434.70M,,,,,1.23B,3.399B,0.00,3.399B,57.70M,57.70M,282.10M,342.30M,4.082B,5.312B,,2019-09,3.179B,802.20M,,10.02B,,2019-09,AOR,Restated
2019-06,864.20M,,864.20M,,,,5.723B,5.980B,,11.70B,21.10M,,,12.59B,0.00,,,,454.20M,,35.10M,489.30M,,489.30M,163.50M,,163.50M,,,213.60M,1.040B,2.636B,15.22B,,2019-06,681.20M,79.50M,760.70M,85.70M,846.40M,440.90M,,,,,1.287B,3.451B,,3.451B,67.40M,67.40M,254.90M,349.10M,4.122B,5.409B,,2019-06,3.146B,697.90M,,9.642B,,2019-06,AOR,Restated
2019-03,698.80M,,698.80M,,,,6.088B,5.833B,,11.92B,32.40M,,,12.65B,0.00,,,,437.90M,,33.90M,471.80M,,471.80M,163.50M,,163.50M,,,170.70M,869.70M,2.356B,15.01B,,2019-03,658.50M,104.30M,762.80M,55.50M,818.30M,419.10M,,,,,1.237B,3.622B,,3.622B,62.50M,62.50M,244.50M,306.20M,4.236B,5.473B,,2019-03,3.123B,538.60M,,9.360B,,2019-03,AOR,Restated
2018-12,737.00M,,737.00M,,,,5.843B,5.753B,,11.60B,31.30M,,,12.36B,0.00,,,,391.10M,,31.80M,422.90M,,422.90M,158.40M,,158.40M,,,164.40M,734.40M,2.172B,14.54B,,2018-12,697.20M,148.20M,845.40M,77.90M,923.30M,412.20M,,,,,1.336B,3.342B,,3.342B,54.60M,54.60M,205.50M,299.70M,3.902B,5.238B,,2018-12,3.108B,463.00M,,9.125B,,2018-12,AOR,Restated
2018-09,1.473B,,1.473B,,,,5.086B,5.309B,,10.40B,32.90M,,,11.90B,0.00,63.80M,292.30M,235.60M,,54.10M,39.20M,685.00M,-244.70M,440.30M,109.20M,,109.20M,11.00M,,136.30M,840.70M,2.214B,14.11B,,2018-09,624.70M,108.50M,733.20M,60.30M,793.50M,408.10M,,,,,1.202B,3.204B,,3.204B,96.10M,96.10M,252.50M,202.00M,3.754B,4.956B,,2018-09,3.085B,322.40M,,8.984B,,2018-09,AOR,Restated
2018-06,1.178B,,1.178B,,,,5.195B,5.108B,,10.30B,58.70M,,,11.54B,0.00,,,,385.20M,,38.50M,423.70M,,423.70M,109.20M,,109.20M,32.20M,,139.80M,737.90M,2.053B,13.59B,,2018-06,655.30M,65.70M,721.00M,63.60M,784.60M,407.80M,,,,,1.192B,3.094B,,3.094B,61.00M,61.00M,211.90M,264.60M,3.631B,4.824B,,2018-06,3.064B,269.80M,,8.597B,,2018-06,AOR,Restated
2018-03,1.011B,,1.011B,,,,5.120B,5.025B,,10.14B,55.40M,,,11.21B,0.00,,,,380.40M,,39.20M,419.60M,,419.60M,109.20M,,109.20M,32.10M,,147.00M,716.40M,2.008B,13.22B,,2018-03,582.70M,29.10M,611.80M,43.20M,655.00M,443.60M,,,,,1.099B,3.234B,,3.234B,57.90M,57.90M,203.50M,252.30M,3.748B,4.846B,,2018-03,3.046B,242.80M,,8.199B,,2018-03,AOR,Restated
2017-12,920.30M,,920.30M,,,,4.908B,5.132B,,10.04B,53.70M,,,11.01B,0.00,,,,357.70M,,38.50M,396.20M,,396.20M,100.00M,,100.00M,86.10M,,153.00M,590.90M,1.943B,12.96B,,2017-12,575.70M,110.70M,686.40M,59.60M,746.00M,419.70M,,,,,1.166B,3.258B,,3.258B,53.60M,53.60M,187.20M,237.30M,3.736B,4.902B,,2017-12,3.010B,220.30M,,7.882B,,2017-12,AOR,Restated
2017-09,1.008B,,1.008B,,,,4.606B,4.631B,,9.237B,16.50M,,,10.26B,,,,,325.00M,,,325.00M,,325.00M,80.00M,,80.00M,0.00,,,1.153B,1.923B,12.18B,,2017-09,580.40M,54.20M,634.60M,37.50M,672.10M,420.60M,,,,,1.093B,2.872B,,2.872B,51.80M,51.80M,208.90M,212.00M,3.344B,4.437B,,2017-09,2.992B,194.90M,,7.747B,,2017-09,AOR,Restated
2017-06,512.40M,,512.40M,,,,4.906B,4.648B,,9.554B,10.90M,,,10.08B,0.00,,,,282.80M,,46.50M,329.30M,,329.30M,80.00M,,80.00M,,,122.00M,683.00M,1.900B,11.98B,,2017-06,656.30M,60.00M,716.30M,61.30M,777.60M,453.50M,,,,,1.231B,2.926B,,2.926B,55.80M,55.80M,171.20M,155.80M,3.309B,4.540B,,2017-06,2.957B,194.90M,,7.436B,,2017-06,AOR,Restated
2017-03,993.20M,,993.20M,,,,4.643B,4.396B,,9.038B,11.10M,,,10.04B,0.00,,,,248.10M,,48.20M,296.30M,,296.30M,80.00M,,80.00M,,,116.90M,635.60M,1.879B,11.92B,,2017-03,580.90M,36.20M,617.10M,48.90M,666.00M,441.50M,,,,,1.108B,3.222B,,3.222B,56.20M,56.20M,166.80M,148.10M,3.594B,4.701B,,2017-03,2.932B,134.30M,,7.220B,,2017-03,AOR,Restated
2016-12,1.150B,,1.150B,,,,4.285B,4.457B,,8.742B,8.80M,,,9.902B,0.00,,,,218.40M,,52.70M,271.10M,,271.10M,80.00M,,80.00M,,,115.70M,599.70M,1.811B,11.71B,,2016-12,545.10M,124.80M,669.90M,72.40M,742.30M,435.60M,,,,,1.178B,3.218B,,3.218B,45.70M,45.70M,147.80M,141.30M,3.552B,4.730B,,2016-12,2.885B,134.30M,,6.981B,,2016-12,AOR,Restated
2016-09,1.303B,,1.303B,,,,4.035B,4.306B,,8.341B,9.50M,,,9.654B,0.00,,,,195.40M,,56.90M,252.30M,,252.30M,80.00M,,80.00M,,,255.60M,697.40M,1.905B,11.56B,,2016-09,577.50M,63.30M,640.80M,49.80M,690.60M,423.50M,,,,,1.114B,3.271B,,3.271B,54.20M,54.20M,183.30M,143.00M,3.652B,4.766B,,2016-09,2.866B,134.30M,,6.792B,,2016-09,AOR,Restated
2016-06,906.80M,,906.80M,,,,4.371B,4.133B,,8.504B,11.80M,,,9.423B,0.00,,,,151.70M,,54.60M,206.30M,,206.30M,87.20M,,87.20M,,,131.70M,760.20M,1.910B,11.33B,,2016-06,609.30M,58.30M,667.60M,68.90M,736.50M,426.40M,,,,,1.163B,3.301B,,3.301B,67.50M,67.50M,159.70M,129.00M,3.658B,4.820B,,2016-06,2.839B,134.30M,0.00,6.512B,,2016-06,AOR,Restated
2016-03,1.224B,,1.224B,,,,4.154B,4.063B,,8.217B,11.40M,,,9.452B,0.00,,,,149.50M,,46.50M,196.00M,,196.00M,87.20M,,87.20M,,,125.00M,724.40M,1.848B,11.30B,,2016-03,541.50M,33.60M,575.10M,52.10M,627.20M,426.20M,,,,,1.053B,3.663B,,3.663B,64.40M,64.40M,151.30M,119.40M,3.998B,5.051B,,2016-03,2.796B,134.30M,,6.248B,,2016-03,AOR,Restated
2015-12,1.269B,,1.269B,,,,3.793B,4.296B,,8.088B,9.70M,,,9.367B,0.00,,,,147.60M,,45.90M,193.50M,,193.50M,87.20M,,87.20M,,,157.70M,621.70M,1.813B,11.18B,,2015-12,449.40M,88.80M,538.20M,74.80M,613.00M,458.90M,,,,,1.072B,3.734B,,3.734B,56.80M,56.80M,142.20M,113.80M,4.047B,5.119B,,2015-12,2.770B,134.30M,2.60M,6.059B,,2015-12,AOR,Restated
2015-09,1.384B,,1.384B,,,,3.501B,4.306B,,7.807B,9.70M,,,9.200B,0.00,,,,146.90M,,47.10M,194.00M,,194.00M,87.20M,,87.20M,,,175.70M,724.50M,1.950B,11.15B,,2015-09,516.70M,68.10M,584.80M,60.70M,645.50M,451.00M,,,,,1.096B,3.812B,,3.812B,58.90M,58.90M,171.80M,116.90M,4.159B,5.256B,,2015-09,2.734B,134.30M,1.40M,5.894B,,2015-09,AOR,Restated
2015-06,805.60M,,805.60M,,,,3.815B,4.296B,,8.111B,11.70M,,,8.928B,0.00,,,,199.30M,,49.50M,248.80M,,248.80M,97.00M,,97.00M,,,169.60M,673.50M,1.935B,10.86B,,2015-06,502.20M,60.10M,562.30M,78.20M,640.50M,450.70M,,,,,1.091B,3.821B,,3.821B,58.90M,58.90M,152.90M,108.40M,4.141B,5.232B,,2015-06,2.684B,134.30M,2.20M,5.630B,,2015-06,AOR,Restated
2015-03,697.70M,,697.70M,,,,3.916B,4.221B,,8.137B,10.40M,,,8.845B,0.00,,,,193.80M,,48.60M,242.40M,,242.40M,94.80M,,94.80M,,,177.10M,612.80M,1.868B,10.71B,,2015-03,498.90M,24.10M,523.00M,60.70M,583.70M,449.40M,,,,,1.033B,3.946B,,3.946B,54.80M,54.80M,144.20M,114.50M,4.259B,5.292B,,2015-03,2.671B,134.30M,2.20M,5.418B,,2015-03,AOR,Restated
2014-12,541.00M,,541.00M,,,,3.720B,4.270B,,7.989B,9.60M,,,8.540B,0.00,,,,190.70M,,49.20M,239.90M,,239.90M,94.80M,,94.80M,,,176.10M,536.50M,1.799B,10.34B,,2014-12,444.60M,82.10M,526.70M,79.60M,606.30M,457.60M,,,,,1.064B,3.727B,,3.727B,45.50M,45.50M,129.50M,109.20M,4.011B,5.075B,,2014-12,2.639B,134.30M,2.20M,5.261B,,2014-12,AOR,Restated
2014-09,661.80M,,661.80M,,,,3.541B,4.159B,,7.700B,10.00M,,,8.372B,0.00,,,,190.80M,,48.70M,239.50M,,239.50M,94.80M,,94.80M,,,177.00M,564.40M,1.813B,10.19B,,2014-09,525.00M,41.90M,566.90M,65.20M,632.10M,456.90M,,,,,1.089B,3.666B,,3.666B,49.50M,49.50M,150.80M,110.70M,3.977B,5.066B,,2014-09,2.614B,134.30M,2.20M,5.116B,,2014-09,AOR,Restated
2014-06,575.00M,,575.00M,,,,3.382B,3.993B,,7.376B,20.10M,,,7.971B,0.00,,,,132.90M,,50.50M,183.40M,,183.40M,94.80M,,94.80M,,,165.50M,544.70M,1.746B,9.717B,,2014-06,422.00M,33.90M,455.90M,102.80M,558.70M,457.60M,,,,,1.016B,3.445B,,3.445B,52.60M,52.60M,138.00M,94.50M,3.730B,4.747B,,2014-06,2.608B,134.30M,2.20M,4.966B,,2014-06,AOR,Restated
2014-03,951.40M,,951.40M,,,,2.864B,3.919B,,6.784B,79.80M,,,7.815B,0.00,,,,123.30M,,45.80M,169.10M,,169.10M,41.20M,,41.20M,,,159.90M,451.20M,1.558B,9.373B,,2014-03,338.50M,36.50M,375.00M,71.30M,446.30M,454.20M,,,,,900.50M,3.862B,,3.862B,43.40M,43.40M,125.50M,91.70M,4.123B,5.023B,,2014-03,2.088B,134.30M,2.20M,4.346B,,2014-03,AOR,Restated
2013-12,820.10M,,820.10M,,,,2.722B,3.774B,,6.496B,81.10M,,,7.397B,0.00,,,,117.50M,,41.20M,158.70M,,158.70M,41.20M,,41.20M,,,173.10M,409.70M,1.530B,8.927B,,2013-12,381.10M,81.90M,463.00M,87.50M,550.50M,469.60M,,,,,1.020B,3.462B,,3.462B,37.40M,37.40M,115.70M,92.20M,3.707B,4.727B,,2013-12,2.057B,134.30M,1.90M,4.197B,,2013-12,AOR,Restated
2013-09,977.40M,,977.40M,,,,2.498B,3.699B,,6.197B,77.80M,,,7.253B,0.00,,,,106.70M,,41.30M,148.00M,,148.00M,38.90M,,38.90M,,,186.20M,475.90M,1.604B,8.856B,,2013-09,400.00M,59.90M,459.90M,80.30M,540.20M,482.00M,,,,,1.022B,3.509B,,3.509B,39.30M,39.30M,130.20M,94.30M,3.773B,4.795B,,2013-09,2.042B,134.30M,1.90M,4.058B,,2013-09,AOR,Restated
2013-06,638.00M,0.00,638.00M,,0.00,,2.375B,3.537B,,5.912B,68.60M,,,6.618B,,,,,96.10M,,,96.10M,,96.10M,38.90M,,38.90M,,,214.80M,525.20M,1.669B,8.287B,,2013-06,357.30M,64.50M,421.80M,38.10M,459.90M,508.30M,,,,,968.20M,3.084B,,3.084B,,,116.70M,211.00M,3.411B,4.380B,,2013-06,2.028B,134.30M,1.90M,3.905B,,2013-06,AOR,Restated
2013-03,1.150B,0.00,1.150B,,0.00,,2.116B,3.208B,,5.324B,54.50M,,,6.529B,,,,,87.10M,,,87.10M,,87.10M,38.90M,,38.90M,,,213.80M,543.60M,1.703B,8.232B,,2013-03,308.60M,48.60M,357.20M,36.10M,393.30M,519.70M,,,,,913.00M,3.273B,,3.273B,,,114.10M,188.70M,3.576B,4.489B,,2013-03,2.012B,134.30M,0.00,3.741B,,2013-03,AOR,Restated
