,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2020-09,-19.00M,,-494.00M,-494.00M,,230.00M,-27.00M,133.00M,417.00M,215.00M,154.00M,-189.00M,,,,180.00M,,420.00M,,2020-09,-155.00M,77.00M,,,15.00M,-63.00M,,2020-09,0.00,,,0.00,0.00,-40.00M,-40.00M,,5.00M,-35.00M,,2020-09,1.811B,322.00M,2.115B,,2020-09,,0.00,0.00,59.00M,138.00M,,2020-09,AOR
2020-06,-1.681B,,,,,251.00M,-353.00M,2.147B,-262.00M,1.45B,40.00M,-994.00M,,,,496.00M,,598.00M,,2020-06,-142.00M,53.00M,,,-27.00M,-116.00M,,2020-06,-2.00M,,,0.00,0.00,-40.00M,-40.00M,,8.00M,-34.00M,,2020-06,1.385B,448.00M,1.811B,,2020-06,,-2.00M,0.00,81.00M,114.00M,,2020-06,AOR
2020-03,-1.015B,,,,,348.00M,,1.073B,19.00M,-371.00M,-79.00M,250.00M,,,,-200.00M,,225.00M,,2020-03,-213.00M,69.00M,,,-21.00M,-165.00M,,2020-03,-657.00M,,,-100.00M,-100.00M,-158.00M,-158.00M,,12.00M,-903.00M,,2020-03,2.268B,-843.00M,1.385B,,2020-03,,-1.651B,-100.00M,116.00M,144.00M,,2020-03,AOR
2019-12,-1.654B,,73.00M,73.00M,,372.00M,-319.00M,2.054B,146.00M,629.00M,178.00M,-312.00M,,,,495.00M,,1.167B,,2019-12,-340.00M,47.00M,,,11.00M,-315.00M,,2019-12,-2.00M,,,0.00,118.00M,-158.00M,-158.00M,,-103.00M,-145.00M,,2019-12,1.571B,707.00M,2.268B,,2019-12,,-2.00M,0.00,75.00M,140.00M,,2019-12,AOR
2019-09,296.00M,,-73.00M,-73.00M,,417.00M,-30.00M,0.00,162.00M,401.00M,-33.00M,-269.00M,,,,99.00M,,871.00M,,2019-09,-345.00M,56.00M,,,-30.00M,-319.00M,,2019-09,1.00M,,,0.00,0.00,-158.00M,-158.00M,,15.00M,-142.00M,,2019-09,1.176B,410.00M,1.571B,,2019-09,,1.00M,0.00,80.00M,128.00M,,2019-09,AOR
2019-06,77.00M,,,,,420.00M,-47.00M,247.00M,-6.00M,-55.00M,-111.00M,-74.00M,,,,-240.00M,,451.00M,,2019-06,-408.00M,44.00M,,,-36.00M,-400.00M,,2019-06,-4.00M,,,-100.00M,-100.00M,-157.00M,-157.00M,,8.00M,-253.00M,,2019-06,1.38B,-202.00M,1.176B,,2019-06,,-4.00M,-100.00M,127.00M,138.00M,,2019-06,AOR
2019-03,152.00M,,,,,416.00M,,61.00M,-158.00M,-339.00M,-236.00M,60.00M,,,,-515.00M,,-44.00M,,2019-03,-437.00M,43.00M,,,-17.00M,-411.00M,,2019-03,-8.00M,,,0.00,0.00,-157.00M,-157.00M,,10.00M,-155.00M,,2019-03,2.008B,-610.00M,1.38B,,2019-03,,-8.00M,0.00,81.00M,128.00M,,2019-03,AOR
2018-12,668.00M,,,,,422.00M,,0.00,41.00M,245.00M,-139.00M,-118.00M,,,,-12.00M,,852.00M,,2018-12,-551.00M,60.00M,-21.00M,,-42.00M,-554.00M,,2018-12,-9.00M,,,-200.00M,-5.00M,-157.00M,-157.00M,,-167.00M,-338.00M,,2018-12,2.057B,-40.00M,2.008B,,2018-12,,-9.00M,-200.00M,-13.00M,141.00M,,2018-12,AOR
2018-09,434.00M,,,,,400.00M,,0.00,152.00M,-79.00M,-236.00M,106.00M,,,,-209.00M,,777.00M,,2018-09,-409.00M,37.00M,-18.00M,,388.00M,-2.00M,,2018-09,-436.00M,,,-200.00M,-200.00M,-157.00M,-157.00M,,42.00M,-751.00M,,2018-09,2.058B,24.00M,2.057B,,2018-09,,-436.00M,-200.00M,56.00M,129.00M,,2018-09,AOR
2018-06,508.00M,,,,,390.00M,,0.00,133.00M,-107.00M,-187.00M,219.00M,,,,-75.00M,,956.00M,,2018-06,-565.00M,74.00M,-148.00M,,-424.00M,-1.063B,,2018-06,,,,0.00,0.00,-158.00M,-158.00M,,7.00M,-151.00M,,2018-06,2.332B,-258.00M,2.058B,,2018-06,,,0.00,50.00M,142.00M,,2018-06,AOR
2018-03,47.00M,,,,,394.00M,,265.00M,-46.00M,-245.00M,-119.00M,276.00M,,,,-88.00M,,572.00M,,2018-03,-501.00M,47.00M,,,80.00M,-374.00M,,2018-03,,,,,,-158.00M,-158.00M,,-21.00M,-179.00M,,2018-03,2.337B,19.00M,2.332B,,2018-03,,,,85.00M,144.00M,,2018-03,AOR
2017-12,-825.00M,,,,,393.00M,,385.00M,448.00M,-286.00M,20.00M,142.00M,,,,-124.00M,,1.011B,,2017-12,-439.00M,47.00M,0.00,10.00M,-38.00M,-420.00M,,2017-12,-8.00M,,,0.00,158.00M,-157.00M,-157.00M,,-144.00M,-151.00M,,2017-12,1.898B,440.00M,2.337B,,2017-12,,-8.00M,0.00,,139.00M,,2017-12,AOR
2017-09,361.00M,,,,,394.00M,,0.00,631.00M,-449.00M,-44.00M,213.00M,,,,-280.00M,,1.106B,,2017-09,-342.00M,35.00M,-628.00M,0.00,-27.00M,-962.00M,,2017-09,-10.00M,,,0.00,0.00,-157.00M,-157.00M,,-202.00M,-369.00M,,2017-09,2.139B,-225.00M,1.898B,,2017-09,,-10.00M,0.00,-176.00M,137.00M,,2017-09,AOR
2017-06,28.00M,,,,,386.00M,,262.00M,-76.00M,-437.00M,13.00M,170.00M,,,,-254.00M,,346.00M,,2017-06,-327.00M,35.00M,0.00,-10.00M,-6.00M,-308.00M,,2017-06,-57.00M,,,,,-156.00M,-156.00M,,231.00M,18.00M,,2017-06,2.107B,56.00M,2.139B,,2017-06,,-57.00M,,99.00M,145.00M,,2017-06,AOR
2017-03,-32.00M,,,,,383.00M,,,-378.00M,-178.00M,-18.00M,228.00M,,,,32.00M,,5.00M,,2017-03,-265.00M,41.00M,,,-13.00M,-237.00M,,2017-03,-1.566B,,,,,-156.00M,-156.00M,,63.00M,-1.659B,,2017-03,4.009B,-1.891B,2.107B,,2017-03,,-1.566B,,77.00M,173.00M,,2017-03,AOR
2016-12,-153.00M,,,,,386.00M,-420.00M,168.00M,455.00M,217.00M,164.00M,242.00M,,,,623.00M,,1.059B,,2016-12,-173.00M,46.00M,-31.00M,,-34.00M,-188.00M,,2016-12,-22.00M,,,,,-155.00M,-155.00M,,-98.00M,-89.00M,,2016-12,3.289B,782.00M,4.009B,,2016-12,,-22.00M,,20.00M,-1.175B,,2016-12,AOR
2016-09,7.00M,,,,,375.00M,435.00M,0.00,-313.00M,313.00M,175.00M,49.00M,,,,537.00M,,1.041B,,2016-09,-178.00M,62.00M,0.00,,-13.00M,-129.00M,,2016-09,-624.00M,-13.00M,,,,-156.00M,-156.00M,,74.00M,-719.00M,,2016-09,3.108B,193.00M,3.289B,,2016-09,,-624.00M,,-280.00M,172.00M,,2016-09,AOR
2016-06,-3.205B,,,,,396.00M,-659.00M,423.00M,-567.00M,141.00M,179.00M,-340.00M,,,,-20.00M,,-3.632B,,2016-06,-213.00M,64.00M,,,-36.00M,-185.00M,,2016-06,-2.525B,13.00M,,,,-155.00M,-155.00M,,12.00M,-2.655B,,2016-06,9.593B,-6.472B,3.108B,,2016-06,,-2.525B,,159.00M,180.00M,,2016-06,AOR
2016-03,-2.418B,,,,,346.00M,-857.00M,2.766B,-100.00M,228.00M,34.00M,-170.00M,,,,92.00M,,-171.00M,,2016-03,-234.00M,50.00M,,,-24.00M,-208.00M,,2016-03,0.00,,,,,-154.00M,-154.00M,,77.00M,-77.00M,,2016-03,10.08B,-456.00M,9.593B,,2016-03,,0.00,,121.00M,164.00M,,2016-03,AOR
2015-12,-26.00M,,,,,402.00M,187.00M,-22.00M,230.00M,72.00M,176.00M,-134.00M,,,,114.00M,,885.00M,,2015-12,-436.00M,35.00M,,,-28.00M,-468.00M,,2015-12,7.44B,,,,,-154.00M,-154.00M,,-50.00M,7.403B,,2015-12,2.249B,7.82B,10.08B,,2015-12,,0.00,,-84.00M,25.00M,,2015-12,AOR
2015-09,-53.00M,,,,,417.00M,112.00M,381.00M,-869.00M,-144.00M,94.00M,88.00M,,,,38.00M,,26.00M,,2015-09,-525.00M,50.00M,,,-14.00M,-489.00M,,2015-09,0.00,,,,,-154.00M,-154.00M,,75.00M,-79.00M,,2015-09,2.76B,-542.00M,2.249B,,2015-09,,0.00,,124.00M,164.00M,,2015-09,AOR
