,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.138B,1.138B,480.40M,657.80M,229.30M,59.80M,289.10M,242.40M,,-1.20M,19.10M,6.10M,-13.00M,,531.50M,126.30M,6.10M,19.10M,-13.00M,-1.70M,-13.00M,111.60M,-33.80M,145.40M,,182.70M,52.00M,130.70M,,2020-09,0.4382,0.44,,2020-09,0.43,0.43,,2020-09,0.20,,2020-09,AOR,
2020-06,1.086B,1.086B,466.70M,619.60M,224.20M,59.10M,283.30M,241.00M,,-4.80M,19.30M,9.30M,-10.00M,,524.30M,95.30M,9.30M,19.30M,-10.00M,0.80M,-10.00M,86.10M,24.90M,61.20M,,157.40M,52.00M,105.40M,,2020-06,0.1763,0.18,,2020-06,0.18,0.18,,2020-06,0.20,,2020-06,AOR,
2020-03,998.00M,998.00M,418.70M,579.30M,239.20M,59.30M,298.50M,232.50M,,-8.90M,20.10M,15.00M,-5.10M,,531.00M,48.30M,15.00M,20.10M,-5.10M,-14.90M,-5.10M,28.30M,7.90M,20.40M,,102.40M,54.00M,48.40M,,2020-03,0.0920,0.06,,2020-03,0.06,0.06,,2020-03,0.20,,2020-03,AOR,
2019-12,1.208B,1.208B,488.80M,719.30M,246.50M,54.90M,301.40M,239.60M,,0.30M,20.40M,16.10M,-4.30M,,541.00M,178.30M,16.10M,20.40M,-4.30M,0.00,-4.30M,174.00M,5.60M,168.40M,,249.20M,54.80M,194.40M,,2019-12,0.4968,0.50,,2019-12,0.49,0.49,,2019-12,0.19,,2019-12,AOR,
2019-09,1.133B,1.133B,454.70M,678.40M,235.30M,61.20M,296.50M,244.50M,,-14.20M,22.10M,19.70M,-2.40M,,541.00M,137.40M,19.70M,22.10M,-2.40M,-16.90M,-2.40M,118.10M,18.80M,99.30M,,194.00M,53.80M,140.20M,,2019-09,0.3333,0.29,,2019-09,0.29,0.29,,2019-09,0.19,,2019-09,AOR,Restated
2019-06,1.102B,1.102B,465.70M,636.80M,229.00M,60.00M,289.00M,244.00M,,-21.40M,22.00M,19.80M,-2.20M,,533.00M,103.80M,19.80M,22.00M,-2.20M,-23.80M,-2.20M,77.80M,31.60M,46.20M,,152.80M,53.00M,99.80M,,2019-06,0.1810,0.13,,2019-06,0.13,0.13,,2019-06,0.19,,2019-06,AOR,Restated
2019-03,1.002B,1.002B,419.40M,582.30M,228.50M,68.20M,296.70M,227.60M,,-15.30M,24.20M,23.50M,-0.70M,,524.30M,58.00M,23.50M,24.20M,-0.70M,-12.80M,-0.70M,44.50M,13.40M,31.10M,,117.40M,48.70M,68.70M,,2019-03,0.1175,0.09,,2019-03,0.09,0.09,,2019-03,0.19,,2019-03,AOR,Restated
2018-12,1.181B,1.181B,470.10M,710.90M,224.90M,53.00M,277.90M,231.20M,,-5.00M,25.50M,22.90M,-2.60M,,509.10M,201.80M,22.90M,25.50M,-2.60M,-10.80M,-2.60M,188.40M,-3.80M,192.20M,,265.20M,51.30M,213.90M,,2018-12,0.5824,0.56,,2018-12,0.55,0.55,,2018-12,0.18,,2018-12,AOR,Restated
2018-09,1.180B,1.180B,468.80M,711.00M,224.80M,67.90M,292.70M,253.80M,,-4.40M,25.80M,18.90M,-6.90M,,546.50M,164.50M,18.90M,25.80M,-6.90M,-5.60M,-6.90M,152.00M,-71.80M,223.80M,,226.10M,48.30M,177.80M,,2018-09,0.6633,0.65,,2018-09,0.64,0.64,,2018-09,0.18,,2018-09,AOR,Restated
2018-06,1.204B,1.204B,503.20M,700.90M,238.30M,54.20M,292.50M,248.80M,,0.20M,25.90M,16.00M,-9.90M,,541.30M,159.60M,16.00M,25.90M,-9.90M,1.20M,-9.90M,150.90M,34.40M,116.50M,,232.00M,55.20M,176.80M,,2018-06,0.3282,0.33,,2018-06,0.33,0.33,,2018-06,0.18,,2018-06,AOR,Restated
2018-03,1.083B,1.083B,464.20M,618.40M,239.40M,56.00M,295.40M,269.40M,,1.90M,26.00M,14.90M,-11.10M,,564.80M,53.60M,14.90M,26.00M,-11.10M,-1.10M,-11.10M,41.40M,7.00M,34.40M,,123.10M,55.70M,67.40M,,2018-03,0.0967,0.10,,2018-03,0.10,0.10,,2018-03,0.18,,2018-03,AOR,Restated
2017-12,1.240B,1.240B,488.30M,751.20M,233.60M,50.80M,284.40M,227.90M,,-36.20M,25.60M,15.90M,-9.70M,,512.30M,238.90M,15.90M,25.60M,-9.70M,-29.00M,-9.70M,200.20M,348.30M,-148.10M,,281.70M,55.90M,225.80M,,2017-12,-0.3542,-0.40,,2017-12,-0.40,-0.40,,2017-12,0.10,,2017-12,AOR,Restated
2017-09,1.258B,1.258B,485.40M,772.40M,232.50M,70.60M,303.10M,236.40M,,-2.00M,25.30M,14.70M,-10.60M,,539.50M,232.90M,14.70M,25.30M,-10.60M,3.50M,-10.60M,225.80M,60.10M,165.70M,,308.70M,57.60M,251.10M,,2017-09,0.4348,0.44,,2017-09,0.43,0.43,,2017-09,0.10,,2017-09,AOR,Restated
2017-06,1.309B,1.309B,507.00M,801.90M,239.90M,55.60M,295.50M,240.20M,,-8.00M,25.00M,12.00M,-13.00M,,535.70M,266.20M,12.00M,25.00M,-13.00M,-8.00M,-13.00M,245.20M,65.40M,179.80M,,326.50M,56.30M,270.20M,,2017-06,0.4839,0.47,,2017-06,0.47,0.47,,2017-06,0.10,,2017-06,AOR,Restated
2017-03,1.221B,1.221B,474.40M,746.60M,244.20M,50.50M,294.70M,276.20M,,-19.40M,25.30M,10.40M,-14.90M,,570.90M,175.70M,10.40M,25.30M,-14.90M,-20.20M,-14.90M,140.60M,31.80M,108.80M,,221.70M,55.80M,165.90M,,2017-03,0.3270,0.29,,2017-03,0.28,0.28,,2017-03,0.10,,2017-03,AOR,Restated
2016-12,1.386B,1.386B,527.90M,857.70M,254.50M,52.90M,307.40M,263.00M,,-0.10M,25.10M,9.90M,-15.20M,,570.40M,287.30M,9.90M,25.10M,-15.20M,0.00,-15.20M,272.10M,83.20M,188.90M,,352.00M,54.80M,297.20M,,2016-12,0.5237,0.52,,2016-12,0.51,0.51,,2016-12,0.10,,2016-12,AOR,Restated
2016-09,1.285B,1.285B,485.80M,799.50M,242.90M,54.00M,296.90M,251.80M,,-0.80M,25.10M,9.10M,-16.00M,,548.70M,250.80M,9.10M,25.10M,-16.00M,1.80M,-16.00M,236.60M,64.20M,172.40M,,315.00M,53.30M,261.70M,,2016-09,0.4479,0.45,,2016-09,0.45,0.45,,2016-09,0.10,,2016-09,AOR,Restated
2016-06,1.221B,1.221B,464.90M,756.40M,243.70M,58.60M,302.30M,247.90M,,-2.40M,25.00M,8.50M,-16.50M,,550.20M,206.20M,8.50M,25.00M,-16.50M,2.50M,-16.50M,192.20M,52.20M,140.00M,,268.80M,51.60M,217.20M,,2016-06,0.3677,0.37,,2016-06,0.36,0.36,,2016-06,0.10,,2016-06,AOR,Restated
2016-03,1.098B,1.098B,407.00M,690.90M,231.80M,59.40M,291.20M,251.00M,,0.00,22.50M,7.90M,-14.60M,,542.20M,148.70M,7.90M,22.50M,-14.60M,-7.60M,-14.60M,126.50M,35.10M,91.40M,,196.00M,47.00M,149.00M,,2016-03,0.2502,0.24,,2016-03,0.23,0.23,,2016-03,0.10,,2016-03,AOR,Restated
2015-12,1.320B,1.320B,477.20M,842.40M,255.90M,60.30M,316.20M,247.20M,,0.10M,21.40M,5.50M,-15.90M,,563.40M,279.00M,5.50M,21.40M,-15.90M,-2.50M,-15.90M,260.60M,62.80M,197.80M,,327.00M,45.00M,282.00M,,2015-12,0.5198,0.52,,2015-12,0.51,0.51,,2015-12,0.10,,2015-12,AOR,Restated
2015-09,1.249B,1.249B,451.20M,797.40M,235.30M,57.10M,292.40M,247.00M,,,21.60M,5.70M,-15.90M,,539.40M,258.00M,5.70M,21.60M,-15.90M,7.50M,-15.90M,249.60M,51.90M,197.70M,,313.70M,42.50M,271.20M,,2015-09,0.5076,0.52,,2015-09,0.51,0.51,,2015-09,0.10,,2015-09,AOR,Restated
2015-06,1.222B,1.222B,440.70M,781.50M,232.40M,56.30M,288.70M,251.60M,,1.90M,21.80M,6.70M,-15.10M,,540.30M,241.20M,6.70M,21.80M,-15.10M,-0.10M,-15.10M,226.00M,68.00M,158.00M,,289.30M,41.50M,247.80M,,2015-06,0.4062,0.41,,2015-06,0.40,0.40,,2015-06,0.10,,2015-06,AOR,Restated
2015-03,1.067B,1.067B,410.10M,657.30M,220.20M,55.20M,275.40M,248.70M,,-1.40M,18.50M,3.80M,-14.70M,,524.10M,133.20M,3.80M,18.50M,-14.70M,-2.50M,-14.70M,116.00M,35.80M,80.20M,,182.00M,47.50M,134.50M,,2015-03,0.2014,0.20,,2015-03,0.19,0.19,,2015-03,0.10,,2015-03,AOR,Restated
2014-12,1.102B,1.102B,426.50M,675.10M,243.00M,40.60M,283.60M,233.50M,,-840.20M,16.70M,3.10M,-13.60M,,517.10M,158.00M,3.10M,16.70M,-13.60M,-838.80M,-13.60M,-694.40M,75.20M,-769.60M,,-633.50M,44.20M,-677.70M,,2014-12,-0.5302,-1.81,,2014-12,-1.81,-1.81,,2014-12,0.10,,2014-12,AOR,Restated
2014-09,1.126B,1.126B,411.10M,714.80M,249.20M,55.00M,304.20M,253.20M,,15.80M,16.90M,2.70M,-14.20M,,557.40M,157.40M,2.70M,16.90M,-14.20M,22.40M,-14.20M,165.60M,62.00M,103.60M,,228.80M,46.30M,182.50M,,2014-09,0.2106,0.23,,2014-09,0.23,0.23,,2014-09,0.10,,2014-09,AOR,Restated
2014-06,1.230B,1.230B,481.30M,748.20M,258.00M,60.60M,318.60M,255.50M,,137.10M,17.80M,2.10M,-15.70M,,574.10M,174.10M,2.10M,17.80M,-15.70M,136.10M,-15.70M,294.50M,73.40M,221.10M,,359.80M,47.50M,312.30M,,2014-06,0.2498,0.47,,2014-06,0.46,0.46,,2014-06,,,2014-06,AOR,Restated
2014-03,1.170B,1.170B,450.00M,720.10M,273.40M,74.90M,348.30M,264.00M,,-114.00M,15.50M,2.10M,-13.40M,,612.30M,107.80M,2.10M,15.50M,-13.40M,53.60M,-13.40M,148.00M,37.40M,110.60M,,211.60M,48.10M,163.50M,,2014-03,0.1498,0.23,,2014-03,0.22,0.22,,2014-03,,,2014-03,AOR,Restated
2013-12,1.274B,1.274B,470.00M,803.60M,283.20M,48.20M,331.40M,258.70M,,-18.10M,15.00M,2.60M,-12.40M,,590.10M,213.50M,2.60M,15.00M,-12.40M,-15.90M,-12.40M,185.20M,33.40M,151.80M,,254.90M,54.70M,200.20M,,2013-12,0.3240,0.30,,2013-12,0.30,0.30,,2013-12,,,2013-12,AOR,Restated
2013-09,1.186B,1.186B,439.10M,746.50M,269.50M,61.40M,330.90M,264.60M,,-6.00M,14.20M,2.30M,-11.90M,,595.50M,151.00M,2.30M,14.20M,-11.90M,-1.60M,-11.90M,137.50M,38.40M,99.10M,,192.30M,40.60M,151.70M,,2013-09,0.2029,0.20,,2013-09,0.19,0.19,,2013-09,,,2013-09,AOR,Restated
2013-06,1.151B,1.151B,430.20M,720.50M,267.10M,49.20M,316.30M,257.70M,,-8.00M,14.90M,1.70M,-13.20M,,574.00M,146.50M,1.70M,14.90M,-13.20M,-7.40M,-13.20M,125.90M,28.00M,97.90M,,183.60M,42.80M,140.80M,,2013-06,0.2001,0.19,,2013-06,0.19,0.19,,2013-06,,,2013-06,AOR,Restated
2013-03,1.059B,1.059B,388.40M,670.80M,256.10M,58.50M,314.60M,262.20M,,-7.00M,14.30M,2.10M,-12.20M,,576.80M,94.00M,2.10M,14.30M,-12.20M,-4.90M,-12.20M,76.90M,-14.10M,91.00M,,143.00M,51.80M,91.20M,,2013-03,0.1913,0.18,,2013-03,0.18,0.18,,2013-03,,,2013-03,AOR,Restated
2012-12,1.141B,1.141B,407.80M,733.00M,267.30M,53.90M,321.20M,275.10M,,-9.30M,12.30M,2.70M,-9.60M,,592.80M,140.20M,2.70M,12.30M,-9.60M,9.30M,-9.60M,139.90M,44.20M,95.70M,,202.20M,50.00M,152.20M,,2012-12,0.2025,0.19,,2012-12,0.19,0.19,,2012-12,,,2012-12,AOR,Restated
2012-09,1.118B,1.118B,444.50M,673.80M,261.00M,49.40M,310.40M,288.20M,1.10M,-31.30M,12.80M,2.60M,-10.20M,,599.70M,74.10M,2.60M,12.80M,-10.20M,-25.10M,-10.20M,38.80M,22.00M,16.80M,,99.60M,48.00M,51.60M,,2012-09,0.0690,0.03,,2012-09,0.03,0.03,,2012-09,,,2012-09,AOR,Restated
2012-06,1.074B,1.074B,405.90M,667.90M,259.50M,48.80M,308.30M,268.70M,1.20M,-3.00M,13.50M,2.90M,-10.60M,,578.20M,89.70M,2.90M,13.50M,-10.60M,10.40M,-10.60M,89.50M,31.80M,57.70M,,149.50M,46.50M,103.00M,,2012-06,0.1137,0.11,,2012-06,0.11,0.11,,2012-06,,,2012-06,AOR,Restated
2012-03,1.032B,1.032B,398.40M,634.10M,257.70M,54.70M,312.40M,269.60M,1.20M,-3.20M,14.20M,2.80M,-11.40M,,583.20M,50.90M,2.80M,14.20M,-11.40M,-16.20M,-11.40M,23.30M,7.00M,16.30M,,80.90M,43.40M,37.50M,,2012-03,0.0342,0.03,,2012-03,0.03,0.03,,2012-03,,,2012-03,AOR,Restated
2011-12,1.121B,1.121B,421.80M,698.94M,257.34M,53.86M,311.20M,250.48M,,-0.539M,13.90M,2.50M,-11.40M,,557.54M,141.41M,2.50M,13.90M,-11.40M,-7.539M,-11.40M,122.47M,26.32M,96.15M,-0.024M,180.38M,44.01M,136.37M,,2011-12,0.1808,0.18,,2011-12,0.18,0.18,,2011-12,,,2011-12,AOR,Restated
2011-09,1.106B,1.106B,394.19M,711.60M,254.93M,44.46M,299.39M,257.10M,1.263M,-21.09M,13.90M,2.20M,-11.70M,,557.75M,153.86M,2.20M,13.90M,-11.70M,-21.09M,-11.70M,121.07M,37.40M,83.67M,-0.008M,178.31M,43.34M,134.97M,,2011-09,0.1875,0.16,,2011-09,0.16,0.16,,2011-09,,,2011-09,AOR,Restated
2011-06,1.121B,1.121B,398.38M,722.17M,246.64M,44.26M,290.90M,257.25M,1.332M,-2.857M,15.20M,2.60M,-12.60M,,549.48M,172.69M,2.60M,15.20M,-12.60M,-2.857M,-12.60M,157.23M,41.71M,115.52M,0.042M,214.32M,41.89M,172.43M,,2011-06,0.2239,0.22,,2011-06,0.21,0.21,,2011-06,,,2011-06,AOR,Restated
2011-03,1.102B,1.102B,365.73M,735.88M,246.29M,44.92M,291.22M,261.98M,1.544M,-6.116M,6.50M,2.40M,-4.10M,,554.74M,181.15M,2.40M,6.50M,-4.10M,-6.116M,-4.10M,170.93M,41.27M,129.66M,0.09M,218.19M,40.76M,177.43M,,2011-03,0.2487,0.24,,2011-03,0.24,0.24,,2011-03,,,2011-03,AOR,Restated
2010-12,1.190B,1.190B,397.92M,792.05M,257.72M,45.11M,302.83M,254.99M,0.942M,-10.41M,2.50M,2.50M,0.00,,558.76M,233.30M,2.50M,2.50M,0.00,-1.613M,0.00,231.68M,41.58M,190.11M,0.121M,277.12M,42.93M,234.18M,,2010-12,0.3763,0.36,,2010-12,0.35,0.35,,2010-12,,,2010-12,AOR,Restated
2010-09,1.012B,1.012B,334.62M,677.79M,204.70M,43.77M,248.48M,231.15M,0.917M,-1.701M,2.60M,2.80M,0.20M,,480.54M,197.24M,2.80M,2.60M,0.20M,-1.701M,0.20M,195.74M,61.40M,134.34M,0.206M,237.96M,39.62M,198.34M,,2010-09,0.2622,0.26,,2010-09,0.25,0.25,,2010-09,,,2010-09,AOR,
2010-06,978.30M,978.30M,318.36M,659.94M,202.30M,45.88M,248.18M,224.77M,1.204M,2.595M,2.035M,2.70M,0.665M,,474.16M,185.78M,2.70M,2.035M,0.665M,2.595M,0.665M,189.04M,58.70M,130.34M,0.168M,228.56M,37.48M,191.08M,,2010-06,0.2466,0.25,,2010-06,0.24,0.24,,2010-06,,,2010-06,AOR,Restated
2010-03,912.62M,912.62M,300.60M,612.02M,192.38M,43.14M,235.51M,206.99M,1.137M,-7.505M,1.60M,2.50M,0.90M,,443.64M,168.38M,2.50M,1.60M,0.90M,-7.505M,0.90M,161.73M,-2.879M,164.61M,-1.495M,198.60M,35.27M,163.33M,,2010-03,0.3194,0.31,,2010-03,0.30,0.30,,2010-03,,,2010-03,AOR,Restated
2009-12,941.45M,941.45M,310.21M,631.25M,211.29M,41.20M,252.48M,187.21M,1.157M,-185.54M,,,0.347M,,439.85M,191.40M,,,0.347M,-187.79M,0.347M,3.948M,-17.18M,21.13M,1.771M,227.96M,36.57M,191.40M,,2009-12,0.2706,0.04,,2009-12,0.04,0.04,,2009-12,,,2009-12,AOR,Restated
2009-09,823.91M,823.91M,280.63M,543.28M,183.42M,39.88M,223.30M,185.20M,1.33M,-4.493M,,,1.733M,1.00M,410.84M,132.45M,,,1.733M,-4.493M,1.733M,129.69M,45.90M,83.79M,0.00,168.90M,36.45M,132.45M,,2009-09,0.1655,0.16,,2009-09,0.16,0.16,,2009-09,,,2009-09,AOR,Restated
2009-06,786.36M,786.36M,279.98M,506.38M,176.56M,39.18M,215.73M,183.89M,3.539M,-7.529M,,2.898M,2.898M,,403.16M,103.22M,2.898M,,2.898M,-9.154M,2.898M,96.96M,82.19M,14.77M,0.00,141.04M,37.82M,103.22M,,2009-06,0.0394,0.03,,2009-06,0.03,0.03,,2009-06,,,2009-06,AOR,Restated
2009-03,764.18M,764.18M,261.89M,502.29M,187.86M,39.21M,227.08M,185.40M,4.39M,-4.229M,,,0.0021M,,416.86M,85.43M,,,0.0021M,-5.915M,0.0021M,81.46M,85.92M,-4.46M,0.00,122.96M,37.54M,85.43M,,2009-03,-0.0048,-0.01,,2009-03,-0.01,-0.01,,2009-03,,,2009-03,AOR,Restated
2008-12,923.49M,923.49M,304.27M,619.22M,,,99.19M,180.13M,5.19M,9.00M,,,,144.84M,429.35M,189.87M,,,,,,184.77M,52.30M,132.48M,,227.70M,37.83M,189.87M,,2008-12,0.2375,0.25,,2008-12,0.25,0.25,,2008-12,,,2008-12,,Restated
2008-09,946.96M,946.96M,307.58M,639.38M,,,238.22M,194.01M,5.19M,,,,,,437.43M,201.96M,,,,,,211.70M,63.19M,148.51M,,240.82M,38.86M,201.96M,,2008-09,0.27,0.27,,2008-09,0.27,0.27,,2008-09,,,2008-09,,
2008-06,879.03M,879.03M,289.28M,589.75M,,,225.95M,186.36M,7.999M,-9.00M,,,,9.00M,429.30M,160.45M,,,,-10.50M,,172.14M,51.73M,120.41M,,200.82M,40.38M,160.45M,,2008-06,0.2419,0.23,,2008-06,0.22,0.22,,2008-06,,,2008-06,,
2008-03,822.89M,822.89M,264.84M,558.05M,,,219.58M,170.65M,25.13M,,,,,,415.36M,142.69M,,,,,,160.28M,49.93M,110.36M,,198.08M,55.39M,142.69M,,2008-03,0.21,0.21,,2008-03,0.20,0.20,,2008-03,,,2008-03,,
2007-12,809.18M,809.18M,262.47M,546.71M,,,213.48M,165.28M,20.19M,6.555M,,,,-0.01M,398.93M,147.78M,,,,-0.19M,,167.99M,45.09M,122.90M,,197.70M,49.92M,147.78M,,2007-12,0.2208,0.23,,2007-12,0.21,0.21,,2007-12,,,2007-12,,
2007-09,735.05M,735.05M,232.29M,502.76M,,,206.94M,167.89M,20.23M,5.062M,,,,-5.262M,389.80M,112.96M,,,,5.062M,,130.71M,45.61M,85.10M,,161.02M,48.06M,112.96M,,2007-09,0.1636,0.17,,2007-09,0.15,0.15,,2007-09,,,2007-09,,
2007-06,664.92M,664.92M,220.77M,444.15M,,,184.84M,148.70M,22.74M,-1.642M,,,,1.642M,357.92M,86.22M,,,,5.103M,,118.48M,32.30M,86.18M,,135.16M,48.93M,86.22M,,2007-06,0.1622,0.16,,2007-06,0.15,0.15,,2007-06,,,2007-06,,
2007-03,626.94M,626.94M,212.11M,414.83M,,,177.91M,141.09M,22.74M,-12.58M,,,,12.28M,354.03M,60.80M,,,,-12.58M,,96.41M,26.76M,66.65M,,107.06M,46.26M,60.80M,,2007-03,0.1360,0.12,,2007-03,0.11,0.11,,2007-03,,,2007-03,,
2006-12,595.83M,595.83M,190.24M,405.60M,,,178.46M,126.95M,22.39M,-15.45M,,,,0.00,327.80M,77.80M,,,,-15.45M,,92.43M,21.44M,70.98M,,122.22M,44.42M,77.80M,,2006-12,0.1508,0.13,,2006-12,0.13,0.13,,2006-12,,,2006-12,,
2006-09,573.57M,573.57M,190.18M,383.38M,,,163.91M,123.39M,23.03M,-15.31M,,,,,310.33M,73.05M,,,,-15.31M,,85.54M,27.27M,58.27M,,117.14M,44.08M,73.05M,,2006-09,0.1183,0.10,,2006-09,0.10,0.10,,2006-09,,,2006-09,,
