,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.216B,827.63M,2.043B,1.029B,97.75M,1.127B,541.85M,368.27M,167.31M,316.80M,1.394B,112.90M,,,20.00M,4.755B,0.00,67.86M,433.52M,726.70M,98.75M,109.21M,,1.436B,-775.45M,660.61M,2.045B,1.341B,3.386B,,4.565B,9.320B,,2020-09,254.46M,75.32M,329.78M,194.51M,524.30M,,,,29.42M,29.42M,623.31M,848.85M,,1.749B,3.420B,69.43M,3.490B,656.88M,81.61M,15.16M,138.57M,4.809B,6.558B,2.073B,753.92M,,,,,-79.45M,2.747B,,2020-09,AOR,
2020-06,1.234B,746.06M,1.980B,1.107B,99.88M,1.207B,478.59M,334.96M,158.82M,338.61M,1.311B,131.76M,,,15.82M,4.724B,0.00,67.86M,405.24M,707.59M,100.79M,93.74M,,1.375B,-754.60M,620.61M,2.045B,1.391B,3.437B,,4.556B,9.280B,,2020-06,264.28M,35.64M,299.92M,219.70M,519.62M,,,,28.99M,28.99M,684.63M,899.79M,,1.700B,3.470B,70.88M,3.541B,660.88M,78.91M,15.59M,139.04M,4.899B,6.599B,0.155M,654.93M,2.090B,,,,-79.77M,2.665B,,2020-06,AOR,
2020-03,946.18M,688.36M,1.635B,1.119B,91.38M,1.211B,449.25M,324.42M,150.26M,340.19M,1.264B,108.84M,,,26.99M,4.318B,0.00,67.86M,399.00M,689.07M,98.10M,79.04M,,1.333B,-737.22M,595.85M,2.043B,1.438B,3.481B,,4.527B,8.846B,,2020-03,243.23M,31.60M,274.84M,198.85M,473.68M,,,,28.52M,28.52M,674.73M,864.06M,,1.653B,3.444B,67.52M,3.511B,647.22M,80.63M,17.76M,144.44M,4.867B,6.521B,2.019B,376.66M,,,,,-88.29M,2.307B,,2020-03,AOR,
2019-12,939.86M,737.66M,1.678B,1.191B,85.84M,1.277B,450.96M,319.59M,143.74M,337.12M,1.251B,98.42M,,,18.14M,4.377B,0.00,67.87M,416.46M,734.07M,103.67M,63.57M,,1.386B,-792.00M,593.65M,2.300B,1.492B,3.792B,,4.873B,9.251B,,2019-12,256.65M,80.78M,337.42M,191.55M,528.97M,,,,29.94M,29.94M,615.54M,832.93M,,1.718B,3.400B,72.62M,3.472B,680.93M,79.90M,18.21M,142.47M,4.845B,6.563B,2.018B,719.00M,,,,,-66.76M,2.670B,,2019-12,AOR,
2019-09,988.35M,763.17M,1.752B,1.066B,99.07M,1.165B,449.08M,287.95M,180.40M,336.81M,1.254B,96.55M,,,22.98M,4.356B,0.00,67.88M,405.48M,710.19M,105.97M,56.83M,,1.346B,-765.16M,581.18M,2.264B,1.549B,3.813B,,4.874B,9.229B,,2019-09,221.39M,86.14M,307.53M,207.90M,515.43M,,250.00M,250.00M,28.86M,278.86M,629.51M,837.38M,,1.943B,3.174B,75.55M,3.250B,688.17M,80.05M,18.46M,129.20M,4.606B,6.550B,2.000B,733.17M,,,,,-71.86M,2.661B,,2019-09,AOR,Restated
2019-06,1.016B,723.39M,1.739B,990.11M,94.02M,1.084B,444.63M,285.19M,204.17M,328.52M,1.262B,140.28M,,,18.06M,4.315B,0.00,67.88M,402.68M,697.60M,,26.03M,,1.194B,-745.39M,448.80M,2.212B,1.561B,3.773B,,4.693B,9.009B,,2019-06,202.42M,23.35M,225.77M,234.64M,460.40M,,250.00M,250.00M,0.00,250.00M,622.69M,831.62M,,1.768B,3.173B,0.00,3.173B,702.28M,79.62M,18.58M,116.01M,4.562B,6.331B,0.159M,714.82M,2.017B,,,,-73.03M,2.659B,,2019-06,AOR,Restated
2019-03,1.092B,805.10M,1.897B,958.02M,91.52M,1.050B,466.13M,314.48M,198.93M,337.72M,1.317B,110.99M,,,19.19M,4.443B,0.00,41.42M,389.27M,690.50M,,27.77M,,1.149B,-737.11M,411.85M,2.173B,1.694B,3.867B,,4.745B,9.188B,,2019-03,206.25M,7.117M,213.36M,227.46M,440.83M,,,250.00M,,250.00M,559.25M,763.60M,,1.701B,3.173B,,3.173B,762.30M,67.10M,36.50M,117.59M,4.601B,6.302B,1.990B,928.09M,,,,,-68.91M,2.849B,,2019-03,AOR,Restated
2018-12,1.794B,900.11M,2.694B,658.08M,23.32M,681.40M,340.25M,305.86M,84.83M,275.04M,1.006B,60.59M,,,10.62M,4.486B,0.00,40.59M,340.72M,624.96M,,16.36M,,1.023B,-716.28M,306.35M,360.48M,23.82M,384.30M,,1.120B,5.605B,,2018-12,152.49M,33.15M,185.64M,125.26M,310.90M,,,250.00M,,250.00M,509.59M,691.56M,,1.483B,1.988B,,1.988B,,67.14M,,37.40M,2.525B,4.008B,619.26M,1.049B,,,,,-70.45M,1.598B,,2018-12,AOR,Restated
2018-09,1.650B,1.131B,2.780B,602.21M,15.37M,617.58M,349.30M,297.61M,80.77M,265.85M,993.53M,61.24M,,,20.54M,4.521B,0.00,40.58M,333.22M,605.95M,,15.08M,,994.84M,-703.61M,291.23M,360.43M,25.13M,385.56M,,1.124B,5.645B,,2018-09,154.93M,69.82M,224.75M,135.98M,360.73M,,,,,,502.34M,706.32M,,1.311B,2.238B,,2.238B,,348.28M,,33.27M,2.767B,4.078B,596.17M,1.027B,,,,,-56.17M,1.567B,,2018-09,AOR,Restated
2018-06,1.404B,1.476B,2.880B,651.68M,,651.68M,331.06M,280.21M,66.93M,253.64M,931.84M,70.54M,,,14.62M,4.549B,0.00,40.60M,335.65M,599.25M,,9.18M,,984.67M,-698.37M,286.31M,354.70M,19.33M,374.03M,,1.090B,5.639B,,2018-06,169.35M,23.29M,192.64M,183.07M,375.72M,,,,,,465.28M,664.78M,,1.214B,2.237B,,2.237B,1.197M,66.79M,0.00,54.79M,2.804B,4.018B,0.156M,1.056B,617.84M,,,,-53.93M,1.621B,,2018-06,AOR,Restated
