,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.698B,,0.00,0.00,,,319.00M,319.00M,55.00M,0.00,67.00M,,264.00M,-212.00M,228.00M,56.00M,,-595.00M,-523.00M,1.88B,,-408.00M,,,,,23.00M,-385.00M,,2020-09,,0.00,,-85.00M,-85.00M,,,-672.00M,,-672.00M,,-8.00M,,2020-09,2.855B,730.00M,3.585B,,2020-09,,0.00,0.00,-85.00M,2020-09,AOR,
2020-06,1.626B,,0.00,0.00,,,307.00M,307.00M,,128.00M,73.00M,,764.00M,425.00M,18.00M,-1.703B,,544.00M,-716.00M,2.182B,,-343.00M,,,,,6.00M,-337.00M,,2020-06,,-19.00M,,-259.00M,-259.00M,,,-671.00M,,-671.00M,,-29.00M,,2020-06,1.988B,867.00M,2.855B,,2020-06,,1.131B,-1.15B,-259.00M,2020-06,AOR,
2020-03,1.717B,,0.00,0.00,,,301.00M,301.00M,,,42.00M,,-349.00M,-1.65B,80.00M,1.894B,,279.00M,603.00M,2.314B,,-293.00M,,,,,-2.00M,-295.00M,,2020-03,,0.00,,-756.00M,-756.00M,,,-693.00M,,-693.00M,,-96.00M,,2020-03,1.514B,474.00M,1.988B,,2020-03,,,0.00,-756.00M,2020-03,AOR,
2019-12,1.498B,,0.00,0.00,,,322.00M,322.00M,222.00M,,31.00M,,-269.00M,1.957B,-145.00M,-1.622B,,-504.00M,-314.00M,1.49B,,-643.00M,,,,,205.00M,-438.00M,,2019-12,,-900.00M,,-490.00M,-490.00M,,,-675.00M,,-675.00M,,-12.00M,,2019-12,2.539B,-1.025B,1.514B,,2019-12,,,-900.00M,-490.00M,2019-12,AOR,
2019-09,1.608B,,0.00,0.00,,,302.00M,302.00M,0.00,0.00,54.00M,,510.00M,-454.00M,125.00M,287.00M,,58.00M,16.00M,2.49B,,-308.00M,,,,,13.00M,-295.00M,,2019-09,,0.00,,-210.00M,-210.00M,,,-621.00M,,-621.00M,,8.00M,,2019-09,1.167B,1.372B,2.539B,,2019-09,,0.00,0.00,-210.00M,2019-09,AOR,Restated
2019-06,1.42B,,0.00,0.00,,,288.00M,288.00M,,0.00,67.00M,,205.00M,396.00M,-314.00M,-507.00M,,113.00M,-312.00M,1.668B,,-249.00M,,,,,-2.00M,-251.00M,,2019-06,,-400.00M,,-219.00M,-219.00M,,,-622.00M,,-622.00M,,0.00,,2019-06,991.00M,176.00M,1.167B,,2019-06,,0.00,-400.00M,-219.00M,2019-06,AOR,Restated
2019-03,1.704B,,-51.00M,-51.00M,,,277.00M,277.00M,,,37.00M,,-172.00M,-1.414B,-288.00M,744.00M,,826.00M,-132.00M,1.663B,,-284.00M,,,,,27.00M,-257.00M,,2019-03,,-200.00M,,-281.00M,-281.00M,,,-638.00M,,-638.00M,,-68.00M,,2019-03,772.00M,219.00M,991.00M,,2019-03,,,-200.00M,-281.00M,2019-03,AOR,Restated
2018-12,1.253B,,0.00,0.00,,,304.00M,304.00M,,,25.00M,,169.00M,269.00M,53.00M,-323.00M,,711.00M,710.00M,2.217B,,-459.00M,,,,,57.00M,-402.00M,,2018-12,110.00M,-640.00M,,-666.00M,-666.00M,,,-622.00M,,-622.00M,,-12.00M,,2018-12,897.00M,-125.00M,772.00M,,2018-12,,,-750.00M,-666.00M,2018-12,AOR,Restated
2018-09,1.473B,,0.00,0.00,,,291.00M,291.00M,,,50.00M,,236.00M,-422.00M,-12.00M,13.00M,,-1.268B,-1.689B,361.00M,,-339.00M,,,,,-5.00M,-344.00M,,2018-09,490.00M,490.00M,,-216.00M,-216.00M,,,-569.00M,,-569.00M,,-6.00M,,2018-09,1.181B,-284.00M,897.00M,,2018-09,,,,-216.00M,2018-09,AOR,Restated
2018-06,1.163B,,0.00,0.00,,,287.00M,287.00M,,,60.00M,,229.00M,15.00M,158.00M,-66.00M,,-1.918B,-1.811B,-72.00M,,-264.00M,,,,,21.00M,-243.00M,,2018-06,,0.00,,-310.00M,-310.00M,,,-570.00M,,-570.00M,,-17.00M,,2018-06,2.393B,-1.212B,1.181B,,2018-06,,,0.00,-310.00M,2018-06,AOR,Restated
