,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,248.50M,,,,,,155.60M,155.60M,-19.20M,,,-126.80M,-118.10M,,,-8.30M,,-8.60M,-6.80M,-141.80M,,,2020-09,,,,-365.70M,,79.00M,-286.70M,2020-09,-0.30M,237.00M,236.70M,6.20M,,6.20M,,,,-93.40M,,5.20M,154.70M,,2020-09,-15.70M,194.00M,,2020-09,6.20M,0.00,-0.30M,-5.00M,58.90M,,2020-09,AOR,
2020-06,136.90M,,,,,,152.10M,152.10M,-6.30M,,,-5.50M,-78.90M,-13.70M,,14.50M,,-25.30M,-14.30M,-117.70M,,,2020-06,,,,-319.80M,,107.10M,-212.70M,2020-06,396.60M,-85.10M,311.50M,6.40M,,6.40M,,,,-94.60M,,-19.30M,204.00M,,2020-06,150.80M,209.40M,,2020-06,6.40M,750.00M,-353.40M,4.90M,73.20M,,2020-06,AOR,
2020-03,172.60M,,,,,,146.30M,146.30M,-22.50M,,,5.30M,-119.00M,13.70M,,-6.20M,,-38.10M,8.10M,-141.50M,,,2020-03,,,,-288.50M,,108.90M,-179.60M,2020-03,-0.30M,-66.90M,-67.20M,228.40M,,228.40M,,,,-93.00M,,-7.90M,60.30M,,2020-03,40.90M,58.60M,,2020-03,228.40M,300.00M,-300.30M,0.10M,64.90M,,2020-03,AOR,
2019-12,113.40M,,,,,,143.20M,143.20M,2.60M,,,-16.60M,-112.70M,,,,,-28.30M,66.00M,-91.20M,,,2019-12,,,,-565.10M,,138.80M,-426.30M,2019-12,-3.50M,-11.80M,-15.30M,205.30M,,205.30M,,,,-84.70M,,-12.20M,93.10M,,2019-12,-181.80M,17.70M,,2019-12,205.30M,0.00,-3.50M,,72.90M,,2019-12,AOR,
2019-09,229.20M,,,,,,144.20M,144.20M,33.10M,,,-11.70M,-159.30M,,,33.10M,,14.10M,-50.60M,-162.70M,,,2019-09,,,,-368.40M,,114.40M,-254.00M,2019-09,50.40M,-41.30M,9.10M,124.40M,,124.40M,,,,-85.20M,,-1.10M,47.20M,,2019-09,25.30M,200.00M,,2019-09,124.40M,300.00M,-249.60M,,62.30M,,2019-09,AOR,Restated
2019-06,97.10M,,,,,,142.90M,142.90M,-1.80M,,,-7.20M,-78.10M,-33.10M,,9.60M,,-40.20M,6.60M,-135.20M,,,2019-06,,,,-300.50M,,58.30M,-242.20M,2019-06,646.90M,-239.20M,407.70M,6.00M,,6.00M,,,,-84.10M,,-26.80M,302.80M,,2019-06,156.40M,174.20M,,2019-06,6.00M,650.00M,-3.10M,,69.80M,,2019-06,AOR,Restated
2019-03,127.70M,,,,,,136.90M,136.90M,21.70M,,,-10.10M,-121.60M,33.10M,,-42.70M,,14.10M,22.00M,-95.10M,,,2019-03,,,,-406.10M,,41.30M,-364.80M,2019-03,-0.30M,188.50M,188.20M,54.60M,,54.60M,,,,-83.70M,,16.90M,176.00M,,2019-03,-7.70M,17.80M,,2019-03,54.60M,0.00,-0.30M,,62.90M,,2019-03,AOR,Restated
2018-12,87.80M,,,,,,130.50M,130.50M,4.50M,,,-10.30M,-150.20M,,,47.30M,,1.30M,-9.20M,-127.00M,,,2018-12,,,,-505.90M,,254.80M,-251.10M,2018-12,-252.60M,304.40M,51.80M,5.30M,,5.30M,,,,-78.90M,,-34.90M,-56.70M,,2018-12,-222.30M,25.50M,,2018-12,5.30M,0.00,-252.60M,0.00,75.90M,,2018-12,AOR,Restated
2018-09,208.10M,,31.80M,31.80M,,,129.00M,129.00M,28.60M,,,-42.40M,-156.80M,,,-13.20M,,-21.50M,4.20M,-187.30M,,,2018-09,,,,-394.70M,,96.90M,-297.80M,2018-09,399.90M,-70.70M,329.20M,91.20M,,91.20M,,,,-78.50M,,23.90M,365.80M,,2018-09,235.80M,247.80M,,2018-09,91.20M,500.00M,-100.10M,0.00,51.80M,,2018-09,AOR,Restated
2018-06,102.90M,,-31.80M,-31.80M,,,127.00M,127.00M,16.30M,,,23.80M,-87.80M,-28.20M,,25.50M,,-12.70M,-16.90M,-120.10M,,,2018-06,,,,-377.80M,,12.10M,-365.70M,2018-06,497.00M,-269.80M,227.20M,93.80M,,93.80M,,,,-77.30M,,-12.30M,231.40M,,2018-06,-16.20M,12.00M,,2018-06,93.80M,1.00B,-503.00M,5.00M,65.60M,,2018-06,AOR,Restated
2018-03,123.50M,,,,,,120.40M,120.40M,17.60M,,,-14.80M,-80.60M,28.20M,,-59.60M,,34.20M,-12.60M,-90.40M,,,2018-03,,,,-355.50M,,203.30M,-152.20M,2018-03,,62.10M,62.10M,6.30M,,6.30M,,,,-77.50M,,-0.70M,-9.80M,,2018-03,-5.70M,28.20M,,2018-03,6.30M,,,,54.20M,,2018-03,AOR,Restated
2017-12,96.30M,,32.90M,32.90M,,,119.10M,119.10M,36.90M,,,-37.70M,-172.90M,,,-3.80M,-21.90M,-19.00M,40.40M,-177.20M,,,2017-12,,,,-417.50M,,23.20M,-394.30M,2017-12,547.90M,-110.10M,437.80M,6.40M,,6.40M,,,,-72.60M,,-28.90M,342.70M,,2017-12,18.70M,33.90M,,2017-12,6.40M,550.00M,-2.10M,-0.10M,54.10M,,2017-12,AOR,Restated
2017-09,171.40M,,-10.10M,-10.10M,,,120.70M,120.70M,53.00M,,,13.50M,36.50M,,,4.80M,-42.20M,-64.80M,41.00M,-24.70M,,,2017-09,,,,-441.90M,,54.70M,-387.20M,2017-09,-0.10M,116.70M,116.60M,5.90M,,5.90M,,,,-72.60M,,16.50M,66.40M,,2017-09,3.00M,15.20M,,2017-09,5.90M,0.00,-0.10M,0.00,53.50M,,2017-09,AOR,Restated
2017-06,96.80M,,-22.80M,-22.80M,,,115.00M,115.00M,27.00M,,,19.90M,-161.60M,-25.40M,,40.30M,-54.20M,-14.20M,-12.30M,-227.40M,,,2017-06,,,,-316.00M,,151.30M,-164.70M,2017-06,-2.40M,105.80M,103.40M,137.30M,,137.30M,,,,-71.60M,,-15.70M,153.40M,,2017-06,-2.80M,12.20M,,2017-06,137.30M,,-2.40M,9.10M,53.20M,,2017-06,AOR,Restated
2017-03,103.00M,,,,,,107.00M,107.00M,22.70M,,,-7.60M,-143.20M,25.40M,,-41.30M,-12.50M,14.20M,51.30M,-106.10M,,,2017-03,,,,-291.50M,,204.30M,-87.20M,2017-03,,58.70M,58.70M,,,,,,,-71.50M,,-17.10M,-29.90M,,2017-03,1.90M,15.00M,,2017-03,,,,2.30M,51.80M,,2017-03,AOR,Restated
2016-12,65.20M,,,,,,98.10M,98.10M,7.90M,,0.00,2.50M,-467.20M,,,,-40.20M,3.50M,80.30M,-423.60M,,,2016-12,,,,-409.90M,,461.50M,51.60M,2016-12,186.60M,5.80M,192.40M,6.20M,,6.20M,,,,-66.70M,,0.70M,132.60M,,2016-12,-77.00M,13.10M,,2016-12,6.20M,500.00M,,1.50M,51.70M,,2016-12,AOR,Restated
