,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,368.30M,2.00M,370.30M,903.70M,903.70M,104.90M,403.70M,152.80M,,661.40M,,,186.70M,2.122B,0.00,83.40M,661.40M,2.170B,,80.30M,2.995B,-2.172B,822.10M,6.665B,5.256B,11.92B,,1.635B,271.20M,14.65B,2020-09,216.90M,16.10M,233.00M,203.00M,436.00M,343.20M,996.10M,996.10M,40.20M,1.036B,,,,1.975B,8.181B,,8.181B,81.60M,81.60M,,424.70M,,2020-09,0.30M,3.444B,2.487B,-20.90M,5.444B,,2020-09,AOR,
2020-06,378.20M,2.00M,380.20M,894.30M,894.30M,99.30M,401.40M,156.50M,,657.20M,,,203.30M,2.135B,0.00,83.40M,658.60M,2.144B,,89.40M,2.976B,-2.132B,844.00M,6.665B,5.487B,12.15B,,1.639B,258.40M,14.89B,2020-06,211.10M,40.30M,251.40M,191.30M,442.70M,359.20M,1.596B,1.596B,40.20M,1.636B,,,,2.586B,7.73B,,7.73B,112.30M,112.30M,,417.60M,,2020-06,0.30M,3.466B,2.542B,-21.10M,5.501B,,2020-06,AOR,
2020-03,401.00M,2.00M,403.00M,934.00M,934.00M,92.30M,441.70M,151.70M,,685.70M,,,194.50M,2.217B,0.00,83.40M,659.50M,2.123B,119.50M,100.10M,3.086B,-2.09B,995.60M,6.665B,5.702B,12.37B,,1.748B,97.70M,15.21B,2020-03,246.80M,38.00M,284.80M,208.80M,493.60M,353.00M,608.80M,608.80M,44.50M,653.30M,,,,1.637B,8.873B,94.70M,8.968B,318.50M,318.50M,,248.20M,,2020-03,0.20M,3.432B,2.675B,-21.60M,5.586B,,2020-03,AOR,
2019-12,397.10M,5.20M,402.30M,807.50M,807.50M,85.60M,460.00M,163.20M,,708.80M,,,185.40M,2.104B,0.00,83.40M,657.60M,2.130B,,108.70M,2.980B,-2.070B,909.70M,6.665B,5.940B,12.60B,,1.738B,232.20M,15.48B,2019-12,209.30M,10.80M,220.10M,218.30M,438.40M,303.70M,1.401B,1.401B,42.90M,1.444B,,,,2.337B,8.180B,111.00M,8.291B,386.30M,386.30M,,247.00M,,2019-12,0.20M,3.420B,2.739B,-22.00M,5.617B,,2019-12,AOR,
2019-09,401.80M,3.30M,405.10M,848.60M,848.60M,78.10M,457.00M,199.10M,,734.20M,,,189.90M,2.178B,0.00,83.40M,653.00M,2.128B,134.80M,113.60M,3.113B,-2.041B,1.072B,6.665B,6.187B,12.85B,,1.662B,95.00M,15.68B,2019-09,235.60M,48.60M,284.20M,218.60M,502.80M,326.50M,1.387B,1.387B,40.50M,1.428B,,,,2.423B,8.415B,111.80M,8.527B,577.90M,577.90M,,252.30M,,2019-09,0.20M,3.197B,2.732B,-22.30M,5.361B,,2019-09,AOR,Restated
2019-06,434.00M,3.10M,437.10M,936.80M,936.80M,78.70M,439.70M,214.70M,,733.10M,,,171.50M,2.278B,0.00,83.40M,638.60M,2.108B,122.10M,125.50M,3.078B,-1.993B,1.085B,6.664B,6.429B,13.09B,,1.68B,110.20M,15.97B,2019-06,245.70M,28.70M,274.40M,272.20M,546.60M,359.00M,1.374B,1.374B,38.70M,1.413B,,,,2.451B,8.711B,100.60M,8.812B,690.00M,690.00M,,255.80M,,2019-06,0.20M,3.176B,2.703B,-22.30M,5.288B,,2019-06,AOR,Restated
2019-03,428.60M,2.30M,430.90M,880.60M,880.60M,74.50M,413.00M,224.20M,,711.70M,,,191.60M,2.215B,0.00,83.40M,647.60M,2.096B,,119.20M,2.946B,-1.949B,996.70M,6.664B,6.686B,13.35B,,1.677B,111.80M,16.14B,2019-03,226.40M,46.90M,273.30M,240.30M,513.60M,366.90M,1.361B,1.361B,0.00,1.361B,,,,2.374B,8.946B,,8.946B,706.10M,706.10M,,279.50M,,2019-03,0.20M,3.211B,2.680B,-20.70M,5.288B,,2019-03,AOR,Restated
2018-12,432.20M,4.00M,436.20M,544.80M,544.80M,81.40M,392.80M,228.30M,,702.50M,,,194.10M,1.878B,0.00,82.30M,634.30M,2.197B,,129.00M,3.043B,-2.003B,1.040B,6.782B,6.633B,13.41B,,1.717B,106.40M,16.28B,2018-12,236.00M,,236.00M,407.70M,643.70M,,,,,,0.00,0.00,,643.70M,10.54B,,10.54B,830.50M,830.50M,,257.40M,,2018-12,0.20M,3.122B,2.657B,-17.00M,5.161B,,2018-12,AOR,Restated
2018-09,459.70M,4.50M,464.20M,668.80M,668.80M,80.60M,455.60M,300.50M,,836.70M,,,206.50M,2.176B,0.00,82.30M,623.10M,2.177B,,127.60M,3.010B,-1.958B,1.052B,6.788B,6.826B,13.61B,,1.716B,110.10M,16.49B,2018-09,271.20M,,271.20M,481.90M,753.10M,,,1.335B,,1.335B,0.00,0.00,,2.088B,9.551B,,9.551B,815.40M,815.40M,,265.20M,,2018-09,0.20M,3.160B,2.652B,-16.70M,5.170B,,2018-09,AOR,Restated
2018-06,635.20M,14.50M,649.70M,789.40M,789.40M,74.10M,685.20M,345.50M,,1.105B,,,274.50M,2.818B,0.00,84.70M,616.10M,2.146B,,144.00M,2.991B,-1.913B,1.078B,7.273B,6.249B,13.52B,,1.676B,154.10M,16.43B,2018-06,318.20M,,318.20M,491.30M,809.50M,,,1.330B,,1.330B,0.00,0.00,,2.139B,10.02B,,10.02B,854.20M,854.20M,,275.00M,,2018-06,0.20M,3.149B,2.637B,-14.90M,5.124B,,2018-06,AOR,Restated
