,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2020-10,494.00M,,,308.00M,671.00M,671.00M,-72.00M,,140.00M,,44.00M,-527.00M,90.00M,649.00M,,15.00M,227.00M,1.861B,,2020-10,-281.00M,-281.00M,,-370.00M,-1.381B,12.00M,-2.02B,,2020-10,847.00M,806.00M,93.00M,-68.00M,25.00M,-780.00M,-780.00M,-19.00M,32.00M,,2020-10,6.499B,-127.00M,6.42B,,2020-10,93.00M,-6.309B,-68.00M,312.00M,249.00M,,2020-10,AOR
2020-07,491.00M,,,,669.00M,669.00M,3.00M,,70.00M,,68.00M,-142.00M,-235.00M,-541.00M,,-142.00M,-1.06B,278.00M,,2020-07,-334.00M,-334.00M,,0.00,358.00M,-16.00M,8.00M,,2020-07,-11.00M,2.762B,26.00M,0.00,26.00M,-778.00M,-778.00M,-51.00M,1.959B,,2020-07,4.14B,2.245B,6.499B,,2020-07,26.00M,-27.00M,0.00,72.00M,72.00M,,2020-07,AOR
2020-04,639.00M,,,0.00,672.00M,672.00M,-522.00M,,62.00M,,77.00M,1.41B,-231.00M,-147.00M,,-542.00M,490.00M,1.45B,,2020-04,-336.00M,-336.00M,,-289.00M,993.00M,-3.00M,365.00M,,2020-04,-504.00M,-538.00M,77.00M,-118.00M,-41.00M,-724.00M,-724.00M,-7.00M,-1.31B,,2020-04,3.709B,505.00M,4.14B,,2020-04,77.00M,-504.00M,-118.00M,239.00M,295.00M,,2020-04,AOR
2020-01,1.919B,,,0.00,663.00M,663.00M,-548.00M,,66.00M,,21.00M,-158.00M,-79.00M,397.00M,,103.00M,263.00M,2.407B,,2020-01,-293.00M,-293.00M,,2.00M,-1.492B,-18.00M,-1.801B,,2020-01,-12.00M,-37.00M,153.00M,-246.00M,-93.00M,-723.00M,-723.00M,-20.00M,-873.00M,,2020-01,3.962B,-267.00M,3.709B,,2020-01,153.00M,-12.00M,-246.00M,145.00M,26.00M,,2020-01,AOR
2019-10,1.371B,,,0.00,671.00M,671.00M,-263.00M,,108.00M,,61.00M,-280.00M,-145.00M,335.00M,,-10.00M,-100.00M,1.867B,,2019-10,-283.00M,-283.00M,,-56.00M,-866.00M,-11.00M,-1.216B,,2019-10,-558.00M,-604.00M,222.00M,-629.00M,-407.00M,-723.00M,-723.00M,-7.00M,-1.741B,,2019-10,5.08B,-1.09B,3.962B,,2019-10,222.00M,-559.00M,-629.00M,296.00M,236.00M,,2019-10,AOR
2019-07,877.00M,,,406.00M,657.00M,657.00M,18.00M,,61.00M,,58.00M,319.00M,-122.00M,-629.00M,,-160.00M,-592.00M,1.51B,,2019-07,-301.00M,-301.00M,,-145.00M,-100.00M,-5.00M,-551.00M,,2019-07,532.00M,620.00M,210.00M,-333.00M,-123.00M,-724.00M,-724.00M,-47.00M,-274.00M,,2019-07,4.393B,685.00M,5.08B,,2019-07,210.00M,-5.035B,-333.00M,198.00M,86.00M,,2019-07,AOR
2019-04,1.182B,,,,667.00M,667.00M,-99.00M,,62.00M,,146.00M,-441.00M,93.00M,188.00M,,-191.00M,-351.00M,2.087B,,2019-04,-335.00M,-335.00M,,-212.00M,-21.00M,39.00M,-529.00M,,2019-04,-128.00M,-145.00M,101.00M,-149.00M,-48.00M,-671.00M,-671.00M,4.00M,-860.00M,,2019-04,3.703B,698.00M,4.393B,,2019-04,101.00M,-7.919B,-149.00M,352.00M,433.00M,,2019-04,AOR
2019-01,1.271B,,,,675.00M,675.00M,-125.00M,,60.00M,,56.00M,-103.00M,-55.00M,187.00M,,66.00M,95.00M,2.055B,,2019-01,-302.00M,-302.00M,,-1.496B,792.00M,-3.00M,-1.009B,,2019-01,-10.00M,-6.00M,91.00M,-681.00M,-590.00M,-671.00M,-671.00M,-1.00M,-1.268B,,2019-01,3.911B,-222.00M,3.703B,,2019-01,91.00M,-12.00M,-681.00M,265.00M,58.00M,,2019-01,AOR
2018-10,1.12B,,,,651.00M,651.00M,-83.00M,,104.00M,,52.00M,-175.00M,-132.00M,-61.00M,,-330.00M,-698.00M,1.163B,,2018-10,-206.00M,-206.00M,,-15.00M,342.00M,,121.00M,,2018-10,-4.00M,-199.00M,350.00M,-1.223B,-873.00M,-674.00M,-674.00M,16.00M,-1.73B,,2018-10,4.38B,-446.00M,3.911B,,2018-10,350.00M,-5.00M,-1.223B,593.00M,427.00M,,2018-10,AOR
2018-07,1.077B,,,,666.00M,666.00M,3.00M,,64.00M,,3.00M,138.00M,-180.00M,85.00M,,-169.00M,-126.00M,1.702B,,2018-07,-291.00M,-291.00M,,-104.00M,1.038B,,643.00M,,2018-07,-12.00M,-517.00M,450.00M,-824.00M,-374.00M,-677.00M,-677.00M,-5.00M,-1.573B,,2018-07,3.669B,772.00M,4.38B,,2018-07,450.00M,-12.00M,-824.00M,348.00M,55.00M,,2018-07,AOR
2018-04,1.465B,0.00,0.00,38.00M,664.00M,664.00M,123.00M,,74.00M,,61.00M,-294.00M,126.00M,52.00M,,-1.287B,-1.403B,1.038B,,2018-04,-292.00M,-292.00M,,-26.00M,446.00M,-17.00M,111.00M,,2018-04,-3.203B,-3.061B,70.00M,-207.00M,-137.00M,-624.00M,-624.00M,-6.00M,-3.828B,,2018-04,6.358B,-2.679B,3.669B,,2018-04,70.00M,-3.203B,-207.00M,1.631B,496.00M,,2018-04,AOR
2018-01,-1.392B,0.00,227.00M,227.00M,666.00M,666.00M,-212.00M,,72.00M,,53.00M,87.00M,-45.00M,320.00M,,2.21B,2.572B,2.002B,,2018-01,-252.00M,-252.00M,,-35.00M,-88.00M,-3.00M,-378.00M,,2018-01,-5.00M,-206.00M,103.00M,-76.00M,27.00M,-623.00M,-623.00M,-47.00M,-849.00M,,2018-01,5.529B,775.00M,6.358B,,2018-01,103.00M,-6.00M,-76.00M,237.00M,64.00M,,2018-01,AOR
2017-10,2.013B,-697.00M,,-697.00M,678.00M,678.00M,-888.00M,,106.00M,,-36.00M,20.00M,-109.00M,85.00M,,-275.00M,-279.00M,907.00M,,2017-10,-246.00M,-246.00M,,5.982B,313.00M,-7.00M,6.042B,,2017-10,-4.151B,-4.91B,87.00M,-655.00M,-568.00M,-622.00M,-622.00M,-36.00M,-6.136B,,2017-10,4.691B,813.00M,5.529B,,2017-10,87.00M,-4.153B,-655.00M,257.00M,519.00M,,2017-10,AOR
2017-07,1.009B,,,,636.00M,636.00M,58.00M,,92.00M,,-5.00M,-88.00M,-164.00M,-392.00M,,-419.00M,-1.063B,737.00M,,2017-07,-278.00M,-278.00M,,0.00,356.00M,5.00M,83.00M,,2017-07,10.00M,579.00M,143.00M,-1.233B,-1.09B,-625.00M,-625.00M,-5.00M,-1.141B,,2017-07,4.967B,-321.00M,4.691B,,2017-07,143.00M,-8.00M,-1.233B,417.00M,68.00M,,2017-07,AOR
2017-04,1.164B,0.00,,0.00,718.00M,718.00M,-55.00M,,76.00M,,7.00M,-93.00M,34.00M,324.00M,,-410.00M,-145.00M,1.773B,,2017-04,-330.00M,-330.00M,,4.00M,53.00M,1.00M,-272.00M,,2017-04,1.507B,1.293B,119.00M,-135.00M,-16.00M,-594.00M,-594.00M,4.00M,687.00M,,2017-04,2.768B,2.188B,4.967B,,2017-04,119.00M,-500.00M,-135.00M,555.00M,508.00M,,2017-04,AOR
2017-01,820.00M,0.00,,0.00,730.00M,730.00M,-354.00M,,82.00M,,3.00M,107.00M,-74.00M,338.00M,,420.00M,791.00M,2.085B,,2017-01,-326.00M,-326.00M,,-22.00M,-583.00M,-11.00M,-942.00M,,2017-01,-109.00M,-147.00M,49.00M,-615.00M,-566.00M,-590.00M,-590.00M,-16.00M,-1.319B,,2017-01,2.954B,-176.00M,2.768B,,2017-01,49.00M,-111.00M,-615.00M,216.00M,67.00M,,2017-01,AOR
2016-10,1.111B,0.00,,0.00,732.00M,732.00M,-82.00M,,111.00M,,-55.00M,-285.00M,-86.00M,-8.00M,,25.00M,-354.00M,1.472B,,2016-10,-268.00M,-268.00M,,-1.294B,1.455B,34.00M,-73.00M,,2016-10,-137.00M,95.00M,46.00M,-1.031B,-985.00M,-593.00M,-593.00M,-8.00M,-1.491B,,2016-10,3.06B,-92.00M,2.954B,,2016-10,46.00M,-235.00M,-1.031B,143.00M,491.00M,,2016-10,AOR
